# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:23.346743+00:00
date,fund_below_high,benchmark_below_high
2024-08-19,0.000000,
2024-08-20,0.000000,
2024-08-21,0.000000,
2024-08-22,0.000000,
2024-08-23,0.000000,
2024-08-26,0.000000,
2024-08-27,0.000000,
2024-08-28,-0.000979,
2024-08-29,-0.002938,
2024-08-30,0.000000,
2024-09-02,-0.002924,
2024-09-03,0.000000,
2024-09-04,0.000000,
2024-09-05,0.000000,
2024-09-06,-0.004845,
2024-09-09,-0.004845,
2024-09-10,0.000000,
2024-09-11,0.000000,
2024-09-12,0.000000,
2024-09-13,0.000000,
2024-09-16,-0.000943,
2024-09-17,0.000000,
2024-09-18,-0.006598,
2024-09-19,-0.012253,
2024-09-20,0.000000,
2024-09-24,0.000000,
2024-09-25,-0.001867,
2024-09-26,-0.003735,
2024-09-27,0.000000,
2024-09-30,-0.008396,
2024-10-01,-0.003731,
2024-10-03,-0.023321,
2024-10-04,-0.028918,
2024-10-07,-0.051306,
2024-10-08,-0.023321,
2024-10-09,-0.008396,
2024-10-10,-0.007463,
2024-10-11,-0.003731,
2024-10-14,0.000000,
2024-10-15,0.000000,
2024-10-16,-0.003704,
2024-10-17,-0.021296,
2024-10-18,-0.021296,
2024-10-21,-0.031481,
2024-10-22,-0.057407,
2024-10-23,-0.058333,
2024-10-24,-0.060185,
2024-10-25,-0.075926,
2024-10-29,-0.065741,
2024-10-30,-0.062963,
2024-10-31,-0.049074,
2024-11-04,-0.048148,
2024-11-05,-0.048148,
2024-11-06,-0.024074,
2024-11-07,-0.031481,
2024-11-08,-0.040741,
2024-11-11,-0.048148,
2024-11-12,-0.061111,
2024-11-13,-0.083333,
2024-11-14,-0.079630,
2024-11-18,-0.079630,
2024-11-19,-0.067593,
2024-11-21,-0.070370,
2024-11-22,-0.062037,
2024-11-25,-0.047222,
2024-11-26,-0.050926,
2024-11-27,-0.049074,
2024-11-28,-0.050926,
2024-11-29,-0.038889,
2024-12-02,-0.025926,
2024-12-03,-0.020370,
2024-12-04,-0.017593,
2024-12-05,-0.015741,
2024-12-09,-0.014815,
2024-12-10,-0.011111,
2024-12-11,-0.006481,
2024-12-12,-0.011111,
2024-12-13,-0.011111,
2024-12-16,-0.002778,
2024-12-17,-0.006481,
2024-12-18,-0.009259,
2024-12-19,-0.010185,
2024-12-20,-0.028704,
2024-12-23,-0.026852,
2024-12-24,-0.026852,
2024-12-26,-0.023148,
2024-12-27,-0.019444,
2024-12-30,-0.017593,
2024-12-31,-0.011111,
2025-01-01,-0.001852,
2025-01-02,0.000000,
2025-01-03,-0.001842,
2025-01-06,-0.023020,
2025-01-07,-0.015654,
2025-01-08,-0.031308,
2025-01-10,-0.060773,
2025-01-13,-0.093923,
2025-01-14,-0.081031,
2025-01-15,-0.083794,
2025-01-16,-0.075506,
2025-01-17,-0.075506,
2025-01-20,-0.070902,
2025-01-21,-0.089319,
2025-01-22,-0.105893,
2025-01-23,-0.094843,
2025-01-24,-0.111418,
2025-01-27,-0.136280,
2025-01-28,-0.149171,
2025-01-29,-0.125230,
2025-01-30,-0.116022,
2025-01-31,-0.104972,
2025-02-03,-0.110497,
2025-02-04,-0.100368,
2025-02-05,-0.094843,
2025-02-06,-0.098527,
2025-02-07,-0.100368,
2025-02-10,-0.116943,
2025-02-11,-0.140884,
2025-02-12,-0.147330,
2025-02-13,-0.147330,
2025-02-17,-0.182320,
2025-02-18,-0.190608,
2025-02-19,-0.180479,
2025-02-20,-0.169429,
2025-02-21,-0.176796,
2025-02-24,-0.179558,
2025-02-25,-0.180479,
2025-02-27,-0.199816,
2025-02-28,-0.216390,
2025-03-03,-0.210866,
2025-03-04,-0.203499,
2025-03-05,-0.186004,
2025-03-06,-0.175875,
2025-03-07,-0.172192,
2025-03-10,-0.184162,
2025-03-11,-0.186924,
2025-03-12,-0.186924,
2025-03-13,-0.186924,
2025-03-17,-0.181400,
2025-03-18,-0.165746,
2025-03-19,-0.154696,
2025-03-20,-0.146409,
2025-03-21,-0.136280,
2025-03-24,-0.132597,
2025-03-26,-0.148250,
2025-03-27,-0.143646,
2025-03-28,-0.146409,
2025-03-31,-0.146409,
2025-04-01,-0.154696,
2025-04-02,-0.146409,
2025-04-03,-0.143646,
2025-04-04,-0.171271,
2025-04-07,-0.200737,
2025-04-08,-0.183241,
2025-04-09,-0.189687,
2025-04-11,-0.164825,
2025-04-15,-0.140884,
2025-04-16,-0.137201,
2025-04-17,-0.132597,
2025-04-21,-0.117864,
2025-04-22,-0.109576,
2025-04-23,-0.106814,
2025-04-24,-0.106814,
2025-04-25,-0.127072,
2025-04-28,-0.116022,
2025-04-29,-0.114180,
2025-05-02,-0.122468,
2025-05-05,-0.111418,
2025-05-06,-0.123389,
2025-05-07,-0.115101,
2025-05-08,-0.126151,
2025-05-09,-0.127993,
2025-05-12,-0.104052,
2025-05-13,-0.096685,
2025-05-14,-0.084715,
2025-05-15,-0.078269,
2025-05-16,-0.069982,
2025-05-19,-0.069061,
2025-05-20,-0.085635,
2025-05-21,-0.079190,
2025-05-22,-0.081952,
2025-05-23,-0.079190,
2025-05-26,-0.072744,
2025-05-27,-0.070902,
