# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:35:23.324731+00:00
date,fund_value_inr,benchmark_value_inr
2024-08-19,10000.00,
2024-08-20,10019.86,
2024-08-21,10039.72,
2024-08-22,10069.51,
2024-08-23,10119.17,
2024-08-26,10139.03,
2024-08-27,10139.03,
2024-08-28,10129.10,
2024-08-29,10109.24,
2024-08-30,10188.68,
2024-09-02,10158.89,
2024-09-03,10208.54,
2024-09-04,10238.33,
2024-09-05,10248.26,
2024-09-06,10198.61,
2024-09-09,10198.61,
2024-09-10,10307.85,
2024-09-11,10327.71,
2024-09-12,10456.80,
2024-09-13,10526.32,
2024-09-16,10516.39,
2024-09-17,10536.25,
2024-09-18,10466.73,
2024-09-19,10407.15,
2024-09-23,10615.69,
2024-09-24,10635.55,
2024-09-25,10615.69,
2024-09-26,10595.83,
2024-09-27,10645.48,
2024-09-30,10556.11,
2024-10-01,10605.76,
2024-10-03,10397.22,
2024-10-04,10337.64,
2024-10-07,10099.30,
2024-10-08,10397.22,
2024-10-09,10556.11,
2024-10-10,10566.04,
2024-10-11,10605.76,
2024-10-14,10685.20,
2024-10-15,10724.93,
2024-10-16,10685.20,
2024-10-17,10496.52,
2024-10-18,10496.52,
2024-10-21,10387.29,
2024-10-22,10109.24,
2024-10-23,10099.30,
2024-10-24,10079.44,
2024-10-25,9910.63,
2024-10-29,10019.86,
2024-10-30,10049.65,
2024-10-31,10198.61,
2024-11-04,10208.54,
2024-11-05,10208.54,
2024-11-06,10466.73,
2024-11-07,10387.29,
2024-11-08,10287.98,
2024-11-11,10208.54,
2024-11-12,10069.51,
2024-11-13,9831.18,
2024-11-14,9870.90,
2024-11-18,9870.90,
2024-11-19,10000.00,
2024-11-21,9970.21,
2024-11-22,10059.58,
2024-11-25,10218.47,
2024-11-26,10178.75,
2024-11-27,10198.61,
2024-11-28,10178.75,
2024-11-29,10307.85,
2024-12-02,10446.87,
2024-12-03,10506.45,
2024-12-04,10536.25,
2024-12-05,10556.11,
2024-12-09,10566.04,
2024-12-10,10605.76,
2024-12-11,10655.41,
2024-12-12,10605.76,
2024-12-13,10605.76,
2024-12-16,10695.13,
2024-12-17,10655.41,
2024-12-18,10625.62,
2024-12-19,10615.69,
2024-12-20,10417.08,
2024-12-23,10436.94,
2024-12-24,10436.94,
2024-12-26,10476.66,
2024-12-27,10516.39,
2024-12-30,10536.25,
2024-12-31,10605.76,
2025-01-01,10705.06,
2025-01-02,10784.51,
2025-01-03,10764.65,
2025-01-06,10536.25,
2025-01-07,10615.69,
2025-01-08,10446.87,
2025-01-10,10129.10,
2025-01-13,9771.60,
2025-01-14,9910.63,
2025-01-15,9880.83,
2025-01-16,9970.21,
2025-01-17,9970.21,
2025-01-20,10019.86,
2025-01-21,9821.25,
2025-01-22,9642.50,
2025-01-23,9761.67,
2025-01-24,9582.92,
2025-01-27,9314.80,
2025-01-28,9175.77,
2025-01-29,9433.96,
2025-01-30,9533.27,
2025-01-31,9652.43,
2025-02-03,9592.85,
2025-02-04,9702.09,
2025-02-05,9761.67,
2025-02-06,9721.95,
2025-02-07,9702.09,
2025-02-10,9523.34,
2025-02-11,9265.14,
2025-02-12,9195.63,
2025-02-13,9195.63,
2025-02-17,8818.27,
2025-02-18,8728.90,
2025-02-19,8838.13,
2025-02-20,8957.30,
2025-02-21,8877.86,
2025-02-24,8848.06,
2025-02-25,8838.13,
2025-02-27,8629.59,
2025-02-28,8450.84,
2025-03-03,8510.43,
2025-03-04,8589.87,
2025-03-05,8778.55,
2025-03-06,8887.79,
2025-03-07,8927.51,
2025-03-10,8798.41,
2025-03-11,8768.62,
2025-03-12,8768.62,
2025-03-13,8768.62,
2025-03-17,8828.20,
2025-03-18,8997.02,
2025-03-19,9116.19,
2025-03-20,9205.56,
2025-03-21,9314.80,
2025-03-24,9354.52,
2025-03-26,9185.70,
2025-03-27,9235.35,
2025-03-28,9205.56,
2025-03-31,9205.56,
2025-04-01,9116.19,
2025-04-02,9205.56,
2025-04-03,9235.35,
2025-04-04,8937.44,
2025-04-07,8619.66,
2025-04-08,8808.34,
2025-04-09,8738.83,
2025-04-11,9006.95,
2025-04-15,9265.14,
2025-04-16,9304.87,
2025-04-17,9354.52,
2025-04-21,9513.41,
2025-04-22,9602.78,
2025-04-23,9632.57,
2025-04-24,9632.57,
2025-04-25,9414.10,
2025-04-28,9533.27,
2025-04-29,9553.13,
2025-05-02,9463.75,
2025-05-05,9582.92,
2025-05-06,9453.82,
2025-05-07,9543.20,
2025-05-08,9424.03,
2025-05-09,9404.17,
2025-05-12,9662.36,
2025-05-13,9741.81,
2025-05-14,9870.90,
2025-05-15,9940.42,
2025-05-16,10029.79,
2025-05-19,10039.72,
2025-05-20,9860.97,
2025-05-21,9930.49,
2025-05-22,9900.70,
2025-05-23,9930.49,
2025-05-26,10000.00,
2025-05-27,10019.86,
2025-05-28,10039.72,
2025-05-29,10069.51,
2025-05-30,10069.51,
2025-06-02,10059.58,
2025-06-03,10049.65,
2025-06-04,10099.30,
2025-06-05,10158.89,
2025-06-09,10198.61,
2025-06-10,10208.54,
2025-06-11,10238.33,
2025-06-12,10119.17,
2025-06-13,10099.30,
2025-06-16,10129.10,
2025-06-17,10059.58,
2025-06-18,10049.65,
2025-06-19,9930.49,
2025-06-20,10029.79,
2025-06-23,10059.58,
2025-06-24,10129.10,
2025-06-25,10188.68,
2025-06-26,10208.54,
2025-06-27,10268.12,
2025-06-30,10317.78,
2025-07-01,10297.91,
2025-07-02,10307.85,
2025-07-03,10307.85,
2025-07-04,10337.64,
2025-07-07,10337.64,
2025-07-08,10307.85,
2025-07-09,10337.64,
2025-07-11,10268.12,
2025-07-14,10337.64,
2025-07-15,10417.08,
2025-07-16,10427.01,
2025-07-17,10496.52,
2025-07-18,10397.22,
2025-07-21,10436.94,
2025-07-22,10387.29,
2025-07-23,10407.15,
2025-07-24,10397.22,
2025-07-25,10278.05,
2025-07-28,10208.54,
2025-07-29,10297.91,
2025-07-30,10327.71,
2025-07-31,10307.85,
2025-08-01,10208.54,
2025-08-04,10297.91,
2025-08-05,10297.91,
2025-08-06,10168.82,
2025-08-07,10178.75,
2025-08-08,10029.79,
2025-08-11,10099.30,
2025-08-12,10089.37,
2025-08-13,10198.61,
2025-08-14,10168.82,
2025-08-19,10357.50,
2025-08-20,10357.50,
2025-08-21,10357.50,
2025-08-22,10357.50,
2025-08-25,10397.22,
2025-08-26,10278.05,
2025-08-28,10208.54,
2025-08-29,10178.75,
2025-09-01,10337.64,
2025-09-02,10327.71,
2025-09-03,10436.94,
2025-09-04,10407.15,
2025-09-05,10417.08,
2025-09-08,10516.39,
2025-09-09,10506.45,
2025-09-10,10546.18,
2025-09-11,10536.25,
2025-09-12,10575.97,
2025-09-15,10585.90,
2025-09-16,10665.34,
2025-09-17,10715.00,
2025-09-18,10744.79,
2025-09-19,10774.58,
2025-09-23,10635.55,
2025-09-24,10556.11,
2025-09-25,10506.45,
2025-09-26,10307.85,
2025-09-30,10268.12,
2025-10-01,10357.50,
2025-10-03,10436.94,
2025-10-06,10446.87,
2025-10-07,10466.73,
2025-10-08,10377.36,
2025-10-09,10427.01,
2025-10-10,10496.52,
2025-10-13,10436.94,
2025-10-14,10367.43,
2025-10-15,10397.22,
2025-10-16,10446.87,
2025-10-17,10446.87,
2025-10-20,10427.01,
2025-10-23,10397.22,
2025-10-24,10357.50,
2025-10-27,10367.43,
2025-10-28,10347.57,
2025-10-29,10397.22,
2025-10-31,10357.50,
2025-11-03,10377.36,
2025-11-04,10327.71,
2025-11-06,10198.61,
2025-11-07,10168.82,
2025-11-10,10188.68,
2025-11-11,10258.19,
2025-11-12,10287.98,
2025-11-13,10258.19,
2025-11-14,10268.12,
2025-11-17,10317.78,
2025-11-18,10248.26,
2025-11-19,10297.91,
2025-11-20,10307.85,
2025-11-21,10208.54,
2025-11-24,10148.96,
2025-11-25,10158.89,
2025-11-26,10297.91,
2025-11-27,10248.26,
2025-11-28,10238.33,
2025-12-01,10218.47,
2025-12-02,10208.54,
2025-12-03,10129.10,
2025-12-04,10089.37,
2025-12-08,9890.76,
2025-12-09,9930.49,
2025-12-10,9860.97,
2025-12-11,9950.35,
2025-12-12,10029.79,
2025-12-15,10019.86,
2025-12-16,9960.28,
2025-12-17,9880.83,
2025-12-18,9851.04,
2025-12-19,10000.00,
2025-12-22,10069.51,
2025-12-23,10079.44,
2025-12-24,10069.51,
2025-12-26,10039.72,
2025-12-29,9980.14,
2025-12-30,9980.14,
2025-12-31,10119.17,
2026-01-01,10129.10,
2026-01-02,10248.26,
2026-01-05,10258.19,
2026-01-06,10258.19,
2026-01-07,10268.12,
2026-01-08,10119.17,
2026-01-09,9980.14,
2026-01-12,9930.49,
2026-01-14,9900.70,
2026-01-16,9811.32,
2026-01-19,9811.32,
2026-01-20,9572.99,
2026-01-21,9473.68,
2026-01-22,9592.85,
2026-01-23,9433.96,
2026-01-27,9453.82,
2026-01-28,9662.36,
2026-01-29,9622.64,
2026-01-30,9712.02,
2026-02-02,9652.43,
2026-02-03,9980.14,
2026-02-04,10059.58,
2026-02-05,10000.00,
2026-02-06,10039.72,
2026-02-09,10248.26,
2026-02-10,10317.78,
2026-02-11,10347.57,
2026-02-12,10307.85,
2026-02-13,10168.82,
2026-02-16,10178.75,
2026-02-18,10327.71,
2026-02-19,10158.89,
2026-02-20,10198.61,
2026-02-23,10258.19,
2026-02-24,10238.33,
2026-02-25,10387.29,
2026-02-26,10456.80,
2026-02-27,10397.22,
2026-03-02,10307.85,
2026-03-04,10049.65,
2026-03-05,10188.68,
2026-03-06,10158.89,
2026-03-09,9880.83,
2026-03-10,10019.86,
2026-03-11,9890.76,
2026-03-12,9821.25,
2026-03-13,9503.48,
2026-03-16,9503.48,
2026-03-17,9632.57,
2026-03-18,9801.39,
2026-03-19,9513.41,
2026-03-20,9582.92,
2026-03-23,9245.28,
2026-03-24,9453.82,
2026-03-25,9662.36,
2026-03-30,9255.21,
2026-03-31,9255.21,
2026-04-01,9414.10,
2026-04-02,9354.52,
2026-04-06,9443.89,
2026-04-07,9473.68,
2026-04-08,9870.90,
2026-04-09,9910.63,
2026-04-10,10099.30,
2026-04-13,10019.86,
2026-04-15,10238.33,
2026-04-16,10297.91,
2026-04-17,10397.22,
2026-04-20,10446.87,
2026-04-21,10446.87,
2026-04-22,10516.39,
2026-04-23,10436.94,
2026-04-24,10317.78,
2026-04-27,10516.39,
2026-04-28,10486.59,
2026-04-29,10516.39,
2026-04-30,10427.01,
2026-05-04,10536.25,
2026-05-05,10615.69,
2026-05-07,10923.54,
2026-05-08,10913.60,
2026-05-11,10774.58,
2026-05-12,10506.45,
2026-05-13,10546.18,
2026-05-14,10635.55,
2026-05-15,10585.90,
2026-05-18,10466.73,
2026-05-19,10516.39,
2026-05-20,10615.69,
2026-05-21,10724.93,
2026-05-22,10724.93,
2026-05-25,10844.09,
2026-05-26,10834.16,
2026-05-27,10953.33,
2026-05-29,10834.16,
2026-06-01,10715.00,
2026-06-02,10774.58,
2026-06-03,10774.58,
2026-06-04,10863.95,
2026-06-05,10883.81,
2026-06-08,10695.13,
2026-06-09,10863.95,
2026-06-11,10655.41,
2026-06-12,10883.81,
2026-06-15,11042.70,
2026-06-16,11082.42,
2026-06-17,11181.73,
2026-06-18,11241.31,
2026-06-19,11290.96,
2026-06-22,11360.48,
2026-06-23,11290.96,
2026-06-24,11231.38,
2026-06-25,11211.52,
2026-06-29,11211.52,
2026-06-30,11261.17,
2026-07-01,11290.96,
2026-07-02,11330.69,
2026-07-03,11320.75,
2026-07-06,11390.27,
2026-07-07,11281.03,
2026-07-08,11112.21,
2026-07-09,11201.59,
2026-07-10,11290.96,
2026-07-13,11290.96,
2026-07-14,11231.38,
2026-07-16,11400.20,
2026-07-17,11290.96,
2026-07-20,11370.41,
2026-07-21,11449.85,
2026-07-22,11360.48,
2026-07-23,11310.82,
2026-07-24,11241.31,
2026-07-27,11380.34,
2026-07-28,11340.62,
2026-07-29,11449.85,
2026-07-30,11539.23,
2026-07-31,11688.18,
2026-08-03,11876.86,
2026-08-04,11866.93,
2026-08-05,12015.89,
2026-08-06,12055.61,
2026-08-07,12085.40,
2026-08-10,12095.33,
2026-08-11,12115.19,
2026-08-12,12144.99,
2026-08-13,12125.12,
2026-08-14,12105.26,
2026-08-17,12184.71,
2026-08-18,12274.08,
2026-08-19,12234.36,
2026-08-20,12303.87,
2026-08-21,12264.15,
2026-08-24,12194.64,
2026-08-25,12214.50,
2026-08-26,12244.29,
2026-08-27,12244.29,
2026-08-28,12234.36,
2026-08-31,12284.01,
2026-09-01,12164.85,
2026-09-02,12085.40,
2026-09-03,12115.19,
2026-09-04,12105.26,
2026-09-07,12075.47,
2026-09-08,12135.05,
2026-09-09,12085.40,
2026-09-10,12065.54,
2026-09-11,12025.82,
2026-09-15,11698.11,
2026-09-16,11757.70,
2026-09-17,11866.93,
2026-09-18,12015.89,
2026-09-21,12055.61,
2026-09-22,12075.47,
2026-09-23,12154.92,
2026-09-25,12144.99,
