# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:27.707417+00:00
date,nav
2013-01-01,152.62640
2013-01-04,152.73280
2013-01-13,153.05130
2013-01-24,153.44290
2013-01-28,153.58530
2013-02-08,153.96660
2013-02-17,154.28590
2013-02-22,154.46080
2013-03-08,154.95570
2013-03-17,155.29160
2013-03-28,155.73370
2013-04-02,155.98940
2013-04-12,156.36450
2013-04-21,156.69990
2013-05-03,157.14480
2013-05-12,157.47640
2013-05-17,157.65600
2013-05-26,157.98080
2013-05-31,158.15800
2013-06-09,158.48350
2013-06-21,158.90020
2013-07-01,159.26630
2013-07-12,159.66400
2013-07-16,159.48680
2013-07-25,159.78860
2013-08-07,160.40650
2013-08-11,160.58630
2013-08-23,161.16220
2013-08-30,161.50080
2013-09-09,161.97650
2013-09-22,162.60500
2013-09-27,162.83800
2013-10-06,163.27060
2013-10-13,163.60160
2013-10-25,164.13510
2013-11-04,164.57490
2013-11-08,164.74680
2013-11-17,165.12830
2013-11-29,165.62990
2013-12-08,165.99430
2013-12-13,166.19580
2013-12-22,166.56810
2013-12-27,166.77140
2014-01-06,167.18330
2014-01-17,167.63020
2014-01-26,167.99450
2014-01-31,168.19670
2014-02-09,168.55570
2014-02-21,169.03160
2014-03-02,169.38930
2014-03-13,169.84550
2014-03-17,170.02220
2014-03-27,170.48080
2014-04-03,170.91090
2014-04-20,171.64750
2014-04-25,171.86150
2014-05-04,172.24500
2014-05-09,172.45590
2014-05-18,172.83580
2014-05-30,173.34130
2014-06-08,173.71380
2014-06-13,173.91880
2014-06-22,174.29460
2014-07-04,174.80150
2014-07-13,175.16640
2014-07-18,175.37480
2014-07-27,175.74860
2014-08-08,176.23970
2014-08-18,176.65200
2014-08-28,177.06320
2014-09-01,177.23160
2014-09-12,177.69050
2014-09-25,178.24030
2014-10-06,178.73200
2014-10-16,179.15820
2014-10-26,179.58780
2014-10-31,179.79810
2014-11-09,180.18560
2014-11-14,180.39400
2014-11-23,180.77370
2014-12-05,181.27560
2014-12-14,181.65010
2014-12-19,181.86020
2014-12-28,182.23850
2015-01-09,182.74650
2015-01-16,183.04540
2015-01-26,183.46730
2015-02-06,183.93120
2015-02-15,184.31260
2015-02-20,184.52370
2015-03-05,185.08090
2015-03-08,185.21130
2015-03-20,185.73140
2015-03-30,186.17670
2015-04-06,186.62870
2015-04-17,187.10640
2015-04-30,187.67240
2015-05-04,187.84650
2015-05-15,188.32180
2015-05-24,188.71600
2015-05-29,188.93100
2015-06-07,189.31920
2015-06-19,189.82830
2015-06-28,190.20460
2015-07-03,190.43000
2015-07-12,190.80470
2015-07-24,191.30650
2015-08-02,191.68650
2015-08-07,191.89370
2015-08-16,192.26490
2015-08-28,192.75210
2015-09-06,193.11390
2015-09-11,193.31100
2015-09-24,193.82640
2015-10-04,194.25790
2015-10-09,194.46580
2015-10-18,194.83390
2015-10-23,195.03660
2015-11-06,195.60320
2015-11-15,195.96530
2015-11-20,196.16800
2015-11-29,196.52860
2015-12-11,196.99720
2015-12-22,197.44530
2015-12-27,197.65040
2016-01-04,198.00230
2016-01-15,198.44660
2016-01-24,198.80830
2016-01-29,199.00890
2016-02-12,199.59190
2016-02-21,199.96720
2016-02-26,200.16710
2016-03-07,200.60790
2016-03-18,201.10140
2016-03-30,201.64960
2016-04-04,202.08390
2016-04-17,202.72510
2016-04-29,203.25380
2016-05-08,203.65950
2016-05-13,203.88320
2016-05-22,204.27910
2016-06-03,204.80590
2016-06-12,205.19470
2016-06-17,205.40390
2016-06-30,205.95150
2016-07-03,206.11160
2016-07-15,206.61100
2016-07-24,206.98230
2016-07-28,207.14720
2016-08-11,207.72740
2016-08-15,207.88890
2016-08-26,208.33360
2016-09-05,208.72410
2016-09-09,208.88320
2016-09-23,209.42770
2016-10-02,209.81250
2016-10-07,210.01920
2016-10-16,210.36800
2016-10-28,210.82250
2016-11-02,211.03360
2016-11-11,211.39130
2016-11-21,211.80380
2016-12-07,212.38740
2016-12-12,212.57450
2016-12-23,212.99560
2016-12-30,213.25210
2017-01-08,213.62620
2017-01-13,213.81060
2017-01-22,214.15590
2017-02-03,214.62600
2017-02-12,214.97030
2017-02-17,215.16520
2017-02-26,215.51100
2017-03-10,215.97950
2017-03-19,216.33910
2017-03-30,216.76790
2017-04-02,216.95860
2017-04-13,217.38630
2017-04-23,217.78670
2017-04-28,217.98180
2017-05-08,218.37870
2017-05-21,218.89700
2017-05-26,219.09310
2017-06-04,219.44790
2017-06-16,219.92070
2017-06-23,220.20010
2017-07-02,220.58270
2017-07-14,221.08420
2017-07-16,221.16390
2017-07-28,221.64430
2017-08-06,222.00390
2017-08-18,222.48320
2017-08-27,222.83350
2017-09-01,223.02890
2017-09-10,223.38020
2017-09-22,223.85150
2017-10-02,224.30150
2017-10-06,224.45500
2017-10-18,224.93290
2017-10-23,225.13120
2017-11-03,225.56740
2017-11-12,225.92450
2017-11-17,226.12320
2017-12-03,226.75830
2017-12-08,226.95320
2017-12-21,227.46210
2017-12-25,227.62740
2018-01-01,227.94650
2018-01-12,228.39160
2018-01-25,228.92360
2018-01-28,229.05000
2018-02-09,229.54600
2018-02-16,229.83810
2018-03-04,230.51370
2018-03-09,230.73590
2018-03-21,231.31130
2018-04-02,232.10000
2018-04-08,232.37650
2018-04-13,232.59060
2018-04-27,233.19620
2018-05-02,233.41600
2018-05-13,233.88060
2018-05-18,234.08050
2018-06-01,234.71070
2018-06-08,235.13260
2018-06-18,235.70990
2018-06-29,236.24030
2018-07-09,236.87770
2018-07-20,237.40670
2018-07-27,237.70720
2018-08-10,238.43040
2018-08-20,238.94420
2018-09-03,239.63000
2018-09-12,240.01620
2018-09-26,240.51640
2018-10-08,241.42530
2018-10-22,242.12000
2018-11-02,242.68200
2018-11-12,243.22910
2018-11-20,243.73480
2018-12-06,244.80040
2018-12-14,245.23400
2019-01-01,246.38130
2019-01-04,246.55940
2019-01-14,247.17620
2019-01-25,247.74280
2019-02-06,248.32290
2019-02-13,248.83910
2019-03-01,249.51890
2019-03-14,250.51190
2019-03-27,251.09250
2019-04-02,252.04380
2019-04-22,252.69910
2019-04-26,252.68570
2019-05-15,253.79110
2019-05-20,254.24890
2019-06-03,255.42040
2019-06-14,255.78810
2019-06-26,256.27120
2019-07-02,256.63950
2019-07-16,258.03680
2019-07-26,258.48220
2019-08-01,259.09350
2019-08-08,259.72370
2019-08-23,260.37120
2019-09-03,261.04360
2019-09-16,261.71590
2019-09-25,261.83170
2019-10-07,262.67620
2019-10-25,263.55670
2019-11-04,264.07740
2019-11-08,264.15660
2019-11-25,264.99920
2019-12-05,265.34500
2019-12-16,265.83550
2019-12-20,265.98640
2020-01-06,266.74140
2020-01-17,267.20300
2020-01-30,267.79380
2020-02-05,268.06760
2020-02-11,268.60800
2020-03-04,269.80300
2020-03-16,269.68820
2020-03-24,266.31380
2020-03-30,270.84430
2020-04-23,273.13300
2020-04-29,272.45580
2020-05-14,273.95640
2020-05-26,275.89620
2020-06-05,276.11030
2020-06-18,277.23340
2020-06-29,277.63440
2020-07-08,278.46950
2020-07-13,278.79930
2020-07-24,279.06840
2020-08-07,279.45470
2020-08-14,279.67120
2020-08-20,280.06920
2020-09-07,280.60530
2020-09-11,280.69290
2020-09-25,281.12640
2020-10-01,281.35500
2020-10-12,281.89320
2020-11-02,282.67520
2020-11-06,282.81750
2020-11-23,283.43190
2020-12-03,283.64740
2020-12-07,283.79120
2020-12-24,284.19130
2021-01-05,284.67430
2021-01-14,284.68390
2021-01-22,284.82900
2021-02-05,285.17460
2021-02-12,285.42200
2021-02-22,285.78590
2021-03-05,286.10170
2021-03-18,286.48240
2021-04-06,287.40020
2021-04-09,287.43650
2021-04-26,288.06390
2021-05-03,288.33510
2021-05-12,288.54330
2021-05-31,289.12110
2021-06-14,289.56720
2021-06-18,289.62800
2021-07-02,290.10340
2021-07-12,290.46420
2021-07-26,290.95220
2021-07-30,291.07600
2021-08-12,291.47280
2021-08-23,291.89320
2021-09-06,292.37650
2021-09-20,292.74850
2021-09-24,292.80970
2021-10-07,293.10820
2021-10-18,293.46220
2021-10-29,293.59630
2021-11-09,294.03410
2021-11-22,294.45340
2021-12-06,294.91150
2021-12-13,295.14430
2021-12-23,295.34470
2022-01-03,295.82570
2022-01-17,296.34640
2022-01-19,296.35470
2022-02-04,296.67790
2022-02-14,297.18260
2022-03-02,297.74600
2022-03-10,297.90380
2022-03-21,298.43030
2022-04-04,299.08500
2022-04-13,299.15100
2022-04-28,299.79090
2022-05-05,299.14550
2022-05-13,299.12820
2022-05-24,299.60860
2022-06-07,300.01670
2022-06-14,300.44800
2022-06-29,301.09920
2022-07-06,301.73120
2022-07-22,302.26840
2022-07-27,302.37120
2022-08-17,303.54310
2022-08-26,303.93360
2022-09-05,304.44200
2022-09-19,304.94160
2022-09-27,304.86490
2022-10-06,305.65240
2022-10-14,305.74820
2022-10-21,306.08250
2022-11-14,307.56790
2022-11-21,308.01330
2022-11-25,308.23260
2022-12-06,308.90650
2022-12-16,309.45360
2023-01-02,310.57150
2023-01-06,310.79040
2023-01-20,311.54400
2023-02-06,312.55530
2023-02-09,312.66900
2023-02-20,313.28420
2023-03-03,313.79620
2023-03-13,314.64790
2023-03-28,315.55470
2023-04-10,317.08120
2023-04-18,317.66960
2023-04-28,318.25430
2023-05-12,319.08080
2023-05-22,320.03530
2023-05-31,320.44440
2023-06-19,321.68660
2023-06-28,322.17570
2023-07-04,322.65120
2023-07-17,323.50870
2023-07-21,323.76490
2023-08-10,324.93870
2023-08-21,325.52880
2023-08-25,325.79370
2023-09-05,326.51780
2023-09-15,327.11910
2023-10-03,328.27930
2023-10-13,328.89520
2023-10-25,329.62440
2023-11-03,330.19970
