# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:21.396117+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-10,-0.012386,
2013-01-17,0.000000,
2013-01-24,-0.021329,
2013-02-05,-0.035218,
2013-02-18,-0.029762,
2013-02-26,0.000000,
2013-03-07,0.000000,
2013-03-13,-0.024496,
2013-04-01,-0.022574,
2013-04-02,-0.019212,
2013-04-12,-0.120077,
2013-04-26,-0.136888,
2013-05-07,-0.087416,
2013-05-14,-0.099424,
2013-05-24,-0.107109,
2013-06-03,-0.085495,
2013-06-13,-0.107109,
2013-06-25,-0.110951,
2013-07-08,-0.068684,
2013-07-12,0.000000,
2013-07-25,0.000000,
2013-08-05,0.000000,
2013-08-14,0.000000,
2013-08-21,-0.057081,
2013-08-29,0.000000,
2013-09-16,-0.036256,
2013-09-19,-0.015599,
2013-09-30,-0.018550,
2013-10-08,0.000000,
2013-10-24,-0.028361,
2013-10-31,-0.006605,
2013-11-18,0.000000,
2013-11-27,-0.037351,
2013-12-02,-0.014247,
2013-12-10,0.000000,
2013-12-23,-0.008471,
2014-01-03,0.000000,
2014-01-07,-0.010530,
2014-01-22,-0.001753,
2014-01-28,-0.030494,
2014-02-10,-0.046267,
2014-02-19,-0.016123,
2014-02-28,0.000000,
2014-03-06,-0.003125,
2014-03-19,-0.085417,
2014-04-02,-0.052431,
2014-04-10,-0.078125,
2014-04-17,-0.058681,
2014-05-07,-0.103472,
2014-05-13,-0.064583,
2014-05-20,-0.097569,
2014-06-04,-0.085417,
2014-06-11,-0.031250,
2014-06-20,-0.006250,
2014-06-30,0.000000,
2014-07-14,-0.035318,
2014-07-22,0.000000,
2014-08-01,-0.017915,
2014-08-06,0.000000,
2014-08-14,-0.005829,
2014-09-03,0.000000,
2014-09-15,-0.018154,
2014-09-19,0.000000,
2014-10-01,0.000000,
2014-10-08,-0.036708,
2014-10-28,-0.060983,
2014-11-07,-0.000888,
2014-11-18,-0.004700,
2014-12-01,0.000000,
2014-12-09,-0.051450,
2014-12-15,-0.084423,
2014-12-22,-0.053439,
2015-01-07,-0.067652,
2015-01-12,-0.019613,
2015-01-21,0.000000,
2015-01-30,-0.005624,
2015-02-18,0.000000,
2015-02-26,-0.017324,
2015-03-03,0.000000,
2015-03-17,-0.025984,
2015-03-26,-0.075591,
2015-04-10,-0.034646,
2015-04-16,-0.046457,
2015-04-27,-0.128084,
2015-05-06,-0.142520,
2015-05-22,-0.076115,
2015-05-27,-0.099738,
2015-06-09,-0.121260,
2015-06-12,-0.124409,
2015-06-22,-0.088189,
2015-07-08,-0.128346,
2015-07-10,-0.137533,
2015-07-21,-0.056955,
2015-07-30,-0.073491,
2015-08-12,-0.030184,
2015-08-19,-0.009711,
2015-08-26,-0.098950,
2015-09-07,-0.091601,
2015-09-24,-0.038845,
2015-10-05,-0.034121,
2015-10-14,-0.062205,
2015-10-20,-0.036483,
2015-11-03,-0.020997,
2015-11-18,-0.068241,
2015-11-20,-0.039108,
2015-12-01,-0.019685,
2015-12-09,-0.058268,
2015-12-21,-0.022572,
2016-01-01,-0.019423,
2016-01-07,-0.055118,
2016-01-20,-0.080315,
2016-02-01,-0.038583,
2016-02-11,-0.139108,
