# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:25.061794+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.171961,
2016-01-08,0.161716,
2016-01-15,0.141948,
2016-01-22,0.137457,
2016-01-29,0.148473,
2016-02-05,0.148225,
2016-02-12,0.126957,
2016-02-19,0.134650,
2016-02-26,0.134241,
2016-03-04,0.156742,
2016-03-18,0.181767,
2016-03-23,0.191412,
2016-04-01,0.189438,
2016-04-08,0.196265,
2016-04-13,0.197656,
2016-04-22,0.189885,
2016-04-29,0.182596,
2016-05-06,0.175001,
2016-05-20,0.179741,
2016-05-27,0.195266,
2016-06-03,0.211152,
2016-06-10,0.235428,
2016-06-17,0.230766,
2016-06-24,0.247912,
2016-07-01,0.257609,
2016-07-15,0.263605,
2016-07-22,0.279479,
2016-07-29,0.309449,
2016-08-05,0.327083,
2016-08-12,0.302013,
2016-08-19,0.339680,
2016-08-26,0.344113,
2016-09-02,0.341277,
2016-09-09,0.307361,
2016-09-23,0.309777,
2016-09-30,0.302772,
2016-10-07,0.302945,
2016-10-14,0.291995,
2016-10-21,0.279645,
2016-10-28,0.273145,
2016-11-04,0.250091,
2016-11-11,0.258568,
2016-11-18,0.223852,
2016-12-02,0.211498,
2016-12-09,0.211381,
2016-12-16,0.210911,
2016-12-23,0.191294,
2016-12-30,0.196689,
2017-01-06,0.218519,
2017-01-13,0.231354,
2017-01-20,0.234236,
2017-02-03,0.279827,
2017-02-10,0.278117,
2017-02-17,0.274075,
2017-02-23,0.272530,
2017-03-03,0.257038,
2017-03-10,0.232323,
2017-03-17,0.239408,
2017-03-24,0.237363,
2017-04-07,0.228517,
2017-04-13,0.240953,
2017-04-21,0.231130,
2017-04-28,0.248267,
2017-05-05,0.242335,
2017-05-12,0.216511,
2017-05-19,0.176779,
2017-05-26,0.166613,
2017-06-02,0.151482,
2017-06-16,0.147832,
2017-06-23,0.139528,
2017-06-30,0.126990,
2017-07-07,0.152778,
2017-07-14,0.155082,
2017-07-21,0.153002,
2017-07-28,0.166211,
2017-08-04,0.171444,
2017-08-18,0.163449,
2017-08-24,0.163497,
2017-09-01,0.162383,
2017-09-08,0.165319,
2017-09-15,0.174225,
2017-09-22,0.170355,
2017-09-29,0.175025,
2017-10-13,0.194338,
2017-10-18,0.179390,
2017-10-27,0.181448,
2017-11-03,0.173471,
2017-11-10,0.155903,
2017-11-17,0.146347,
2017-11-24,0.153352,
2017-12-01,0.136061,
2017-12-08,0.146996,
2017-12-15,0.164812,
2017-12-29,0.160644,
2018-01-05,0.170977,
2018-01-12,0.163549,
2018-01-19,0.138000,
2018-01-25,0.128934,
2018-02-02,0.114494,
2018-02-09,0.125478,
2018-02-23,0.120513,
2018-03-01,0.107500,
2018-03-09,0.103817,
2018-03-16,0.104174,
2018-03-23,0.103764,
2018-03-28,0.102382,
2018-04-06,0.112890,
2018-04-13,0.107741,
2018-04-20,0.122544,
2018-05-04,0.128250,
2018-05-11,0.124401,
2018-05-18,0.105194,
2018-05-25,0.101641,
2018-06-01,0.107133,
2018-06-08,0.108966,
2018-06-15,0.102653,
2018-06-22,0.085168,
2018-06-29,0.070458,
2018-07-13,0.065241,
2018-07-20,0.057586,
