# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:31.436065+00:00
date,nav
2013-01-07,13.41710
2013-01-11,13.19960
2013-01-24,12.87660
2013-01-31,12.97420
2013-02-08,12.56700
2013-02-20,12.60910
2013-03-04,11.88050
2013-03-11,12.27870
2013-03-22,11.64440
2013-04-02,12.01940
2013-04-09,11.65260
2013-04-16,11.69980
2013-05-02,12.22370
2013-05-15,12.59580
2013-05-23,12.27090
2013-05-30,12.56300
2013-06-06,12.61620
2013-06-24,11.80740
2013-07-01,12.20180
2013-07-03,12.02860
2013-07-15,12.46110
2013-07-23,12.21160
2013-08-06,11.01390
2013-08-14,11.46570
2013-08-28,10.66390
2013-09-11,11.37870
2013-09-19,11.62130
2013-09-26,11.51250
2013-10-04,11.96970
2013-10-14,12.37420
2013-10-28,12.51750
2013-11-05,13.08110
2013-11-13,12.68400
2013-11-22,12.68510
2013-12-03,13.19130
2013-12-17,13.04570
2013-12-23,13.67500
2014-01-01,13.97150
2014-01-17,13.56530
2014-01-22,13.75330
2014-01-30,13.22090
2014-02-12,13.53350
2014-02-18,13.42850
2014-03-06,14.10870
2014-03-14,14.13980
2014-03-26,14.45600
2014-04-02,15.12950
2014-04-16,15.15330
2014-04-23,15.69630
2014-05-07,15.65610
2014-05-22,17.83720
2014-05-30,17.68870
2014-06-09,19.00490
2014-06-13,18.59570
2014-06-30,19.78730
2014-07-07,20.32450
2014-07-11,18.87890
2014-07-21,19.81730
2014-08-01,19.03560
2014-08-13,18.71530
2014-08-28,19.50480
2014-09-09,20.88620
2014-09-15,21.37830
2014-09-25,20.15110
2014-10-01,20.93140
2014-10-16,20.32270
2014-10-29,20.98080
2014-11-12,22.10470
2014-11-25,22.10720
2014-12-04,23.29270
2014-12-09,22.74360
2014-12-17,22.06790
2015-01-02,23.68650
2015-01-06,23.07470
2015-01-15,24.15180
2015-01-28,24.71610
2015-02-09,23.64470
2015-02-18,24.87260
2015-02-26,24.21840
2015-03-05,25.06650
2015-03-25,23.86480
2015-03-27,23.69860
2015-04-10,25.50330
2015-04-27,23.42580
2015-05-05,24.41150
2015-05-12,23.66060
2015-05-18,24.34130
2015-06-01,24.64490
2015-06-11,23.15180
2015-06-23,24.31900
2015-06-29,24.04650
2015-07-07,25.19030
2015-07-17,25.81210
2015-07-28,25.31550
2015-08-05,26.43710
2015-08-19,26.41820
2015-08-24,23.86360
2015-08-31,25.07960
2015-09-10,24.35380
2015-09-29,24.73940
2015-10-06,25.36930
2015-10-20,25.90000
2015-10-28,25.65970
2015-11-06,24.83550
2015-11-18,24.91630
2015-11-30,26.07630
2015-12-09,25.00090
2015-12-17,25.92130
2015-12-31,26.72020
2016-01-06,26.80200
2016-01-18,23.64490
2016-02-01,24.75610
2016-02-03,23.91510
2016-02-11,22.48120
2016-02-26,21.94470
2016-03-04,23.68460
2016-03-16,23.63940
2016-03-21,24.36670
2016-04-07,24.94010
2016-04-18,25.88130
2016-05-04,25.69360
2016-05-10,26.49020
2016-05-23,26.27280
2016-05-30,27.18480
2016-06-08,27.98210
2016-06-13,27.63090
2016-06-24,27.69550
2016-07-04,29.29120
2016-07-18,29.00460
2016-07-25,30.00160
2016-08-08,30.82010
2016-08-11,30.27750
2016-08-19,31.09760
2016-09-08,32.18630
2016-09-12,31.20170
2016-09-22,32.37370
2016-09-29,31.34400
2016-10-10,32.71580
2016-10-25,33.69510
2016-11-08,32.41730
2016-11-21,29.01180
2016-11-30,30.65760
2016-12-02,29.98000
2016-12-12,30.09310
2016-12-26,28.31710
2017-01-03,30.08300
2017-01-11,30.94870
2017-01-20,31.09750
2017-02-06,33.32580
2017-02-15,32.66420
2017-02-21,33.63580
2017-03-02,33.25610
2017-03-10,33.47290
2017-03-27,34.96420
2017-04-05,36.81820
2017-04-18,37.23150
2017-04-24,38.43050
2017-05-05,38.53320
2017-05-16,39.48600
2017-05-24,37.03600
2017-06-05,38.56650
2017-06-09,38.90500
2017-06-27,37.70170
2017-07-06,38.94200
2017-07-13,39.77860
2017-07-18,39.23550
2017-08-01,39.74100
2017-08-10,37.31660
2017-08-16,38.43600
2017-08-29,38.59260
2017-09-07,40.18020
2017-09-19,41.39600
2017-09-27,39.16940
2017-10-10,42.03060
2017-10-25,42.70540
2017-10-31,44.06650
2017-11-13,43.13030
2017-11-15,42.63930
2017-11-27,44.98380
2017-12-06,43.98080
2017-12-14,44.36440
2017-12-26,46.76970
2018-01-08,47.72090
2018-01-15,48.01920
2018-01-23,47.04640
2018-02-06,42.72590
2018-02-14,44.91770
2018-02-22,43.29600
2018-03-05,43.55890
2018-03-20,41.86270
2018-03-23,41.20460
2018-04-05,43.56060
2018-04-23,44.42280
2018-04-25,44.00470
2018-05-09,44.68920
2018-05-21,42.22440
2018-05-28,43.39380
2018-06-05,40.88230
2018-06-14,42.80200
2018-06-28,39.54160
2018-07-10,40.95770
2018-07-16,38.80510
2018-07-20,38.55470
2018-07-30,40.60140
2018-08-09,41.16730
2018-08-20,40.69850
2018-08-31,41.55790
2018-09-17,40.23130
