# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:23.830988+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.097805,
2016-01-08,0.094919,
2016-01-15,0.090347,
2016-01-22,0.091280,
2016-01-29,0.089276,
2016-02-05,0.087935,
2016-02-12,0.086414,
2016-02-18,0.083416,
2016-02-26,0.081079,
2016-03-04,0.088599,
2016-03-18,0.096186,
2016-03-23,0.099365,
2016-03-31,0.100236,
2016-04-07,0.101353,
2016-04-13,0.098680,
2016-04-22,0.096681,
2016-04-29,0.095146,
2016-05-06,0.093712,
2016-05-20,0.082984,
2016-05-27,0.082782,
2016-06-03,0.083117,
2016-06-10,0.085161,
2016-06-17,0.084404,
2016-06-24,0.092592,
2016-07-01,0.093582,
2016-07-08,0.094014,
2016-07-22,0.117961,
2016-07-29,0.123020,
2016-08-05,0.124065,
2016-08-12,0.137468,
2016-08-19,0.132652,
2016-08-26,0.142694,
2016-09-02,0.134434,
2016-09-09,0.137145,
2016-09-23,0.145791,
2016-09-30,0.141363,
2016-10-07,0.136171,
2016-10-14,0.138792,
2016-10-21,0.138627,
2016-10-28,0.136640,
2016-11-04,0.138519,
2016-11-11,0.144131,
2016-11-25,0.159987,
2016-12-02,0.159882,
2016-12-09,0.153872,
2016-12-16,0.149323,
2016-12-23,0.146454,
2016-12-30,0.146371,
2017-01-06,0.151230,
2017-01-13,0.144362,
2017-01-20,0.141341,
2017-02-03,0.146871,
2017-02-10,0.136997,
2017-02-17,0.136680,
2017-02-23,0.137340,
2017-03-03,0.137357,
2017-03-10,0.131497,
2017-03-17,0.134339,
2017-03-24,0.136672,
2017-03-31,0.142450,
2017-04-13,0.142383,
2017-04-21,0.138339,
2017-04-28,0.137682,
2017-05-05,0.136403,
2017-05-12,0.136954,
2017-05-19,0.138020,
2017-05-26,0.136123,
2017-06-02,0.133827,
2017-06-16,0.139632,
2017-06-23,0.140362,
2017-06-30,0.137705,
2017-07-07,0.137964,
2017-07-14,0.137831,
2017-07-21,0.136669,
2017-07-28,0.138417,
2017-08-04,0.143034,
2017-08-18,0.136476,
2017-08-24,0.137143,
2017-09-01,0.137735,
2017-09-08,0.137095,
2017-09-15,0.134175,
2017-09-22,0.132272,
2017-09-29,0.132083,
2017-10-06,0.127303,
2017-10-18,0.126791,
2017-10-27,0.124379,
2017-11-03,0.118403,
2017-11-10,0.116103,
2017-11-17,0.114448,
2017-11-24,0.114247,
2017-11-30,0.107047,
2017-12-08,0.103516,
2017-12-15,0.100504,
2017-12-29,0.093777,
2018-01-05,0.095510,
2018-01-12,0.090548,
2018-01-19,0.086344,
2018-01-25,0.085572,
2018-02-02,0.080806,
2018-02-09,0.082606,
2018-02-23,0.079243,
2018-03-01,0.077869,
2018-03-09,0.081706,
2018-03-16,0.084551,
2018-03-23,0.084760,
2018-03-28,0.085850,
2018-04-06,0.091848,
2018-04-13,0.086960,
2018-04-20,0.080606,
2018-05-04,0.083660,
2018-05-11,0.086595,
2018-05-18,0.083798,
2018-05-25,0.085703,
2018-06-01,0.087511,
2018-06-08,0.088742,
2018-06-15,0.090371,
2018-06-22,0.090195,
2018-07-06,0.087590,
2018-07-13,0.091145,
2018-07-20,0.091388,
2018-07-27,0.089483,
2018-08-03,0.090646,
2018-08-10,0.090003,
2018-08-16,0.086356,
2018-08-24,0.087502,
2018-08-31,0.085426,
2018-09-14,0.082933,
2018-09-21,0.082134,
2018-09-28,0.076588,
