# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:32.183956+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-07,10013.05,
2013-01-11,10022.83,
2013-01-28,10064.20,
2013-02-01,10071.48,
2013-02-15,10100.75,
2013-02-25,10124.54,
2013-03-01,10133.60,
2013-03-18,10179.91,
2013-03-26,10194.08,
2013-04-03,10235.87,
2013-04-17,10270.00,
2013-05-02,10311.30,
2013-05-15,10348.40,
2013-05-20,10362.02,
2013-05-31,10385.97,
2013-06-10,10410.60,
2013-06-14,10416.07,
2013-07-02,10461.30,
2013-07-11,10480.61,
2013-07-16,10428.17,
2013-07-24,10427.72,
2013-08-05,10476.18,
2013-08-20,10502.37,
2013-08-29,10529.94,
2013-09-05,10581.84,
2013-09-13,10604.46,
2013-09-23,10655.95,
2013-10-08,10722.96,
2013-10-11,10729.17,
2013-10-22,10759.00,
2013-11-05,10797.80,
2013-11-14,10814.67,
2013-11-25,10847.75,
2013-12-03,10879.09,
2013-12-13,10906.71,
2013-12-18,10922.21,
2014-01-06,10975.18,
2014-01-09,10981.08,
2014-01-21,11014.71,
2014-01-31,11036.65,
2014-02-10,11064.05,
2014-02-14,11073.09,
2014-03-04,11116.78,
2014-03-14,11158.99,
2014-03-24,11199.16,
2014-03-31,11229.09,
2014-04-11,11259.38,
2014-04-22,11290.83,
2014-05-09,11344.71,
2014-05-19,11378.78,
2014-05-30,11415.71,
2014-06-09,11450.74,
2014-06-19,11472.19,
2014-06-27,11492.40,
2014-07-07,11525.45,
2014-07-11,11527.51,
2014-07-21,11557.41,
2014-08-08,11604.81,
2014-08-19,11636.10,
2014-09-01,11674.55,
2014-09-05,11685.81,
2014-09-12,11703.77,
2014-09-26,11744.00,
2014-10-07,11779.01,
2014-10-22,11827.02,
2014-10-27,11842.96,
2014-11-10,11893.55,
2014-11-21,11926.35,
2014-12-02,11968.34,
2014-12-08,11987.05,
2014-12-19,12009.61,
2014-12-24,12020.40,
2015-01-09,12067.23,
2015-01-19,12103.84,
2015-02-02,12144.96,
2015-02-06,12149.90,
2015-02-13,12164.77,
2015-02-24,12199.86,
2015-03-10,12247.71,
2015-03-20,12274.43,
2015-04-06,12344.13,
2015-04-09,12351.79,
2015-04-21,12387.96,
2015-05-08,12424.86,
2015-05-11,12434.62,
2015-05-22,12474.07,
2015-06-01,12512.52,
2015-06-12,12543.04,
2015-06-22,12573.62,
2015-06-26,12581.81,
2015-07-06,12615.67,
2015-07-17,12654.34,
2015-07-24,12676.17,
2015-08-03,12712.50,
2015-08-14,12741.27,
2015-08-31,12788.27,
2015-09-04,12796.15,
2015-09-16,12820.59,
2015-09-24,12845.65,
2015-10-05,12903.22,
2015-10-16,12937.28,
2015-10-26,12963.93,
2015-11-06,12993.48,
2015-11-16,13021.40,
2015-11-30,13058.08,
2015-12-07,13075.92,
2015-12-11,13078.48,
2015-12-23,13106.41,
2016-01-04,13143.66,
2016-01-20,13175.19,
2016-01-27,13194.59,
2016-02-04,13211.83,
2016-02-15,13249.73,
2016-02-26,13263.70,
2016-03-01,13291.04,
2016-03-11,13326.20,
2016-03-30,13401.08,
2016-04-05,13464.89,
2016-04-20,13518.07,
2016-04-29,13533.10,
2016-05-06,13553.20,
2016-05-23,13609.06,
2016-05-27,13621.25,
2016-06-13,13674.53,
2016-06-17,13685.27,
2016-06-30,13726.91,
2016-07-12,13786.72,
2016-07-18,13814.06,
2016-07-22,13832.05,
2016-08-05,13883.27,
2016-08-16,13930.85,
2016-08-26,13959.53,
2016-09-06,13995.98,
2016-09-16,14027.54,
2016-09-29,14070.71,
2016-10-06,14120.85,
2016-10-13,14138.49,
2016-10-28,14157.99,
2016-11-08,14182.98,
2016-11-16,14266.97,
2016-11-25,14316.70,
2016-12-08,14298.57,
2016-12-14,14322.38,
2016-12-28,14338.46,
2017-01-04,14386.60,
2017-01-16,14432.59,
2017-01-25,14454.41,
2017-02-07,14502.92,
2017-02-09,14462.63,
2017-02-27,14538.19,
2017-03-09,14552.10,
2017-03-10,14549.41,
2017-03-24,14599.95,
2017-04-03,14645.21,
2017-04-17,14683.42,
2017-04-28,14707.65,
2017-05-03,14721.38,
2017-05-19,14766.91,
2017-05-31,14811.19,
2017-06-08,14856.55,
2017-06-12,14870.80,
2017-06-29,14913.78,
2017-07-03,14917.95,
2017-07-11,14965.62,
2017-07-24,15022.74,
2017-07-28,15034.13,
2017-08-11,15077.98,
2017-08-21,15107.24,
2017-09-04,15151.63,
2017-09-11,15167.01,
2017-09-22,15173.64,
2017-10-03,15208.15,
2017-10-06,15212.65,
2017-10-23,15266.54,
2017-11-06,15305.83,
2017-11-13,15324.56,
2017-11-16,15322.32,
2017-12-04,15372.05,
2017-12-11,15385.88,
2017-12-22,15386.34,
2018-01-02,15420.60,
2018-01-04,15418.75,
2018-01-15,15445.64,
2018-02-01,15475.27,
2018-02-12,15519.89,
2018-02-22,15539.26,
2018-03-01,15559.93,
2018-03-12,15617.06,
2018-03-23,15658.97,
2018-04-03,15725.81,
2018-04-09,15754.38,
2018-04-24,15751.86,
2018-05-07,15790.22,
2018-05-17,15780.84,
2018-05-24,15798.06,
2018-05-30,15834.79,
2018-06-08,15856.16,
2018-06-18,15902.23,
2018-06-29,15947.43,
2018-07-09,15990.39,
2018-07-18,16031.00,
2018-07-27,16058.35,
2018-08-02,16083.30,
2018-08-14,16118.49,
2018-08-27,16162.54,
2018-09-03,16183.03,
2018-09-12,16192.54,
2018-09-26,16205.51,
2018-10-08,16286.50,
2018-10-22,16332.31,
2018-11-01,16357.77,
2018-11-12,16405.19,
2018-11-16,16430.51,
2018-12-05,16526.96,
2018-12-14,16557.34,
2018-12-19,16588.59,
2018-12-31,16642.83,
2019-01-04,16663.99,
2019-01-15,16722.51,
2019-01-28,16768.50,
2019-02-06,16791.85,
2019-02-13,16841.95,
2019-02-28,16877.71,
2019-03-05,16900.20,
2019-03-22,16987.75,
2019-04-02,17079.65,
2019-04-05,17076.62,
2019-04-22,17108.96,
2019-04-26,17105.98,
2019-05-10,17156.39,
2019-05-22,17222.73,
2019-06-03,17313.69,
2019-06-12,17319.35,
2019-06-24,17361.91,
2019-06-28,17361.69,
2019-07-08,17432.20,
2019-07-16,17496.25,
2019-07-26,17517.82,
2019-08-02,17580.84,
2019-08-14,17621.87,
2019-08-27,17702.59,
2019-09-04,17740.24,
2019-09-16,17786.52,
2019-09-27,17791.30,
2019-10-03,17840.76,
2019-10-18,17921.63,
2019-10-31,17988.33,
2019-11-08,18005.10,
2019-11-18,18050.91,
2019-12-03,18106.75,
2019-12-06,18095.16,
2019-12-13,18106.38,
2019-12-31,18162.26,
2020-01-09,18210.94,
2020-01-17,18229.12,
2020-01-27,18273.15,
2020-02-05,18310.53,
2020-02-10,18368.31,
2020-02-28,18399.90,
2020-03-09,18436.78,
2020-03-19,18177.69,
2020-03-24,18124.53,
2020-04-03,18513.94,
2020-04-23,18638.32,
2020-04-28,18543.05,
2020-05-11,18630.44,
2020-05-26,18821.65,
2020-06-02,18824.85,
2020-06-10,18848.14,
2020-06-19,18981.03,
2020-07-02,19073.07,
2020-07-08,19138.71,
2020-07-20,19190.79,
2020-07-28,19186.49,
2020-08-04,19224.93,
2020-08-19,19280.46,
2020-08-27,19283.04,
2020-09-04,19340.97,
2020-09-11,19331.68,
2020-09-22,19371.92,
2020-09-29,19384.34,
2020-10-13,19480.77,
2020-10-20,19520.91,
2020-10-29,19542.80,
2020-11-12,19590.26,
2020-11-19,19627.43,
2020-12-01,19663.81,
2020-12-11,19678.00,
2020-12-22,19698.47,
2021-01-04,19741.60,
2021-01-08,19759.95,
2021-01-18,19722.69,
2021-01-29,19743.46,
2021-02-05,19728.39,
2021-02-16,19764.03,
2021-02-23,19767.81,
2021-03-15,19803.61,
2021-03-18,19811.80,
2021-04-06,19922.65,
2021-04-16,19932.87,
2021-04-26,19976.35,
2021-05-03,20002.88,
2021-05-14,20030.45,
2021-05-28,20076.05,
2021-06-02,20080.54,
2021-06-14,20132.19,
2021-06-17,20120.74,
2021-07-02,20151.03,
2021-07-14,20194.01,
2021-07-20,20220.73,
2021-07-28,20244.71,
2021-08-06,20260.12,
2021-08-23,20319.82,
2021-09-01,20353.48,
2021-09-13,20375.46,
2021-09-21,20389.50,
2021-09-24,20388.44,
2021-10-06,20401.18,
2021-10-18,20441.45,
2021-11-02,20450.47,
2021-11-09,20476.24,
2021-11-22,20506.42,
2021-12-01,20517.35,
2021-12-13,20548.94,
2021-12-22,20550.05,
2021-12-27,20568.48,
2022-01-06,20593.75,
2022-01-17,20633.86,
2022-01-31,20659.79,
2022-02-03,20648.06,
2022-02-14,20701.63,
2022-02-28,20725.49,
2022-03-09,20730.00,
2022-03-23,20778.82,
2022-03-28,20823.46,
2022-04-07,20858.42,
2022-04-13,20838.27,
2022-05-02,20900.69,
2022-05-06,20823.63,
2022-05-24,20874.11,
2022-05-31,20894.24,
2022-06-07,20881.68,
2022-06-14,20914.83,
2022-06-29,20954.16,
2022-07-06,21011.37,
2022-07-18,21052.20,
2022-07-27,21070.30,
2022-08-05,21103.59,
2022-08-17,21165.34,
2022-08-26,21196.99,
2022-09-06,21245.32,
2022-09-13,21269.11,
2022-09-27,21255.35,
2022-10-06,21315.25,
2022-10-14,21313.53,
2022-10-31,21385.62,
2022-11-04,21400.12,
2022-11-14,21453.04,
2022-11-25,21497.03,
2022-12-08,21544.55,
2022-12-14,21577.94,
2022-12-23,21606.60,
2023-01-02,21653.08,
2023-01-06,21666.37,
2023-01-20,21717.56,
2023-02-01,21768.93,
2023-02-13,21814.80,
2023-02-14,21812.97,
2023-03-02,21865.16,
2023-03-13,21923.41,
2023-03-17,21935.51,
2023-03-28,21985.33,
2023-04-10,22095.62,
2023-04-24,22171.31,
2023-05-04,22207.28,
2023-05-12,22242.65,
2023-05-22,22312.49,
2023-06-07,22386.54,
2023-06-09,22386.72,
2023-06-19,22430.98,
2023-06-27,22458.66,
2023-07-10,22523.64,
2023-07-18,22571.37,
2023-08-01,22630.47,
2023-08-11,22662.94,
2023-08-21,22702.37,
2023-09-04,22772.03,
2023-09-12,22797.18,
2023-09-14,22822.84,
2023-10-05,22902.96,
2023-10-06,22888.09,
2023-10-16,22935.28,
2023-11-01,22999.72,
2023-11-07,23036.32,
2023-11-20,23093.91,
2023-11-24,23101.29,
2023-12-13,23182.95,
2023-12-18,23216.60,
2024-01-01,23292.26,
2024-01-05,23308.16,
2024-01-15,23358.20,
2024-01-25,23395.04,
2024-02-05,23450.16,
2024-02-16,23496.68,
2024-02-26,23553.94,
2024-03-11,23633.23,
2024-03-22,23683.59,
2024-04-02,23765.78,
2024-04-15,23832.87,
2024-04-19,23842.42,
2024-05-06,23924.63,
2024-05-10,23938.40,
2024-05-27,24030.16,
2024-06-05,24056.93,
2024-06-18,24136.03,
2024-06-24,24170.71,
2024-06-28,24188.48,
2024-07-12,24265.85,
2024-07-22,24318.83,
2024-07-29,24360.24,
2024-08-09,24408.60,
2024-08-20,24462.85,
2024-08-30,24506.69,
2024-09-03,24527.62,
2024-09-12,24561.59,
2024-09-27,24653.24,
2024-10-03,24693.72,
2024-10-14,24769.64,
2024-10-24,24810.36,
2024-11-04,24864.56,
2024-11-14,24913.33,
2024-11-28,24971.98,
2024-12-04,25019.92,
2024-12-13,25055.61,
2024-12-24,25094.04,
2025-01-06,25166.75,
2025-01-14,25185.57,
2025-01-20,25227.79,
2025-02-06,25332.61,
2025-02-14,25359.60,
2025-02-24,25408.30,
2025-03-07,25441.58,
2025-03-13,25471.62,
2025-03-26,25582.39,
2025-04-03,25721.51,
2025-04-22,25852.62,
2025-04-24,25872.23,
2025-05-09,25906.33,
2025-05-19,26031.24,
2025-05-30,26097.69,
2025-06-09,26199.38,
2025-06-13,26157.29,
2025-06-27,26231.61,
2025-07-07,26318.62,
2025-07-10,26326.88,
2025-07-28,26415.17,
2025-08-05,26451.63,
2025-08-13,26448.74,
2025-08-18,26480.17,
2025-09-05,26537.48,
2025-09-09,26557.77,
2025-09-19,26597.88,
2025-10-06,26715.77,
2025-10-14,26751.71,
2025-10-17,26772.52,
2025-11-07,26877.16,
2025-11-11,26918.90,
2025-11-21,26959.51,
2025-12-05,27028.72,
2025-12-11,27018.70,
2025-12-23,27045.92,
2026-01-01,27113.18,
2026-01-12,27129.30,
2026-01-21,27100.82,
2026-02-04,27213.16,
2026-02-10,27224.99,
2026-02-16,27296.52,
2026-03-06,27358.07,
2026-03-13,27354.11,
2026-03-25,27355.88,
2026-04-07,27424.87,
