# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:19.973030+00:00
date,fund_below_high,benchmark_below_high
2015-04-22,0.000000,
2015-04-29,0.000000,
2015-05-08,-0.000747,
2015-05-12,0.000000,
2015-05-26,0.000000,
2015-06-01,0.000000,
2015-06-03,-0.002597,
2015-06-15,-0.000207,
2015-06-25,-0.000669,
2015-06-30,-0.000030,
2015-07-09,-0.000274,
2015-07-14,0.000000,
2015-07-27,0.000000,
2015-08-04,-0.000058,
2015-08-05,0.000000,
2015-08-20,0.000000,
2015-08-27,0.000000,
2015-09-04,-0.001254,
2015-09-09,-0.000231,
2015-09-16,-0.000405,
2015-09-23,0.000000,
2015-10-05,0.000000,
2015-10-12,0.000000,
2015-10-27,0.000000,
2015-10-29,-0.000104,
2015-11-06,0.000000,
2015-11-23,0.000000,
2015-12-01,0.000000,
2015-12-07,0.000000,
2015-12-11,-0.001251,
2015-12-18,0.000000,
2016-01-05,0.000000,
2016-01-11,0.000000,
2016-01-15,-0.000756,
2016-01-21,0.000000,
2016-02-03,-0.000539,
2016-02-08,0.000000,
2016-02-22,0.000000,
2016-02-25,-0.001679,
2016-03-03,0.000000,
2016-03-11,0.000000,
2016-03-21,0.000000,
2016-03-30,0.000000,
2016-04-20,0.000000,
2016-04-21,-0.000181,
2016-04-29,0.000000,
2016-05-06,0.000000,
2016-05-16,0.000000,
2016-05-24,0.000000,
2016-05-31,0.000000,
2016-06-08,0.000000,
2016-06-15,0.000000,
2016-06-23,0.000000,
2016-06-30,0.000000,
2016-07-11,0.000000,
2016-07-18,0.000000,
2016-08-02,0.000000,
2016-08-03,-0.000079,
2016-08-18,-0.000236,
2016-08-22,0.000000,
2016-09-06,0.000000,
2016-09-14,-0.000095,
2016-09-21,-0.000390,
2016-09-23,0.000000,
2016-10-06,0.000000,
2016-10-14,-0.000513,
2016-10-20,0.000000,
2016-10-27,-0.000367,
2016-11-07,0.000000,
2016-11-22,0.000000,
2016-11-29,-0.003387,
2016-12-06,0.000000,
2016-12-08,-0.009164,
2016-12-16,-0.009632,
2016-12-28,-0.010744,
2017-01-04,-0.001095,
2017-01-10,0.000000,
2017-01-19,-0.000292,
2017-02-02,0.000000,
2017-02-09,-0.007865,
2017-02-13,-0.005293,
2017-02-28,-0.002522,
2017-03-08,-0.002622,
2017-03-16,0.000000,
2017-03-20,0.000000,
2017-04-05,0.000000,
2017-04-06,-0.002320,
2017-04-13,0.000000,
2017-04-26,-0.000644,
2017-05-02,0.000000,
2017-05-11,0.000000,
2017-05-18,0.000000,
2017-05-26,0.000000,
2017-06-09,0.000000,
2017-06-16,-0.000167,
2017-06-27,0.000000,
2017-07-03,-0.000938,
2017-07-06,0.000000,
2017-07-20,0.000000,
2017-07-26,-0.000370,
2017-07-28,0.000000,
2017-08-11,-0.000439,
2017-08-14,0.000000,
2017-09-01,0.000000,
2017-09-08,0.000000,
2017-09-18,-0.000117,
2017-09-22,-0.001239,
2017-09-28,0.000000,
2017-10-05,-0.000412,
2017-10-12,0.000000,
2017-10-30,0.000000,
2017-11-06,0.000000,
2017-11-14,-0.000934,
2017-11-20,0.000000,
2017-11-23,-0.001334,
2017-12-04,0.000000,
2017-12-15,-0.001193,
2017-12-19,-0.000316,
2017-12-28,-0.002156,
2018-01-04,-0.000031,
2018-01-16,-0.000974,
2018-01-19,0.000000,
2018-02-01,-0.001615,
2018-02-06,0.000000,
2018-02-22,-0.001282,
2018-02-26,-0.000168,
2018-03-06,0.000000,
2018-03-20,0.000000,
2018-03-21,-0.000038,
2018-04-09,0.000000,
2018-04-17,-0.000367,
2018-04-20,-0.003326,
2018-04-27,-0.004981,
2018-05-08,-0.001753,
2018-05-17,-0.005588,
2018-05-28,-0.001363,
2018-05-30,-0.000202,
2018-06-07,-0.001183,
2018-06-13,0.000000,
2018-06-28,-0.000454,
2018-06-29,0.000000,
2018-07-06,0.000000,
2018-07-16,0.000000,
2018-07-23,0.000000,
2018-07-31,0.000000,
2018-08-07,0.000000,
2018-08-24,0.000000,
2018-09-03,0.000000,
2018-09-10,-0.003187,
2018-09-17,-0.002836,
2018-09-24,-0.006455,
2018-10-01,-0.004459,
2018-10-09,-0.005783,
2018-10-23,-0.000234,
2018-10-30,-0.000416,
2018-11-02,0.000000,
2018-11-13,0.000000,
2018-11-30,0.000000,
2018-12-06,0.000000,
2018-12-10,-0.001022,
2018-12-18,0.000000,
2019-01-01,-0.000229,
2019-01-09,0.000000,
2019-01-16,-0.002314,
2019-01-24,-0.000249,
2019-02-01,-0.004106,
2019-02-11,-0.000306,
2019-02-12,-0.003715,
2019-02-27,-0.002633,
2019-03-06,0.000000,
2019-03-15,0.000000,
2019-03-19,-0.000248,
2019-04-03,0.000000,
2019-04-08,-0.001524,
2019-04-11,-0.000801,
2019-04-25,-0.002206,
2019-05-02,-0.000667,
2019-05-17,0.000000,
2019-05-23,-0.003803,
2019-05-28,-0.000203,
2019-06-11,-0.001911,
2019-06-14,-0.000091,
2019-06-26,-0.003940,
2019-06-27,-0.000801,
2019-07-05,0.000000,
2019-07-19,0.000000,
2019-07-25,-0.000840,
2019-07-30,0.000000,
2019-08-14,-0.001767,
2019-08-16,-0.000760,
2019-08-23,0.000000,
2019-09-09,0.000000,
2019-09-18,0.000000,
2019-09-20,-0.003961,
