# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:28.258553+00:00
date,fund_below_high,benchmark_below_high
2022-10-18,0.000000,
2022-10-19,-0.000620,
2022-10-21,-0.001459,
2022-10-25,0.000000,
2022-10-28,-0.000408,
2022-11-01,0.000000,
2022-11-03,-0.000188,
2022-11-09,0.000000,
2022-11-10,-0.004685,
2022-11-15,0.000000,
2022-11-16,-0.000412,
2022-11-21,-0.007307,
2022-11-23,-0.004665,
2022-11-24,-0.001149,
2022-11-28,0.000000,
2022-12-01,0.000000,
2022-12-05,0.000000,
2022-12-06,-0.001718,
2022-12-08,-0.001184,
2022-12-09,-0.004357,
2022-12-14,-0.000340,
2022-12-16,-0.011956,
2022-12-20,-0.007385,
2022-12-22,-0.014121,
2022-12-23,-0.026572,
2022-12-27,-0.014470,
2022-12-30,-0.014344,
2023-01-03,-0.010627,
2023-01-04,-0.015072,
2023-01-09,-0.012141,
2023-01-11,-0.017478,
2023-01-12,-0.017896,
2023-01-17,-0.012684,
2023-01-18,-0.011296,
2023-01-20,-0.013926,
2023-01-24,-0.011539,
2023-01-27,-0.029377,
2023-01-31,-0.025136,
2023-02-01,-0.027339,
2023-02-06,-0.025320,
2023-02-08,-0.019371,
2023-02-10,-0.022603,
2023-02-13,-0.025233,
2023-02-16,-0.019429,
2023-02-17,-0.022622,
2023-02-21,-0.023825,
2023-02-23,-0.031463,
2023-02-27,-0.036063,
2023-03-02,-0.031871,
2023-03-03,-0.025980,
2023-03-08,-0.021855,
2023-03-09,-0.026048,
2023-03-14,-0.035083,
2023-03-15,-0.035559,
2023-03-17,-0.031434,
2023-03-22,-0.030900,
2023-03-24,-0.035403,
2023-03-28,-0.038858,
2023-03-31,-0.025320,
2023-04-03,-0.024777,
2023-04-06,-0.015159,
2023-04-11,-0.014829,
2023-04-13,-0.009501,
2023-04-19,-0.012966,
2023-04-21,-0.012141,
2023-04-24,-0.008793,
2023-04-26,-0.005823,
2023-04-28,0.000000,
2023-05-03,0.000000,
2023-05-05,-0.003882,
2023-05-08,0.000000,
2023-05-11,0.000000,
2023-05-15,0.000000,
2023-05-16,-0.000419,
2023-05-19,-0.006473,
2023-05-22,0.000000,
2023-05-24,-0.000209,
2023-05-29,0.000000,
2023-05-30,-0.000755,
2023-06-01,-0.001234,
2023-06-06,0.000000,
2023-06-08,-0.004295,
2023-06-09,-0.004996,
2023-06-13,0.000000,
2023-06-15,-0.002071,
2023-06-16,0.000000,
2023-06-21,-0.000677,
2023-06-23,-0.009326,
2023-06-26,-0.007285,
2023-06-28,-0.000427,
2023-07-03,0.000000,
2023-07-06,0.000000,
2023-07-07,-0.006135,
2023-07-11,-0.003058,
2023-07-13,-0.004574,
2023-07-17,0.000000,
2023-07-20,0.000000,
2023-07-24,-0.002571,
2023-07-26,0.000000,
2023-07-27,-0.000605,
2023-07-31,0.000000,
2023-08-02,-0.007439,
2023-08-03,-0.010436,
2023-08-07,-0.005276,
2023-08-09,-0.002073,
2023-08-11,-0.006174,
2023-08-16,-0.009503,
2023-08-18,-0.011288,
2023-08-23,-0.000224,
2023-08-25,-0.003437,
2023-08-28,-0.000458,
2023-08-30,0.000000,
2023-09-01,0.000000,
2023-09-05,0.000000,
2023-09-08,0.000000,
2023-09-12,-0.018579,
2023-09-13,-0.016562,
2023-09-15,-0.008893,
2023-09-18,-0.009091,
2023-09-21,-0.020319,
2023-09-25,-0.018837,
2023-09-27,-0.014115,
2023-10-04,-0.020276,
2023-10-06,-0.015683,
2023-10-09,-0.021853,
2023-10-11,-0.011935,
2023-10-13,-0.010849,
2023-10-17,-0.005549,
2023-10-20,-0.012176,
2023-10-23,-0.025291,
2023-10-26,-0.031987,
2023-10-30,-0.022413,
2023-11-01,-0.023542,
2023-11-03,-0.013788,
2023-11-06,-0.008264,
2023-11-08,-0.003154,
2023-11-10,-0.000422,
2023-11-15,0.000000,
2023-11-20,0.000000,
2023-11-22,-0.001970,
2023-11-23,-0.000051,
2023-11-28,0.000000,
2023-11-30,0.000000,
2023-12-04,0.000000,
2023-12-07,0.000000,
2023-12-08,-0.002924,
2023-12-13,0.000000,
2023-12-15,0.000000,
2023-12-19,-0.000921,
2023-12-21,-0.010611,
2023-12-26,-0.000508,
2023-12-27,0.000000,
2024-01-01,0.000000,
2024-01-03,-0.001643,
2024-01-05,0.000000,
2024-01-08,-0.005191,
2024-01-11,-0.000613,
2024-01-15,0.000000,
2024-01-17,-0.014498,
2024-01-19,-0.007915,
2024-01-23,-0.025824,
2024-01-29,-0.000678,
2024-01-30,-0.002587,
2024-02-01,-0.000008,
2024-02-06,0.000000,
2024-02-08,-0.000030,
2024-02-12,-0.025382,
2024-02-13,-0.021624,
2024-02-15,-0.003474,
2024-02-20,0.000000,
2024-02-21,-0.007982,
2024-02-23,0.000000,
2024-02-28,-0.013661,
2024-03-01,-0.002601,
2024-03-04,0.000000,
2024-03-07,0.000000,
2024-03-12,-0.015490,
2024-03-13,-0.044357,
2024-03-18,-0.036445,
2024-03-20,-0.043425,
2024-03-21,-0.028866,
2024-03-27,-0.022019,
2024-03-31,-0.015394,
2024-04-01,-0.000821,
2024-04-02,0.000000,
2024-04-05,0.000000,
2024-04-09,-0.000566,
2024-04-12,-0.000686,
2024-04-15,-0.010183,
2024-04-19,-0.012256,
2024-04-22,-0.006384,
2024-04-24,-0.000563,
2024-04-26,0.000000,
2024-05-02,0.000000,
2024-05-03,-0.001740,
2024-05-07,-0.021054,
2024-05-09,-0.030339,
2024-05-13,-0.021379,
2024-05-16,0.000000,
2024-05-17,0.000000,
2024-05-22,0.000000,
2024-05-24,0.000000,
2024-05-27,0.000000,
2024-05-30,-0.016240,
2024-06-03,0.000000,
2024-06-04,-0.050097,
2024-06-07,-0.012198,
2024-06-10,-0.009730,
2024-06-12,0.000000,
2024-06-18,0.000000,
2024-06-19,-0.005218,
2024-06-24,-0.004483,
2024-06-26,-0.006060,
2024-06-28,-0.000962,
2024-07-02,-0.001497,
2024-07-03,0.000000,
2024-07-05,0.000000,
2024-07-09,0.000000,
2024-07-10,-0.001818,
2024-07-15,0.000000,
2024-07-18,-0.004989,
2024-07-19,-0.020436,
2024-07-23,-0.023538,
2024-07-25,-0.018503,
2024-07-29,-0.001369,
2024-08-01,-0.000800,
2024-08-05,-0.036493,
2024-08-06,-0.043228,
2024-08-09,-0.020733,
2024-08-13,-0.027933,
2024-08-14,-0.030197,
2024-08-19,-0.011289,
2024-08-22,-0.001135,
2024-08-23,-0.003006,
2024-08-26,0.000000,
2024-08-29,-0.001925,
2024-08-30,0.000000,
2024-09-03,-0.001528,
2024-09-05,-0.002986,
2024-09-09,-0.016287,
2024-09-11,-0.013128,
2024-09-13,0.000000,
2024-09-18,-0.007530,
2024-09-19,-0.010671,
2024-09-23,0.000000,
2024-09-26,0.000000,
2024-09-27,0.000000,
2024-10-01,-0.002827,
2024-10-07,-0.028340,
2024-10-09,-0.017682,
2024-10-10,-0.018919,
2024-10-14,-0.011075,
2024-10-16,-0.011712,
2024-10-18,-0.019518,
2024-10-22,-0.040387,
2024-10-23,-0.037131,
2024-10-25,-0.046842,
2024-10-30,-0.039964,
2024-11-04,-0.049947,
2024-11-06,-0.038626,
2024-11-07,-0.044558,
2024-11-11,-0.045284,
2024-11-13,-0.058807,
2024-11-18,-0.062303,
2024-11-21,-0.059021,
2024-11-25,-0.044507,
2024-11-27,-0.040784,
2024-11-28,-0.044678,
2024-12-03,-0.033212,
2024-12-05,-0.027621,
2024-12-09,-0.025728,
2024-12-11,-0.020566,
2024-12-13,-0.021014,
2024-12-16,-0.020957,
2024-12-18,-0.029015,
2024-12-20,-0.046085,
2024-12-26,-0.044634,
2024-12-30,-0.046565,
2025-01-01,-0.043782,
2025-01-03,-0.037339,
2025-01-06,-0.047852,
2025-01-08,-0.048010,
2025-01-13,-0.064139,
2025-01-14,-0.062013,
2025-01-16,-0.055835,
2025-01-20,-0.054194,
2025-01-21,-0.061060,
2025-01-23,-0.055519,
2025-01-28,-0.072816,
2025-01-29,-0.058491,
2025-02-03,-0.057027,
2025-02-05,-0.044627,
2025-02-07,-0.047126,
2025-02-11,-0.064120,
2025-02-13,-0.066834,
2025-02-14,-0.073264,
2025-02-18,-0.073434,
2025-02-20,-0.067888,
2025-02-24,-0.077776,
2025-02-27,-0.084591,
2025-02-28,-0.097818,
2025-03-04,-0.095085,
2025-03-06,-0.082061,
2025-03-10,-0.086869,
2025-03-13,-0.089551,
2025-03-17,-0.086270,
2025-03-19,-0.071743,
2025-03-24,-0.057002,
2025-03-26,-0.063066,
2025-03-27,-0.058340,
2025-04-01,-0.062890,
2025-04-03,-0.061306,
2025-04-07,-0.092429,
2025-04-09,-0.085531,
2025-04-15,-0.059520,
2025-04-17,-0.045599,
2025-04-21,-0.033224,
2025-04-22,-0.027627,
2025-04-25,-0.039106,
2025-04-29,-0.033250,
2025-05-02,-0.039415,
2025-05-05,-0.032650,
2025-05-08,-0.041756,
2025-05-09,-0.046085,
2025-05-13,-0.030189,
2025-05-16,-0.018856,
2025-05-20,-0.025374,
2025-05-21,-0.017909,
2025-05-26,-0.012936,
2025-05-27,-0.015189,
2025-05-30,-0.015845,
2025-06-03,-0.015341,
2025-06-05,-0.009724,
2025-06-06,-0.002789,
2025-06-10,0.000000,
2025-06-12,-0.008647,
