# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:33:31.245459+00:00
date,nav
2022-02-04,10.09640
2022-02-08,10.16100
2022-02-09,10.31250
2022-02-14,10.51450
2022-02-15,10.40420
2022-02-21,10.39500
2022-02-23,10.50620
2022-02-24,11.07440
2022-02-28,10.70450
2022-03-07,11.48620
2022-03-09,11.55320
2022-03-10,11.25250
2022-03-15,11.02400
2022-03-17,11.05650
2022-03-23,11.01360
2022-03-25,11.22070
2022-03-29,10.92300
2022-04-01,10.95630
2022-04-05,10.86080
2022-04-07,10.84030
2022-04-12,11.04800
2022-04-18,11.42530
2022-04-19,11.43170
2022-04-25,10.71300
2022-04-26,10.71450
2022-04-29,10.62110
2022-05-02,10.31990
2022-05-06,10.25610
2022-05-11,10.07690
2022-05-13,9.72170
2022-05-17,10.05520
2022-05-23,10.18410
2022-05-24,10.10130
2022-05-27,10.21250
2022-06-01,9.93810
2022-06-03,10.22050
2022-06-07,10.11470
2022-06-09,10.10050
2022-06-14,9.83460
2022-06-15,9.93960
2022-06-17,10.06760
2022-06-23,9.86820
2022-06-24,9.75290
2022-06-28,9.92560
2022-07-01,9.54110
2022-07-05,9.55990
2022-07-07,9.36570
2022-07-11,9.33600
2022-07-15,8.99780
2022-07-18,9.18150
2022-07-21,8.96550
2022-07-22,9.07570
2022-07-27,8.97610
2022-08-01,9.53840
2022-08-03,9.34860
2022-08-04,9.53930
2022-08-11,9.61700
2022-08-12,9.56350
2022-08-19,9.18930
2022-08-22,9.07200
2022-08-25,9.19880
2022-08-30,8.98310
2022-09-01,8.68510
2022-09-07,8.81460
2022-09-09,8.96020
2022-09-13,9.34960
2022-09-14,9.27740
2022-09-16,9.07430
2022-09-22,9.40530
2022-09-26,9.10560
2022-09-28,8.90870
2022-10-03,9.36180
2022-10-04,9.91800
2022-10-07,9.97620
2022-10-11,9.45800
2022-10-17,9.16960
2022-10-18,9.22220
2022-10-21,9.13590
2022-10-27,9.44340
2022-11-01,9.60500
2022-11-03,9.38440
2022-11-07,9.83100
2022-11-09,10.00090
2022-11-15,10.19070
2022-11-17,10.00510
2022-11-21,9.90970
2022-11-24,10.15420
2022-11-25,10.07460
2022-11-30,10.09210
2022-12-05,10.70570
2022-12-07,10.52790
2022-12-09,10.74080
2022-12-12,10.88840
2022-12-16,10.71780
2022-12-20,11.01380
2022-12-21,11.10140
2022-12-27,11.17400
2022-12-29,10.99640
2023-01-02,11.17320
2023-01-03,11.36680
2023-01-05,11.03830
2023-01-11,11.17270
2023-01-12,11.07480
2023-01-16,11.22370
2023-01-19,10.99670
2023-01-23,11.10440
2023-01-25,11.07240
2023-01-31,11.04350
2023-02-02,11.61820
2023-02-06,11.04730
2023-02-09,11.01380
2023-02-13,10.82380
2023-02-15,10.70390
2023-02-17,10.59640
2023-02-22,10.74320
2023-02-27,10.39870
2023-02-28,10.31800
2023-03-03,10.47940
2023-03-08,10.13660
2023-03-10,10.13500
2023-03-14,10.73890
2023-03-17,10.87130
2023-03-20,11.09190
2023-03-24,11.33840
2023-03-28,11.24770
2023-04-03,11.62020
2023-04-05,12.04850
2023-04-12,12.15590
2023-04-13,12.31250
2023-04-19,12.03150
2023-04-20,12.21230
2023-04-26,12.08520
2023-04-28,12.02190
2023-05-04,12.37710
2023-05-09,12.37660
2023-05-10,12.40180
2023-05-12,11.76000
2023-05-18,11.64130
2023-05-22,11.78480
2023-05-23,11.54360
2023-05-25,11.49630
2023-05-30,11.52140
2023-06-02,11.74430
2023-06-06,11.65000
2023-06-09,11.96870
2023-06-13,11.87750
2023-06-15,11.56920
2023-06-19,11.80700
2023-06-22,11.24070
2023-06-23,11.14800
2023-06-27,11.34590
2023-06-30,11.15490
2023-07-06,11.51620
2023-07-07,11.36080
2023-07-12,11.51390
2023-07-14,12.10440
2023-07-19,12.23050
2023-07-20,12.29680
2023-07-24,12.03140
2023-07-27,12.19910
2023-07-31,11.95170
2023-08-02,12.02410
2023-08-04,11.72390
2023-08-09,11.47880
2023-08-11,11.41770
2023-08-17,11.42550
2023-08-21,11.51170
2023-08-24,11.91760
2023-08-29,11.95770
2023-08-30,12.10880
2023-09-01,12.10410
2023-09-07,11.61770
2023-09-08,11.56290
2023-09-13,11.54270
2023-09-14,11.42430
2023-09-20,11.71790
2023-09-25,11.80950
2023-09-26,11.62510
2023-10-04,11.09970
2023-10-06,11.46870
2023-10-09,11.33360
2023-10-13,11.38520
2023-10-16,11.51450
2023-10-18,11.65000
2023-10-23,11.66240
2023-10-25,11.54430
2023-10-31,11.68450
2023-11-01,11.49880
2023-11-06,11.63290
2023-11-08,11.43880
2023-11-13,11.35940
2023-11-15,11.67470
2023-11-17,11.88660
2023-11-23,11.83670
2023-11-24,11.81330
2023-11-29,12.18000
2023-12-04,12.34890
2023-12-06,12.02100
2023-12-08,11.92970
2023-12-13,11.49530
2023-12-14,11.93940
2023-12-19,11.92860
2023-12-22,12.07830
2023-12-29,11.89640
2024-01-02,12.02480
2024-01-04,11.65490
2024-01-08,11.59550
2024-01-09,11.67670
2024-01-15,11.68740
2024-01-17,11.52780
2024-01-19,11.55590
2024-01-23,11.42120
2024-01-30,11.61500
2024-02-01,11.50850
2024-02-02,11.61650
2024-02-07,11.34200
2024-02-12,11.48090
2024-02-14,11.21510
2024-02-16,11.48510
2024-02-22,11.46920
2024-02-23,11.35760
2024-02-28,11.24290
2024-03-01,11.32760
2024-03-05,11.68960
2024-03-11,11.80250
2024-03-13,11.72710
2024-03-14,11.91420
2024-03-20,11.91250
2024-03-21,12.08490
2024-03-28,11.91520
2024-03-31,11.91520
2024-04-04,12.79790
2024-04-05,12.75110
2024-04-12,13.58280
2024-04-18,13.43300
2024-04-19,13.37680
2024-04-23,12.90680
2024-04-26,13.15470
2024-04-30,12.92890
2024-05-03,12.96000
2024-05-08,13.10390
2024-05-10,13.61650
2024-05-14,13.51250
2024-05-17,13.92460
2024-05-21,14.94960
2024-05-27,14.61450
2024-05-29,15.11690
2024-06-03,14.44680
2024-06-05,14.24360
2024-06-07,14.64350
2024-06-11,14.16580
2024-06-18,14.17190
2024-06-20,14.50560
2024-06-21,14.55150
2024-06-26,14.04290
2024-07-01,14.08940
2024-07-02,14.13440
2024-07-04,14.41630
2024-07-09,14.69730
2024-07-11,14.74060
2024-07-16,14.73100
2024-07-18,14.69430
2024-07-24,13.67500
2024-07-25,13.20280
2024-07-30,13.17430
2024-08-01,13.52000
2024-08-06,12.81880
2024-08-08,12.85890
2024-08-12,13.14830
2024-08-14,13.10330
2024-08-20,13.68430
2024-08-22,13.59570
2024-08-26,13.80750
2024-08-29,13.68430
2024-08-30,13.68280
2024-09-04,13.10860
2024-09-06,13.39200
2024-09-09,13.14350
2024-09-12,13.37060
2024-09-16,14.12760
2024-09-18,13.97010
2024-09-24,14.14630
2024-09-26,14.61670
2024-09-30,14.45240
2024-10-01,14.40390
2024-10-04,14.73360
2024-10-09,14.20590
2024-10-14,14.49670
2024-10-17,14.54610
2024-10-21,15.49520
2024-10-23,15.73570
2024-10-25,15.21430
2024-10-29,15.70240
2024-10-31,15.47190
2024-11-06,14.88520
2024-11-07,14.47850
2024-11-11,14.52650
2024-11-14,13.95590
2024-11-19,14.60020
2024-11-26,14.12450
2024-11-28,14.03850
2024-11-29,14.30010
2024-12-04,14.39830
2024-12-09,14.58060
2024-12-10,14.78410
2024-12-12,14.96300
2024-12-16,14.34290
2024-12-20,13.66980
2024-12-23,14.01750
2024-12-27,14.06820
2024-12-31,13.80820
2025-01-02,13.94470
2025-01-07,14.27180
2025-01-09,14.31930
2025-01-14,14.17740
2025-01-16,14.60750
2025-01-20,14.42930
2025-01-22,14.60110
2025-01-23,14.45350
2025-01-28,14.32880
2025-01-31,14.85160
2025-02-05,15.29640
2025-02-06,15.15320
2025-02-10,15.22950
2025-02-12,14.95990
2025-02-14,15.59020
2025-02-20,15.57470
2025-02-21,15.44060
2025-02-27,15.14890
2025-02-28,14.89690
2025-03-05,15.30590
2025-03-07,15.45830
2025-03-11,15.37590
2025-03-18,15.99720
2025-03-20,15.76510
2025-03-21,15.49750
2025-03-25,15.53340
