# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:20.199760+00:00
date,fund_value_inr,benchmark_value_inr
2022-03-30,10000.00,
2022-03-31,10005.20,
2022-04-05,9998.80,
2022-04-07,9998.40,
2022-04-11,9896.32,
2022-04-13,9838.43,
2022-04-20,9866.13,
2022-04-22,9848.03,
2022-04-26,9865.03,
2022-04-29,9852.63,
2022-05-02,9861.63,
2022-05-06,9665.87,
2022-05-11,9726.56,
2022-05-13,9720.66,
2022-05-17,9726.66,
2022-05-19,9719.96,
2022-05-24,9734.76,
2022-05-26,9752.35,
2022-05-31,9708.96,
2022-06-01,9716.86,
2022-06-03,9702.76,
2022-06-07,9669.67,
2022-06-10,9689.27,
2022-06-14,9681.97,
2022-06-16,9691.36,
2022-06-20,9720.46,
2022-06-22,9744.55,
2022-06-27,9755.25,
2022-06-29,9762.15,
2022-07-01,9778.05,
2022-07-06,9821.34,
2022-07-07,9818.74,
2022-07-12,9827.24,
2022-07-13,9846.63,
2022-07-18,9853.13,
2022-07-20,9851.23,
2022-07-22,9849.73,
2022-07-26,9868.63,
2022-07-28,9880.63,
2022-08-02,9940.21,
2022-08-04,9947.91,
2022-08-08,9914.32,
2022-08-12,9942.51,
2022-08-17,9981.60,
2022-08-19,9974.41,
2022-08-24,9990.20,
2022-08-29,9980.40,
2022-09-01,9999.90,
2022-09-02,9999.40,
2022-09-07,10002.70,
2022-09-09,10021.10,
2022-09-14,10023.00,
2022-09-16,9959.71,
2022-09-19,9952.11,
2022-09-21,9951.81,
2022-09-26,9888.72,
2022-09-29,9916.42,
2022-09-30,9943.31,
2022-10-06,9955.61,
2022-10-10,9904.02,
2022-10-11,9898.22,
2022-10-14,9923.82,
2022-10-19,9964.61,
2022-10-21,9945.61,
2022-10-27,9990.10,
2022-10-28,9982.70,
2022-11-03,9989.60,
2022-11-04,9983.20,
2022-11-09,10002.50,
2022-11-11,10044.49,
2022-11-15,10057.59,
2022-11-18,10058.69,
2022-11-21,10069.49,
2022-11-25,10085.58,
2022-11-28,10098.88,
2022-11-30,10098.68,
2022-12-02,10120.37,
2022-12-07,10116.68,
2022-12-09,10123.17,
2022-12-14,10140.77,
2022-12-15,10136.37,
2022-12-19,10136.17,
2022-12-22,10138.37,
2022-12-26,10131.07,
2022-12-28,10133.07,
2023-01-02,10141.87,
2023-01-04,10150.57,
2023-01-06,10149.97,
2023-01-10,10164.37,
2023-01-13,10176.86,
2023-01-16,10172.66,
2023-01-19,10192.26,
2023-01-20,10183.16,
2023-01-25,10193.66,
2023-01-30,10179.76,
2023-02-01,10205.86,
2023-02-03,10209.26,
2023-02-07,10206.76,
2023-02-10,10193.66,
2023-02-14,10193.86,
2023-02-16,10200.86,
2023-02-20,10200.86,
2023-02-22,10188.06,
2023-02-24,10192.56,
2023-03-01,10186.86,
2023-03-06,10202.96,
2023-03-09,10196.56,
2023-03-10,10199.86,
2023-03-14,10244.75,
2023-03-17,10249.95,
2023-03-21,10263.44,
2023-03-27,10295.94,
2023-03-28,10290.44,
2023-04-03,10332.43,
2023-04-06,10378.02,
2023-04-12,10384.92,
2023-04-13,10379.62,
2023-04-18,10386.82,
2023-04-21,10391.62,
2023-04-25,10413.21,
2023-04-27,10424.01,
2023-05-02,10419.41,
2023-05-04,10441.31,
2023-05-10,10439.61,
2023-05-12,10445.11,
2023-05-16,10461.90,
2023-05-19,10478.40,
2023-05-22,10496.10,
2023-05-25,10491.30,
2023-05-29,10500.59,
2023-05-30,10497.50,
2023-06-02,10510.69,
2023-06-07,10519.29,
2023-06-09,10505.09,
2023-06-13,10514.39,
2023-06-15,10512.89,
2023-06-19,10523.99,
2023-06-22,10516.09,
2023-06-23,10516.09,
2023-06-28,10527.19,
2023-07-03,10527.29,
2023-07-05,10530.19,
2023-07-07,10523.79,
2023-07-12,10533.89,
2023-07-13,10552.68,
2023-07-17,10563.78,
2023-07-19,10568.68,
2023-07-21,10568.88,
2023-07-26,10577.48,
2023-07-28,10567.98,
2023-08-01,10576.88,
2023-08-03,10567.68,
2023-08-07,10578.48,
2023-08-10,10584.78,
2023-08-17,10572.28,
2023-08-21,10592.18,
2023-08-22,10594.68,
2023-08-25,10610.07,
2023-08-29,10618.97,
2023-08-30,10615.87,
2023-09-05,10624.47,
2023-09-07,10634.07,
2023-09-08,10630.97,
2023-09-12,10631.57,
2023-09-14,10652.46,
2023-09-21,10660.76,
2023-09-22,10659.16,
2023-09-26,10667.06,
2023-09-29,10661.16,
2023-10-05,10671.56,
2023-10-06,10647.26,
2023-10-11,10656.86,
2023-10-16,10671.06,
2023-10-18,10667.96,
2023-10-20,10671.46,
2023-10-25,10680.56,
2023-10-26,10677.56,
2023-11-01,10686.86,
2023-11-03,10699.45,
2023-11-07,10718.95,
2023-11-08,10720.65,
2023-11-15,10745.24,
2023-11-17,10750.04,
2023-11-21,10745.24,
2023-11-22,10749.14,
2023-11-24,10745.94,
2023-11-29,10761.84,
2023-12-01,10757.84,
2023-12-06,10777.14,
2023-12-11,10789.23,
2023-12-13,10788.73,
2023-12-14,10809.23,
2023-12-18,10830.53,
2023-12-22,10841.82,
2023-12-26,10848.22,
2023-12-28,10846.82,
2024-01-02,10862.92,
2024-01-04,10861.92,
2024-01-08,10874.02,
2024-01-11,10882.81,
2024-01-15,10894.41,
2024-01-17,10900.41,
2024-01-19,10897.91,
2024-01-25,10907.41,
2024-01-29,10918.11,
2024-01-31,10927.51,
2024-02-02,10946.50,
2024-02-07,10956.00,
2024-02-09,10951.70,
2024-02-14,10955.20,
2024-02-16,10962.40,
2024-02-20,10979.29,
2024-02-23,10987.09,
2024-02-26,10996.39,
2024-03-01,11001.99,
2024-03-04,11010.39,
2024-03-06,11014.79,
2024-03-11,11033.48,
2024-03-13,11037.28,
2024-03-18,11038.18,
2024-03-20,11045.48,
2024-03-22,11047.78,
2024-03-27,11054.78,
2024-03-31,11068.38,
2024-04-03,11081.87,
2024-04-10,11093.07,
2024-04-12,11087.97,
2024-04-18,11098.17,
2024-04-19,11094.07,
2024-04-23,11102.07,
2024-04-26,11104.57,
2024-05-02,11123.06,
2024-05-06,11143.76,
2024-05-08,11145.06,
2024-05-09,11145.36,
2024-05-13,11154.96,
2024-05-17,11170.85,
2024-05-22,11194.45,
2024-05-24,11197.95,
2024-05-28,11201.25,
2024-05-30,11206.15,
2024-06-03,11217.84,
2024-06-06,11213.05,
2024-06-10,11230.44,
2024-06-13,11240.34,
2024-06-18,11253.24,
2024-06-20,11261.24,
2024-06-24,11271.53,
2024-06-27,11275.63,
2024-06-28,11277.53,
2024-07-01,11286.63,
2024-07-04,11296.23,
2024-07-08,11309.72,
2024-07-11,11317.22,
2024-07-12,11318.42,
2024-07-16,11331.72,
2024-07-22,11344.82,
2024-07-24,11351.52,
2024-07-29,11375.41,
