# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:30.163472+00:00
stretch_ending,fund_return,benchmark_return
2022-12-30,0.220239,
2023-01-06,0.229018,
2023-01-13,0.219457,
2023-01-20,0.231351,
2023-01-27,0.205302,
2023-02-03,0.210043,
2023-02-10,0.212339,
2023-02-17,0.219381,
2023-02-24,0.227684,
2023-03-03,0.256884,
2023-03-10,0.291469,
2023-03-17,0.345978,
2023-03-24,0.359064,
2023-03-31,0.344268,
2023-04-06,0.331154,
2023-04-13,0.314254,
2023-04-21,0.312562,
2023-04-28,0.331462,
2023-05-05,0.348519,
2023-05-12,0.346572,
2023-05-19,0.363851,
2023-05-26,0.359259,
2023-06-02,0.329878,
2023-06-09,0.316252,
2023-06-16,0.339465,
2023-06-23,0.307925,
2023-06-30,0.316754,
2023-07-07,0.325191,
2023-07-14,0.340504,
2023-07-21,0.326281,
2023-07-28,0.340265,
2023-08-04,0.342837,
2023-08-11,0.336702,
2023-08-18,0.322486,
2023-08-25,0.317715,
2023-09-01,0.345179,
2023-09-08,0.395072,
2023-09-15,0.389788,
2023-09-22,0.416319,
2023-09-29,0.425540,
2023-10-06,0.422391,
2023-10-13,0.435363,
2023-10-20,0.413024,
2023-10-27,0.405351,
2023-11-03,0.409664,
2023-11-10,0.383651,
2023-11-17,0.388776,
2023-11-24,0.380654,
2023-12-01,0.393200,
2023-12-08,0.400028,
2023-12-15,0.409886,
2023-12-22,0.432340,
2023-12-29,0.434508,
2024-01-05,0.424044,
2024-01-12,0.409832,
2024-01-19,0.433112,
2024-01-25,0.468012,
2024-02-02,0.474969,
2024-02-09,0.459667,
2024-02-16,0.457214,
2024-02-23,0.438391,
2024-03-01,0.414218,
2024-03-07,0.437942,
2024-03-15,0.414910,
2024-03-22,0.434844,
2024-03-28,0.436916,
2024-04-05,0.453001,
2024-04-12,0.470429,
2024-04-19,0.468012,
2024-04-26,0.472678,
2024-05-03,0.466715,
2024-05-10,0.410917,
2024-05-17,0.428212,
2024-05-24,0.440742,
2024-05-31,0.418983,
2024-06-07,0.401369,
2024-06-14,0.418578,
2024-06-21,0.418537,
2024-06-28,0.419285,
2024-07-05,0.430181,
2024-07-12,0.433210,
2024-07-19,0.425465,
2024-07-26,0.441522,
2024-08-02,0.434043,
2024-08-09,0.434566,
2024-08-16,0.429626,
2024-08-23,0.440405,
2024-08-30,0.434077,
2024-09-06,0.409043,
2024-09-13,0.396125,
2024-09-20,0.396992,
2024-09-27,0.392938,
2024-10-04,0.373557,
2024-10-11,0.359909,
2024-10-18,0.358599,
2024-10-25,0.334738,
2024-10-31,0.351573,
2024-11-08,0.347176,
2024-11-14,0.335467,
2024-11-22,0.341073,
2024-11-29,0.369598,
2024-12-06,0.371159,
2024-12-13,0.367841,
2024-12-20,0.353991,
2024-12-27,0.349424,
2025-01-03,0.338763,
2025-01-10,0.299293,
2025-01-17,0.307288,
2025-01-24,0.299714,
2025-01-31,0.296952,
2025-02-07,0.290557,
2025-02-14,0.273119,
2025-02-21,0.294356,
2025-02-28,0.258649,
2025-03-07,0.285863,
2025-03-13,0.277720,
2025-03-21,0.301457,
2025-03-28,0.304741,
2025-04-04,0.271119,
2025-04-11,0.270321,
2025-04-17,0.283756,
2025-04-25,0.294094,
2025-05-02,0.305443,
2025-05-09,0.315109,
2025-05-16,0.333812,
2025-05-23,0.348169,
2025-05-30,0.334820,
2025-06-06,0.342944,
2025-06-13,0.356327,
2025-06-20,0.380025,
2025-06-27,0.374769,
2025-07-04,0.377275,
2025-07-11,0.359646,
2025-07-18,0.351538,
2025-07-25,0.335404,
2025-08-01,0.305572,
2025-08-08,0.307140,
2025-08-14,0.294979,
2025-08-22,0.297518,
2025-08-29,0.275669,
2025-09-05,0.278169,
2025-09-12,0.277744,
2025-09-19,0.295917,
2025-09-26,0.320031,
2025-10-03,0.312706,
2025-10-10,0.316260,
2025-10-17,0.307187,
2025-10-24,0.294476,
2025-10-31,0.300133,
2025-11-07,0.283402,
2025-11-14,0.294762,
2025-11-21,0.285202,
2025-11-28,0.276862,
2025-12-05,0.265831,
2025-12-12,0.253201,
2025-12-19,0.272490,
2025-12-26,0.275216,
2026-01-02,0.288194,
2026-01-09,0.275362,
2026-01-16,0.284039,
2026-01-23,0.279740,
2026-01-30,0.314910,
2026-02-06,0.314688,
2026-02-13,0.321805,
2026-02-20,0.339604,
2026-02-27,0.333907,
2026-03-06,0.303911,
2026-03-13,0.301720,
2026-03-20,0.296999,
2026-03-27,0.289513,
2026-04-02,0.280833,
2026-04-10,0.301896,
2026-04-17,0.311421,
2026-04-24,0.307272,
2026-04-30,0.295297,
2026-05-08,0.299009,
2026-05-15,0.286350,
2026-05-22,0.286638,
2026-05-29,0.283525,
2026-06-05,0.272280,
2026-06-12,0.270810,
2026-06-19,0.276129,
2026-06-25,0.276157,
2026-07-03,0.257304,
2026-07-10,0.248633,
2026-07-17,0.247421,
2026-07-24,0.236224,
2026-07-31,0.238656,
2026-08-07,0.241925,
2026-08-14,0.244079,
2026-08-21,0.233337,
2026-08-28,0.233183,
2026-09-04,0.212896,
2026-09-11,0.197741,
2026-09-18,0.188732,
