# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:21.033698+00:00
stretch_ending,fund_return,benchmark_return
2025-10-09,0.084248,
2025-10-16,0.082854,
2025-10-23,0.082734,
2025-10-30,0.081771,
2025-11-06,0.082183,
2025-11-13,0.082175,
2025-11-20,0.081760,
2025-11-27,0.082022,
2025-12-04,0.081322,
2025-12-11,0.080645,
2025-12-18,0.080259,
2025-12-24,0.081033,
2026-01-01,0.080588,
2026-01-08,0.079867,
2026-01-14,0.080275,
2026-01-22,0.078857,
2026-01-29,0.077151,
2026-02-05,0.077477,
2026-02-12,0.077700,
2026-02-18,0.077293,
2026-02-26,0.078195,
2026-03-05,0.078224,
2026-03-12,0.077539,
2026-03-18,0.076851,
2026-03-25,0.074967,
2026-04-02,0.073667,
2026-04-09,0.072872,
2026-04-16,0.072924,
2026-04-23,0.071554,
2026-04-30,0.071065,
2026-05-07,0.070591,
2026-05-14,0.069382,
2026-05-21,0.067627,
2026-05-27,0.067461,
2026-06-04,0.067877,
2026-06-11,0.068014,
2026-06-18,0.068701,
2026-06-25,0.068498,
2026-07-02,0.067838,
2026-07-09,0.067265,
2026-07-16,0.067130,
2026-07-23,0.066906,
2026-07-30,0.066879,
2026-08-06,0.067371,
2026-08-13,0.068240,
2026-08-20,0.067749,
2026-08-27,0.067696,
2026-09-03,0.068174,
2026-09-10,0.068435,
2026-09-17,0.068215,
2026-09-24,0.067639,
