# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:33:18.460908+00:00
date,fund_value_inr,benchmark_value_inr
2025-08-11,10000.00,
2025-08-12,9984.12,
2025-08-13,10066.88,
2025-08-14,10096.05,
2025-08-18,10231.21,
2025-08-19,10229.32,
2025-08-20,10264.75,
2025-08-21,10256.31,
2025-08-22,10234.98,
2025-08-25,10263.06,
2025-08-26,10109.65,
2025-08-28,9989.18,
2025-08-29,9958.72,
2025-09-01,10114.11,
2025-09-02,10111.83,
2025-09-03,10181.69,
2025-09-04,10107.96,
2025-09-05,10083.06,
2025-09-08,10077.10,
2025-09-09,10142.40,
2025-09-10,10240.53,
2025-09-11,10246.39,
2025-09-12,10292.83,
2025-09-15,10319.12,
2025-09-16,10385.61,
2025-09-17,10414.78,
2025-09-18,10410.32,
2025-09-19,10359.21,
2025-09-22,10318.33,
2025-09-23,10303.64,
2025-09-24,10246.39,
2025-09-25,10183.48,
2025-09-26,9982.24,
2025-09-30,9951.77,
2025-10-01,10026.10,
2025-10-03,10065.99,
2025-10-06,10209.87,
2025-10-07,10255.52,
2025-10-08,10235.97,
2025-10-09,10289.45,
2025-10-10,10336.19,
2025-10-13,10387.79,
2025-10-14,10345.22,
2025-10-15,10438.20,
2025-10-16,10470.65,
2025-10-17,10511.53,
2025-10-20,10529.79,
2025-10-23,10450.60,
2025-10-24,10389.87,
2025-10-27,10474.82,
2025-10-28,10472.83,
2025-10-29,10463.60,
2025-10-30,10429.67,
2025-10-31,10382.13,
2025-11-03,10407.93,
2025-11-04,10398.90,
2025-11-06,10368.14,
2025-11-07,10382.23,
2025-11-10,10388.39,
2025-11-11,10347.01,
2025-11-12,10390.27,
2025-11-13,10379.46,
2025-11-14,10380.55,
2025-11-17,10478.88,
2025-11-18,10390.17,
2025-11-19,10412.20,
2025-11-20,10468.76,
2025-11-21,10353.66,
2025-11-24,10324.88,
2025-11-25,10319.32,
2025-11-26,10469.06,
2025-11-27,10445.15,
2025-11-28,10444.05,
2025-12-01,10446.04,
2025-12-02,10419.15,
2025-12-03,10350.08,
2025-12-04,10311.88,
2025-12-05,10352.46,
2025-12-08,10194.19,
2025-12-09,10205.31,
2025-12-10,10112.63,
2025-12-11,10181.99,
2025-12-12,10275.56,
2025-12-15,10270.70,
2025-12-16,10207.49,
2025-12-17,10126.62,
2025-12-18,10140.71,
2025-12-19,10238.95,
2025-12-22,10338.08,
2025-12-23,10381.74,
2025-12-24,10381.14,
2025-12-26,10340.85,
2025-12-29,10299.58,
2025-12-30,10367.55,
2025-12-31,10472.24,
2026-01-01,10518.28,
2026-01-02,10585.06,
2026-01-05,10618.20,
2026-01-06,10635.96,
2026-01-07,10612.05,
2026-01-08,10454.37,
2026-01-09,10328.75,
2026-01-12,10298.88,
2026-01-13,10306.62,
2026-01-14,10351.27,
2026-01-16,10364.67,
2026-01-19,10402.58,
2026-01-20,10159.26,
2026-01-21,10066.78,
2026-01-22,10164.32,
2026-01-23,9999.31,
2026-01-27,10043.86,
2026-01-28,10206.60,
2026-01-29,10197.77,
2026-01-30,10161.84,
2026-02-02,9987.89,
2026-02-03,10294.02,
2026-02-04,10387.00,
2026-02-05,10321.21,
2026-02-06,10378.76,
2026-02-09,10544.08,
2026-02-10,10533.66,
2026-02-11,10592.30,
2026-02-12,10677.74,
2026-02-13,10514.21,
2026-02-16,10565.71,
2026-02-17,10632.99,
2026-02-18,10698.68,
2026-02-19,10526.12,
2026-02-20,10610.46,
2026-02-23,10627.33,
2026-02-24,10578.71,
2026-02-25,10687.37,
2026-02-26,10746.41,
2026-02-27,10550.92,
2026-03-02,10393.55,
2026-03-04,10119.47,
2026-03-05,10285.29,
2026-03-06,10144.88,
2026-03-09,9920.81,
2026-03-10,10163.43,
2026-03-11,9922.01,
2026-03-12,9792.71,
2026-03-13,9555.85,
2026-03-16,9576.39,
2026-03-17,9719.58,
2026-03-18,9862.17,
2026-03-19,9516.15,
2026-03-20,9519.43,
2026-03-23,9126.18,
2026-03-24,9348.36,
2026-03-25,9564.98,
2026-03-27,9346.87,
2026-03-30,9094.82,
2026-03-31,9094.72,
2026-04-01,9305.69,
2026-04-02,9256.07,
2026-04-06,9422.38,
2026-04-07,9420.10,
2026-04-08,9880.73,
2026-04-09,9902.75,
2026-04-10,10112.82,
2026-04-13,10005.26,
2026-04-15,10188.54,
2026-04-16,10207.39,
2026-04-17,10312.67,
2026-04-20,10343.24,
2026-04-21,10329.34,
2026-04-22,10315.85,
2026-04-23,10209.08,
2026-04-24,10166.21,
2026-04-27,10231.80,
2026-04-28,10183.67,
2026-04-29,10217.91,
2026-04-30,10102.21,
2026-05-04,10156.68,
2026-05-05,10195.38,
2026-05-06,10372.41,
2026-05-07,10507.16,
2026-05-08,10444.25,
2026-05-11,10296.30,
2026-05-12,10060.43,
2026-05-13,10083.35,
2026-05-14,10207.39,
2026-05-15,10159.56,
2026-05-18,10054.97,
2026-05-19,10087.82,
2026-05-20,10179.51,
2026-05-21,10187.94,
2026-05-22,10226.84,
2026-05-25,10405.55,
2026-05-26,10405.55,
2026-05-27,10478.59,
2026-05-29,10312.08,
2026-06-01,10129.50,
2026-06-02,10134.95,
2026-06-03,10157.18,
2026-06-04,10228.13,
2026-06-05,10231.31,
2026-06-08,10056.16,
2026-06-09,10241.03,
2026-06-10,10106.77,
2026-06-11,10029.77,
2026-06-12,10310.29,
2026-06-15,10474.42,
2026-06-16,10466.18,
2026-06-17,10576.53,
2026-06-18,10622.27,
2026-06-19,10648.47,
2026-06-22,10715.94,
2026-06-23,10621.97,
2026-06-24,10580.79,
2026-06-25,10521.95,
2026-06-29,10612.35,
2026-06-30,10609.77,
2026-07-01,10569.88,
2026-07-02,10597.27,
2026-07-03,10525.52,
2026-07-06,10611.26,
2026-07-07,10503.79,
2026-07-08,10410.22,
