# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:33:18.463164+00:00
date,nav
2025-08-11,10.07760
2025-08-12,10.06160
2025-08-13,10.14500
2025-08-14,10.17440
2025-08-18,10.31060
2025-08-19,10.30870
2025-08-20,10.34440
2025-08-21,10.33590
2025-08-22,10.31440
2025-08-25,10.34270
2025-08-26,10.18810
2025-08-28,10.06670
2025-08-29,10.03600
2025-09-01,10.19260
2025-09-02,10.19030
2025-09-03,10.26070
2025-09-04,10.18640
2025-09-05,10.16130
2025-09-08,10.15530
2025-09-09,10.22110
2025-09-10,10.32000
2025-09-11,10.32590
2025-09-12,10.37270
2025-09-15,10.39920
2025-09-16,10.46620
2025-09-17,10.49560
2025-09-18,10.49110
2025-09-19,10.43960
2025-09-22,10.39840
2025-09-23,10.38360
2025-09-24,10.32590
2025-09-25,10.26250
2025-09-26,10.05970
2025-09-30,10.02900
2025-10-01,10.10390
2025-10-03,10.14410
2025-10-06,10.28910
2025-10-07,10.33510
2025-10-08,10.31540
2025-10-09,10.36930
2025-10-10,10.41640
2025-10-13,10.46840
2025-10-14,10.42550
2025-10-15,10.51920
2025-10-16,10.55190
2025-10-17,10.59310
2025-10-20,10.61150
2025-10-23,10.53170
2025-10-24,10.47050
2025-10-27,10.55610
2025-10-28,10.55410
2025-10-29,10.54480
2025-10-30,10.51060
2025-10-31,10.46270
2025-11-03,10.48870
2025-11-04,10.47960
2025-11-06,10.44860
2025-11-07,10.46280
2025-11-10,10.46900
2025-11-11,10.42730
2025-11-12,10.47090
2025-11-13,10.46000
2025-11-14,10.46110
2025-11-17,10.56020
2025-11-18,10.47080
2025-11-19,10.49300
2025-11-20,10.55000
2025-11-21,10.43400
2025-11-24,10.40500
2025-11-25,10.39940
2025-11-26,10.55030
2025-11-27,10.52620
2025-11-28,10.52510
2025-12-01,10.52710
2025-12-02,10.50000
2025-12-03,10.43040
2025-12-04,10.39190
2025-12-05,10.43280
2025-12-08,10.27330
2025-12-09,10.28450
2025-12-10,10.19110
2025-12-11,10.26100
2025-12-12,10.35530
2025-12-15,10.35040
2025-12-16,10.28670
2025-12-17,10.20520
2025-12-18,10.21940
2025-12-19,10.31840
2025-12-22,10.41830
2025-12-23,10.46230
2025-12-24,10.46170
2025-12-26,10.42110
2025-12-29,10.37950
2025-12-30,10.44800
2025-12-31,10.55350
2026-01-01,10.59990
2026-01-02,10.66720
2026-01-05,10.70060
2026-01-06,10.71850
2026-01-07,10.69440
2026-01-08,10.53550
2026-01-09,10.40890
2026-01-12,10.37880
2026-01-13,10.38660
2026-01-14,10.43160
2026-01-16,10.44510
2026-01-19,10.48330
2026-01-20,10.23810
2026-01-21,10.14490
2026-01-22,10.24320
2026-01-23,10.07690
2026-01-27,10.12180
2026-01-28,10.28580
2026-01-29,10.27690
2026-01-30,10.24070
2026-02-02,10.06540
2026-02-03,10.37390
2026-02-04,10.46760
2026-02-05,10.40130
2026-02-06,10.45930
2026-02-09,10.62590
2026-02-10,10.61540
2026-02-11,10.67450
2026-02-12,10.76060
2026-02-13,10.59580
2026-02-16,10.64770
2026-02-17,10.71550
2026-02-18,10.78170
2026-02-19,10.60780
2026-02-20,10.69280
2026-02-23,10.70980
2026-02-24,10.66080
2026-02-25,10.77030
2026-02-26,10.82980
2026-02-27,10.63280
2026-03-02,10.47420
2026-03-04,10.19800
2026-03-05,10.36510
2026-03-06,10.22360
2026-03-09,9.99780
2026-03-10,10.24230
2026-03-11,9.99900
2026-03-12,9.86870
2026-03-13,9.63000
2026-03-16,9.65070
2026-03-17,9.79500
2026-03-18,9.93870
2026-03-19,9.59000
2026-03-20,9.59330
2026-03-23,9.19700
2026-03-24,9.42090
2026-03-25,9.63920
2026-03-27,9.41940
2026-03-30,9.16540
2026-03-31,9.16530
2026-04-01,9.37790
2026-04-02,9.32790
2026-04-06,9.49550
2026-04-07,9.49320
2026-04-08,9.95740
2026-04-09,9.97960
2026-04-10,10.19130
2026-04-13,10.08290
2026-04-15,10.26760
2026-04-16,10.28660
2026-04-17,10.39270
2026-04-20,10.42350
2026-04-21,10.40950
2026-04-22,10.39590
2026-04-23,10.28830
2026-04-24,10.24510
2026-04-27,10.31120
2026-04-28,10.26270
2026-04-29,10.29720
2026-04-30,10.18060
2026-05-04,10.23550
2026-05-05,10.27450
2026-05-06,10.45290
2026-05-07,10.58870
2026-05-08,10.52530
2026-05-11,10.37620
2026-05-12,10.13850
2026-05-13,10.16160
2026-05-14,10.28660
2026-05-15,10.23840
2026-05-18,10.13300
2026-05-19,10.16610
2026-05-20,10.25850
2026-05-21,10.26700
2026-05-22,10.30620
2026-05-25,10.48630
2026-05-26,10.48630
2026-05-27,10.55990
2026-05-29,10.39210
2026-06-01,10.20810
2026-06-02,10.21360
2026-06-03,10.23600
2026-06-04,10.30750
2026-06-05,10.31070
2026-06-08,10.13420
2026-06-09,10.32050
2026-06-10,10.18520
2026-06-11,10.10760
2026-06-12,10.39030
2026-06-15,10.55570
2026-06-16,10.54740
2026-06-17,10.65860
2026-06-18,10.70470
2026-06-19,10.73110
2026-06-22,10.79910
2026-06-23,10.70440
2026-06-24,10.66290
2026-06-25,10.60360
2026-06-29,10.69470
2026-06-30,10.69210
