# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:28.479257+00:00
date,fund_value_inr,benchmark_value_inr
2016-03-08,10000.00,
2016-03-09,9934.86,
2016-03-16,9941.39,
2016-03-31,10058.23,
2016-04-07,10022.07,
2016-04-18,10148.24,
2016-04-27,10179.22,
2016-04-28,10149.43,
2016-05-06,10156.19,
2016-05-12,10269.34,
2016-05-23,10201.71,
2016-05-27,10342.69,
2016-06-08,10398.89,
2016-06-14,10359.93,
2016-06-24,10364.42,
2016-07-01,10449.36,
2016-07-08,10453.59,
2016-07-12,10499.03,
2016-07-19,10497.38,
2016-07-29,10586.66,
2016-08-04,10552.04,
2016-08-12,10644.97,
2016-08-23,10670.57,
2016-08-26,10671.72,
2016-09-06,10814.59,
2016-09-12,10746.38,
2016-09-23,10793.55,
2016-09-29,10737.63,
2016-10-05,10857.73,
2016-10-17,10790.45,
2016-10-21,10825.45,
2016-11-01,10807.07,
2016-11-10,10753.33,
2016-11-15,10595.42,
2016-11-24,10566.63,
2016-11-30,10672.99,
2016-12-07,10594.84,
2016-12-14,10601.02,
2016-12-26,10532.93,
2016-12-30,10656.68,
2017-01-06,10652.76,
2017-01-12,10736.75,
2017-01-20,10739.43,
2017-01-31,10812.90,
2017-02-06,10928.17,
2017-02-15,10939.49,
2017-02-20,11032.88,
2017-03-03,11050.11,
2017-03-10,11091.07,
2017-03-16,11170.33,
2017-03-27,11179.66,
2017-03-31,11277.66,
2017-04-10,11257.31,
2017-04-19,11265.33,
2017-04-27,11364.02,
2017-05-05,11341.18,
2017-05-16,11419.56,
2017-05-24,11275.66,
2017-05-26,11375.73,
2017-06-01,11392.96,
2017-06-09,11463.86,
2017-06-20,11502.59,
2017-06-27,11413.27,
2017-07-03,11481.86,
2017-07-10,11532.68,
2017-07-18,11517.90,
2017-07-31,11597.55,
2017-08-07,11558.59,
2017-08-11,11456.53,
2017-08-16,11524.16,
2017-08-29,11475.18,
2017-09-01,11549.45,
2017-09-12,11610.02,
2017-09-20,11624.50,
2017-09-27,11427.62,
2017-10-03,11503.32,
2017-10-11,11545.88,
2017-10-24,11642.50,
2017-11-01,11820.02,
2017-11-08,11751.85,
2017-11-15,11739.00,
2017-11-22,11904.51,
2017-11-29,11890.57,
2017-12-06,11746.48,
2017-12-11,11868.12,
2017-12-22,12025.46,
2017-12-28,12007.22,
2018-01-08,12136.96,
2018-01-16,12184.94,
2018-01-23,12312.69,
2018-01-29,12341.17,
2018-02-06,12028.83,
2018-02-08,12069.21,
2018-02-20,11966.54,
2018-02-26,12137.23,
2018-03-07,11899.44,
2018-03-13,12030.56,
2018-03-23,11845.59,
2018-04-02,12009.83,
2018-04-12,12159.03,
2018-04-18,12161.87,
2018-04-23,12243.86,
2018-05-04,12173.47,
2018-05-11,12274.88,
2018-05-21,12127.25,
2018-05-28,12246.74,
2018-06-04,12179.53,
2018-06-12,12290.92,
2018-06-19,12243.59,
2018-06-22,12279.06,
2018-06-28,12216.42,
2018-07-10,12454.78,
2018-07-16,12444.80,
2018-07-19,12459.62,
2018-07-31,12638.37,
2018-08-02,12557.23,
2018-08-16,12626.51,
2018-08-27,12761.28,
2018-08-28,12776.14,
2018-09-07,12678.56,
2018-09-11,12567.67,
2018-09-24,12388.07,
2018-10-01,12443.23,
2018-10-11,12161.14,
2018-10-16,12355.75,
2018-10-26,12172.05,
2018-10-31,12256.15,
2018-11-14,12240.83,
2018-11-22,12296.45,
2018-11-30,12488.02,
2018-12-10,12289.62,
2018-12-17,12420.66,
2018-12-24,12323.82,
2019-01-01,12409.57,
2019-01-03,12362.01,
2019-01-14,12403.43,
2019-01-21,12531.40,
2019-01-30,12410.95,
2019-02-06,12571.28,
2019-02-12,12495.20,
2019-02-18,12426.65,
2019-02-28,12453.79,
2019-03-06,12618.18,
2019-03-13,12800.09,
2019-03-25,12831.75,
2019-04-01,12968.63,
2019-04-04,12891.94,
2019-04-16,13041.10,
2019-04-22,12964.03,
2019-05-03,13115.68,
2019-05-13,12865.76,
2019-05-20,13152.11,
2019-05-23,13099.37,
2019-05-30,13246.30,
2019-06-13,13243.62,
2019-06-17,13148.50,
2019-06-26,13272.75,
2019-07-04,13323.15,
2019-07-08,13198.55,
2019-07-17,13294.78,
2019-07-22,13117.68,
2019-07-28,13112.96,
2019-08-05,12935.62,
2019-08-16,13094.88,
2019-08-27,13145.47,
2019-09-03,12992.12,
2019-09-09,13066.82,
2019-09-19,12972.01,
2019-09-24,13398.69,
2019-10-07,13275.40,
2019-10-15,13417.50,
2019-10-25,13507.09,
2019-10-30,13639.66,
2019-11-05,13596.37,
2019-11-15,13692.87,
2019-11-22,13692.10,
2019-11-28,13760.42,
2019-12-10,13719.81,
2019-12-18,13905.55,
2019-12-26,13835.04,
2019-12-30,13882.06,
2020-01-06,13774.43,
2020-01-17,13929.62,
2020-01-22,13795.08,
2020-01-31,13754.89,
2020-02-03,13674.33,
2020-02-12,13858.65,
2020-02-20,13797.39,
2020-03-03,13550.54,
2020-03-11,13186.92,
2020-03-18,12142.64,
2020-03-23,11667.26,
2020-03-27,12282.90,
2020-04-15,12313.49,
2020-04-21,12390.14,
2020-04-30,12837.24,
2020-05-05,12572.05,
2020-05-11,12660.02,
2020-05-19,12451.67,
2020-05-26,12521.73,
2020-06-03,12908.71,
2020-06-15,12784.81,
2020-06-23,13054.88,
2020-06-24,12982.26,
2020-07-07,13205.69,
2020-07-15,13140.44,
2020-07-20,13282.88,
2020-07-28,13364.14,
2020-08-03,13260.93,
2020-08-10,13454.65,
2020-08-17,13397.42,
2020-08-25,13596.44,
2020-08-31,13474.15,
2020-09-09,13520.14,
2020-09-16,13725.26,
2020-09-24,13400.92,
2020-09-28,13599.67,
2020-10-09,13878.72,
2020-10-15,13752.78,
2020-10-27,13832.24,
2020-11-02,13712.40,
2020-11-10,14138.47,
2020-11-19,14144.88,
2020-11-24,14316.30,
2020-11-27,14290.28,
2020-12-09,14458.40,
2020-12-21,14400.59,
2020-12-24,14609.56,
2021-01-05,14877.90,
2021-01-12,15018.04,
2021-01-18,14877.32,
2021-01-28,14697.99,
2021-01-29,14626.68,
2021-02-08,15149.01,
2021-02-16,15224.93,
2021-02-22,15069.48,
2021-03-03,15292.79,
2021-03-10,15299.59,
2021-03-18,15096.84,
2021-03-25,14996.12,
2021-04-08,15340.93,
2021-04-12,15062.64,
2021-04-20,15110.85,
2021-04-28,15322.89,
2021-05-04,15277.86,
2021-05-14,15351.22,
2021-05-24,15635.76,
2021-06-01,15677.83,
2021-06-08,15867.48,
2021-06-16,15960.83,
2021-06-18,15885.98,
2021-06-30,15971.58,
2021-07-07,16114.22,
2021-07-09,16069.77,
2021-07-16,16181.12,
2021-07-28,16113.41,
2021-08-03,16345.40,
2021-08-11,16193.63,
