# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:35:28.481293+00:00
date,fund_below_high,benchmark_below_high
2025-08-22,0.000000,
2025-08-25,0.000000,
2025-08-26,-0.013445,
2025-08-28,-0.026065,
2025-08-29,-0.028941,
2025-09-01,-0.015376,
2025-09-02,-0.010271,
2025-09-03,-0.003732,
2025-09-04,-0.008380,
2025-09-05,-0.009305,
2025-09-08,-0.005255,
2025-09-09,-0.003871,
2025-09-10,0.000000,
2025-09-11,0.000000,
2025-09-12,0.000000,
2025-09-15,0.000000,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,0.000000,
2025-09-19,0.000000,
2025-09-22,0.000000,
2025-09-23,-0.004567,
2025-09-24,-0.016523,
2025-09-25,-0.023922,
2025-09-26,-0.040339,
2025-09-30,-0.030598,
2025-10-01,-0.027169,
2025-10-03,-0.023373,
2025-10-06,-0.020059,
2025-10-07,-0.018999,
2025-10-08,-0.026639,
2025-10-09,-0.021224,
2025-10-10,-0.018854,
2025-10-13,-0.020540,
2025-10-14,-0.025733,
2025-10-15,-0.012814,
2025-10-16,-0.007977,
2025-10-17,-0.009374,
2025-10-20,-0.008035,
2025-10-23,-0.008218,
2025-10-24,-0.009181,
2025-10-27,-0.005289,
2025-10-28,-0.010357,
2025-10-29,0.000000,
2025-10-30,-0.002227,
2025-10-31,-0.005904,
2025-11-03,0.000000,
2025-11-04,-0.004458,
2025-11-06,-0.016779,
2025-11-07,-0.015737,
2025-11-10,-0.012044,
2025-11-11,-0.010686,
2025-11-12,-0.009518,
2025-11-13,-0.008906,
2025-11-14,-0.009834,
2025-11-17,-0.004668,
2025-11-18,-0.011910,
2025-11-19,-0.012025,
2025-11-20,-0.013001,
2025-11-21,-0.025695,
2025-11-24,-0.035233,
2025-11-25,-0.032764,
2025-11-26,-0.018147,
2025-11-27,-0.019850,
2025-11-28,-0.018893,
2025-12-01,-0.017736,
2025-12-02,-0.018683,
2025-12-03,-0.029368,
2025-12-04,-0.027111,
2025-12-05,-0.025016,
2025-12-08,-0.044990,
2025-12-09,-0.039270,
2025-12-10,-0.041145,
2025-12-11,-0.035950,
2025-12-12,-0.027876,
2025-12-15,-0.026288,
2025-12-16,-0.030335,
2025-12-17,-0.034027,
2025-12-18,-0.037528,
2025-12-19,-0.029770,
2025-12-22,-0.023208,
2025-12-23,-0.019620,
2025-12-24,-0.021601,
2025-12-26,-0.021553,
2025-12-29,-0.026135,
2025-12-30,-0.025733,
2025-12-31,-0.015861,
2026-01-01,-0.011460,
2026-01-02,-0.000976,
2026-01-05,-0.001033,
2026-01-06,0.000000,
2026-01-07,0.000000,
2026-01-08,-0.021138,
2026-01-09,-0.031087,
2026-01-12,-0.028187,
2026-01-13,-0.030696,
2026-01-14,-0.026966,
2026-01-16,-0.025974,
2026-01-19,-0.028311,
2026-01-20,-0.050709,
2026-01-21,-0.054190,
2026-01-22,-0.043908,
2026-01-23,-0.062699,
2026-01-27,-0.056480,
2026-01-28,-0.035170,
2026-01-29,-0.032289,
2026-01-30,-0.040216,
2026-02-02,-0.051081,
2026-02-03,-0.026013,
2026-02-04,-0.019669,
2026-02-05,-0.024286,
2026-02-06,-0.022807,
2026-02-09,-0.013345,
2026-02-10,-0.011933,
2026-02-11,-0.006477,
2026-02-12,-0.010722,
2026-02-13,-0.026089,
2026-02-16,-0.016645,
2026-02-17,-0.011389,
2026-02-18,-0.004407,
2026-02-19,-0.022874,
2026-02-20,-0.016588,
2026-02-23,-0.012782,
2026-02-24,-0.012009,
2026-02-25,-0.003243,
2026-02-26,0.000000,
2026-02-27,-0.012982,
2026-03-02,-0.027978,
2026-03-04,-0.054133,
2026-03-05,-0.041094,
2026-03-06,-0.044575,
2026-03-09,-0.064464,
2026-03-10,-0.048105,
2026-03-11,-0.058435,
2026-03-12,-0.059170,
2026-03-13,-0.083666,
2026-03-16,-0.086918,
2026-03-17,-0.079011,
2026-03-18,-0.069844,
2026-03-19,-0.099510,
2026-03-20,-0.095265,
2026-03-23,-0.129710,
2026-03-24,-0.116336,
2026-03-25,-0.098518,
2026-03-27,-0.120247,
2026-03-30,-0.144094,
2026-03-31,-0.144094,
2026-04-01,-0.122002,
2026-04-02,-0.121373,
2026-04-06,-0.108638,
2026-04-07,-0.104499,
2026-04-08,-0.062070,
2026-04-09,-0.060333,
2026-04-10,-0.040903,
2026-04-13,-0.048248,
2026-04-15,-0.026356,
2026-04-16,-0.015987,
2026-04-17,-0.002051,
2026-04-20,-0.001116,
2026-04-21,0.000000,
2026-04-22,0.000000,
2026-04-23,-0.013125,
2026-04-24,-0.020506,
2026-04-27,-0.007720,
2026-04-28,-0.010959,
2026-04-29,-0.011609,
2026-04-30,-0.023651,
2026-05-04,-0.014716,
2026-05-05,-0.009905,
2026-05-06,0.000000,
2026-05-07,0.000000,
2026-05-08,-0.004973,
2026-05-11,-0.021667,
2026-05-12,-0.045419,
2026-05-13,-0.037352,
2026-05-14,-0.026565,
2026-05-15,-0.035763,
2026-05-18,-0.044998,
2026-05-19,-0.039792,
2026-05-20,-0.034651,
2026-05-21,-0.032650,
2026-05-22,-0.028799,
2026-05-25,-0.014236,
2026-05-26,-0.012441,
2026-05-27,0.000000,
2026-05-29,-0.012262,
2026-06-01,-0.028304,
2026-06-02,-0.025607,
2026-06-03,-0.029228,
2026-06-04,-0.027091,
2026-06-05,-0.024580,
2026-06-08,-0.041518,
2026-06-09,-0.027996,
2026-06-10,-0.039017,
2026-06-11,-0.049814,
2026-06-12,-0.026811,
2026-06-15,-0.004031,
2026-06-16,-0.002464,
2026-06-17,0.000000,
2026-06-18,0.000000,
2026-06-19,-0.003294,
2026-06-22,0.000000,
2026-06-23,-0.013239,
2026-06-24,-0.013367,
2026-06-25,-0.011464,
2026-06-29,-0.020906,
2026-06-30,-0.019049,
2026-07-01,-0.012613,
2026-07-02,-0.008283,
2026-07-03,-0.010333,
2026-07-06,-0.004661,
2026-07-07,-0.010646,
2026-07-08,-0.028996,
2026-07-09,-0.020970,
2026-07-10,-0.008587,
2026-07-13,-0.012439,
2026-07-14,-0.015960,
2026-07-15,-0.011906,
2026-07-16,-0.015344,
2026-07-17,-0.015997,
2026-07-20,-0.007373,
2026-07-21,-0.003034,
2026-07-22,-0.009616,
2026-07-23,-0.015730,
2026-07-24,-0.016594,
2026-07-27,-0.005020,
2026-07-28,-0.011988,
2026-07-29,-0.004551,
2026-07-30,-0.003567,
2026-07-31,0.000000,
2026-08-03,0.000000,
2026-08-04,-0.005237,
2026-08-05,-0.001653,
2026-08-06,-0.000907,
2026-08-07,0.000000,
2026-08-10,0.000000,
2026-08-11,-0.001559,
2026-08-12,-0.000260,
2026-08-13,-0.000475,
2026-08-14,-0.003360,
2026-08-17,-0.003548,
2026-08-18,-0.005761,
2026-08-19,-0.011335,
2026-08-20,-0.007392,
2026-08-21,-0.010071,
2026-08-24,-0.009686,
2026-08-25,-0.003190,
2026-08-26,-0.003306,
2026-08-27,-0.005143,
2026-08-28,-0.007661,
2026-08-31,-0.013019,
2026-09-01,-0.024846,
2026-09-02,-0.023816,
2026-09-03,-0.022436,
2026-09-04,-0.024730,
2026-09-07,-0.028825,
2026-09-08,-0.023825,
2026-09-09,-0.025124,
2026-09-10,-0.029452,
2026-09-11,-0.035437,
2026-09-15,-0.059567,
2026-09-16,-0.058402,
2026-09-17,-0.048035,
2026-09-18,-0.036253,
2026-09-21,-0.035383,
2026-09-22,-0.039129,
2026-09-23,-0.030330,
2026-09-24,-0.044809,
2026-09-25,-0.039496,
