# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:36:02.366396+00:00
date,fund_value_inr,benchmark_value_inr
2019-09-11,10000.00,
2019-09-13,10134.74,
2019-09-19,9656.68,
2019-09-23,11011.82,
2019-09-27,10764.21,
2019-10-04,10005.42,
2019-10-09,10377.13,
2019-10-14,10168.06,
2019-10-22,10611.92,
2019-10-24,10504.68,
2019-11-01,10943.31,
2019-11-05,10903.59,
2019-11-11,11225.91,
2019-11-18,11179.09,
2019-11-22,11222.86,
2019-11-28,11576.62,
2019-12-04,11523.20,
2019-12-10,11232.61,
2019-12-13,11531.58,
2019-12-16,11516.99,
2019-12-20,11663.66,
2019-12-26,11526.16,
2020-01-02,11683.28,
2020-01-06,11243.36,
2020-01-13,11573.57,
2020-01-16,11450.36,
2020-01-22,11043.85,
2020-01-24,11232.42,
2020-02-03,10796.94,
2020-02-06,11249.17,
2020-02-12,11320.34,
2020-02-17,11029.66,
2020-02-20,11121.72,
2020-02-27,10854.40,
2020-02-28,10488.91,
2020-03-05,10369.05,
2020-03-13,9087.84,
2020-03-18,7447.04,
2020-03-23,6209.40,
2020-03-27,7217.57,
2020-04-03,6266.47,
2020-04-09,7184.55,
2020-04-17,7454.34,
2020-04-21,7000.62,
2020-04-29,7596.48,
2020-05-05,6940.99,
2020-05-06,7088.94,
2020-05-13,7062.23,
2020-05-18,6340.60,
2020-05-26,6290.82,
2020-05-27,6730.44,
2020-06-03,7520.58,
2020-06-10,7579.82,
2020-06-15,7160.21,
2020-06-17,7259.37,
2020-06-23,7994.50,
2020-06-29,7681.15,
2020-07-03,7858.28,
2020-07-09,8232.64,
2020-07-14,7699.78,
2020-07-15,7681.44,
2020-07-23,8296.42,
2020-07-27,7860.54,
2020-08-03,7582.38,
2020-08-04,7728.07,
2020-08-11,7990.85,
2020-08-14,7797.16,
2020-08-20,7908.94,
2020-08-24,8204.06,
2020-08-28,8807.50,
2020-09-04,8266.16,
2020-09-09,8007.12,
2020-09-15,8082.42,
2020-09-17,8031.17,
2020-09-24,7374.10,
2020-09-28,7798.54,
2020-10-05,8050.39,
2020-10-09,8580.50,
2020-10-15,8303.22,
2020-10-19,8729.73,
2020-10-22,8808.00,
2020-10-30,8598.44,
2020-11-03,9232.34,
2020-11-10,10271.46,
2020-11-12,10157.12,
2020-11-18,10682.50,
2020-11-23,10427.60,
2020-12-01,10703.49,
2020-12-03,10570.52,
2020-12-09,11019.61,
2020-12-16,11015.76,
2020-12-21,10570.03,
2020-12-28,11075.59,
2020-12-29,11230.45,
2021-01-04,11193.68,
2021-01-07,11458.83,
2021-01-13,11679.43,
2021-01-20,11664.74,
2021-01-27,10856.67,
2021-01-29,10954.35,
2021-02-02,12244.53,
2021-02-08,12848.67,
