# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m0
# Generated: 2026-09-26T10:36:02.923916+00:00
date,nav
2024-11-25,10.19910
2024-11-26,10.22020
2024-11-27,10.26390
2024-11-28,10.30260
2024-11-29,10.29640
2024-12-02,10.33130
2024-12-03,10.40990
2024-12-04,10.60860
2024-12-05,10.77510
2024-12-06,10.89120
2024-12-09,10.95890
2024-12-10,10.99620
2024-12-11,11.00930
2024-12-12,10.95450
2024-12-13,10.90380
2024-12-16,10.98380
2024-12-17,10.87940
2024-12-18,10.77390
2024-12-19,10.78580
2024-12-20,10.42100
2024-12-23,10.46360
2024-12-24,10.42850
2024-12-26,10.41850
2024-12-27,10.41730
2024-12-30,10.43920
2024-12-31,10.40990
2025-01-01,10.46420
2025-01-02,10.68580
2025-01-03,10.64810
2025-01-06,10.29030
2025-01-07,10.38920
2025-01-08,10.24620
2025-01-09,10.09740
2025-01-10,9.87200
2025-01-13,9.58930
2025-01-14,9.88260
2025-01-15,10.05040
2025-01-16,10.23740
2025-01-17,10.17390
2025-01-20,10.26610
2025-01-21,10.04620
2025-01-22,9.95160
2025-01-23,10.08610
2025-01-24,9.95080
2025-01-27,9.64090
2025-01-28,9.58840
2025-01-29,9.85140
2025-01-30,9.78330
2025-01-31,9.97540
2025-02-03,9.81090
2025-02-04,9.99880
2025-02-05,10.18640
2025-02-06,10.06580
2025-02-07,10.13460
2025-02-10,9.90550
2025-02-11,9.53580
2025-02-12,9.60950
2025-02-13,9.65470
2025-02-14,9.44120
2025-02-17,9.43610
2025-02-18,9.37660
2025-02-19,9.57820
2025-02-20,9.71910
2025-02-21,9.62190
2025-02-24,9.51850
2025-02-25,9.40950
2025-02-27,9.36780
2025-02-28,9.09600
2025-03-03,8.99420
2025-03-04,8.97500
2025-03-05,9.08780
2025-03-06,9.13160
2025-03-07,9.09070
2025-03-10,8.96540
2025-03-11,8.95370
2025-03-12,8.93000
2025-03-13,8.82130
2025-03-17,8.90100
2025-03-18,9.17870
2025-03-19,9.46760
2025-03-20,9.51400
2025-03-21,9.74290
2025-03-24,9.86470
2025-03-25,9.77160
2025-03-26,9.69560
2025-03-27,9.78100
2025-03-28,9.83780
2025-03-31,9.83730
2025-04-01,9.79120
2025-04-02,9.91910
2025-04-03,10.04680
2025-04-04,9.81430
2025-04-07,9.47990
2025-04-08,9.76310
2025-04-09,9.69860
2025-04-11,9.83770
2025-04-15,10.16120
2025-04-16,10.31670
2025-04-17,10.38070
2025-04-21,10.73540
2025-04-22,10.76770
2025-04-23,10.85830
2025-04-24,10.88070
2025-04-25,10.58380
2025-04-28,10.76130
2025-04-29,10.80050
2025-04-30,10.62300
2025-05-02,10.57480
2025-05-05,10.71650
2025-05-06,10.41410
2025-05-07,10.69900
2025-05-08,10.49960
2025-05-09,10.49180
2025-05-12,10.92530
2025-05-13,11.00430
2025-05-14,11.17230
2025-05-15,11.17280
2025-05-16,11.27130
2025-05-19,11.33120
2025-05-20,11.17550
