# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:00.076940+00:00
date,fund_below_high,benchmark_below_high
2024-12-27,0.000000,
2024-12-30,0.000000,
2024-12-31,0.000000,
2025-01-01,0.000000,
2025-01-02,0.000000,
2025-01-03,0.000000,
2025-01-06,0.000000,
2025-01-07,-0.000040,
2025-01-08,-0.000229,
2025-01-09,-0.000319,
2025-01-10,0.000000,
2025-01-13,0.000000,
2025-01-14,-0.000607,
2025-01-15,0.000000,
2025-01-16,-0.000020,
2025-01-17,0.000000,
2025-01-20,0.000000,
2025-01-21,0.000000,
2025-01-22,0.000000,
2025-01-23,0.000000,
2025-01-24,0.000000,
2025-01-27,0.000000,
2025-01-28,0.000000,
2025-01-29,0.000000,
2025-01-30,-0.000566,
2025-01-31,0.000000,
2025-02-03,0.000000,
2025-02-04,0.000000,
2025-02-05,-0.000030,
2025-02-06,-0.000010,
2025-02-07,0.000000,
2025-02-10,0.000000,
2025-02-11,0.000000,
2025-02-12,0.000000,
2025-02-13,0.000000,
2025-02-14,0.000000,
2025-02-17,-0.000109,
2025-02-18,0.000000,
2025-02-19,0.000000,
2025-02-20,0.000000,
2025-02-21,0.000000,
2025-02-24,-0.000711,
2025-02-25,-0.000296,
2025-02-27,0.000000,
2025-02-28,-0.000128,
2025-03-03,0.000000,
2025-03-04,0.000000,
2025-03-05,-0.000197,
2025-03-06,0.000000,
2025-03-07,-0.000138,
2025-03-10,0.000000,
2025-03-11,-0.000601,
2025-03-12,-0.000443,
2025-03-13,0.000000,
2025-03-17,-0.000728,
2025-03-18,-0.000364,
2025-03-19,-0.000315,
2025-03-20,0.000000,
2025-03-21,0.000000,
2025-03-24,0.000000,
2025-03-25,0.000000,
2025-03-26,-0.000088,
2025-03-27,0.000000,
2025-03-28,0.000000,
2025-03-31,0.000000,
2025-04-01,-0.000274,
2025-04-02,0.000000,
2025-04-03,0.000000,
2025-04-04,0.000000,
2025-04-07,-0.000264,
2025-04-08,-0.000264,
2025-04-09,0.000000,
2025-04-11,0.000000,
2025-04-15,0.000000,
2025-04-16,0.000000,
2025-04-17,0.000000,
2025-04-21,0.000000,
2025-04-22,0.000000,
2025-04-23,-0.000156,
2025-04-24,0.000000,
2025-04-25,0.000000,
2025-04-28,-0.000750,
2025-04-29,-0.000078,
2025-04-30,0.000000,
2025-05-02,0.000000,
2025-05-05,-0.000457,
2025-05-06,0.000000,
2025-05-07,-0.000224,
