# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:01.571648+00:00
date,fund_below_high,benchmark_below_high
2025-02-24,0.000000,
2025-02-25,0.000000,
2025-02-27,-0.000959,
2025-02-28,-0.002107,
2025-03-03,0.000000,
2025-03-04,0.000000,
2025-03-05,0.000000,
2025-03-06,0.000000,
2025-03-07,-0.000802,
2025-03-10,-0.013040,
2025-03-11,-0.015270,
2025-03-12,-0.014253,
2025-03-13,-0.018009,
2025-03-17,-0.007777,
2025-03-18,0.000000,
2025-03-19,0.000000,
2025-03-20,0.000000,
2025-03-21,0.000000,
2025-03-24,0.000000,
2025-03-25,-0.004142,
2025-03-26,-0.013090,
2025-03-27,-0.003555,
2025-03-28,-0.012726,
2025-03-31,-0.012801,
2025-04-01,-0.022970,
2025-04-02,-0.014639,
2025-04-03,-0.018940,
2025-04-04,-0.037058,
2025-04-07,-0.067343,
2025-04-08,-0.046099,
2025-04-09,-0.051295,
2025-04-11,-0.035752,
2025-04-15,-0.012735,
2025-04-16,-0.007641,
2025-04-17,0.000000,
2025-04-21,0.000000,
2025-04-22,0.000000,
2025-04-23,0.000000,
2025-04-24,-0.008367,
2025-04-25,-0.022171,
2025-04-28,-0.015662,
2025-04-29,-0.007956,
2025-04-30,-0.020010,
2025-05-02,-0.017403,
2025-05-05,-0.008527,
2025-05-06,-0.025627,
2025-05-07,-0.012519,
2025-05-08,-0.021912,
2025-05-09,-0.027707,
2025-05-12,0.000000,
2025-05-13,-0.001292,
2025-05-14,0.000000,
2025-05-15,0.000000,
2025-05-16,0.000000,
2025-05-19,-0.000545,
2025-05-20,-0.010464,
2025-05-21,-0.001937,
2025-05-22,0.000000,
2025-05-23,0.000000,
2025-05-26,-0.000515,
2025-05-27,0.000000,
2025-05-28,0.000000,
2025-05-29,0.000000,
2025-05-30,-0.002620,
2025-06-02,0.000000,
2025-06-03,0.000000,
2025-06-04,0.000000,
2025-06-05,0.000000,
2025-06-06,0.000000,
2025-06-09,0.000000,
2025-06-10,-0.005641,
2025-06-11,-0.009142,
2025-06-12,-0.025124,
2025-06-13,-0.027183,
2025-06-16,-0.017562,
2025-06-17,-0.020577,
2025-06-18,-0.019678,
2025-06-19,-0.030197,
2025-06-20,-0.016493,
2025-06-23,-0.008186,
2025-06-24,0.000000,
2025-06-25,0.000000,
2025-06-26,0.000000,
2025-06-27,0.000000,
2025-06-30,0.000000,
2025-07-01,-0.000127,
2025-07-02,0.000000,
2025-07-03,-0.002060,
2025-07-04,-0.000872,
2025-07-07,-0.000531,
2025-07-08,0.000000,
2025-07-09,0.000000,
2025-07-10,-0.000758,
2025-07-11,-0.006676,
2025-07-14,-0.004135,
2025-07-15,0.000000,
2025-07-16,0.000000,
2025-07-17,0.000000,
2025-07-18,-0.005040,
2025-07-21,-0.002753,
2025-07-22,-0.006665,
2025-07-23,-0.002427,
2025-07-24,-0.008610,
2025-07-25,-0.022687,
2025-07-28,-0.031678,
2025-07-29,-0.029360,
2025-07-30,-0.027711,
2025-07-31,-0.028481,
2025-08-01,-0.038149,
2025-08-04,-0.027183,
2025-08-05,-0.026187,
2025-08-06,-0.034493,
2025-08-07,-0.031297,
2025-08-08,-0.045880,
2025-08-11,-0.046004,
2025-08-12,-0.052203,
2025-08-13,-0.038118,
2025-08-14,-0.035481,
2025-08-18,-0.016901,
2025-08-19,-0.011869,
2025-08-20,-0.004962,
2025-08-21,0.000000,
2025-08-22,0.000000,
2025-08-25,0.000000,
2025-08-26,-0.017460,
2025-08-28,-0.023462,
2025-08-29,-0.024431,
2025-09-01,-0.008187,
2025-09-02,-0.010888,
2025-09-03,-0.005263,
2025-09-04,-0.001077,
2025-09-05,-0.000046,
2025-09-08,0.000000,
2025-09-09,0.000000,
2025-09-10,-0.003660,
2025-09-11,-0.005853,
2025-09-12,-0.007078,
2025-09-15,-0.002579,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,0.000000,
2025-09-19,-0.003431,
2025-09-22,-0.011771,
2025-09-23,-0.008948,
2025-09-24,-0.008978,
2025-09-25,-0.017326,
2025-09-26,-0.037512,
2025-09-30,-0.042324,
2025-10-01,-0.033819,
2025-10-03,-0.024420,
2025-10-06,-0.015104,
2025-10-07,-0.007552,
2025-10-08,-0.015111,
2025-10-09,-0.012356,
2025-10-10,-0.005705,
2025-10-13,-0.009046,
2025-10-14,-0.021199,
2025-10-15,-0.010953,
2025-10-16,-0.008873,
2025-10-17,-0.011471,
2025-10-20,-0.004632,
2025-10-23,-0.006501,
2025-10-24,-0.005075,
2025-10-27,0.000000,
2025-10-28,0.000000,
2025-10-29,0.000000,
2025-10-30,-0.003731,
2025-10-31,-0.010399,
2025-11-03,-0.005961,
2025-11-04,-0.012488,
2025-11-06,-0.025443,
2025-11-07,-0.026112,
2025-11-10,-0.023124,
2025-11-11,-0.029011,
2025-11-12,-0.020805,
2025-11-13,-0.021452,
2025-11-14,-0.017728,
2025-11-17,-0.010555,
2025-11-18,-0.019081,
2025-11-19,-0.010704,
2025-11-20,-0.011744,
2025-11-21,-0.020716,
2025-11-24,-0.029034,
2025-11-25,-0.024670,
2025-11-26,-0.014561,
2025-11-27,-0.016449,
2025-11-28,-0.019207,
2025-12-01,-0.018545,
2025-12-02,-0.020158,
2025-12-03,-0.029390,
2025-12-04,-0.040436,
2025-12-05,-0.048895,
2025-12-08,-0.071417,
2025-12-09,-0.057956,
2025-12-10,-0.069194,
2025-12-11,-0.065545,
2025-12-12,-0.056447,
2025-12-15,-0.056625,
2025-12-16,-0.062319,
2025-12-17,-0.068243,
2025-12-18,-0.073008,
2025-12-19,-0.058662,
