# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:01.515756+00:00
date,fund_below_high,benchmark_below_high
2025-05-19,0.000000,
2025-05-20,-0.012285,
2025-05-21,-0.004934,
2025-05-22,-0.001165,
2025-05-23,-0.000320,
2025-05-26,0.000000,
2025-05-27,0.000000,
2025-05-28,-0.000482,
2025-05-29,0.000000,
2025-05-30,0.000000,
2025-06-02,0.000000,
2025-06-03,0.000000,
2025-06-04,0.000000,
2025-06-05,0.000000,
2025-06-06,-0.002087,
2025-06-09,0.000000,
2025-06-10,-0.000124,
2025-06-11,-0.002983,
2025-06-12,-0.020502,
2025-06-13,-0.021609,
2025-06-16,-0.011969,
2025-06-17,-0.013898,
2025-06-18,-0.014093,
2025-06-19,-0.026354,
2025-06-20,-0.009747,
2025-06-23,-0.009658,
2025-06-24,-0.004665,
2025-06-25,0.000000,
2025-06-26,0.000000,
2025-06-27,0.000000,
2025-06-30,0.000000,
2025-07-01,-0.003773,
2025-07-02,-0.005201,
2025-07-03,-0.002821,
2025-07-04,-0.003937,
2025-07-07,-0.008186,
2025-07-08,-0.002423,
2025-07-09,0.000000,
2025-07-10,-0.002807,
2025-07-11,-0.011408,
2025-07-14,-0.010251,
2025-07-15,-0.004758,
2025-07-16,-0.003938,
2025-07-17,-0.003238,
2025-07-18,-0.011935,
2025-07-21,-0.007384,
2025-07-22,-0.009845,
2025-07-23,-0.009638,
2025-07-24,-0.014258,
2025-07-25,-0.029319,
2025-07-28,-0.042281,
2025-07-29,-0.031624,
2025-07-30,-0.023109,
2025-07-31,-0.026391,
2025-08-01,-0.030821,
2025-08-04,-0.015976,
2025-08-05,0.000000,
2025-08-06,-0.007639,
2025-08-07,-0.004158,
2025-08-08,-0.021091,
2025-08-11,-0.015749,
2025-08-12,-0.012852,
2025-08-13,-0.001560,
2025-08-14,-0.012011,
2025-08-18,-0.001063,
2025-08-19,0.000000,
2025-08-20,0.000000,
2025-08-21,0.000000,
2025-08-22,0.000000,
2025-08-25,-0.003038,
2025-08-26,-0.013958,
2025-08-28,-0.023644,
2025-08-29,-0.022083,
2025-09-01,-0.012959,
2025-09-02,-0.005716,
2025-09-03,-0.004700,
2025-09-04,-0.012867,
2025-09-05,-0.012397,
2025-09-08,-0.011113,
2025-09-09,-0.010752,
2025-09-10,0.000000,
2025-09-11,0.000000,
2025-09-12,0.000000,
2025-09-15,0.000000,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,-0.007114,
2025-09-19,-0.002885,
2025-09-22,-0.004718,
2025-09-23,-0.007880,
2025-09-24,-0.016689,
2025-09-25,-0.022132,
2025-09-26,-0.038079,
2025-09-30,-0.040344,
2025-10-01,-0.022099,
2025-10-03,-0.013168,
2025-10-06,-0.010797,
2025-10-07,-0.010259,
2025-10-08,-0.014643,
2025-10-09,-0.006478,
2025-10-10,-0.006389,
2025-10-13,-0.008059,
2025-10-14,0.000000,
2025-10-15,0.000000,
2025-10-16,0.000000,
2025-10-17,0.000000,
2025-10-20,0.000000,
2025-10-23,-0.001105,
2025-10-24,-0.001073,
2025-10-27,-0.001345,
2025-10-28,-0.002762,
2025-10-29,0.000000,
2025-10-30,-0.003091,
2025-10-31,-0.005450,
2025-11-03,-0.001793,
2025-11-04,-0.004326,
2025-11-06,-0.018955,
2025-11-07,-0.015824,
2025-11-10,-0.008087,
2025-11-11,0.000000,
2025-11-12,0.000000,
2025-11-13,-0.000581,
2025-11-14,-0.001568,
2025-11-17,-0.002014,
2025-11-18,-0.006790,
2025-11-19,-0.003240,
2025-11-20,-0.002141,
2025-11-21,-0.015666,
2025-11-24,-0.022791,
2025-11-25,-0.023778,
2025-11-26,-0.010142,
2025-11-27,-0.014234,
2025-11-28,-0.016248,
2025-12-01,-0.016797,
2025-12-02,-0.020339,
2025-12-03,-0.030187,
2025-12-04,-0.039086,
2025-12-05,-0.042724,
2025-12-08,-0.061734,
2025-12-09,-0.051354,
2025-12-10,-0.059338,
2025-12-11,-0.057945,
2025-12-12,-0.047572,
2025-12-15,-0.046617,
2025-12-16,-0.051481,
2025-12-17,-0.057316,
2025-12-18,-0.063597,
2025-12-19,-0.044834,
2025-12-22,-0.030425,
2025-12-23,-0.032057,
2025-12-24,-0.035210,
2025-12-26,-0.035512,
2025-12-29,-0.043027,
2025-12-30,-0.039691,
2025-12-31,-0.031365,
2026-01-01,-0.029956,
2026-01-02,-0.020968,
2026-01-05,-0.022441,
2026-01-06,-0.024503,
2026-01-07,-0.020920,
2026-01-08,-0.044412,
2026-01-09,-0.053137,
2026-01-12,-0.059752,
2026-01-13,-0.060516,
2026-01-14,-0.057412,
2026-01-16,-0.065906,
2026-01-19,-0.068955,
2026-01-20,-0.089939,
2026-01-21,-0.096235,
2026-01-22,-0.083411,
2026-01-23,-0.096848,
2026-01-27,-0.090862,
2026-01-28,-0.070157,
2026-01-29,-0.063470,
2026-01-30,-0.055071,
2026-02-02,-0.064433,
2026-02-03,-0.042693,
2026-02-04,-0.035624,
2026-02-05,-0.042119,
2026-02-06,-0.040472,
2026-02-09,-0.025052,
2026-02-10,-0.019408,
2026-02-11,-0.020188,
2026-02-12,-0.020769,
2026-02-13,-0.035791,
2026-02-16,-0.031134,
2026-02-17,-0.028316,
2026-02-18,-0.023157,
2026-02-19,-0.039548,
2026-02-20,-0.031397,
2026-02-23,-0.024232,
2026-02-24,-0.030640,
2026-02-25,-0.027902,
2026-02-26,-0.019838,
2026-02-27,-0.027201,
2026-03-02,-0.042637,
2026-03-04,-0.058956,
2026-03-05,-0.041928,
2026-03-06,-0.040129,
2026-03-09,-0.055151,
2026-03-10,-0.043958,
2026-03-11,-0.048281,
2026-03-12,-0.050048,
2026-03-13,-0.074607,
2026-03-16,-0.077743,
2026-03-17,-0.062801,
2026-03-18,-0.047039,
2026-03-19,-0.071502,
2026-03-20,-0.066757,
2026-03-23,-0.091379,
2026-03-24,-0.073205,
2026-03-25,-0.059067,
2026-03-27,-0.077894,
2026-03-30,-0.090520,
2026-03-31,-0.090528,
2026-04-01,-0.076525,
2026-04-02,-0.079630,
2026-04-06,-0.076597,
2026-04-07,-0.075761,
2026-04-08,-0.046291,
2026-04-09,-0.045948,
2026-04-10,-0.027185,
2026-04-13,-0.030075,
2026-04-15,-0.010826,
2026-04-16,-0.008597,
2026-04-17,0.000000,
2026-04-20,0.000000,
2026-04-21,0.000000,
2026-04-22,0.000000,
2026-04-23,-0.002172,
2026-04-24,-0.008742,
2026-04-27,0.000000,
2026-04-28,0.000000,
2026-04-29,0.000000,
2026-04-30,-0.009221,
2026-05-04,-0.007210,
2026-05-05,-0.007734,
2026-05-06,-0.003305,
2026-05-07,0.000000,
2026-05-08,0.000000,
2026-05-11,-0.020453,
2026-05-12,-0.040269,
2026-05-13,-0.035143,
2026-05-14,-0.026459,
2026-05-15,-0.023009,
2026-05-18,-0.036856,
2026-05-19,-0.043151,
2026-05-20,-0.031609,
2026-05-21,-0.025754,
2026-05-22,-0.025716,
2026-05-25,-0.019551,
2026-05-26,-0.018512,
2026-05-27,-0.001797,
2026-05-29,-0.009555,
2026-06-01,-0.031275,
2026-06-02,-0.030372,
2026-06-03,-0.029455,
2026-06-04,-0.025944,
2026-06-05,-0.026164,
2026-06-08,-0.044652,
2026-06-09,-0.039624,
2026-06-10,-0.051713,
2026-06-11,-0.059638,
2026-06-12,-0.041225,
2026-06-15,-0.028386,
2026-06-16,-0.026118,
2026-06-17,-0.012619,
2026-06-18,-0.009123,
2026-06-19,0.000000,
2026-06-22,0.000000,
2026-06-23,-0.007990,
2026-06-24,-0.023088,
2026-06-25,-0.022267,
2026-06-29,-0.017907,
2026-06-30,-0.015422,
2026-07-01,-0.017372,
2026-07-02,-0.017899,
2026-07-03,-0.030098,
2026-07-06,-0.020324,
2026-07-07,-0.032018,
2026-07-08,-0.046145,
2026-07-09,-0.038103,
2026-07-10,-0.030768,
2026-07-13,-0.035445,
2026-07-14,-0.039993,
2026-07-15,-0.033231,
2026-07-16,-0.034428,
2026-07-17,-0.036243,
2026-07-20,-0.025987,
2026-07-21,-0.023841,
2026-07-22,-0.030798,
2026-07-23,-0.040181,
2026-07-24,-0.045678,
2026-07-27,-0.039420,
2026-07-28,-0.052659,
2026-07-29,-0.054481,
2026-07-30,-0.050196,
2026-07-31,-0.040701,
2026-08-03,-0.031642,
2026-08-04,-0.034616,
2026-08-05,-0.035151,
2026-08-06,-0.038148,
2026-08-07,-0.032606,
2026-08-10,-0.029669,
2026-08-11,-0.032877,
2026-08-12,-0.031981,
2026-08-13,-0.032041,
2026-08-14,-0.030783,
2026-08-17,-0.036747,
2026-08-18,-0.034323,
2026-08-19,-0.041890,
2026-08-20,-0.039684,
2026-08-21,-0.039970,
2026-08-24,-0.042320,
2026-08-25,-0.037222,
2026-08-26,-0.038464,
2026-08-27,-0.038012,
2026-08-28,-0.040264,
2026-08-31,-0.042967,
2026-09-01,-0.049933,
2026-09-02,-0.052463,
2026-09-03,-0.043743,
2026-09-04,-0.045580,
2026-09-07,-0.044029,
2026-09-08,-0.039827,
2026-09-09,-0.041514,
2026-09-10,-0.038999,
2026-09-11,-0.035505,
2026-09-15,-0.064616,
2026-09-16,-0.067629,
2026-09-17,-0.043171,
2026-09-18,-0.028110,
2026-09-21,-0.024112,
2026-09-22,-0.025339,
2026-09-23,-0.019834,
2026-09-24,-0.029277,
2026-09-25,-0.028118,
