# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:04.287946+00:00
stretch_ending,fund_return,benchmark_return
2025-03-13,0.177403,
2025-03-20,0.189472,
2025-03-27,0.192087,
2025-04-03,0.177512,
2025-04-09,0.153059,
2025-04-17,0.183683,
2025-04-24,0.200040,
2025-04-30,0.195981,
2025-05-08,0.213374,
2025-05-15,0.244792,
2025-05-22,0.240217,
2025-05-29,0.242337,
2025-06-05,0.246316,
2025-06-12,0.261906,
2025-06-19,0.270189,
2025-06-26,0.262127,
2025-07-03,0.260806,
2025-07-10,0.247925,
2025-07-17,0.243585,
2025-07-24,0.237934,
2025-07-31,0.220902,
2025-08-07,0.212942,
2025-08-14,0.206169,
2025-08-21,0.224801,
2025-08-28,0.208785,
2025-09-04,0.202860,
2025-09-11,0.199821,
2025-09-18,0.210512,
2025-09-25,0.217895,
2025-10-01,0.217815,
2025-10-09,0.213549,
2025-10-16,0.217944,
2025-10-23,0.211237,
2025-10-30,0.211770,
2025-11-06,0.207845,
2025-11-13,0.217800,
2025-11-20,0.227983,
2025-11-27,0.217965,
2025-12-04,0.207718,
2025-12-11,0.208993,
2025-12-18,0.208444,
2025-12-24,0.228575,
2026-01-01,0.221016,
2026-01-08,0.223279,
2026-01-14,0.223161,
2026-01-22,0.215681,
2026-01-29,0.227410,
2026-02-05,0.227956,
2026-02-12,0.238295,
2026-02-19,0.229529,
2026-02-26,0.245411,
2026-03-05,0.221585,
2026-03-12,0.220671,
2026-03-19,0.213831,
2026-03-25,0.224718,
2026-04-02,0.202803,
2026-04-09,0.221249,
2026-04-16,0.228650,
2026-04-23,0.238190,
2026-04-30,0.226145,
2026-05-07,0.239289,
2026-05-14,0.225996,
2026-05-21,0.232455,
2026-05-27,0.233788,
2026-06-04,0.214364,
2026-06-11,0.201731,
2026-06-18,0.213477,
2026-06-25,0.214298,
2026-07-02,0.212052,
2026-07-09,0.209106,
2026-07-16,0.202667,
2026-07-23,0.196598,
2026-07-30,0.191126,
2026-08-06,0.197660,
2026-08-13,0.198555,
2026-08-20,0.193656,
2026-08-27,0.190646,
2026-09-03,0.180033,
2026-09-10,0.165744,
2026-09-17,0.164921,
2026-09-24,0.165978,
