# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:04.279463+00:00
date,fund_below_high,benchmark_below_high
2022-03-14,0.000000,
2022-03-15,-0.011666,
2022-03-17,0.000000,
2022-03-23,0.000000,
2022-03-25,-0.005183,
2022-03-29,0.000000,
2022-03-31,0.000000,
2022-04-05,0.000000,
2022-04-07,-0.004452,
2022-04-11,0.000000,
2022-04-18,-0.021816,
2022-04-19,-0.026574,
2022-04-21,-0.017353,
2022-04-25,-0.040555,
2022-04-28,-0.022456,
2022-05-04,-0.059533,
2022-05-05,-0.059186,
2022-05-10,-0.110883,
2022-05-12,-0.128391,
2022-05-17,-0.097002,
2022-05-19,-0.117145,
2022-05-20,-0.098239,
2022-05-25,-0.128187,
2022-05-30,-0.098392,
2022-06-01,-0.091718,
2022-06-02,-0.087967,
2022-06-07,-0.106530,
2022-06-10,-0.111372,
2022-06-13,-0.133828,
2022-06-15,-0.128292,
2022-06-20,-0.159856,
2022-06-22,-0.154552,
2022-06-27,-0.125016,
2022-06-29,-0.121944,
2022-06-30,-0.128130,
2022-07-05,-0.118175,
2022-07-07,-0.097304,
2022-07-11,-0.091837,
2022-07-14,-0.094815,
2022-07-18,-0.078190,
2022-07-21,-0.063507,
2022-07-22,-0.061020,
2022-07-26,-0.071575,
2022-08-01,-0.035173,
2022-08-02,-0.031660,
2022-08-05,-0.033276,
2022-08-10,-0.034784,
2022-08-16,-0.014979,
2022-08-18,-0.010038,
2022-08-22,-0.034096,
2022-08-24,-0.020761,
2022-08-29,-0.021371,
2022-08-30,-0.003803,
2022-09-02,0.000000,
2022-09-06,-0.002656,
2022-09-09,0.000000,
2022-09-14,-0.001694,
2022-09-16,-0.021554,
2022-09-20,-0.008097,
2022-09-22,-0.009341,
2022-09-26,-0.055214,
2022-09-28,-0.059636,
2022-10-03,-0.057301,
2022-10-06,-0.028448,
2022-10-11,-0.047190,
2022-10-12,-0.040642,
2022-10-14,-0.047312,
2022-10-18,-0.026596,
2022-10-21,-0.029166,
2022-10-28,-0.021303,
2022-11-01,-0.003874,
