# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:02.835647+00:00
date,nav
2022-08-22,9.90570
2022-08-24,9.96300
2022-08-25,9.93280
2022-08-29,9.86960
2022-09-01,9.97260
2022-09-05,10.01120
2022-09-07,10.02190
2022-09-09,10.08670
2022-09-14,10.22990
2022-09-16,9.97620
2022-09-20,10.12790
2022-09-22,10.05090
2022-09-26,9.59840
2022-09-28,9.55300
2022-09-30,9.73840
2022-10-03,9.59860
2022-10-06,9.85960
2022-10-11,9.64480
2022-10-12,9.74420
2022-10-14,9.74380
2022-10-18,9.95160
2022-10-21,9.91830
2022-10-27,10.07330
2022-10-28,10.07810
2022-11-01,10.25170
2022-11-04,10.24280
2022-11-07,10.29540
2022-11-10,10.20670
2022-11-15,10.31840
2022-11-16,10.29300
2022-11-21,10.14330
2022-11-23,10.20780
2022-11-24,10.28940
2022-11-29,10.33720
2022-12-01,10.44610
2022-12-05,10.45480
2022-12-07,10.40440
2022-12-08,10.44930
2022-12-12,10.40820
2022-12-14,10.50370
2022-12-16,10.27240
2022-12-20,10.31920
2022-12-23,9.91310
2022-12-26,10.06160
2022-12-28,10.14020
2023-01-02,10.18290
2023-01-04,10.06560
2023-01-09,10.13390
2023-01-10,10.03290
2023-01-13,10.06780
2023-01-16,10.01870
2023-01-18,10.12860
2023-01-23,10.15180
2023-01-24,10.14780
2023-01-27,9.80750
2023-02-01,9.90260
2023-02-03,10.10310
2023-02-06,10.13960
2023-02-08,10.16880
2023-02-13,10.06910
2023-02-15,10.16930
2023-02-16,10.19840
2023-02-21,10.10890
2023-02-22,9.98940
2023-02-27,9.84680
2023-03-01,9.93360
2023-03-02,9.84710
2023-03-08,10.05860
2023-03-10,9.88800
2023-03-13,9.72590
2023-03-15,9.64650
2023-03-20,9.61180
2023-03-22,9.67690
2023-03-24,9.55000
2023-03-28,9.53340
2023-03-31,9.77340
2023-04-05,9.86660
2023-04-10,9.89360
2023-04-12,9.96850
2023-04-13,9.96890
2023-04-19,9.92390
2023-04-20,9.95700
2023-04-25,9.99500
2023-04-27,10.10460
2023-04-28,10.17750
2023-05-04,10.31120
2023-05-05,10.21380
2023-05-09,10.30090
2023-05-11,10.35960
2023-05-15,10.44000
2023-05-18,10.34300
2023-05-23,10.36560
2023-05-25,10.35930
2023-05-29,10.48920
2023-05-30,10.52040
2023-06-01,10.51890
2023-06-05,10.61300
2023-06-07,10.72480
2023-06-09,10.63390
2023-06-13,10.74940
2023-06-15,10.76710
2023-06-20,10.88190
2023-06-21,10.91110
2023-06-23,10.77050
2023-06-27,10.85780
2023-06-30,11.05990
2023-07-04,11.12790
2023-07-06,11.19850
2023-07-10,11.09130
2023-07-13,11.18070
2023-07-17,11.33560
2023-07-18,11.31260
2023-07-20,11.39910
2023-07-24,11.31100
2023-07-27,11.31430
2023-07-31,11.42510
2023-08-02,11.29830
2023-08-03,11.26630
2023-08-07,11.42190
2023-08-09,11.43800
2023-08-14,11.34690
2023-08-16,11.35560
2023-08-18,11.23500
2023-08-23,11.43460
2023-08-25,11.36120
2023-08-28,11.40740
2023-08-31,11.48140
2023-09-04,11.68190
2023-09-06,11.71170
2023-09-08,11.86580
2023-09-11,11.95300
2023-09-13,11.80970
2023-09-15,11.93430
2023-09-21,11.64520
2023-09-25,11.61180
2023-09-27,11.66060
2023-10-04,11.51260
2023-10-06,11.60740
2023-10-09,11.52820
2023-10-12,11.74770
2023-10-13,11.73900
2023-10-17,11.76690
2023-10-20,11.59160
2023-10-23,11.36850
2023-10-26,11.20320
2023-10-30,11.38900
2023-11-01,11.31200
2023-11-03,11.56900
2023-11-08,11.80540
2023-11-10,11.81160
2023-11-15,12.00850
2023-11-17,12.15700
2023-11-20,12.16160
2023-11-22,12.12880
2023-11-28,12.13870
2023-11-30,12.31930
2023-12-04,12.62330
2023-12-06,12.68470
2023-12-07,12.68130
2023-12-12,12.66890
2023-12-14,12.91410
2023-12-18,13.00660
2023-12-20,12.69520
2023-12-22,12.92010
2023-12-26,12.95490
2023-12-28,13.07240
2024-01-01,13.16270
2024-01-03,13.05150
2024-01-05,13.25670
2024-01-10,13.21140
2024-01-12,13.39370
2024-01-16,13.41390
2024-01-17,13.19910
2024-01-23,12.94970
2024-01-24,13.13240
2024-01-30,13.21700
2024-01-31,13.36500
2024-02-05,13.48430
2024-02-07,13.64850
2024-02-09,13.51760
2024-02-12,13.28860
2024-02-14,13.40580
2024-02-16,13.70630
2024-02-21,13.62770
2024-02-23,13.73160
2024-02-28,13.52150
2024-02-29,13.55560
2024-03-04,13.89510
2024-03-07,13.89460
2024-03-12,13.69260
2024-03-13,13.25950
2024-03-15,13.35860
2024-03-19,13.18990
2024-03-21,13.51710
2024-03-26,13.70610
2024-03-31,13.87710
2024-04-02,14.08450
2024-04-03,14.13850
2024-04-08,14.21020
2024-04-10,14.22770
2024-04-15,13.94470
2024-04-18,13.88080
2024-04-19,13.90470
2024-04-23,14.08610
2024-04-25,14.37950
2024-04-29,14.46710
2024-05-02,14.69770
2024-05-07,14.19130
2024-05-09,14.00020
2024-05-13,14.14730
2024-05-14,14.30840
2024-05-17,14.75730
2024-05-21,14.87830
2024-05-24,14.95600
2024-05-27,14.98470
2024-05-30,14.63480
2024-06-03,15.23330
2024-06-04,13.95860
2024-06-06,14.70320
2024-06-11,15.10320
2024-06-13,15.35510
2024-06-18,15.59100
2024-06-20,15.45160
2024-06-21,15.39910
2024-06-26,15.60310
2024-06-28,15.66550
2024-07-02,15.71870
2024-07-05,15.97440
2024-07-09,15.98580
2024-07-10,15.90890
2024-07-15,16.11550
2024-07-18,16.04660
2024-07-19,15.73260
2024-07-23,15.77490
2024-07-25,15.85710
2024-07-29,16.16850
2024-08-01,16.29890
2024-08-05,15.66210
2024-08-06,15.54320
2024-08-09,15.90570
2024-08-13,15.86300
2024-08-14,15.86040
2024-08-19,16.20980
2024-08-21,16.36980
2024-08-23,16.40980
2024-08-27,16.51850
2024-08-30,16.69980
2024-09-02,16.60930
2024-09-05,16.62430
2024-09-06,16.46500
2024-09-11,16.55240
2024-09-12,16.80380
2024-09-17,16.94300
2024-09-19,16.82750
2024-09-23,17.15400
2024-09-25,17.10210
2024-09-27,17.18050
2024-10-01,17.06170
2024-10-03,16.68290
2024-10-07,16.34870
2024-10-09,16.70390
2024-10-11,16.73540
2024-10-15,16.89500
2024-10-18,16.66370
2024-10-22,16.10050
2024-10-24,16.11980
2024-10-25,15.91510
2024-10-29,16.12350
2024-11-04,16.03530
2024-11-06,16.41380
2024-11-08,16.03850
2024-11-11,16.02130
2024-11-13,15.53410
2024-11-21,15.50450
2024-11-25,16.02570
2024-11-27,16.15630
2024-11-28,16.06080
2024-12-02,16.25150
2024-12-05,16.54270
2024-12-09,16.58570
2024-12-11,16.70000
2024-12-13,16.69540
2024-12-16,16.71970
2024-12-19,16.38910
2024-12-20,16.13910
2024-12-26,16.12560
2024-12-30,16.14440
2024-12-31,16.16000
2025-01-02,16.46870
2025-01-06,16.08430
2025-01-08,16.00960
2025-01-13,15.11060
2025-01-14,15.30430
2025-01-16,15.49150
2025-01-20,15.46020
2025-01-23,15.14820
2025-01-27,14.62570
2025-01-28,14.50420
2025-01-31,15.03180
2025-02-03,14.88820
2025-02-05,15.10660
2025-02-07,15.01870
2025-02-11,14.46240
2025-02-14,14.19680
2025-02-18,14.16130
2025-02-20,14.35670
2025-02-24,14.10960
2025-02-27,13.99970
2025-02-28,13.70590
2025-03-04,13.73530
2025-03-06,14.12960
2025-03-10,14.00480
2025-03-13,13.91780
2025-03-17,14.01320
2025-03-20,14.56640
2025-03-24,14.98640
2025-03-26,14.73770
2025-03-27,14.89990
2025-04-01,14.58480
2025-04-03,14.75060
2025-04-07,14.04230
2025-04-09,14.22200
2025-04-15,14.83690
2025-04-21,15.33050
2025-04-23,15.44020
2025-04-25,15.10540
2025-04-29,15.33970
2025-05-02,15.25500
2025-05-05,15.38660
2025-05-08,15.14570
2025-05-09,15.08550
2025-05-13,15.58640
2025-05-15,15.84430
2025-05-20,15.64710
2025-05-21,15.76670
2025-05-26,15.92040
2025-05-28,15.93790
2025-05-29,16.00620
2025-06-03,15.96980
2025-06-05,16.08960
2025-06-09,16.25130
2025-06-11,16.21100
2025-06-12,16.02920
2025-06-16,16.08660
2025-06-19,15.91240
