# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 20 Aug 2026 (37 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:05.104890+00:00
stretch_ending,fund_return,benchmark_return
2026-01-29,0.076386,
2026-02-05,0.076490,
2026-02-12,0.076998,
2026-02-18,0.077309,
2026-02-26,0.078587,
2026-03-05,0.078188,
2026-03-12,0.077811,
2026-03-18,0.077177,
2026-03-25,0.075840,
2026-04-02,0.074419,
2026-04-09,0.073534,
2026-04-16,0.074210,
2026-04-23,0.073925,
2026-04-30,0.074054,
2026-05-07,0.073373,
2026-05-14,0.073217,
2026-05-21,0.072220,
2026-05-27,0.071975,
2026-06-04,0.072115,
2026-06-11,0.073080,
2026-06-18,0.072998,
2026-06-25,0.073080,
2026-07-02,0.073274,
2026-07-09,0.073957,
2026-07-16,0.072908,
2026-07-23,0.073146,
2026-07-30,0.073780,
2026-08-06,0.073611,
2026-08-13,0.073857,
2026-08-20,0.073953,
