# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:05.818475+00:00
stretch_ending,fund_return,benchmark_return
2024-10-31,0.385958,
2024-11-07,0.388544,
2024-11-14,0.274967,
2024-11-21,0.263046,
2024-11-28,0.307118,
2024-12-05,0.319061,
2024-12-12,0.308669,
2024-12-19,0.329511,
2024-12-26,0.273354,
2025-01-02,0.270004,
2025-01-09,0.204583,
2025-01-16,0.152565,
2025-01-23,0.124215,
2025-01-30,0.050031,
2025-02-06,0.038445,
2025-02-13,0.016661,
2025-02-20,-0.011740,
2025-02-27,-0.037499,
2025-03-06,0.002928,
2025-03-13,0.060094,
2025-03-20,0.083994,
2025-03-27,0.052833,
2025-04-03,0.019993,
2025-04-09,-0.045813,
2025-04-17,0.018490,
2025-04-24,0.020754,
2025-04-30,-0.029757,
2025-05-08,-0.006629,
2025-05-15,0.034534,
2025-05-22,0.022280,
2025-05-29,0.057906,
2025-06-05,0.100032,
2025-06-12,0.026955,
2025-06-19,-0.012065,
2025-06-26,-0.004642,
2025-07-03,-0.018199,
2025-07-10,-0.008676,
2025-07-17,0.002052,
2025-07-24,-0.014052,
2025-07-31,-0.061806,
2025-08-07,-0.048772,
2025-08-14,-0.045950,
2025-08-21,-0.053962,
2025-08-28,-0.083326,
2025-09-04,-0.058257,
2025-09-11,-0.053176,
2025-09-18,-0.048720,
2025-09-25,-0.077872,
2025-10-01,-0.083812,
2025-10-09,-0.077471,
2025-10-16,-0.091689,
2025-10-23,-0.028891,
2025-10-30,-0.012540,
2025-11-06,-0.052375,
2025-11-13,0.024732,
2025-11-20,0.035718,
2025-11-27,-0.021889,
2025-12-04,-0.062908,
2025-12-11,-0.091339,
2025-12-18,-0.083763,
2025-12-24,-0.054670,
2026-01-01,-0.061012,
2026-01-08,-0.030303,
2026-01-14,0.017858,
2026-01-22,0.012876,
2026-01-29,0.044146,
2026-02-05,0.031260,
2026-02-12,0.103723,
2026-02-19,0.121249,
2026-02-26,0.154325,
2026-03-05,0.091268,
2026-03-12,0.088883,
2026-03-19,0.021252,
2026-03-25,0.032267,
2026-04-02,0.012802,
2026-04-09,0.100154,
2026-04-16,0.085102,
2026-04-23,0.067817,
2026-04-30,0.103385,
2026-05-07,0.151560,
2026-05-14,0.092809,
2026-05-21,0.068285,
2026-05-27,0.062181,
2026-06-04,0.032983,
2026-06-11,0.002376,
2026-06-18,0.051275,
2026-06-25,0.052819,
2026-07-02,0.057871,
2026-07-09,0.045291,
2026-07-16,0.049972,
2026-07-23,0.040239,
2026-07-30,0.076059,
2026-08-06,0.119056,
2026-08-13,0.128298,
2026-08-20,0.111000,
2026-08-27,0.143498,
2026-09-03,0.105761,
2026-09-10,0.111401,
2026-09-17,0.066072,
2026-09-24,0.089698,
