# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:04.915467+00:00
date,fund_below_high,benchmark_below_high
2024-01-30,0.000000,
2024-01-31,0.000000,
2024-02-01,-0.001319,
2024-02-02,0.000000,
2024-02-05,-0.003855,
2024-02-07,0.000000,
2024-02-08,-0.009147,
2024-02-12,-0.013691,
2024-02-13,-0.007850,
2024-02-14,-0.003376,
2024-02-15,0.000000,
2024-02-19,0.000000,
2024-02-20,0.000000,
2024-02-21,-0.006399,
2024-02-23,-0.000224,
2024-02-26,-0.004362,
2024-02-27,-0.000956,
2024-02-29,-0.010949,
2024-03-01,0.000000,
2024-03-04,0.000000,
2024-03-05,-0.002217,
2024-03-07,0.000000,
2024-03-11,-0.007261,
2024-03-13,-0.022411,
2024-03-14,-0.015603,
2024-03-15,-0.021167,
2024-03-18,-0.019644,
2024-03-20,-0.029422,
2024-03-21,-0.021678,
2024-03-26,-0.022093,
2024-03-27,-0.016837,
2024-03-28,-0.007763,
2024-04-01,-0.001755,
2024-04-02,-0.002189,
2024-04-03,-0.003018,
2024-04-04,0.000000,
2024-04-08,0.000000,
2024-04-09,-0.001005,
2024-04-10,0.000000,
2024-04-15,-0.021051,
2024-04-16,-0.026583,
2024-04-18,-0.033355,
2024-04-22,-0.018380,
2024-04-23,-0.017016,
2024-04-24,-0.015500,
2024-04-26,-0.014756,
2024-04-29,-0.004864,
2024-04-30,-0.006553,
2024-05-02,-0.004588,
2024-05-06,-0.013687,
2024-05-07,-0.019782,
2024-05-08,-0.019754,
2024-05-09,-0.034786,
2024-05-13,-0.026879,
2024-05-14,-0.021947,
2024-05-15,-0.022768,
2024-05-17,-0.010835,
2024-05-21,-0.008146,
2024-05-23,0.000000,
2024-05-24,-0.000387,
2024-05-27,-0.001452,
2024-05-28,-0.003423,
2024-05-30,-0.020886,
2024-05-31,-0.018114,
2024-06-04,-0.057255,
2024-06-05,-0.025721,
2024-06-06,-0.016990,
2024-06-07,0.000000,
2024-06-10,-0.001335,
2024-06-12,0.000000,
2024-06-13,0.000000,
2024-06-18,0.000000,
2024-06-19,-0.001869,
2024-06-20,0.000000,
2024-06-21,-0.002692,
2024-06-25,0.000000,
2024-06-26,0.000000,
2024-06-28,-0.001319,
2024-07-01,0.000000,
2024-07-02,-0.000769,
2024-07-03,0.000000,
2024-07-05,0.000000,
2024-07-08,-0.000222,
2024-07-09,0.000000,
2024-07-11,-0.004865,
2024-07-12,0.000000,
2024-07-15,0.000000,
2024-07-18,0.000000,
2024-07-19,-0.010691,
2024-07-22,-0.011596,
2024-07-24,-0.015276,
2024-07-25,-0.015624,
2024-07-26,0.000000,
2024-07-29,0.000000,
2024-07-31,0.000000,
2024-08-01,0.000000,
2024-08-05,-0.038032,
2024-08-06,-0.040525,
2024-08-07,-0.027864,
2024-08-08,-0.035135,
2024-08-12,-0.025234,
2024-08-13,-0.033496,
2024-08-14,-0.033306,
2024-08-16,-0.017205,
2024-08-20,-0.010642,
2024-08-21,-0.007796,
2024-08-23,-0.005597,
2024-08-26,0.000000,
2024-08-27,0.000000,
2024-08-28,0.000000,
2024-08-30,0.000000,
2024-09-02,0.000000,
2024-09-03,0.000000,
2024-09-05,-0.005374,
2024-09-06,-0.016990,
2024-09-10,-0.009564,
2024-09-11,-0.014418,
2024-09-12,0.000000,
2024-09-13,-0.001272,
2024-09-17,0.000000,
2024-09-18,-0.001627,
2024-09-19,-0.000144,
2024-09-20,0.000000,
2024-09-24,0.000000,
2024-09-25,0.000000,
2024-09-27,-0.001446,
2024-09-30,-0.015510,
2024-10-01,-0.016027,
2024-10-03,-0.036918,
2024-10-07,-0.054292,
2024-10-08,-0.045979,
2024-10-10,-0.046480,
2024-10-11,-0.047803,
2024-10-14,-0.041617,
2024-10-15,-0.044344,
2024-10-17,-0.056067,
2024-10-18,-0.051918,
2024-10-21,-0.054621,
2024-10-22,-0.066335,
2024-10-24,-0.069145,
2024-10-25,-0.077458,
2024-10-29,-0.065941,
2024-10-30,-0.070714,
2024-10-31,-0.075725,
2024-11-04,-0.083726,
2024-11-06,-0.064931,
2024-11-07,-0.075733,
2024-11-11,-0.077976,
2024-11-12,-0.087743,
2024-11-13,-0.100156,
2024-11-14,-0.100936,
2024-11-19,-0.101429,
2024-11-21,-0.107853,
2024-11-22,-0.086560,
2024-11-25,-0.074550,
2024-11-27,-0.072521,
2024-11-28,-0.086363,
2024-11-29,-0.078107,
2024-12-03,-0.065695,
2024-12-04,-0.065350,
2024-12-05,-0.056141,
2024-12-09,-0.059558,
2024-12-10,-0.059911,
2024-12-12,-0.062326,
2024-12-13,-0.053964,
2024-12-16,-0.057792,
2024-12-17,-0.070492,
2024-12-19,-0.085197,
2024-12-20,-0.099113,
2024-12-23,-0.092787,
2024-12-24,-0.093781,
2024-12-27,-0.090536,
2024-12-30,-0.096969,
2025-01-01,-0.093223,
2025-01-02,-0.076193,
2025-01-03,-0.083307,
2025-01-06,-0.098143,
2025-01-08,-0.095474,
2025-01-09,-0.101684,
2025-01-13,-0.118714,
2025-01-14,-0.115165,
2025-01-15,-0.113744,
2025-01-17,-0.113341,
2025-01-20,-0.108437,
2025-01-21,-0.120628,
2025-01-22,-0.115748,
2025-01-23,-0.113850,
2025-01-27,-0.128128,
2025-01-28,-0.123330,
2025-01-30,-0.111953,
2025-01-31,-0.101815,
2025-02-03,-0.107377,
2025-02-04,-0.092869,
2025-02-06,-0.098028,
2025-02-07,-0.099318,
2025-02-11,-0.117999,
2025-02-12,-0.118492,
2025-02-13,-0.119017,
2025-02-14,-0.122887,
2025-02-18,-0.122312,
2025-02-19,-0.122796,
2025-02-20,-0.123552,
2025-02-24,-0.137263,
2025-02-25,-0.137509,
2025-02-27,-0.137624,
2025-02-28,-0.153701,
2025-03-04,-0.155237,
2025-03-05,-0.145584,
2025-03-06,-0.137674,
2025-03-10,-0.140960,
2025-03-11,-0.139481,
2025-03-13,-0.143317,
2025-03-17,-0.139070,
2025-03-18,-0.126649,
2025-03-19,-0.123848,
2025-03-21,-0.106925,
2025-03-24,-0.095129,
2025-03-25,-0.094767,
2025-03-26,-0.101717,
2025-03-28,-0.100550,
2025-03-31,-0.100559,
2025-04-01,-0.114097,
2025-04-03,-0.110868,
2025-04-04,-0.124135,
2025-04-07,-0.152518,
2025-04-09,-0.143555,
2025-04-11,-0.127085,
2025-04-15,-0.107878,
2025-04-17,-0.087982,
2025-04-21,-0.077450,
2025-04-23,-0.069745,
2025-04-24,-0.072874,
2025-04-25,-0.080818,
2025-04-28,-0.069613,
2025-04-30,-0.069490,
2025-05-02,-0.068997,
2025-05-05,-0.064684,
2025-05-07,-0.066500,
2025-05-08,-0.071921,
2025-05-09,-0.082059,
2025-05-12,-0.046973,
2025-05-14,-0.056839,
2025-05-15,-0.041756,
2025-05-19,-0.045708,
2025-05-20,-0.055705,
2025-05-21,-0.050760,
2025-05-22,-0.058572,
2025-05-26,-0.043572,
2025-05-27,-0.050283,
2025-05-28,-0.052526,
2025-05-29,-0.049380,
2025-06-02,-0.053142,
2025-06-03,-0.059443,
2025-06-05,-0.051146,
2025-06-06,-0.041559,
2025-06-09,-0.037764,
2025-06-11,-0.036310,
2025-06-12,-0.045962,
2025-06-13,-0.052436,
2025-06-16,-0.043769,
2025-06-18,-0.048928,
2025-06-19,-0.049676,
2025-06-20,-0.037485,
2025-06-24,-0.039916,
2025-06-25,-0.032260,
2025-06-27,-0.015781,
2025-06-30,-0.020422,
2025-07-01,-0.019486,
2025-07-02,-0.022887,
2025-07-03,-0.024735,
2025-07-07,-0.022287,
2025-07-08,-0.019888,
2025-07-10,-0.026296,
2025-07-11,-0.034125,
2025-07-14,-0.036737,
2025-07-16,-0.031677,
2025-07-17,-0.035579,
2025-07-18,-0.040565,
2025-07-22,-0.037025,
2025-07-23,-0.030946,
2025-07-24,-0.037008,
2025-07-28,-0.051154,
2025-07-29,-0.045790,
2025-07-30,-0.044500,
2025-07-31,-0.047803,
2025-08-01,-0.055336,
2025-08-05,-0.052115,
2025-08-06,-0.054908,
2025-08-08,-0.062959,
2025-08-11,-0.054457,
2025-08-12,-0.057521,
2025-08-14,-0.051647,
2025-08-18,-0.042208,
2025-08-19,-0.038166,
2025-08-21,-0.034108,
2025-08-22,-0.042331,
2025-08-25,-0.038594,
2025-08-28,-0.056617,
2025-08-29,-0.059476,
2025-09-01,-0.051877,
2025-09-02,-0.053635,
2025-09-03,-0.048451,
2025-09-05,-0.047326,
2025-09-08,-0.046160,
2025-09-10,-0.038536,
2025-09-11,-0.037304,
2025-09-12,-0.033122,
2025-09-15,-0.034872,
2025-09-17,-0.024842,
2025-09-18,-0.021227,
2025-09-22,-0.029812,
2025-09-23,-0.031126,
2025-09-24,-0.035480,
2025-09-26,-0.050973,
2025-09-30,-0.052748,
2025-10-01,-0.044089,
2025-10-03,-0.041863,
2025-10-06,-0.034831,
2025-10-08,-0.036072,
2025-10-09,-0.030855,
2025-10-10,-0.026855,
2025-10-14,-0.032260,
2025-10-15,-0.025310,
2025-10-16,-0.015247,
2025-10-20,-0.005184,
2025-10-23,-0.003442,
2025-10-24,-0.007098,
2025-10-28,-0.001175,
2025-10-29,0.000000,
2025-10-31,-0.012762,
2025-11-03,-0.011182,
2025-11-04,-0.017510,
2025-11-06,-0.020900,
2025-11-07,-0.021227,
2025-11-11,-0.013262,
2025-11-12,-0.006295,
2025-11-14,-0.004961,
2025-11-17,-0.001007,
2025-11-18,-0.004985,
2025-11-19,0.000000,
2025-11-21,-0.004753,
2025-11-24,-0.008920,
2025-11-25,-0.011793,
2025-11-27,0.000000,
2025-11-28,-0.000488,
2025-12-01,-0.001545,
2025-12-03,-0.008466,
2025-12-04,-0.006677,
2025-12-05,-0.000838,
2025-12-09,-0.014053,
2025-12-10,-0.017240,
2025-12-11,-0.011865,
2025-12-12,-0.006181,
2025-12-16,-0.013329,
2025-12-17,-0.014898,
2025-12-18,-0.015004,
2025-12-22,-0.001399,
2025-12-23,-0.001228,
2025-12-24,-0.002586,
2025-12-29,-0.010263,
2025-12-30,-0.010377,
2025-12-31,-0.003123,
2026-01-02,0.000000,
2026-01-05,-0.003036,
2026-01-07,-0.007416,
2026-01-08,-0.017456,
2026-01-09,-0.024791,
2026-01-12,-0.020718,
2026-01-14,-0.025406,
2026-01-16,-0.023787,
2026-01-19,-0.027940,
2026-01-20,-0.041388,
2026-01-22,-0.039178,
2026-01-23,-0.048448,
2026-01-28,-0.037251,
2026-01-29,-0.034417,
2026-01-30,-0.038061,
2026-02-02,-0.046918,
2026-02-04,-0.020735,
2026-02-05,-0.025609,
2026-02-06,-0.023496,
2026-02-10,-0.014258,
2026-02-11,-0.013545,
2026-02-12,-0.019148,
2026-02-13,-0.032021,
2026-02-17,-0.022354,
2026-02-18,-0.018694,
2026-02-19,-0.032563,
2026-02-23,-0.022807,
2026-02-24,-0.033843,
