# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:02.098494+00:00
stretch_ending,fund_return,benchmark_return
2025-12-31,0.138920,
2026-01-07,0.157441,
2026-01-14,0.156194,
2026-01-21,0.136066,
2026-01-28,0.167166,
2026-02-04,0.137814,
2026-02-11,0.191898,
2026-02-18,0.206663,
2026-02-25,0.208756,
2026-03-04,0.195054,
2026-03-11,0.165947,
2026-03-18,0.144272,
2026-03-25,0.085699,
2026-04-01,0.079947,
2026-04-08,0.156550,
2026-04-15,0.136221,
2026-04-22,0.117872,
2026-04-29,0.109358,
2026-05-06,0.134907,
2026-05-13,0.082124,
2026-05-20,0.086516,
2026-05-27,0.090476,
2026-06-03,0.061731,
2026-06-10,0.030798,
2026-06-17,0.071367,
2026-06-24,0.067777,
2026-07-01,0.048092,
2026-07-08,0.036050,
2026-07-15,0.061399,
2026-07-22,0.055952,
2026-07-29,0.079343,
2026-08-05,0.101806,
2026-08-12,0.114963,
2026-08-19,0.084034,
2026-08-26,0.097813,
2026-09-02,0.089044,
2026-09-09,0.066672,
2026-09-16,0.031877,
2026-09-23,0.053147,
