# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:04.498634+00:00
stretch_ending,fund_return,benchmark_return
2026-06-02,0.132063,
2026-06-09,0.123525,
2026-06-16,0.123926,
2026-06-23,0.117041,
2026-06-30,0.116468,
2026-07-07,0.120909,
2026-07-14,0.112897,
2026-07-21,0.115595,
2026-07-28,0.119945,
2026-08-04,0.121377,
2026-08-11,0.140675,
2026-08-18,0.139936,
2026-08-25,0.150636,
2026-09-01,0.128809,
2026-09-08,0.097814,
2026-09-15,0.100329,
2026-09-22,0.097937,
