# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:10.279935+00:00
stretch_ending,fund_return,benchmark_return
2022-03-27,0.038646,
2022-04-03,0.038445,
2022-04-10,0.038280,
2022-04-17,0.038123,
2022-04-24,0.037961,
2022-05-01,0.037810,
2022-05-08,0.037679,
2022-05-15,0.037558,
2022-05-22,0.037433,
2022-05-29,0.037315,
2022-06-05,0.037195,
2022-06-12,0.037110,
2022-06-19,0.037036,
2022-06-26,0.036973,
2022-07-03,0.036909,
2022-07-10,0.036847,
2022-07-17,0.036788,
2022-07-24,0.036740,
2022-07-31,0.036705,
2022-08-07,0.036656,
2022-08-12,0.036548,
2022-08-21,0.036641,
2022-08-28,0.036637,
2022-09-04,0.036632,
2022-09-11,0.036624,
2022-09-18,0.036624,
2022-09-25,0.036637,
2022-10-02,0.036677,
2022-10-09,0.036741,
2022-10-16,0.036831,
2022-10-21,0.036791,
2022-10-30,0.036992,
2022-11-06,0.037047,
2022-11-13,0.037093,
2022-11-20,0.037147,
2022-11-27,0.037218,
2022-12-04,0.037269,
2022-12-11,0.037337,
2022-12-18,0.037424,
2022-12-25,0.037527,
2023-01-01,0.037637,
2023-01-08,0.037763,
2023-01-15,0.037840,
2023-01-22,0.037921,
2023-01-29,0.038019,
2023-02-05,0.038101,
2023-02-12,0.038197,
2023-02-19,0.038148,
2023-02-26,0.038394,
2023-03-05,0.038496,
2023-03-12,0.038585,
2023-03-19,0.038709,
2023-03-26,0.038940,
2023-04-02,0.039337,
2023-04-09,0.039618,
2023-04-16,0.039822,
2023-04-23,0.040041,
2023-04-28,0.040163,
2023-05-07,0.040502,
2023-05-14,0.040749,
2023-05-21,0.040974,
2023-05-28,0.041210,
2023-06-04,0.041416,
2023-06-11,0.041630,
2023-06-18,0.041863,
2023-06-25,0.042107,
2023-07-02,0.042364,
2023-07-09,0.042592,
2023-07-16,0.042805,
2023-07-23,0.043019,
2023-07-30,0.043238,
2023-08-06,0.043445,
2023-08-13,0.043656,
2023-08-20,0.043891,
2023-08-27,0.044140,
2023-09-03,0.044382,
2023-09-10,0.044611,
2023-09-17,0.044846,
2023-09-24,0.045084,
2023-09-29,0.045193,
2023-10-08,0.045559,
2023-10-15,0.045800,
2023-10-22,0.046045,
2023-10-29,0.046296,
2023-11-05,0.046543,
2023-11-12,0.046799,
2023-11-19,0.047076,
2023-11-24,0.047217,
2023-12-03,0.047608,
2023-12-10,0.047855,
2023-12-17,0.048109,
2023-12-22,0.048217,
2023-12-31,0.048595,
2024-01-07,0.048852,
2024-01-14,0.049093,
2024-01-21,0.049334,
2024-01-28,0.049576,
2024-02-04,0.049805,
2024-02-11,0.050035,
2024-02-18,0.050290,
2024-02-25,0.050556,
2024-03-03,0.050783,
2024-03-10,0.051008,
2024-03-17,0.051232,
2024-03-22,0.051330,
2024-03-31,0.051673,
2024-04-07,0.051903,
2024-04-14,0.052138,
2024-04-21,0.052355,
2024-04-28,0.052589,
2024-05-05,0.052813,
2024-05-12,0.053041,
2024-05-18,0.053202,
2024-05-26,0.053497,
2024-06-02,0.053722,
2024-06-09,0.053938,
2024-06-15,0.054099,
2024-06-23,0.054394,
2024-06-30,0.054628,
2024-07-07,0.054844,
2024-07-14,0.055080,
2024-07-21,0.055300,
2024-07-28,0.055526,
2024-08-04,0.055745,
2024-08-11,0.055973,
2024-08-18,0.056201,
2024-08-25,0.056427,
2024-09-01,0.056658,
2024-09-08,0.056881,
2024-09-15,0.057105,
2024-09-22,0.057338,
2024-09-29,0.057566,
2024-10-06,0.057780,
2024-10-13,0.058000,
2024-10-20,0.058213,
2024-10-27,0.058438,
2024-11-03,0.058645,
2024-11-10,0.058850,
2024-11-17,0.059057,
2024-11-24,0.059264,
2024-12-01,0.059497,
2024-12-08,0.059712,
2024-12-15,0.059937,
2024-12-22,0.060162,
2024-12-29,0.060384,
2025-01-05,0.060577,
2025-01-12,0.060811,
2025-01-19,0.061009,
2025-01-26,0.061186,
2025-02-02,0.061400,
2025-02-09,0.061608,
2025-02-16,0.061813,
2025-02-23,0.062011,
2025-03-02,0.062219,
2025-03-09,0.062403,
2025-03-16,0.062620,
2025-03-23,0.062817,
2025-03-30,0.063051,
2025-04-06,0.063255,
2025-04-11,0.063304,
2025-04-20,0.063570,
2025-04-27,0.063718,
2025-05-04,0.063860,
2025-05-11,0.063981,
2025-05-18,0.064100,
2025-05-25,0.064215,
2025-06-01,0.064328,
2025-06-08,0.064429,
2025-06-15,0.064481,
2025-06-22,0.064521,
2025-06-29,0.064564,
2025-07-06,0.064604,
2025-07-13,0.064644,
2025-07-20,0.064680,
2025-07-27,0.064706,
2025-08-03,0.064747,
2025-08-10,0.064766,
2025-08-17,0.064777,
2025-08-24,0.064796,
2025-08-31,0.064807,
2025-09-07,0.064821,
2025-09-14,0.064837,
2025-09-21,0.064833,
2025-09-28,0.064830,
2025-10-05,0.064797,
2025-10-12,0.064760,
2025-10-19,0.064718,
2025-10-26,0.064679,
2025-11-02,0.064652,
2025-11-09,0.064623,
2025-11-16,0.064603,
2025-11-23,0.064564,
2025-11-30,0.064534,
2025-12-07,0.064509,
2025-12-14,0.064454,
2025-12-21,0.064384,
2025-12-28,0.064326,
2026-01-04,0.064263,
2026-01-11,0.064226,
2026-01-18,0.064175,
2026-01-24,0.064050,
2026-02-01,0.064021,
2026-02-08,0.063918,
2026-02-15,0.063814,
2026-02-22,0.063716,
2026-03-01,0.063611,
2026-03-08,0.063523,
2026-03-15,0.063433,
2026-03-22,0.063344,
2026-03-29,0.063260,
2026-04-05,0.063201,
2026-04-12,0.063109,
2026-04-19,0.063010,
2026-04-26,0.062901,
2026-05-03,0.062797,
2026-05-10,0.062686,
2026-05-17,0.062582,
2026-05-24,0.062508,
2026-05-31,0.062469,
2026-06-07,0.062391,
2026-06-14,0.062311,
2026-06-21,0.062228,
2026-06-28,0.062135,
2026-07-05,0.062033,
2026-07-12,0.061957,
2026-07-19,0.061888,
2026-07-26,0.061804,
2026-08-02,0.061728,
2026-08-09,0.061647,
2026-08-16,0.061548,
2026-08-23,0.061440,
2026-08-30,0.061329,
2026-09-06,0.061211,
2026-09-11,0.060986,
2026-09-20,0.060960,
