# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:37:04.299553+00:00
date,nav
2014-10-14,9.98520
2014-10-16,9.82720
2014-10-17,9.83970
2014-10-31,10.38270
2014-11-12,10.55050
2014-11-19,10.57900
2014-11-26,10.62160
2014-12-04,11.18790
2014-12-17,10.47650
2014-12-22,10.85530
2015-01-02,11.19810
2015-01-06,10.90870
2015-01-14,11.24090
2015-01-28,11.95430
2015-02-06,11.61520
2015-02-09,11.47960
2015-02-19,12.18340
2015-02-26,11.86250
2015-03-12,12.24870
2015-03-23,11.97350
2015-03-27,11.76660
2015-04-09,12.40500
2015-04-20,11.75630
2015-04-27,11.30540
2015-05-07,11.15610
2015-05-11,11.56200
2015-05-22,11.87730
2015-05-29,12.05060
2015-06-11,11.27060
2015-06-15,11.29170
2015-06-22,11.74230
2015-06-30,11.71340
2015-07-10,11.94950
2015-07-20,12.39580
2015-07-28,12.06200
2015-08-05,12.62640
2015-08-14,12.62060
2015-08-24,11.61040
2015-08-28,11.97760
2015-09-07,11.28210
2015-09-21,12.01300
2015-09-28,11.90500
2015-10-05,12.27880
2015-10-14,12.15210
2015-10-20,12.40810
2015-11-04,12.29360
2015-11-10,11.94910
2015-11-18,11.94280
2015-11-30,12.34810
2015-12-09,12.01200
2015-12-14,12.00860
2015-12-28,12.52720
2016-01-01,12.74450
2016-01-13,12.14160
2016-01-18,11.45510
2016-01-29,11.89170
2016-02-05,11.71360
2016-02-11,10.90510
2016-02-26,10.75430
2016-03-03,11.46060
2016-03-16,11.48620
2016-03-23,11.87160
2016-03-29,11.72710
2016-04-08,11.88610
2016-04-18,12.39340
2016-04-26,12.48040
2016-05-06,12.17880
2016-05-12,12.48440
2016-05-24,12.23830
2016-05-30,12.71820
2016-06-08,12.95960
2016-06-16,12.89850
2016-06-24,12.82790
2016-07-04,13.34650
2016-07-18,13.46450
2016-07-25,13.73330
2016-07-29,13.92260
2016-08-04,13.76160
2016-08-18,14.09010
2016-08-29,14.03140
2016-09-08,14.43350
2016-09-12,14.09890
2016-09-22,14.37210
2016-09-29,14.14620
2016-10-06,14.55820
2016-10-24,14.51180
2016-11-01,14.38460
2016-11-10,14.14210
2016-11-15,13.10510
2016-11-22,12.90560
2016-11-30,13.37330
2016-12-09,13.32000
2016-12-23,12.77440
2016-12-26,12.57810
2017-01-05,13.38090
2017-01-11,13.62780
2017-01-20,13.71210
2017-01-27,14.13160
2017-02-06,14.57640
2017-02-15,14.19390
2017-02-22,14.55140
2017-03-10,14.49790
2017-03-16,14.88270
2017-03-22,14.77470
2017-04-05,15.55330
2017-04-11,15.79320
2017-04-18,15.64750
2017-04-26,15.99430
2017-05-11,16.29370
2017-05-16,16.35240
2017-05-24,15.60640
2017-06-05,16.30320
2017-06-09,16.47170
2017-06-20,16.49450
2017-06-27,16.04120
2017-07-06,16.62560
2017-07-13,17.04460
2017-07-20,16.97390
2017-08-01,17.20050
2017-08-11,16.32890
2017-08-16,16.94950
2017-08-29,16.95290
2017-09-07,17.60260
2017-09-19,17.85860
2017-09-27,17.00670
2017-10-06,17.66180
2017-10-13,17.85690
2017-10-24,17.71260
2017-11-02,18.20140
2017-11-08,17.82930
2017-11-15,17.63770
2017-11-24,18.47450
2017-12-06,18.17950
2017-12-08,18.63690
2017-12-15,18.64890
2017-12-26,19.25720
2018-01-03,19.13600
2018-01-12,19.56600
2018-01-23,19.58960
2018-02-02,18.36580
2018-02-12,18.53840
2018-02-22,17.95370
2018-02-26,18.34410
2018-03-07,17.58640
2018-03-15,18.04870
2018-03-23,17.29420
2018-04-06,18.27760
2018-04-17,18.57930
2018-04-25,18.53150
2018-04-30,18.79220
2018-05-11,18.59220
2018-05-21,17.85990
2018-05-28,18.30400
2018-06-05,17.77210
2018-06-12,18.23890
2018-06-22,18.07180
2018-06-28,17.31460
2018-07-10,17.92270
2018-07-16,17.57380
2018-07-20,17.64140
2018-07-30,18.41770
2018-08-13,18.52870
2018-08-20,18.93310
2018-08-31,19.27840
2018-09-05,18.68750
2018-09-14,18.57960
2018-09-24,17.38840
2018-10-09,16.19280
2018-10-16,16.94780
2018-10-23,16.28360
2018-10-26,16.13880
2018-11-05,17.06040
2018-11-22,17.17370
2018-11-30,17.60280
2018-12-10,17.02780
2018-12-19,18.01170
2018-12-24,17.52390
2019-01-01,17.88300
2019-01-14,17.74540
2019-01-22,17.83210
2019-01-29,17.35050
2019-02-07,18.13050
2019-02-12,17.67660
2019-02-19,17.34050
2019-02-28,17.64440
2019-03-12,18.68630
2019-03-25,18.72760
2019-03-29,19.25100
2019-04-04,19.09060
2019-04-16,19.24430
2019-04-30,19.22650
2019-05-08,18.54690
2019-05-15,18.38740
2019-05-20,19.50170
2019-06-03,20.04330
2019-06-06,19.66990
2019-06-17,19.52280
2019-06-27,20.01970
2019-07-04,20.09190
2019-07-10,19.40180
2019-07-17,19.61340
2019-07-25,18.79120
2019-08-05,18.25130
2019-08-19,18.52270
2019-08-22,18.03210
2019-08-30,18.56590
2019-09-17,18.29260
2019-09-23,19.81160
2019-10-07,18.76170
2019-10-09,19.12350
2019-10-24,19.54130
2019-10-31,20.15640
2019-11-13,19.95610
2019-11-20,20.36380
2019-11-28,20.64950
2019-12-06,20.23110
2019-12-17,20.62080
2019-12-26,20.42470
2020-01-02,20.80130
2020-01-06,20.22820
2020-01-13,20.86730
2020-01-24,21.00530
2020-02-03,20.19090
2020-02-06,20.95510
2020-02-20,20.94540
2020-03-03,19.67040
2020-03-05,19.54730
2020-03-19,14.60900
2020-03-23,13.29880
2020-04-03,13.97520
2020-04-17,16.04730
2020-04-21,15.63210
2020-04-30,16.83090
2020-05-08,15.95650
2020-05-19,15.16780
2020-06-02,16.89220
2020-06-05,17.27130
2020-06-15,16.76090
2020-06-23,17.78660
2020-06-30,17.34190
2020-07-14,17.76440
2020-07-21,18.68480
2020-07-30,18.55590
2020-08-03,18.38010
2020-08-11,19.11500
2020-08-20,19.16770
2020-08-28,19.79700
2020-09-09,18.99850
2020-09-16,19.75220
2020-09-24,18.43760
2020-09-29,19.19680
2020-10-09,19.98850
2020-10-15,19.56770
2020-10-30,19.62340
2020-11-09,21.10320
2020-11-18,21.98550
2020-11-25,21.59670
2020-12-07,22.46840
2020-12-09,22.67210
2020-12-21,22.25920
2020-12-28,23.20780
2021-01-08,24.14090
2021-01-14,24.57680
2021-01-27,23.42330
2021-01-29,23.17130
2021-02-08,26.09360
2021-02-15,26.65940
2021-02-26,25.35320
2021-03-03,26.42160
2021-03-18,25.06960
2021-03-25,24.65110
2021-04-01,25.49460
2021-04-12,24.39730
2021-04-27,25.23400
2021-05-04,24.82770
2021-05-14,25.13870
2021-05-18,25.96490
2021-05-31,26.70420
2021-06-07,27.06410
2021-06-15,27.26490
2021-06-18,26.76730
2021-07-05,27.34340
2021-07-09,27.12170
