# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 23 Sep 2022 (1464 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Holdings as of 23 Sep 2022 — 1464 days old. Funds disclose monthly.
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:04.077242+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-02,10000.00,
2013-01-07,10087.38,
2013-01-14,10187.19,
2013-01-16,10130.83,
2013-01-29,10156.23,
2013-02-04,10123.85,
2013-02-08,10197.08,
2013-02-15,10216.73,
2013-02-25,10252.84,
2013-03-01,10204.77,
2013-03-08,10254.38,
2013-03-13,10236.56,
2013-03-22,10246.98,
2013-03-26,10248.16,
2013-04-10,10343.65,
2013-04-18,10446.54,
2013-04-22,10467.50,
2013-05-06,10526.70,
2013-05-13,10650.13,
2013-05-16,10789.60,
2013-05-27,10845.31,
2013-05-31,10787.77,
2013-06-04,10825.48,
2013-06-13,10764.44,
2013-06-19,10809.20,
2013-06-26,10656.82,
2013-06-28,10738.10,
2013-07-11,10766.75,
2013-07-16,10491.42,
2013-07-24,10394.39,
2013-07-26,10464.30,
2013-08-07,10478.33,
2013-08-16,10286.64,
2013-08-22,10719.04,
2013-08-28,10447.43,
2013-09-02,10692.64,
2013-09-06,10675.88,
2013-09-19,10826.19,
2013-09-23,10715.13,
2013-10-01,10763.73,
2013-10-08,10895.10,
2013-10-15,10846.32,
2013-10-21,10876.98,
2013-10-30,10915.46,
2013-11-08,10868.40,
2013-11-12,10845.49,
2013-11-19,10905.58,
2013-11-26,10921.32,
2013-12-05,10973.66,
2013-12-13,10947.08,
2013-12-19,11000.06,
2013-12-27,10962.76,
2013-12-31,10998.28,
2014-01-08,11024.69,
2014-01-20,11180.20,
2014-01-24,11124.02,
2014-01-30,11088.62,
2014-02-04,11137.17,
2014-02-13,11112.72,
2014-02-21,11145.16,
2014-02-26,11129.00,
2014-03-07,11172.21,
2014-03-11,11207.20,
2014-03-20,11234.31,
2014-04-02,11308.02,
2014-04-04,11292.74,
2014-04-10,11315.71,
2014-04-22,11403.45,
2014-05-05,11475.55,
2014-05-07,11460.51,
2014-05-20,11519.12,
2014-05-23,11605.55,
2014-06-02,11639.71,
2014-06-06,11742.90,
2014-06-12,11741.53,
2014-06-23,11693.29,
2014-06-27,11713.65,
2014-07-03,11756.63,
2014-07-14,11724.48,
2014-07-18,11749.59,
2014-07-24,11817.90,
2014-08-04,11810.92,
2014-08-06,11757.10,
2014-08-12,11769.24,
2014-08-20,11865.56,
2014-08-28,11849.63,
2014-09-08,11903.80,
2014-09-10,11889.65,
2014-09-18,11955.78,
2014-09-25,11958.09,
2014-09-30,11964.42,
2014-10-17,12061.51,
2014-10-22,12099.75,
2014-10-29,12162.27,
2014-11-05,12319.44,
2014-11-14,12310.92,
2014-11-25,12391.55,
2014-11-27,12398.71,
2014-12-03,12556.65,
2014-12-15,12697.61,
2014-12-16,12578.44,
2014-12-30,12669.73,
2015-01-06,12662.21,
2015-01-09,12703.29,
2015-01-16,12906.05,
2015-01-20,12906.46,
2015-02-02,13016.58,
2015-02-04,12971.88,
2015-02-12,12968.09,
2015-02-23,13018.77,
2015-03-03,13010.42,
2015-03-04,13059.08,
2015-03-13,12991.30,
2015-03-20,13045.29,
2015-03-26,13038.24,
2015-04-06,13123.73,
2015-04-13,13109.28,
2015-04-22,13147.70,
2015-04-28,13152.02,
2015-05-07,13033.45,
2015-05-15,13059.79,
2015-05-19,13137.52,
2015-06-01,13198.38,
2015-06-04,13062.93,
2015-06-12,13020.60,
2015-06-19,13183.81,
2015-06-25,13099.69,
2015-06-29,13075.89,
2015-07-06,13185.41,
2015-07-13,13130.89,
2015-07-21,13167.12,
2015-07-29,13248.99,
2015-08-05,13256.16,
2015-08-12,13303.22,
2015-08-19,13382.78,
2015-08-24,13304.40,
2015-08-27,13390.90,
2015-09-07,13390.13,
2015-09-15,13439.38,
2015-09-18,13502.72,
2015-09-28,13509.47,
2015-10-05,13705.30,
2015-10-12,13686.30,
2015-10-19,13710.99,
2015-10-26,13697.08,
2015-11-02,13719.28,
2015-11-09,13666.82,
2015-11-17,13713.83,
2015-11-30,13663.15,
2015-12-03,13727.44,
2015-12-08,13683.64,
2015-12-17,13753.26,
2015-12-21,13705.96,
2015-12-31,13740.88,
2016-01-08,13807.60,
2016-01-18,13746.09,
2016-01-21,13812.63,
2016-02-01,13826.55,
2016-02-03,13781.67,
2016-02-11,13808.37,
2016-02-23,13707.44,
2016-02-25,13656.11,
2016-03-01,13856.86,
2016-03-11,13851.05,
2016-03-17,13946.90,
2016-03-30,14027.23,
2016-04-04,14098.21,
2016-04-11,14174.58,
2016-04-21,14150.90,
2016-04-27,14166.53,
2016-05-09,14218.39,
2016-05-12,14233.72,
2016-05-18,14226.38,
2016-05-30,14263.08,
2016-06-01,14255.51,
2016-06-06,14280.55,
2016-06-13,14276.58,
2016-06-24,14330.39,
2016-06-30,14375.56,
2016-07-05,14464.84,
2016-07-13,14584.12,
2016-07-18,14598.80,
2016-07-28,14736.44,
2016-08-03,14735.56,
2016-08-11,14871.60,
2016-08-18,14839.45,
2016-08-23,14836.96,
2016-09-02,14904.45,
2016-09-07,14967.80,
2016-09-14,14961.28,
2016-09-26,15118.46,
2016-09-29,15068.32,
2016-10-05,15248.99,
2016-10-14,15215.43,
2016-10-19,15237.63,
2016-11-01,15203.05,
2016-11-07,15200.15,
2016-11-11,15307.78,
2016-11-21,15751.24,
2016-11-24,15937.37,
2016-12-06,15880.54,
2016-12-07,15664.81,
2016-12-15,15530.37,
2016-12-27,15449.74,
2017-01-02,15677.13,
2017-01-04,15698.91,
2017-01-12,15706.96,
2017-01-19,15661.50,
2017-01-27,15716.20,
2017-02-06,15720.34,
2017-02-09,15495.56,
2017-02-16,15523.27,
2017-02-22,15504.68,
2017-03-03,15537.35,
2017-03-10,15495.80,
2017-03-21,15566.01,
2017-03-27,15659.84,
2017-04-03,15694.41,
2017-04-07,15646.76,
2017-04-19,15732.71,
2017-04-21,15720.46,
2017-05-02,15721.23,
2017-05-09,15752.66,
2017-05-15,15844.90,
2017-05-22,15906.17,
2017-05-31,15944.41,
2017-06-08,16209.98,
2017-06-09,16232.00,
