# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:08.180834+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.089337,
2016-01-08,0.089260,
2016-01-15,0.089174,
2016-01-22,0.089097,
2016-01-29,0.089028,
2016-02-05,0.088966,
2016-02-12,0.088925,
2016-02-19,0.088872,
2016-02-26,0.088810,
2016-03-11,0.088728,
2016-03-18,0.088700,
2016-03-25,0.088631,
2016-04-01,0.088691,
2016-04-08,0.088648,
2016-04-15,0.088596,
2016-04-22,0.088535,
2016-04-29,0.088486,
2016-05-13,0.088395,
2016-05-20,0.088351,
2016-05-27,0.088312,
2016-06-03,0.088276,
2016-06-10,0.088232,
2016-06-17,0.088194,
2016-06-24,0.088162,
2016-07-01,0.088130,
2016-07-15,0.088755,
2016-07-22,0.088525,
2016-07-29,0.088580,
2016-08-05,0.088335,
2016-08-12,0.088123,
2016-08-19,0.087892,
2016-08-26,0.087620,
2016-09-02,0.087330,
2016-09-09,0.087050,
2016-09-23,0.086504,
2016-09-30,0.086262,
2016-10-07,0.086010,
2016-10-14,0.085789,
2016-10-21,0.085579,
2016-10-28,0.085369,
2016-11-04,0.085184,
2016-11-18,0.084832,
2016-11-25,0.084676,
2016-12-02,0.084471,
2016-12-09,0.084235,
2016-12-16,0.084064,
2016-12-23,0.083876,
2016-12-30,0.083697,
2017-01-06,0.083557,
2017-01-20,0.083248,
2017-01-27,0.083109,
2017-02-03,0.082975,
2017-02-10,0.082825,
2017-02-17,0.082689,
2017-02-24,0.082550,
2017-03-03,0.082410,
2017-03-10,0.082240,
2017-03-17,0.082078,
2017-03-24,0.081894,
2017-04-07,0.081497,
2017-04-14,0.081318,
2017-04-21,0.081136,
2017-04-28,0.080955,
2017-05-05,0.080789,
2017-05-12,0.080618,
2017-05-19,0.080452,
2017-06-02,0.080150,
2017-06-09,0.079996,
2017-06-16,0.079849,
2017-06-23,0.079705,
2017-06-30,0.079566,
2017-07-07,0.079450,
2017-07-14,0.079325,
2017-07-21,0.079197,
2017-08-04,0.078916,
2017-08-11,0.078787,
2017-08-18,0.078638,
2017-08-25,0.078494,
2017-09-01,0.078335,
2017-09-08,0.078182,
2017-09-15,0.078024,
2017-09-22,0.077874,
2017-09-29,0.077729,
2017-10-13,0.077408,
2017-10-20,0.077247,
2017-10-27,0.077081,
2017-11-03,0.076927,
2017-11-10,0.076779,
2017-11-17,0.076627,
2017-11-24,0.076480,
2017-12-01,0.076331,
2017-12-15,0.076038,
2017-12-22,0.075873,
2017-12-29,0.075782,
2018-01-05,0.075643,
2018-01-12,0.075507,
2018-01-19,0.075365,
2018-01-26,0.075240,
2018-02-09,0.075000,
2018-02-16,0.074886,
2018-02-23,0.074765,
2018-03-02,0.074643,
2018-03-09,0.074555,
2018-03-16,0.074532,
2018-03-23,0.074388,
2018-03-30,0.074329,
2018-04-06,0.074225,
2018-04-20,0.073989,
2018-04-27,0.073866,
2018-05-04,0.073763,
2018-05-11,0.073639,
2018-05-18,0.073535,
2018-05-25,0.073447,
2018-06-01,0.073474,
2018-06-08,0.073562,
2018-06-22,0.073726,
2018-06-29,0.073729,
2018-07-06,0.073840,
2018-07-13,0.073806,
2018-07-20,0.073769,
2018-07-27,0.073643,
2018-08-03,0.073718,
2018-08-10,0.073718,
2018-08-16,0.073621,
2018-08-31,0.073632,
2018-09-07,0.073653,
2018-09-14,0.071397,
2018-09-21,0.067394,
2018-09-28,0.067284,
2018-10-05,0.067620,
2018-10-12,0.067489,
2018-10-26,0.067558,
2018-11-02,0.045695,
2018-11-09,0.045773,
2018-11-16,0.045980,
2018-11-22,0.046046,
2018-11-30,0.046323,
2018-12-07,0.046773,
2018-12-14,0.046934,
2018-12-21,0.047303,
2019-01-04,0.047440,
2019-01-11,0.047608,
2019-01-18,0.047891,
2019-01-25,0.048023,
2019-02-01,0.048144,
2019-02-08,0.048329,
2019-02-15,0.048336,
2019-03-01,0.048422,
2019-03-08,0.048459,
2019-03-15,0.048623,
2019-03-22,0.048483,
2019-03-29,0.048874,
2019-04-05,0.048790,
