# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:05.178272+00:00
date,fund_below_high,benchmark_below_high
2021-07-12,0.000000,
2021-07-13,0.000000,
2021-07-15,0.000000,
2021-07-20,0.000000,
2021-07-23,0.000000,
2021-07-29,0.000000,
2021-07-30,-0.000020,
2021-08-04,0.000000,
2021-08-06,-0.000050,
2021-08-11,0.000000,
2021-08-13,0.000000,
2021-08-23,0.000000,
2021-08-25,-0.000149,
2021-08-30,0.000000,
2021-09-02,0.000000,
2021-09-03,-0.000119,
2021-09-08,-0.000268,
2021-09-13,0.000000,
2021-09-16,0.000000,
2021-09-22,0.000000,
2021-09-23,-0.000020,
2021-09-27,-0.000079,
2021-09-30,0.000000,
2021-10-06,-0.000059,
2021-10-07,0.000000,
2021-10-13,0.000000,
2021-10-14,-0.000277,
2021-10-20,-0.000010,
2021-10-26,0.000000,
2021-10-29,-0.000414,
2021-11-01,-0.000207,
2021-11-03,-0.000631,
2021-11-10,0.000000,
2021-11-15,0.000000,
2021-11-17,0.000000,
2021-11-24,0.000000,
2021-11-26,0.000000,
2021-11-30,-0.000364,
2021-12-06,0.000000,
2021-12-07,0.000000,
2021-12-13,0.000000,
2021-12-15,-0.000197,
2021-12-20,-0.000088,
2021-12-21,-0.001061,
2021-12-27,0.000000,
2021-12-29,-0.000717,
2021-12-31,0.000000,
2022-01-05,-0.000363,
2022-01-07,0.000000,
2022-01-11,0.000000,
2022-01-14,0.000000,
2022-01-18,0.000000,
2022-01-24,0.000000,
2022-01-28,-0.000029,
2022-02-01,-0.001701,
2022-02-02,-0.001985,
2022-02-08,-0.000704,
2022-02-10,0.000000,
2022-02-16,-0.000244,
2022-02-17,-0.000674,
2022-02-22,0.000000,
2022-02-28,-0.000381,
2022-03-03,-0.001376,
2022-03-04,-0.000966,
2022-03-09,-0.001161,
2022-03-14,-0.000020,
2022-03-16,0.000000,
2022-03-23,0.000000,
2022-03-24,-0.000691,
2022-03-29,-0.000088,
2022-04-05,0.000000,
2022-04-06,-0.000534,
2022-04-08,-0.001176,
2022-04-13,-0.001117,
2022-04-19,0.000000,
2022-04-25,0.000000,
2022-04-28,-0.000116,
2022-05-02,0.000000,
2022-05-05,-0.005024,
2022-05-06,-0.005712,
2022-05-09,-0.004811,
2022-05-12,-0.002682,
2022-05-17,-0.002498,
2022-05-23,-0.000445,
2022-05-24,0.000000,
2022-05-30,0.000000,
2022-06-02,-0.000193,
2022-06-06,0.000000,
2022-06-07,-0.001421,
2022-06-10,0.000000,
2022-06-15,-0.000851,
2022-06-20,-0.000232,
2022-06-22,0.000000,
2022-06-24,0.000000,
2022-06-30,0.000000,
2022-07-05,-0.000799,
2022-07-06,0.000000,
2022-07-11,-0.000529,
2022-07-14,-0.000414,
2022-07-18,-0.000308,
2022-07-20,-0.000769,
2022-07-22,-0.000077,
2022-07-27,0.000000,
2022-08-02,0.000000,
2022-08-03,-0.000220,
2022-08-05,-0.000412,
2022-08-11,0.000000,
2022-08-18,-0.000105,
2022-08-22,0.000000,
2022-08-24,0.000000,
2022-08-29,0.000000,
2022-09-02,0.000000,
2022-09-08,0.000000,
2022-09-09,-0.000124,
2022-09-14,0.000000,
2022-09-16,-0.000447,
2022-09-21,0.000000,
2022-09-23,-0.000646,
2022-09-27,-0.000798,
2022-09-30,0.000000,
2022-10-07,0.000000,
2022-10-11,-0.000142,
2022-10-12,-0.000019,
2022-10-18,0.000000,
2022-10-21,-0.000208,
2022-10-25,0.000000,
2022-11-01,-0.000245,
2022-11-02,-0.000491,
2022-11-07,0.000000,
2022-11-14,0.000000,
2022-11-16,-0.000066,
2022-11-17,0.000000,
2022-11-23,-0.000009,
2022-11-28,0.000000,
2022-11-29,-0.000028,
2022-12-05,0.000000,
2022-12-06,-0.000066,
2022-12-12,0.000000,
2022-12-13,-0.001107,
2022-12-16,-0.001013,
2022-12-20,-0.000094,
2022-12-22,0.000000,
2022-12-29,0.000000,
2023-01-02,-0.000749,
2023-01-04,-0.000281,
2023-01-06,0.000000,
2023-01-11,-0.000019,
2023-01-13,0.000000,
2023-01-17,0.000000,
2023-01-23,0.000000,
2023-01-24,-0.000037,
2023-01-30,0.000000,
2023-02-01,0.000000,
2023-02-06,0.000000,
2023-02-10,0.000000,
2023-02-14,-0.000260,
2023-02-15,0.000000,
2023-02-22,-0.000213,
2023-02-23,0.000000,
2023-02-27,0.000000,
2023-03-03,0.000000,
2023-03-09,-0.000287,
2023-03-10,0.000000,
2023-03-15,0.000000,
2023-03-17,-0.000720,
2023-03-21,0.000000,
2023-03-27,0.000000,
2023-03-29,0.000000,
2023-04-06,0.000000,
2023-04-11,-0.000147,
2023-04-13,0.000000,
2023-04-18,0.000000,
2023-04-21,0.000000,
2023-04-25,0.000000,
2023-04-28,0.000000,
2023-05-08,0.000000,
2023-05-10,-0.000282,
2023-05-12,0.000000,
2023-05-16,0.000000,
2023-05-19,0.000000,
2023-05-23,0.000000,
2023-05-26,0.000000,
2023-05-30,0.000000,
2023-06-05,0.000000,
2023-06-08,-0.000036,
2023-06-09,0.000000,
2023-06-13,0.000000,
2023-06-19,0.000000,
2023-06-22,-0.000136,
2023-06-23,0.000000,
2023-06-28,0.000000,
2023-07-03,0.000000,
2023-07-06,0.000000,
2023-07-10,0.000000,
2023-07-13,0.000000,
2023-07-17,0.000000,
2023-07-20,0.000000,
2023-07-26,0.000000,
2023-07-28,-0.000063,
2023-07-31,0.000000,
2023-08-03,0.000000,
2023-08-07,0.000000,
2023-08-10,0.000000,
2023-08-14,0.000000,
2023-08-21,0.000000,
2023-08-24,0.000000,
2023-08-28,0.000000,
2023-08-31,0.000000,
2023-09-04,0.000000,
2023-09-08,0.000000,
2023-09-12,-0.000187,
2023-09-14,0.000000,
2023-09-18,0.000000,
2023-09-22,0.000000,
2023-09-26,0.000000,
2023-10-04,0.000000,
2023-10-06,-0.000867,
2023-10-10,-0.000009,
2023-10-12,0.000000,
2023-10-19,0.000000,
2023-10-20,-0.000053,
2023-10-25,0.000000,
2023-10-30,0.000000,
2023-11-01,0.000000,
2023-11-06,0.000000,
2023-11-08,0.000000,
2023-11-13,0.000000,
2023-11-20,0.000000,
2023-11-21,-0.000167,
2023-11-23,0.000000,
2023-11-29,0.000000,
2023-12-01,0.000000,
2023-12-06,0.000000,
2023-12-08,0.000000,
2023-12-13,0.000000,
2023-12-19,0.000000,
2023-12-20,-0.000044,
2023-12-26,0.000000,
2023-12-28,0.000000,
2024-01-02,0.000000,
2024-01-04,0.000000,
2024-01-09,0.000000,
2024-01-11,0.000000,
2024-01-16,0.000000,
2024-01-23,0.000000,
2024-01-25,-0.000061,
2024-01-29,0.000000,
2024-02-01,0.000000,
2024-02-05,0.000000,
2024-02-08,0.000000,
2024-02-12,0.000000,
2024-02-15,0.000000,
2024-02-21,0.000000,
2024-02-23,0.000000,
2024-02-29,0.000000,
2024-03-01,-0.000026,
2024-03-06,0.000000,
2024-03-13,0.000000,
2024-03-14,-0.000129,
2024-03-18,0.000000,
2024-03-21,0.000000,
2024-03-26,0.000000,
2024-03-31,0.000000,
2024-04-03,0.000000,
2024-04-10,0.000000,
2024-04-12,-0.000136,
2024-04-19,-0.000443,
2024-04-23,0.000000,
2024-04-25,-0.000119,
2024-04-30,0.000000,
2024-05-07,0.000000,
2024-05-08,-0.000025,
2024-05-10,0.000000,
2024-05-15,0.000000,
2024-05-17,0.000000,
2024-05-24,0.000000,
2024-05-28,0.000000,
2024-06-03,0.000000,
2024-06-04,-0.000633,
2024-06-07,0.000000,
2024-06-11,0.000000,
2024-06-14,0.000000,
2024-06-19,0.000000,
2024-06-24,0.000000,
2024-06-27,0.000000,
2024-06-30,0.000000,
2024-07-03,0.000000,
2024-07-05,0.000000,
2024-07-10,0.000000,
2024-07-12,0.000000,
2024-07-18,0.000000,
2024-07-22,0.000000,
2024-07-25,0.000000,
2024-07-29,0.000000,
2024-08-02,0.000000,
2024-08-06,-0.000075,
2024-08-08,0.000000,
2024-08-13,-0.000058,
2024-08-16,0.000000,
2024-08-21,0.000000,
2024-08-23,0.000000,
2024-08-29,0.000000,
2024-08-30,-0.000058,
2024-09-04,0.000000,
2024-09-06,0.000000,
2024-09-11,0.000000,
2024-09-13,0.000000,
2024-09-20,0.000000,
2024-09-25,-0.000033,
2024-09-26,0.000000,
2024-09-30,0.000000,
2024-10-04,0.000000,
2024-10-08,0.000000,
2024-10-11,0.000000,
2024-10-16,0.000000,
2024-10-22,0.000000,
2024-10-23,-0.000122,
2024-10-25,0.000000,
2024-10-30,0.000000,
2024-11-04,0.000000,
2024-11-08,0.000000,
2024-11-12,0.000000,
2024-11-14,-0.000431,
2024-11-19,0.000000,
2024-11-25,0.000000,
2024-11-27,0.000000,
2024-12-02,0.000000,
2024-12-04,0.000000,
2024-12-11,0.000000,
2024-12-12,-0.000137,
2024-12-18,0.000000,
2024-12-19,-0.000967,
2024-12-24,-0.000604,
2024-12-27,0.000000,
2025-01-01,-0.000105,
2025-01-03,0.000000,
2025-01-09,-0.000161,
2025-01-13,-0.001182,
2025-01-16,0.000000,
2025-01-20,0.000000,
2025-01-23,-0.000064,
2025-01-24,0.000000,
2025-01-29,-0.000088,
2025-01-31,0.000000,
2025-02-06,0.000000,
2025-02-07,-0.000854,
2025-02-13,-0.000686,
2025-02-17,-0.000016,
2025-02-20,0.000000,
2025-02-27,-0.001045,
2025-02-28,-0.001156,
2025-03-04,-0.001037,
2025-03-07,0.000000,
2025-03-11,0.000000,
2025-03-17,0.000000,
2025-03-19,0.000000,
2025-03-24,0.000000,
2025-03-26,0.000000,
2025-04-02,0.000000,
2025-04-04,-0.000266,
2025-04-09,0.000000,
2025-04-15,0.000000,
2025-04-17,0.000000,
2025-04-24,0.000000,
2025-04-25,-0.000830,
2025-04-30,-0.000598,
2025-05-07,-0.000054,
2025-05-09,-0.001652,
2025-05-13,0.000000,
2025-05-19,0.000000,
2025-05-22,-0.000700,
2025-05-26,0.000000,
2025-05-28,0.000000,
2025-05-30,-0.000569,
2025-06-04,-0.000269,
2025-06-06,0.000000,
2025-06-12,-0.003290,
2025-06-16,-0.002132,
2025-06-18,-0.001756,
2025-06-20,-0.002623,
2025-06-25,-0.001434,
2025-07-01,-0.000069,
2025-07-02,-0.000130,
2025-07-04,0.000000,
2025-07-10,0.000000,
2025-07-14,0.000000,
2025-07-16,-0.000489,
2025-07-22,0.000000,
2025-07-24,0.000000,
2025-07-29,-0.000961,
2025-07-31,-0.000519,
2025-08-04,0.000000,
2025-08-06,-0.001769,
2025-08-11,-0.001456,
2025-08-13,-0.003354,
2025-08-20,-0.002805,
2025-08-25,-0.003621,
2025-08-26,-0.004452,
2025-09-02,-0.002691,
2025-09-04,-0.001128,
2025-09-09,-0.000396,
2025-09-12,0.000000,
2025-09-15,0.000000,
2025-09-18,0.000000,
2025-09-22,0.000000,
2025-09-25,0.000000,
2025-09-30,0.000000,
2025-10-08,0.000000,
2025-10-09,-0.000212,
2025-10-13,0.000000,
2025-10-16,0.000000,
2025-10-20,0.000000,
2025-10-28,0.000000,
2025-10-30,-0.000203,
2025-11-03,0.000000,
2025-11-07,-0.000015,
2025-11-11,0.000000,
2025-11-13,0.000000,
2025-11-18,0.000000,
2025-11-20,0.000000,
2025-11-25,0.000000,
2025-11-27,0.000000,
2025-12-02,0.000000,
2025-12-08,0.000000,
2025-12-11,-0.000918,
2025-12-12,-0.001143,
2025-12-16,-0.000896,
2025-12-19,-0.000045,
2025-12-23,-0.000373,
2025-12-30,-0.000537,
2026-01-01,0.000000,
2026-01-05,-0.000127,
2026-01-09,0.000000,
2026-01-12,0.000000,
2026-01-16,-0.001467,
2026-01-21,-0.001616,
2026-01-23,-0.000141,
2026-01-28,-0.000580,
2026-02-02,0.000000,
2026-02-06,-0.001098,
2026-02-10,-0.000608,
2026-02-11,-0.000089,
2026-02-16,0.000000,
2026-02-20,-0.000037,
2026-02-25,0.000000,
2026-03-02,0.000000,
2026-03-04,-0.000746,
2026-03-06,0.000000,
2026-03-12,-0.000413,
2026-03-17,-0.000214,
2026-03-20,0.000000,
