# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:05.784483+00:00
stretch_ending,fund_return,benchmark_return
2025-09-08,0.161043,
2025-09-15,0.167411,
2025-09-22,0.175875,
2025-09-26,0.166078,
2025-10-06,0.169154,
2025-10-13,0.177643,
2025-10-20,0.183501,
2025-10-27,0.181178,
2025-11-03,0.174560,
2025-11-10,0.164842,
2025-11-17,0.171777,
2025-11-24,0.160533,
2025-12-01,0.157191,
2025-12-08,0.152488,
2025-12-15,0.161403,
2025-12-22,0.173925,
2025-12-29,0.162607,
2026-01-05,0.174600,
2026-01-12,0.163294,
2026-01-19,0.160639,
2026-01-23,0.154382,
2026-02-02,0.148866,
2026-02-09,0.163083,
2026-02-16,0.161365,
2026-02-23,0.168139,
2026-03-02,0.151524,
2026-03-09,0.132161,
2026-03-16,0.124003,
2026-03-23,0.110689,
2026-03-30,0.105561,
2026-04-06,0.107812,
2026-04-13,0.124926,
2026-04-20,0.141335,
2026-04-27,0.137672,
2026-05-04,0.133317,
2026-05-11,0.125094,
2026-05-18,0.117843,
2026-05-25,0.120603,
2026-06-01,0.106806,
2026-06-08,0.098104,
2026-06-15,0.104949,
2026-06-22,0.116756,
2026-06-29,0.109415,
2026-07-06,0.118393,
2026-07-13,0.113121,
2026-07-20,0.100246,
2026-07-27,0.098639,
2026-08-03,0.105691,
2026-08-10,0.103267,
2026-08-17,0.099854,
2026-08-24,0.094992,
2026-08-31,0.085317,
2026-09-07,0.075921,
2026-09-11,0.073721,
2026-09-21,0.083652,
