# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:10.106284+00:00
stretch_ending,fund_return,benchmark_return
2025-04-30,0.016948,
2025-05-07,0.044519,
2025-05-14,0.062020,
2025-05-21,0.034654,
2025-05-28,0.030434,
2025-06-04,0.112094,
2025-06-11,0.031545,
2025-06-18,-0.021132,
2025-06-25,0.007133,
2025-07-02,0.002898,
2025-07-09,-0.009884,
2025-07-16,-0.018922,
2025-07-23,-0.003245,
2025-07-30,-0.056217,
2025-08-06,-0.025065,
2025-08-13,-0.028676,
2025-08-20,-0.030134,
2025-08-26,-0.066845,
2025-09-03,-0.068071,
2025-09-10,-0.052833,
2025-09-17,-0.040393,
2025-09-24,-0.064588,
2025-10-01,-0.075035,
2025-10-08,-0.024413,
2025-10-15,-0.025482,
2025-10-20,0.036081,
2025-10-29,0.068496,
2025-11-04,0.062019,
2025-11-12,0.081317,
2025-11-19,0.105279,
2025-11-26,0.074770,
2025-12-03,0.022354,
2025-12-10,-0.005733,
2025-12-17,0.006449,
2025-12-24,0.054199,
2025-12-31,0.060285,
2026-01-07,0.064720,
2026-01-14,0.082696,
2026-01-21,0.025236,
2026-01-28,0.083847,
2026-02-04,0.094594,
2026-02-11,0.161919,
2026-02-18,0.188973,
2026-02-25,0.180903,
2026-03-04,0.152197,
2026-03-11,0.107127,
2026-03-18,0.087286,
2026-03-25,0.020408,
2026-04-01,0.005134,
2026-04-08,0.090798,
2026-04-15,0.073144,
2026-04-22,0.069025,
2026-04-29,0.081044,
2026-05-06,0.094072,
2026-05-13,0.045942,
2026-05-20,0.040612,
2026-05-27,0.053204,
2026-06-03,0.026915,
2026-06-10,-0.018997,
2026-06-17,0.045956,
2026-06-24,0.045463,
2026-07-01,0.014492,
2026-07-08,-0.009213,
2026-07-15,0.017631,
2026-07-22,0.027477,
2026-07-29,0.034181,
2026-08-05,0.062185,
2026-08-12,0.068953,
2026-08-19,0.044618,
2026-08-26,0.061699,
2026-09-02,0.048064,
2026-09-09,0.042703,
2026-09-16,-0.016238,
2026-09-23,0.009052,
