# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:06.296330+00:00
date,fund_value_inr,benchmark_value_inr
2024-12-05,10000.00,
2024-12-06,10026.63,
2024-12-09,10010.45,
2024-12-10,10016.77,
2024-12-11,10023.47,
2024-12-12,9974.75,
2024-12-13,9990.14,
2024-12-16,10021.99,
2024-12-17,9973.47,
2024-12-18,9964.50,
2024-12-19,9918.24,
2024-12-20,9794.27,
2024-12-23,9844.47,
2024-12-24,9876.52,
2024-12-26,9928.70,
2024-12-27,9906.80,
2024-12-30,9920.51,
2024-12-31,9954.44,
2025-01-01,10018.34,
2025-01-02,10121.11,
2025-01-03,10086.99,
2025-01-06,9920.21,
2025-01-07,9956.61,
2025-01-08,9881.36,
2025-01-09,9788.26,
2025-01-10,9721.78,
2025-01-13,9401.36,
2025-01-14,9447.51,
2025-01-15,9521.48,
2025-01-16,9548.90,
2025-01-17,9500.47,
2025-01-20,9548.50,
2025-01-21,9293.07,
2025-01-22,9203.52,
2025-01-23,9332.32,
2025-01-24,9258.25,
2025-01-27,9009.92,
2025-01-28,8934.77,
2025-01-29,9165.94,
2025-01-30,9170.68,
2025-01-31,9254.61,
2025-02-03,9302.54,
2025-02-04,9434.00,
2025-02-05,9510.83,
2025-02-06,9481.93,
2025-02-07,9460.73,
2025-02-10,9301.45,
2025-02-11,9031.22,
2025-02-12,8976.88,
2025-02-13,9011.40,
2025-02-14,8822.64,
2025-02-17,8775.99,
2025-02-18,8735.65,
2025-02-19,8818.10,
2025-02-20,8855.87,
2025-02-21,8831.12,
2025-02-24,8726.68,
2025-02-25,8690.78,
2025-02-27,8640.68,
2025-02-28,8430.21,
2025-03-03,8419.27,
2025-03-04,8449.84,
2025-03-05,8556.85,
2025-03-06,8645.21,
2025-03-07,8632.39,
2025-03-10,8535.45,
2025-03-11,8500.04,
2025-03-12,8430.41,
2025-03-13,8362.95,
2025-03-17,8388.10,
2025-03-18,8544.62,
2025-03-19,8654.48,
2025-03-20,8770.07,
2025-03-21,8867.31,
2025-03-24,8954.40,
2025-03-25,8891.97,
2025-03-26,8808.34,
2025-03-27,8903.70,
2025-03-28,8861.59,
2025-03-31,8863.17,
2025-04-01,8736.74,
2025-04-02,8824.31,
2025-04-03,8794.43,
2025-04-04,8568.29,
2025-04-07,8288.20,
2025-04-08,8457.73,
2025-04-09,8324.39,
2025-04-11,8518.19,
2025-04-15,8770.07,
2025-04-16,8814.94,
2025-04-17,8892.36,
2025-04-21,9021.07,
2025-04-22,9040.59,
2025-04-23,9113.77,
2025-04-24,9101.54,
2025-04-25,8951.64,
2025-04-28,9006.86,
2025-04-29,9025.70,
2025-04-30,8973.63,
2025-05-02,8962.48,
2025-05-05,9036.45,
2025-05-06,8899.96,
2025-05-07,8956.27,
2025-05-08,8882.89,
2025-05-09,8830.62,
2025-05-12,9172.75,
2025-05-13,9150.76,
2025-05-14,9221.76,
2025-05-15,9341.59,
2025-05-16,9355.60,
2025-05-19,9349.78,
2025-05-20,9291.29,
2025-05-21,9367.83,
2025-05-22,9322.46,
2025-05-23,9407.08,
2025-05-26,9452.54,
2025-05-27,9402.34,
2025-05-28,9387.16,
2025-05-29,9423.65,
2025-05-30,9400.37,
2025-06-02,9397.91,
2025-06-03,9375.22,
2025-06-04,9447.71,
2025-06-05,9513.59,
2025-06-06,9585.49,
2025-06-09,9663.99,
2025-06-10,9677.80,
2025-06-11,9675.73,
2025-06-12,9575.92,
2025-06-13,9552.25,
2025-06-16,9633.81,
2025-06-17,9605.80,
2025-06-18,9584.80,
2025-06-19,9499.78,
2025-06-20,9590.42,
2025-06-23,9576.02,
2025-06-24,9625.13,
2025-06-25,9723.26,
2025-06-26,9765.28,
2025-06-27,9777.80,
2025-06-30,9770.31,
2025-07-01,9747.33,
2025-07-02,9762.91,
2025-07-03,9782.24,
2025-07-04,9820.31,
2025-07-07,9794.07,
2025-07-08,9820.01,
2025-07-09,9871.20,
2025-07-10,9812.12,
2025-07-11,9732.04,
2025-07-14,9745.95,
2025-07-15,9839.93,
2025-07-16,9851.67,
2025-07-17,9827.71,
2025-07-18,9741.90,
2025-07-21,9769.62,
2025-07-22,9800.29,
2025-07-23,9806.50,
2025-07-24,9763.70,
2025-07-25,9644.07,
2025-07-28,9590.62,
2025-07-29,9652.06,
2025-07-30,9710.64,
2025-07-31,9707.48,
2025-08-01,9618.23,
2025-08-04,9692.99,
2025-08-05,9688.45,
2025-08-06,9594.17,
2025-08-07,9644.07,
2025-08-08,9558.66,
2025-08-11,9633.22,
2025-08-12,9648.01,
2025-08-13,9715.47,
2025-08-14,9711.13,
2025-08-18,9797.43,
2025-08-19,9894.08,
2025-08-20,9946.74,
2025-08-21,9917.65,
2025-08-22,9866.56,
2025-08-25,9934.71,
2025-08-26,9832.14,
2025-08-28,9731.35,
2025-08-29,9689.04,
2025-09-01,9803.44,
2025-09-02,9809.95,
2025-09-03,9870.80,
2025-09-04,9860.94,
2025-09-05,9834.12,
2025-09-08,9846.15,
2025-09-09,9922.88,
2025-09-10,9967.06,
2025-09-11,9989.25,
2025-09-12,9980.47,
2025-09-15,9989.64,
2025-09-16,10052.47,
2025-09-17,10079.79,
2025-09-18,10107.40,
2025-09-19,10129.89,
2025-09-22,10039.45,
2025-09-23,9982.94,
2025-09-24,9912.92,
2025-09-25,9856.31,
2025-09-26,9689.53,
2025-09-30,9664.58,
2025-10-01,9709.85,
2025-10-03,9732.93,
2025-10-06,9820.90,
2025-10-07,9819.03,
2025-10-08,9814.19,
2025-10-09,9842.79,
2025-10-10,9904.93,
2025-10-13,9888.85,
2025-10-14,9832.93,
2025-10-15,9879.98,
2025-10-16,9960.75,
2025-10-17,9930.47,
2025-10-20,9992.21,
2025-10-23,10021.11,
2025-10-24,9984.42,
2025-10-27,10090.34,
2025-10-28,10077.81,
2025-10-29,10089.75,
2025-10-30,10070.12,
2025-10-31,9994.38,
2025-11-03,10054.14,
2025-11-04,10029.09,
2025-11-06,9914.00,
2025-11-07,9863.21,
2025-11-10,9880.96,
2025-11-11,9897.63,
2025-11-12,9967.16,
2025-11-13,9941.32,
2025-11-14,9931.65,
2025-11-17,10006.61,
2025-11-18,9964.89,
2025-11-19,10011.34,
2025-11-20,10033.73,
2025-11-21,9971.20,
2025-11-24,9936.09,
2025-11-25,9918.54,
2025-11-26,10007.79,
2025-11-27,10005.33,
2025-11-28,9987.18,
2025-12-01,10046.85,
2025-12-02,10017.06,
2025-12-03,9985.80,
2025-12-04,9992.11,
2025-12-05,9997.44,
2025-12-08,9870.01,
2025-12-09,9870.41,
2025-12-10,9815.67,
2025-12-11,9870.01,
2025-12-12,9922.88,
2025-12-15,9912.42,
2025-12-16,9846.05,
2025-12-17,9785.69,
2025-12-18,9798.02,
2025-12-19,9889.74,
2025-12-22,9950.69,
2025-12-23,9946.45,
2025-12-24,9921.20,
2025-12-26,9897.43,
2025-12-29,9840.82,
2025-12-30,9822.68,
2025-12-31,9920.21,
2026-01-01,9939.25,
2026-01-02,9983.23,
2026-01-05,9983.33,
2026-01-06,9957.89,
2026-01-07,9967.45,
2026-01-08,9824.25,
2026-01-09,9705.91,
2026-01-12,9665.08,
2026-01-13,9690.62,
2026-01-14,9690.13,
2026-01-16,9688.35,
2026-01-19,9625.43,
2026-01-20,9426.31,
2026-01-21,9389.92,
2026-01-22,9459.05,
2026-01-23,9292.87,
2026-01-27,9345.04,
2026-01-28,9416.45,
2026-01-29,9449.98,
2026-01-30,9486.57,
2026-02-02,9415.56,
2026-02-03,9637.56,
2026-02-04,9632.53,
2026-02-05,9599.89,
2026-02-06,9549.09,
2026-02-09,9648.51,
2026-02-10,9711.53,
2026-02-11,9729.18,
2026-02-12,9631.54,
2026-02-13,9504.62,
2026-02-16,9520.30,
2026-02-17,9572.37,
2026-02-18,9585.39,
2026-02-19,9482.23,
2026-02-20,9479.47,
2026-02-23,9518.62,
2026-02-24,9401.55,
2026-02-25,9414.67,
2026-02-26,9414.18,
2026-02-27,9290.80,
2026-03-02,9129.65,
2026-03-04,8994.93,
2026-03-05,9061.99,
2026-03-06,8968.11,
2026-03-09,8837.13,
2026-03-10,8978.56,
2026-03-11,8879.44,
2026-03-12,8786.44,
2026-03-13,8589.89,
2026-03-16,8652.81,
2026-03-17,8720.17,
2026-03-18,8861.30,
2026-03-19,8579.43,
2026-03-20,8621.15,
2026-03-23,8380.31,
2026-03-24,8572.53,
2026-03-25,8747.19,
2026-03-27,8585.45,
2026-03-30,8412.66,
2026-03-31,8412.46,
2026-04-01,8567.00,
2026-04-02,8543.04,
2026-04-06,8648.76,
2026-04-07,8659.91,
2026-04-08,8985.76,
2026-04-09,8935.17,
2026-04-10,9070.87,
2026-04-13,9011.40,
2026-04-15,9178.47,
2026-04-16,9235.77,
2026-04-17,9302.73,
2026-04-20,9297.31,
2026-04-21,9377.29,
2026-04-22,9364.47,
2026-04-23,9314.17,
2026-04-24,9189.32,
2026-04-27,9294.15,
2026-04-28,9256.97,
2026-04-29,9307.27,
2026-04-30,9241.09,
2026-05-04,9393.47,
2026-05-05,9376.41,
2026-05-06,9524.73,
2026-05-07,9573.16,
2026-05-08,9652.65,
2026-05-11,9573.75,
2026-05-12,9336.46,
2026-05-13,9339.42,
2026-05-14,9409.35,
2026-05-15,9411.02,
2026-05-18,9366.35,
2026-05-19,9440.81,
2026-05-20,9469.80,
2026-05-21,9523.35,
2026-05-22,9535.39,
2026-05-25,9633.42,
2026-05-26,9644.17,
2026-05-27,9692.10,
2026-05-29,9669.41,
2026-06-01,9560.24,
2026-06-02,9612.21,
2026-06-03,9587.16,
2026-06-04,9619.41,
2026-06-05,9624.64,
2026-06-08,9511.72,
2026-06-09,9614.38,
2026-06-10,9571.58,
2026-06-11,9520.49,
2026-06-12,9699.89,
2026-06-15,9795.36,
2026-06-16,9813.31,
2026-06-17,9866.96,
2026-06-18,9885.99,
2026-06-19,9904.53,
2026-06-22,9935.01,
2026-06-23,9863.11,
2026-06-24,9909.56,
2026-06-25,9905.12,
2026-06-29,9883.23,
2026-06-30,9904.73,
2026-07-01,9967.95,
2026-07-02,10051.58,
2026-07-03,10044.58,
2026-07-06,10086.39,
2026-07-07,10071.30,
2026-07-08,9899.21,
2026-07-09,10005.13,
2026-07-10,10097.05,
2026-07-13,10116.28,
2026-07-14,10052.76,
2026-07-15,10107.89,
2026-07-16,10133.54,
2026-07-17,10168.05,
2026-07-20,10175.94,
2026-07-21,10197.54,
2026-07-22,10086.89,
2026-07-23,10005.72,
2026-07-24,9975.74,
2026-07-27,10101.38,
2026-07-28,10117.46,
2026-07-29,10235.61,
2026-07-30,10219.34,
2026-07-31,10214.31,
2026-08-03,10358.69,
2026-08-04,10388.97,
2026-08-05,10433.84,
2026-08-06,10389.46,
2026-08-07,10383.25,
2026-08-10,10401.89,
2026-08-11,10425.56,
2026-08-12,10406.03,
2026-08-13,10372.30,
2026-08-14,10392.32,
2026-08-17,10365.99,
2026-08-18,10372.60,
2026-08-19,10341.53,
2026-08-20,10393.01,
2026-08-21,10407.61,
2026-08-24,10401.99,
2026-08-25,10457.32,
2026-08-26,10431.67,
2026-08-27,10420.73,
2026-08-28,10429.60,
2026-08-31,10422.21,
2026-09-01,10368.65,
2026-09-02,10324.96,
2026-09-03,10347.65,
2026-09-04,10333.35,
2026-09-07,10290.15,
2026-09-08,10288.97,
2026-09-09,10278.02,
2026-09-10,10277.82,
2026-09-11,10250.01,
2026-09-15,10089.85,
2026-09-16,10118.94,
2026-09-17,10160.95,
2026-09-18,10261.55,
2026-09-21,10276.93,
2026-09-22,10263.13,
2026-09-23,10311.25,
2026-09-24,10096.55,
2026-09-25,10104.54,
