# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:06.031747+00:00
date,fund_below_high,benchmark_below_high
2025-05-26,0.000000,
2025-05-27,0.000000,
2025-05-28,0.000000,
2025-05-29,-0.000140,
2025-05-30,-0.000219,
2025-06-02,0.000000,
2025-06-03,0.000000,
2025-06-04,0.000000,
2025-06-05,0.000000,
2025-06-06,0.000000,
2025-06-09,-0.000727,
2025-06-10,-0.001892,
2025-06-11,-0.002589,
2025-06-12,-0.002719,
2025-06-13,-0.003087,
2025-06-16,-0.002480,
2025-06-17,-0.001524,
2025-06-18,-0.001613,
2025-06-19,-0.002181,
2025-06-20,-0.002121,
2025-06-23,-0.002131,
2025-06-24,-0.001364,
2025-06-25,-0.001763,
2025-06-26,-0.001544,
2025-06-27,-0.001643,
2025-06-30,-0.001046,
2025-07-01,-0.000408,
2025-07-02,0.000000,
2025-07-03,0.000000,
2025-07-04,0.000000,
2025-07-07,0.000000,
2025-07-08,-0.000139,
2025-07-09,-0.000020,
2025-07-10,0.000000,
2025-07-11,0.000000,
2025-07-14,0.000000,
2025-07-15,0.000000,
2025-07-16,0.000000,
2025-07-17,0.000000,
2025-07-18,0.000000,
2025-07-21,0.000000,
2025-07-22,0.000000,
2025-07-23,0.000000,
2025-07-24,0.000000,
2025-07-25,-0.000069,
2025-07-28,-0.000129,
2025-07-29,-0.000416,
2025-07-30,-0.000218,
2025-07-31,0.000000,
2025-08-01,0.000000,
2025-08-04,0.000000,
2025-08-05,0.000000,
2025-08-06,-0.001296,
2025-08-07,-0.001256,
2025-08-08,-0.000752,
2025-08-11,-0.001098,
2025-08-12,-0.001701,
2025-08-13,-0.002245,
2025-08-14,-0.000831,
2025-08-18,-0.001533,
2025-08-19,-0.001998,
2025-08-20,-0.001207,
2025-08-21,-0.001147,
2025-08-22,-0.001236,
2025-08-25,-0.001375,
2025-08-26,-0.002077,
2025-08-28,-0.000702,
2025-08-29,-0.001325,
2025-09-01,-0.001375,
2025-09-02,-0.001078,
2025-09-03,-0.000623,
2025-09-04,0.000000,
2025-09-05,0.000000,
2025-09-09,0.000000,
2025-09-10,-0.000069,
2025-09-11,0.000000,
2025-09-12,0.000000,
2025-09-15,-0.000020,
2025-09-16,0.000000,
2025-09-17,0.000000,
2025-09-18,-0.000049,
2025-09-19,0.000000,
2025-09-22,0.000000,
2025-09-23,0.000000,
2025-09-24,0.000000,
2025-09-25,0.000000,
2025-09-26,0.000000,
2025-09-30,0.000000,
2025-10-01,0.000000,
2025-10-03,0.000000,
2025-10-06,0.000000,
2025-10-07,0.000000,
2025-10-08,0.000000,
2025-10-09,-0.000324,
2025-10-10,-0.000098,
2025-10-13,0.000000,
2025-10-14,0.000000,
2025-10-15,0.000000,
2025-10-16,0.000000,
2025-10-17,0.000000,
2025-10-20,0.000000,
2025-10-23,-0.000117,
2025-10-24,0.000000,
2025-10-27,-0.000029,
2025-10-28,0.000000,
2025-10-29,-0.000029,
2025-10-30,-0.000049,
2025-10-31,0.000000,
2025-11-03,0.000000,
2025-11-04,0.000000,
2025-11-06,0.000000,
2025-11-07,0.000000,
2025-11-10,0.000000,
2025-11-11,0.000000,
2025-11-12,0.000000,
2025-11-13,0.000000,
2025-11-14,-0.000263,
2025-11-17,0.000000,
2025-11-18,0.000000,
2025-11-19,0.000000,
2025-11-20,0.000000,
2025-11-21,0.000000,
2025-11-24,0.000000,
2025-11-25,0.000000,
2025-11-26,0.000000,
2025-11-27,-0.000039,
2025-11-28,-0.000204,
2025-12-01,-0.000292,
2025-12-02,-0.000019,
2025-12-03,0.000000,
2025-12-04,0.000000,
2025-12-05,0.000000,
2025-12-08,0.000000,
2025-12-09,-0.001039,
2025-12-10,-0.001418,
2025-12-11,-0.001651,
2025-12-12,-0.001447,
2025-12-15,-0.001389,
2025-12-16,-0.001107,
2025-12-17,-0.001069,
2025-12-18,-0.000777,
2025-12-19,-0.000359,
2025-12-22,-0.000534,
2025-12-23,-0.000476,
2025-12-24,0.000000,
2025-12-26,0.000000,
2025-12-29,0.000000,
2025-12-30,-0.000223,
2025-12-31,0.000000,
2026-01-01,0.000000,
2026-01-02,-0.000019,
2026-01-05,0.000000,
2026-01-06,0.000000,
2026-01-07,0.000000,
2026-01-08,0.000000,
2026-01-09,-0.000048,
2026-01-12,0.000000,
2026-01-13,-0.000165,
2026-01-14,-0.000678,
2026-01-16,-0.001133,
2026-01-19,-0.001036,
2026-01-20,-0.001017,
2026-01-21,-0.001007,
2026-01-22,-0.000368,
2026-01-23,0.000000,
2026-01-27,-0.000232,
2026-01-28,-0.000058,
2026-01-29,0.000000,
2026-01-30,0.000000,
2026-02-02,-0.000222,
2026-02-03,0.000000,
2026-02-04,0.000000,
2026-02-05,0.000000,
2026-02-06,-0.000878,
2026-02-09,-0.000907,
2026-02-10,-0.000550,
2026-02-11,-0.000010,
2026-02-12,0.000000,
2026-02-13,0.000000,
2026-02-16,0.000000,
2026-02-17,0.000000,
2026-02-18,0.000000,
2026-02-20,-0.000106,
2026-02-23,0.000000,
2026-02-24,-0.000096,
2026-02-25,0.000000,
2026-02-26,0.000000,
2026-02-27,0.000000,
2026-03-02,0.000000,
2026-03-04,-0.000518,
2026-03-05,0.000000,
2026-03-06,0.000000,
2026-03-09,-0.001037,
2026-03-10,-0.000403,
2026-03-11,0.000000,
2026-03-12,-0.000902,
2026-03-13,-0.000777,
2026-03-16,-0.000892,
2026-03-17,-0.000854,
2026-03-18,-0.000355,
2026-03-20,-0.000854,
2026-03-23,-0.002389,
2026-03-24,-0.002389,
2026-03-25,-0.002178,
2026-03-27,-0.002677,
2026-03-30,-0.002111,
2026-03-31,-0.001967,
2026-04-02,-0.003060,
2026-04-06,-0.002715,
2026-04-07,-0.001967,
2026-04-08,0.000000,
2026-04-09,0.000000,
2026-04-10,0.000000,
2026-04-13,0.000000,
2026-04-15,0.000000,
2026-04-16,0.000000,
2026-04-17,0.000000,
2026-04-20,0.000000,
2026-04-21,-0.000105,
2026-04-22,-0.000105,
2026-04-23,-0.000563,
2026-04-24,-0.001069,
2026-04-27,-0.000525,
2026-04-28,-0.000726,
2026-04-29,-0.001069,
2026-04-30,-0.001871,
2026-05-04,-0.000897,
2026-05-05,-0.001146,
2026-05-06,-0.000267,
2026-05-07,0.000000,
2026-05-08,0.000000,
2026-05-11,-0.000401,
2026-05-12,-0.000735,
2026-05-13,-0.000773,
2026-05-14,-0.000658,
2026-05-15,-0.001231,
2026-05-18,-0.002652,
2026-05-19,-0.002309,
2026-05-20,-0.002843,
2026-05-21,-0.003434,
2026-05-22,-0.003110,
2026-05-25,-0.001679,
2026-05-26,-0.001574,
2026-05-27,-0.001202,
2026-05-29,-0.001345,
2026-06-01,0.000000,
2026-06-02,-0.000076,
2026-06-03,-0.000105,
2026-06-04,0.000000,
2026-06-05,0.000000,
2026-06-08,0.000000,
2026-06-09,0.000000,
2026-06-10,0.000000,
2026-06-11,-0.000530,
2026-06-12,-0.000161,
2026-06-15,0.000000,
2026-06-16,0.000000,
2026-06-17,-0.000028,
2026-06-18,0.000000,
2026-06-19,0.000000,
2026-06-22,0.000000,
2026-06-23,0.000000,
2026-06-24,0.000000,
2026-06-25,0.000000,
2026-06-29,0.000000,
2026-06-30,0.000000,
2026-07-01,0.000000,
2026-07-02,0.000000,
2026-07-03,0.000000,
2026-07-06,0.000000,
2026-07-07,-0.000084,
2026-07-08,-0.001464,
2026-07-09,-0.001333,
2026-07-10,-0.000676,
2026-07-13,-0.000573,
2026-07-14,-0.001614,
2026-07-15,-0.001333,
2026-07-16,-0.000957,
2026-07-17,-0.000507,
2026-07-20,-0.000845,
2026-07-21,-0.000206,
2026-07-22,-0.000272,
2026-07-23,-0.000328,
2026-07-24,-0.000451,
2026-07-27,0.000000,
2026-07-28,0.000000,
2026-07-29,0.000000,
2026-07-30,-0.000066,
2026-07-31,0.000000,
2026-08-03,0.000000,
2026-08-04,-0.000486,
2026-08-05,-0.000430,
2026-08-06,-0.000636,
2026-08-07,-0.000075,
2026-08-10,0.000000,
2026-08-11,-0.000047,
2026-08-12,0.000000,
2026-08-13,0.000000,
2026-08-14,0.000000,
2026-08-17,-0.000504,
2026-08-18,-0.000476,
2026-08-19,0.000000,
2026-08-20,-0.001289,
2026-08-21,-0.001429,
2026-08-24,-0.000878,
2026-08-25,-0.000878,
2026-08-27,-0.001354,
2026-08-28,-0.001205,
2026-08-31,-0.001345,
2026-09-01,-0.000168,
2026-09-02,-0.000420,
2026-09-03,0.000000,
2026-09-04,-0.000075,
2026-09-07,0.000000,
2026-09-08,0.000000,
2026-09-09,0.000000,
2026-09-10,0.000000,
2026-09-11,-0.001537,
2026-09-15,-0.002050,
2026-09-16,-0.001519,
2026-09-17,-0.001547,
2026-09-18,-0.000801,
2026-09-21,-0.000503,
2026-09-22,-0.000363,
2026-09-23,0.000000,
2026-09-24,-0.001183,
2026-09-25,-0.001323,
