# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:54.945151+00:00
date,fund_below_high,benchmark_below_high
2014-02-28,0.000000,
2014-03-07,-0.004731,
2014-03-12,-0.027725,
2014-03-25,-0.034902,
2014-04-03,0.000000,
2014-04-15,-0.007335,
2014-04-22,0.000000,
2014-05-07,-0.027971,
2014-05-14,-0.007995,
2014-05-23,-0.022416,
2014-06-03,0.000000,
2014-06-12,-0.005105,
2014-06-16,0.000000,
2014-06-25,-0.007335,
2014-07-09,-0.012466,
2014-07-15,0.000000,
2014-07-30,0.000000,
2014-08-01,-0.014438,
2014-08-08,-0.024676,
2014-08-18,0.000000,
2014-08-28,0.000000,
2014-09-10,-0.012021,
2014-09-16,-0.036286,
2014-09-24,-0.049620,
2014-10-13,-0.086951,
2014-10-21,-0.078112,
2014-10-31,-0.048887,
2014-11-05,-0.062302,
2014-11-20,-0.073054,
2014-11-27,-0.052775,
2014-12-01,-0.074823,
2014-12-12,-0.094396,
2014-12-17,-0.096461,
2014-12-29,-0.056788,
2015-01-07,-0.080928,
2015-01-19,-0.090902,
2015-01-27,-0.064966,
2015-02-02,-0.080418,
2015-02-13,-0.045482,
2015-02-25,-0.039137,
2015-03-04,-0.042926,
2015-03-11,-0.066413,
2015-03-19,-0.046385,
2015-04-01,-0.050862,
2015-04-13,-0.012182,
2015-04-23,0.000000,
2015-05-06,-0.019390,
2015-05-12,-0.025004,
2015-05-26,-0.013776,
2015-05-28,-0.034513,
2015-06-09,-0.064052,
2015-06-12,-0.050319,
2015-06-24,-0.041449,
2015-07-08,-0.118430,
2015-07-13,-0.094618,
2015-07-21,-0.085325,
2015-07-27,-0.111694,
2015-08-04,-0.105294,
2015-08-17,-0.126532,
2015-08-24,-0.191612,
2015-08-31,-0.154732,
2015-09-07,-0.190394,
2015-09-16,-0.152806,
2015-09-29,-0.204334,
2015-10-12,-0.131887,
2015-10-26,-0.122231,
2015-10-29,-0.138529,
2015-11-05,-0.121609,
2015-11-16,-0.161115,
2015-11-26,-0.129114,
2015-12-04,-0.131118,
2015-12-11,-0.165476,
2015-12-29,-0.151104,
2016-01-07,-0.204274,
2016-01-11,-0.216789,
2016-01-21,-0.237034,
2016-01-29,-0.188425,
2016-02-12,-0.210328,
2016-02-18,-0.173068,
2016-02-29,-0.184003,
2016-03-04,-0.150206,
2016-03-18,-0.133459,
2016-03-31,-0.131066,
2016-04-05,-0.153695,
2016-04-21,-0.112730,
2016-04-28,-0.120909,
2016-05-06,-0.148073,
2016-05-19,-0.145931,
2016-05-24,-0.141906,
2016-06-07,-0.096052,
2016-06-16,-0.123250,
2016-06-22,-0.092666,
2016-06-28,-0.112125,
2016-07-12,-0.070875,
2016-07-18,-0.053195,
2016-07-28,-0.038271,
2016-08-03,-0.051338,
2016-08-18,-0.016790,
2016-08-22,-0.023519,
2016-09-06,-0.015944,
2016-09-14,-0.050829,
2016-09-22,-0.016281,
2016-09-27,-0.026766,
2016-10-06,-0.007143,
2016-10-17,-0.030506,
2016-10-26,-0.020824,
2016-11-09,-0.053584,
2016-11-21,-0.055700,
2016-11-28,-0.020876,
2016-12-06,-0.032872,
2016-12-14,-0.029340,
2016-12-23,-0.062342,
2017-01-05,-0.025246,
2017-01-12,-0.000518,
2017-01-16,-0.009356,
2017-01-27,0.000000,
2017-02-09,-0.018796,
2017-02-16,0.000000,
2017-02-27,-0.014061,
2017-03-09,-0.020453,
2017-03-17,0.000000,
2017-03-27,-0.014101,
2017-04-05,-0.001629,
2017-04-07,-0.018638,
2017-04-19,-0.029715,
2017-05-02,-0.002335,
2017-05-12,-0.005827,
2017-05-22,0.000000,
2017-05-24,-0.005113,
2017-06-12,-0.005395,
2017-06-14,0.000000,
2017-06-21,-0.010740,
2017-07-07,-0.016981,
2017-07-12,0.000000,
2017-07-25,0.000000,
2017-08-01,-0.000245,
2017-08-03,-0.015779,
2017-08-11,-0.031856,
2017-08-28,-0.007381,
2017-09-06,-0.012875,
2017-09-11,-0.000619,
2017-09-25,-0.009972,
2017-10-03,0.000000,
2017-10-12,0.000000,
2017-10-25,-0.014400,
2017-10-26,-0.017499,
2017-11-07,0.000000,
2017-11-15,-0.015408,
2017-11-22,0.000000,
2017-12-06,-0.046849,
2017-12-13,-0.022959,
2017-12-15,-0.032068,
2018-01-02,0.000000,
2018-01-10,-0.008176,
2018-01-15,0.000000,
2018-01-29,0.000000,
2018-02-06,-0.062147,
2018-02-09,-0.084853,
2018-02-21,-0.031158,
2018-03-05,-0.062638,
2018-03-12,-0.020870,
2018-03-22,-0.033921,
2018-04-04,-0.071836,
2018-04-11,-0.038365,
2018-04-19,-0.018746,
2018-04-26,-0.031507,
2018-05-11,0.000000,
2018-05-15,-0.010113,
2018-05-30,-0.028161,
2018-06-07,-0.001153,
2018-06-19,-0.038927,
2018-06-20,-0.033404,
2018-07-04,-0.066389,
2018-07-10,-0.034117,
2018-07-17,-0.056875,
2018-07-27,-0.018921,
2018-08-02,-0.056955,
2018-08-09,-0.034130,
2018-08-17,-0.052538,
2018-08-29,-0.011186,
2018-09-11,-0.041365,
2018-09-21,0.000000,
2018-09-28,-0.001433,
2018-10-11,-0.069494,
2018-10-22,-0.055840,
2018-10-26,-0.102391,
2018-11-06,-0.064446,
2018-11-20,-0.099617,
2018-11-30,-0.111437,
2018-12-03,-0.080953,
2018-12-13,-0.084371,
2018-12-20,-0.126367,
2019-01-02,-0.148607,
2019-01-09,-0.099571,
2019-01-23,-0.078954,
2019-01-31,-0.047688,
2019-02-12,-0.046728,
2019-02-15,-0.046051,
2019-02-25,-0.012129,
2019-03-08,-0.050443,
2019-03-12,-0.043231,
2019-03-26,-0.051994,
2019-04-08,0.000000,
2019-04-11,-0.017160,
2019-04-23,-0.006085,
2019-05-03,-0.020296,
2019-05-14,-0.056648,
2019-05-23,-0.081255,
2019-06-04,-0.089003,
2019-06-12,-0.060470,
2019-06-20,-0.022663,
2019-07-02,-0.007109,
2019-07-09,-0.034129,
2019-07-19,-0.011804,
2019-07-25,-0.017524,
2019-08-05,-0.071525,
2019-08-13,-0.076696,
2019-08-20,-0.047257,
2019-08-28,-0.055742,
2019-09-11,-0.003398,
2019-09-17,-0.000013,
2019-09-25,-0.027348,
2019-10-10,-0.034055,
2019-10-16,0.000000,
2019-11-05,0.000000,
2019-11-13,-0.014661,
2019-11-19,-0.002990,
2019-11-22,-0.015866,
2019-12-04,-0.030783,
2019-12-13,0.000000,
2019-12-19,-0.007802,
2019-12-30,0.000000,
2020-01-14,0.000000,
2020-01-20,-0.003054,
2020-02-03,-0.070328,
2020-02-06,-0.040530,
2020-02-17,-0.036104,
2020-02-26,-0.080845,
2020-03-05,-0.056440,
2020-03-16,-0.207631,
2020-03-19,-0.272608,
2020-03-26,-0.192866,
2020-04-03,-0.187074,
2020-04-17,-0.115231,
2020-04-29,-0.114211,
2020-05-14,-0.150278,
2020-05-19,-0.118118,
2020-05-29,-0.130419,
2020-06-09,-0.046889,
2020-06-15,-0.093248,
2020-06-30,-0.079270,
2020-07-08,-0.017419,
2020-07-16,-0.034379,
2020-07-21,-0.007487,
2020-07-28,-0.000119,
2020-08-12,0.000000,
2020-08-20,-0.024930,
2020-08-26,-0.003176,
2020-09-04,-0.050524,
2020-09-08,-0.034632,
2020-09-16,-0.022279,
2020-09-24,-0.069332,
2020-10-12,-0.024803,
2020-10-15,-0.037952,
2020-10-22,-0.017174,
2020-10-30,-0.049484,
2020-11-09,0.000000,
2020-11-19,-0.009819,
2020-12-01,-0.014848,
2020-12-03,0.000000,
2020-12-15,-0.011605,
2020-12-22,-0.015619,
2020-12-30,0.000000,
2021-01-13,0.000000,
2021-01-21,0.000000,
2021-01-29,-0.064727,
2021-02-03,-0.032160,
2021-02-17,0.000000,
2021-02-26,-0.029546,
2021-03-03,-0.006802,
2021-03-10,-0.034525,
2021-03-25,-0.050636,
2021-04-08,-0.000313,
2021-04-12,-0.013109,
2021-04-26,0.000000,
2021-05-04,-0.026275,
2021-05-10,-0.013706,
2021-05-21,-0.046054,
2021-06-02,-0.011621,
2021-06-11,-0.012820,
2021-06-21,-0.037806,
2021-06-25,-0.020926,
2021-07-09,-0.053056,
2021-07-16,-0.036323,
2021-07-27,-0.075603,
2021-08-04,-0.057638,
2021-08-12,-0.062257,
2021-08-20,-0.100892,
2021-08-25,-0.078540,
2021-09-07,-0.058500,
2021-09-17,-0.078180,
2021-09-20,-0.093103,
2021-10-06,-0.082155,
2021-10-19,-0.046722,
2021-10-26,-0.045003,
2021-11-03,-0.077322,
2021-11-16,-0.056851,
2021-11-26,-0.076522,
2021-11-30,-0.083074,
2021-12-09,-0.037683,
2021-12-20,-0.065602,
2021-12-28,-0.042875,
2022-01-06,-0.053800,
2022-01-13,-0.024280,
2022-01-28,-0.052673,
2022-02-10,0.000000,
2022-02-17,-0.015440,
2022-02-24,-0.066754,
2022-03-03,-0.053539,
2022-03-15,-0.118029,
2022-03-17,-0.062973,
2022-04-04,-0.048994,
2022-04-07,-0.068201,
2022-04-13,-0.066061,
2022-04-27,-0.119609,
2022-05-12,-0.143592,
2022-05-18,-0.107007,
2022-05-31,-0.078964,
2022-06-08,-0.082783,
