# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:58.807254+00:00
stretch_ending,fund_return,benchmark_return
2017-05-04,0.155428,
2017-05-11,0.148479,
2017-05-18,0.133753,
2017-05-25,0.127677,
2017-06-01,0.130378,
2017-06-08,0.122143,
2017-06-15,0.128503,
2017-06-22,0.129444,
2017-06-29,0.121482,
2017-07-06,0.119950,
2017-07-13,0.137815,
2017-07-20,0.128889,
2017-07-27,0.135045,
2017-08-03,0.135925,
2017-08-10,0.130795,
2017-08-16,0.126617,
2017-08-24,0.127161,
2017-08-31,0.125737,
2017-09-07,0.124569,
2017-09-14,0.128273,
2017-09-21,0.127629,
2017-09-28,0.124129,
2017-10-05,0.132853,
2017-10-12,0.135964,
2017-10-18,0.139012,
2017-10-26,0.134341,
2017-11-02,0.127709,
2017-11-09,0.122611,
2017-11-16,0.116330,
2017-11-23,0.118927,
2017-11-30,0.117422,
2017-12-07,0.115363,
2017-12-14,0.120842,
2017-12-21,0.125172,
2017-12-28,0.126236,
2018-01-04,0.123798,
2018-01-11,0.128976,
2018-01-18,0.121935,
2018-01-25,0.119915,
2018-02-01,0.116204,
2018-02-08,0.115202,
2018-02-15,0.107615,
2018-02-22,0.101547,
2018-03-01,0.099524,
2018-03-08,0.097153,
2018-03-15,0.105158,
2018-03-22,0.102246,
2018-03-28,0.103438,
2018-04-05,0.107079,
2018-04-12,0.105539,
2018-04-19,0.115298,
2018-04-26,0.121275,
2018-05-03,0.115859,
2018-05-10,0.116233,
2018-05-17,0.112798,
2018-05-24,0.106236,
2018-05-31,0.111356,
2018-06-07,0.117493,
2018-06-14,0.118033,
2018-06-21,0.105850,
2018-06-28,0.102764,
2018-07-05,0.098920,
2018-07-12,0.105936,
2018-07-19,0.098218,
2018-07-26,0.106937,
2018-08-02,0.103231,
2018-08-09,0.108377,
2018-08-16,0.106696,
2018-08-23,0.125953,
2018-08-30,0.121074,
2018-09-06,0.127034,
2018-09-12,0.115378,
2018-09-19,0.110908,
2018-09-27,0.102469,
2018-10-04,0.085171,
2018-10-11,0.079670,
2018-10-17,0.083409,
2018-10-25,0.076711,
2018-11-01,0.087365,
2018-11-06,0.094395,
2018-11-15,0.097961,
2018-11-22,0.093814,
2018-11-29,0.096169,
2018-12-06,0.093897,
2018-12-13,0.104555,
2018-12-20,0.101800,
2018-12-27,0.095001,
2019-01-03,0.095654,
2019-01-10,0.103620,
2019-01-17,0.116389,
2019-01-24,0.108945,
2019-01-31,0.103882,
2019-02-07,0.111322,
