# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:34:58.712744+00:00
date,nav
2014-05-05,10.02540
2014-05-07,10.00760
2014-05-08,10.02740
2014-05-19,10.56810
2014-05-30,10.68130
2014-06-09,11.13200
2014-06-13,10.95630
2014-06-23,10.96900
2014-07-04,11.28300
2014-07-11,10.91790
2014-07-17,11.18420
2014-07-24,11.24150
2014-08-08,10.95060
2014-08-19,11.25250
2014-08-26,11.21830
2014-09-08,11.50000
2014-09-16,11.35090
2014-09-22,11.52450
2014-09-25,11.24770
2014-10-16,11.16290
2014-10-28,11.43710
2014-11-05,11.77150
2014-11-12,11.86310
2014-11-25,11.87950
2014-12-03,12.09030
2014-12-05,12.09590
2014-12-17,11.69100
2014-12-22,11.96870
2015-01-07,11.89630
2015-01-14,12.03240
2015-01-20,12.38040
2015-01-29,12.54320
2015-02-09,12.25380
2015-02-13,12.52860
2015-03-03,12.69060
2015-03-11,12.44480
2015-03-18,12.43910
2015-03-26,12.15820
2015-04-09,12.54280
2015-04-13,12.58970
2015-04-27,12.18020
2015-05-07,12.06240
2015-05-18,12.35400
2015-05-22,12.41820
2015-06-01,12.39370
2015-06-08,12.10630
2015-06-15,12.08960
2015-06-23,12.40610
2015-07-09,12.40180
2015-07-16,12.62290
2015-07-27,12.54840
2015-08-03,12.72980
2015-08-12,12.57520
2015-08-19,12.76430
2015-08-24,12.16750
2015-09-07,12.07740
2015-09-09,12.25000
2015-09-28,12.29510
2015-10-05,12.57610
2015-10-14,12.49830
2015-10-20,12.63400
2015-11-03,12.49960
2015-11-10,12.30450
2015-11-18,12.29410
2015-12-01,12.51830
2015-12-09,12.20890
2015-12-14,12.19730
2015-12-28,12.52020
2016-01-01,12.57910
2016-01-15,12.06260
2016-01-20,11.89310
2016-02-01,12.20460
2016-02-11,11.53830
2016-02-15,11.72530
2016-02-25,11.36580
2016-03-03,11.99120
2016-03-16,12.08740
2016-03-23,12.37540
2016-04-07,12.27420
2016-04-18,12.70640
2016-04-27,12.74400
2016-05-04,12.60850
2016-05-12,12.83280
2016-05-24,12.71630
2016-05-27,13.04850
2016-06-08,13.20540
2016-06-14,13.09310
2016-06-24,13.00930
2016-07-04,13.38590
2016-07-12,13.55870
2016-07-19,13.52930
2016-08-01,13.92790
2016-08-04,13.78660
2016-08-19,13.95520
2016-08-26,13.86640
2016-09-08,14.28210
2016-09-14,14.06410
2016-09-29,14.00190
2016-10-04,14.36490
2016-10-13,14.20170
2016-10-24,14.44540
2016-11-01,14.35710
2016-11-10,14.18720
2016-11-21,13.36140
2016-11-30,13.82080
2016-12-09,13.83070
2016-12-14,13.68000
2016-12-26,13.28140
2017-01-02,13.72560
2017-01-12,14.14450
2017-01-20,14.15680
2017-01-27,14.45040
2017-02-06,14.67520
2017-02-15,14.45750
2017-02-22,14.71830
2017-03-10,14.66930
2017-03-16,14.94400
2017-03-22,14.85640
2017-04-05,15.26050
2017-04-18,15.14410
2017-04-25,15.41110
2017-05-05,15.38920
2017-05-16,15.57440
2017-05-24,15.19660
2017-05-26,15.54320
2017-06-09,15.76750
2017-06-20,15.85810
2017-06-27,15.63310
2017-07-07,15.86760
2017-07-13,16.09990
2017-07-18,16.04290
2017-08-01,16.36240
2017-08-10,15.90220
2017-08-16,16.09080
2017-08-29,16.04410
2017-09-01,16.29690
2017-09-18,16.58480
2017-09-27,16.04760
2017-10-06,16.41880
2017-10-11,16.37820
2017-10-17,16.64850
2017-11-03,16.85680
2017-11-13,16.56840
2017-11-15,16.40850
2017-11-27,16.84130
2017-12-06,16.57250
2017-12-13,16.65200
2017-12-19,17.03920
2018-01-02,17.07240
2018-01-08,17.37650
2018-01-16,17.29700
2018-01-23,17.66590
2018-02-06,16.81310
2018-02-12,17.02680
2018-02-27,16.95670
2018-03-07,16.46130
2018-03-14,16.74870
2018-03-23,16.35720
2018-04-05,16.91180
2018-04-16,17.09100
2018-04-18,17.05020
2018-04-27,17.24680
2018-05-11,17.19770
2018-05-23,16.69240
2018-05-28,17.01170
2018-06-05,16.67840
2018-06-12,16.93950
2018-06-19,16.72400
2018-06-28,16.50120
2018-07-10,16.89810
2018-07-19,16.74950
2018-07-27,17.14150
2018-08-02,17.09310
2018-08-09,17.35260
2018-08-28,17.50000
2018-09-04,17.26100
2018-09-14,17.25000
2018-09-24,16.53500
2018-09-26,16.61610
2018-10-09,15.70700
2018-10-16,16.19540
2018-10-26,15.62120
2018-11-02,16.23590
2018-11-22,16.23630
2018-12-03,16.47810
2018-12-10,16.05250
2018-12-19,16.64030
2018-12-24,16.34770
2019-01-01,16.56480
2019-01-14,16.46920
2019-01-21,16.56480
2019-01-29,16.19280
2019-02-07,16.50350
2019-02-18,16.03730
2019-02-27,16.25740
2019-03-06,16.67800
2019-03-12,17.01650
2019-03-25,16.96880
2019-04-02,17.47480
2019-04-11,17.22620
2019-04-16,17.38400
2019-05-03,17.32900
2019-05-13,16.74700
2019-05-20,17.37800
2019-05-27,17.75140
2019-06-03,17.82390
2019-06-17,17.16530
2019-06-20,17.32120
2019-07-04,17.48840
2019-07-08,17.19600
2019-07-17,17.33160
2019-07-24,16.96260
2019-08-05,16.56050
2019-08-09,16.88960
2019-08-22,16.51610
2019-08-30,16.83480
2019-09-17,16.64320
2019-09-23,17.41570
2019-10-04,16.97070
2019-10-07,16.90630
2019-10-18,17.39260
2019-11-04,17.71480
2019-11-13,17.58840
2019-11-15,17.69150
2019-11-28,17.84440
2019-12-09,17.63390
2019-12-10,17.56740
2019-12-20,17.88260
2020-01-06,17.76920
2020-01-13,18.19540
2020-01-17,18.31660
2020-01-24,18.31990
2020-02-03,17.88230
2020-02-12,18.36110
2020-02-20,18.30510
2020-03-05,17.57480
2020-03-12,15.94510
2020-03-23,13.69950
2020-03-27,14.78100
2020-04-17,15.53820
2020-04-21,15.29980
2020-04-30,15.94840
2020-05-18,14.80350
2020-05-26,15.10730
2020-06-03,16.12390
2020-06-11,15.98210
2020-06-22,16.49490
2020-06-30,16.49500
2020-07-07,17.25960
2020-07-15,17.06770
2020-07-21,17.51500
2020-08-03,17.33170
2020-08-06,17.60330
2020-08-14,17.61050
2020-08-24,18.00520
2020-08-28,18.11180
2020-09-09,17.73470
2020-09-16,18.25550
2020-09-24,17.39680
2020-10-06,18.27240
2020-10-15,18.29670
2020-10-20,18.57520
2020-11-02,18.47550
2020-11-11,19.41540
2020-11-24,19.80700
2020-11-25,19.57640
2020-12-09,20.32090
2020-12-21,20.17430
2020-12-28,20.75650
2021-01-07,21.16850
2021-01-12,21.54310
2021-01-18,21.15270
2021-01-29,20.65370
2021-02-04,21.86150
2021-02-15,22.39360
2021-02-26,21.58720
2021-03-04,22.18930
2021-03-18,21.60630
2021-03-25,21.40020
2021-04-08,22.00610
2021-04-19,21.41280
2021-04-28,22.00270
2021-05-04,21.68900
2021-05-14,21.81830
2021-05-27,22.70330
2021-06-08,23.09730
2021-06-09,22.98500
2021-06-23,23.14730
2021-06-25,23.36350
2021-07-09,23.40420
2021-07-15,23.69600
2021-07-28,23.60190
2021-08-03,24.05220
2021-08-11,23.86450
2021-08-23,23.94670
2021-09-02,24.88270
2021-09-06,25.00780
2021-09-20,24.95160
2021-09-23,25.32130
2021-10-01,25.10150
2021-10-18,26.12690
2021-10-29,25.32090
2021-11-08,25.85980
2021-11-17,25.74620
2021-11-26,24.93290
2021-12-06,24.89360
2021-12-10,25.51020
2021-12-20,24.73950
2021-12-28,25.44090
2022-01-04,25.93660
2022-01-17,26.38020
2022-01-24,25.14780
2022-02-02,25.75340
2022-02-14,24.73850
2022-02-16,25.12750
2022-02-24,23.99920
2022-03-07,23.51300
2022-03-17,24.93580
2022-03-28,24.76840
2022-04-05,25.53720
2022-04-19,24.63490
2022-04-28,24.72780
2022-05-09,23.48630
2022-05-12,22.96760
2022-05-30,23.81000
2022-06-02,23.79790
2022-06-13,22.85450
2022-06-20,22.43250
2022-06-27,23.06890
2022-07-11,23.71110
2022-07-14,23.49590
2022-07-26,24.06510
2022-08-01,24.85990
2022-08-17,25.43380
2022-08-22,24.93050
2022-08-29,24.87760
2022-09-13,25.82980
2022-09-20,25.55230
2022-09-26,24.73290
2022-10-06,25.10310
2022-10-13,24.78240
2022-10-19,25.23080
2022-11-01,25.67500
2022-11-10,25.53320
2022-11-21,25.54820
2022-12-01,26.17480
2022-12-09,26.01330
2022-12-14,26.16910
2022-12-23,25.20230
2023-01-03,25.76000
2023-01-06,25.46860
2023-01-18,25.61410
2023-01-27,25.06100
2023-02-03,25.50790
2023-02-16,25.75250
2023-02-27,25.22390
2023-03-08,25.59410
2023-03-14,25.03580
2023-03-27,24.96710
2023-04-05,25.56850
2023-04-13,25.85440
2023-04-21,25.69330
2023-05-02,26.20590
2023-05-15,26.53590
2023-05-18,26.42370
2023-05-29,26.83310
2023-06-09,26.98890
2023-06-16,27.36040
2023-06-23,27.21050
2023-07-03,27.73760
2023-07-10,27.71990
2023-07-20,28.33130
2023-08-02,28.16090
2023-08-09,28.36540
2023-08-18,28.20000
2023-08-23,28.47970
2023-08-31,28.63570
2023-09-11,29.31960
2023-09-22,28.88880
2023-10-04,28.72980
2023-10-12,29.04570
2023-10-25,28.34500
2023-11-01,28.43080
2023-11-06,28.95940
2023-11-16,29.60840
2023-11-28,29.74250
2023-12-04,30.48180
2023-12-12,30.52720
2023-12-19,30.99940
2024-01-03,31.10030
2024-01-15,31.82610
2024-01-23,31.23560
2024-01-29,31.78380
2024-02-12,31.77850
2024-02-20,32.48930
2024-02-28,32.28400
2024-03-07,32.61520
2024-03-13,31.68440
2024-03-20,31.69530
2024-04-02,32.79940
2024-04-18,32.59970
2024-04-29,33.39100
2024-05-02,33.56560
2024-05-09,32.69250
2024-05-24,33.85760
2024-06-04,32.66340
2024-06-07,34.07740
2024-06-18,34.93810
2024-06-28,35.19250
2024-07-09,35.72510
2024-07-19,35.44750
2024-07-30,36.20010
2024-08-06,35.22570
2024-08-14,35.57770
2024-08-20,36.26130
2024-08-30,36.82310
2024-09-09,36.55650
2024-09-12,36.99140
2024-09-26,37.63270
2024-10-07,36.36190
2024-10-15,37.33080
2024-10-25,36.05850
2024-10-29,36.41380
2024-11-06,36.62770
2024-11-18,35.56470
2024-11-27,36.57180
2024-12-06,37.42780
2024-12-16,37.53560
2024-12-20,36.51670
2025-01-02,37.01700
2025-01-13,35.23070
2025-01-20,35.71460
2025-01-28,34.63460
2025-02-05,35.61180
2025-02-11,34.61160
2025-02-28,33.31200
2025-03-06,33.85750
2025-03-13,33.57200
2025-03-24,35.14800
2025-04-02,35.11210
2025-04-07,33.59020
2025-04-21,36.00810
2025-05-02,35.74280
2025-05-09,35.47970
2025-05-15,36.87000
2025-05-30,37.23780
2025-06-09,38.18970
2025-06-12,37.77660
2025-06-19,37.58730
2025-06-26,38.40220
2025-07-11,38.24810
2025-07-15,38.65630
2025-07-23,38.84810
2025-08-01,37.96140
2025-08-12,37.90300
2025-08-21,38.65890
2025-08-29,38.02790
2025-09-05,38.69730
2025-09-18,39.62880
2025-09-26,38.95380
2025-10-06,39.95080
2025-10-15,40.90830
2025-10-24,40.30140
2025-11-06,40.19020
2025-11-13,40.83350
2025-11-24,40.38340
2025-12-01,41.19530
2025-12-10,40.58310
2025-12-15,41.35060
2025-12-26,42.18800
2026-01-07,42.75290
2026-01-09,42.01990
2026-01-28,43.83310
2026-02-02,41.53770
2026-02-10,43.43790
2026-02-17,42.77760
2026-03-02,43.19130
2026-03-09,41.56500
2026-03-18,41.30440
2026-03-23,38.76530
2026-04-02,39.75580
2026-04-17,42.84210
2026-04-24,42.57390
2026-05-07,43.70980
2026-05-12,42.67830
2026-05-25,43.70700
2026-06-01,43.01460
2026-06-11,42.22840
2026-06-15,43.57790
2026-06-22,44.10100
2026-07-08,43.25370
2026-07-10,43.93750
2026-07-24,43.35670
2026-07-27,43.72240
2026-08-10,44.96720
2026-08-19,45.00190
2026-08-26,45.63110
2026-09-02,44.80090
2026-09-15,43.94420
2026-09-23,44.89120
2026-09-25,44.3694
