# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 26 Sep 2026 (0 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:59.261156+00:00
date,fund_value_inr,benchmark_value_inr
2019-05-22,10000.00,
2019-05-26,10006.40,
2019-05-31,10014.39,
2019-06-02,10017.61,
2019-06-07,10025.49,
2019-06-16,10039.28,
2019-06-20,10045.35,
2019-06-23,10049.98,
2019-06-28,10057.57,
2019-07-02,10063.84,
2019-07-11,10077.49,
2019-07-14,10082.09,
2019-07-19,10089.67,
2019-07-22,10094.29,
2019-07-26,10100.34,
2019-08-04,10113.95,
2019-08-09,10121.39,
2019-08-12,10125.76,
2019-08-18,10134.46,
2019-08-23,10141.73,
2019-08-30,10151.73,
2019-09-03,10157.61,
2019-09-10,10167.66,
2019-09-13,10171.91,
2019-09-22,10185.06,
2019-09-27,10192.20,
2019-09-29,10195.04,
2019-10-04,10202.02,
2019-10-13,10213.94,
2019-10-17,10219.13,
2019-10-21,10224.51,
2019-10-25,10229.95,
2019-11-03,10242.21,
2019-11-08,10248.95,
2019-11-13,10255.80,
2019-11-21,10266.66,
2019-11-24,10270.86,
2019-12-01,10280.49,
2019-12-06,10287.07,
2019-12-08,10289.75,
2019-12-12,10294.97,
2019-12-22,10308.49,
2019-12-27,10315.11,
2019-12-29,10317.65,
2020-01-03,10324.05,
2020-01-10,10333.44,
2020-01-19,10345.78,
2020-01-23,10351.33,
2020-01-26,10355.49,
2020-01-31,10362.33,
2020-02-09,10374.61,
2020-02-14,10381.46,
2020-02-19,10388.37,
2020-02-23,10393.99,
2020-02-28,10400.78,
2020-03-05,10408.78,
2020-03-15,10422.33,
2020-03-22,10431.45,
2020-03-25,10433.63,
2020-04-02,10434.99,
2020-04-12,10444.47,
2020-04-19,10451.28,
2020-04-23,10454.95,
2020-05-03,10463.63,
2020-05-07,10467.39,
2020-05-11,10471.15,
2020-05-21,10479.69,
2020-05-25,10482.89,
2020-05-29,10486.23,
2020-06-04,10491.57,
2020-06-14,10500.35,
2020-06-18,10503.68,
2020-06-22,10507.20,
2020-07-02,10515.49,
2020-07-05,10518.20,
2020-07-09,10521.78,
2020-07-19,10530.77,
2020-07-23,10534.41,
2020-08-02,10543.54,
2020-08-06,10547.18,
2020-08-10,10550.76,
2020-08-16,10556.29,
2020-08-20,10559.91,
2020-08-30,10568.67,
2020-09-03,10572.10,
2020-09-07,10575.58,
2020-09-17,10584.69,
2020-09-20,10587.45,
2020-09-25,10592.12,
2020-10-04,10600.57,
2020-10-08,10604.28,
2020-10-18,10613.38,
2020-10-22,10616.87,
2020-10-26,10620.50,
2020-11-01,10625.80,
2020-11-05,10629.27,
2020-11-16,10638.35,
2020-11-19,10640.72,
2020-11-30,10649.44,
2020-12-04,10652.83,
2020-12-10,10658.18,
2020-12-13,10660.92,
2020-12-18,10665.36,
2020-12-27,10673.68,
2021-01-01,10677.94,
2021-01-07,10683.06,
2021-01-11,10686.77,
2021-01-20,10694.94,
2021-01-26,10700.53,
2021-01-29,10703.30,
2021-02-04,10708.83,
2021-02-14,10718.06,
2021-02-18,10721.39,
2021-02-22,10724.79,
2021-02-26,10728.15,
2021-03-04,10733.67,
2021-03-14,10743.33,
2021-03-18,10747.08,
2021-03-25,10753.67,
2021-04-04,10763.35,
2021-04-08,10766.93,
2021-04-18,10776.06,
2021-04-25,10782.63,
2021-04-29,10786.37,
2021-05-06,10792.96,
2021-05-16,10802.58,
2021-05-20,10806.41,
2021-05-23,10809.36,
2021-05-28,10814.19,
2021-06-03,10819.94,
2021-06-13,10829.47,
2021-06-17,10833.31,
2021-06-20,10836.24,
2021-06-27,10843.03,
2021-07-02,10847.79,
2021-07-11,10856.48,
2021-07-15,10860.27,
2021-07-25,10869.80,
2021-07-30,10874.59,
2021-08-01,10876.51,
2021-08-06,10881.19,
2021-08-13,10887.60,
2021-08-22,10895.89,
2021-08-26,10899.59,
2021-08-30,10903.30,
2021-09-08,10911.50,
2021-09-13,10916.17,
2021-09-19,10922.08,
2021-09-23,10925.93,
2021-10-03,10935.78,
2021-10-07,10939.66,
2021-10-17,10948.93,
2021-10-22,10953.84,
2021-10-24,10955.84,
2021-11-02,10964.74,
2021-11-07,10969.81,
2021-11-11,10973.72,
2021-11-21,10983.75,
2021-11-26,10988.88,
2021-12-05,10997.87,
2021-12-09,11001.72,
2021-12-12,11004.68,
2021-12-17,11010.05,
2021-12-26,11019.82,
2021-12-31,11024.96,
2022-01-06,11031.05,
2022-01-09,11034.06,
2022-01-13,11038.10,
2022-01-20,11045.79,
2022-01-30,11057.85,
2022-02-03,11061.82,
2022-02-13,11071.92,
2022-02-17,11075.85,
2022-02-20,11078.91,
2022-02-24,11083.04,
2022-03-06,11093.00,
2022-03-10,11097.41,
2022-03-20,11107.65,
2022-03-24,11111.83,
2022-03-31,11118.90,
2022-04-03,11122.25,
2022-04-07,11126.20,
2022-04-17,11137.29,
2022-04-21,11141.60,
2022-04-29,11150.54,
2022-05-08,11161.27,
2022-05-13,11167.40,
2022-05-16,11171.13,
2022-05-26,11183.50,
2022-05-29,11187.37,
2022-06-02,11192.37,
2022-06-12,11205.15,
2022-06-16,11210.66,
2022-06-26,11224.89,
2022-07-01,11232.08,
2022-07-06,11239.16,
2022-07-10,11245.12,
2022-07-14,11250.84,
2022-07-24,11265.73,
2022-07-28,11271.97,
2022-08-04,11282.27,
2022-08-09,11289.92,
2022-08-16,11301.20,
2022-08-24,11313.98,
2022-08-26,11317.18,
2022-09-04,11331.73,
2022-09-08,11338.04,
2022-09-12,11344.53,
2022-09-21,11359.51,
2022-09-25,11366.29,
2022-09-30,11375.00,
2022-10-09,11391.11,
2022-10-14,11400.55,
2022-10-16,11404.53,
2022-10-21,11413.89,
2022-10-30,11430.78,
2022-11-04,11439.97,
2022-11-10,11450.72,
2022-11-14,11458.49,
2022-11-18,11465.65,
2022-11-27,11482.33,
2022-12-02,11491.19,
2022-12-04,11494.86,
2022-12-09,11504.08,
2022-12-18,11521.13,
2022-12-22,11529.11,
2022-12-25,11535.10,
2022-12-30,11544.92,
2023-01-03,11552.82,
2023-01-08,11562.40,
2023-01-13,11571.76,
2023-01-22,11589.12,
2023-01-26,11597.20,
2023-01-29,11603.25,
2023-02-03,11613.09,
2023-02-10,11626.90,
2023-02-12,11631.13,
2023-02-17,11640.95,
2023-02-26,11659.59,
2023-03-02,11667.71,
2023-03-05,11673.66,
2023-03-10,11683.50,
2023-03-17,11697.65,
2023-03-19,11701.89,
2023-03-24,11712.61,
2023-04-02,11732.77,
2023-04-06,11741.12,
2023-04-10,11749.47,
2023-04-16,11761.69,
2023-04-21,11772.06,
2023-04-28,11786.96,
2023-05-07,11806.31,
2023-05-11,11814.94,
2023-05-14,11821.49,
2023-05-19,11831.89,
2023-05-23,11840.09,
2023-06-01,11858.17,
2023-06-04,11864.32,
2023-06-09,11874.55,
2023-06-12,11880.80,
2023-06-18,11893.32,
2023-06-23,11903.77,
2023-06-30,11918.91,
2023-07-02,11923.36,
2023-07-07,11933.93,
2023-07-16,11952.46,
2023-07-21,11963.05,
2023-07-23,11967.71,
2023-07-28,11978.12,
2023-08-06,11996.67,
2023-08-10,12004.81,
