# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:58.977503+00:00
stretch_ending,fund_return,benchmark_return
2026-02-02,0.236183,
2026-02-09,0.251690,
2026-02-16,0.248805,
2026-02-23,0.254515,
2026-03-02,0.241170,
2026-03-09,0.225293,
2026-03-16,0.218001,
2026-03-23,0.207703,
2026-03-30,0.200999,
2026-04-06,0.212092,
2026-04-13,0.228884,
2026-04-20,0.245719,
2026-04-27,0.238947,
2026-05-04,0.238255,
2026-05-11,0.234869,
2026-05-18,0.225581,
2026-05-25,0.227987,
2026-06-01,0.212073,
2026-06-08,0.208466,
2026-06-15,0.212482,
2026-06-22,0.228633,
2026-06-29,0.214822,
2026-07-06,0.217106,
2026-07-13,0.211676,
2026-07-20,0.206906,
2026-07-27,0.199835,
2026-08-03,0.204482,
2026-08-10,0.207811,
2026-08-17,0.210900,
2026-08-24,0.206072,
2026-08-31,0.198492,
2026-09-07,0.183510,
2026-09-11,0.181863,
2026-09-21,0.189687,
