# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:33:16.687566+00:00
date,fund_below_high,benchmark_below_high
2021-11-30,0.000000,
2021-12-02,0.000000,
2021-12-06,-0.024314,
2021-12-08,0.000000,
2021-12-13,-0.000661,
2021-12-14,-0.001213,
2021-12-20,-0.049967,
2021-12-22,-0.023520,
2021-12-27,-0.015804,
2021-12-28,-0.003167,
2021-12-30,0.000000,
2022-01-05,0.000000,
2022-01-06,-0.001152,
2022-01-10,0.000000,
2022-01-14,0.000000,
2022-01-17,0.000000,
2022-01-20,-0.026335,
2022-01-24,-0.078787,
2022-01-27,-0.088819,
2022-02-02,-0.044699,
2022-02-03,-0.056176,
2022-02-07,-0.070987,
2022-02-10,-0.050333,
2022-02-14,-0.095156,
2022-02-17,-0.077077,
2022-02-22,-0.096011,
2022-02-24,-0.137480,
2022-02-28,-0.090890,
2022-03-03,-0.092705,
2022-03-07,-0.126621,
2022-03-10,-0.090928,
2022-03-15,-0.086168,
2022-03-17,-0.053516,
2022-03-23,-0.052328,
2022-03-28,-0.049867,
2022-03-30,-0.038543,
2022-04-01,-0.034230,
2022-04-05,-0.015932,
2022-04-08,-0.012968,
2022-04-11,-0.011077,
2022-04-19,-0.048556,
2022-04-21,-0.035303,
2022-04-25,-0.064565,
2022-04-28,-0.053649,
2022-05-02,-0.070949,
2022-05-04,-0.090453,
2022-05-10,-0.134193,
2022-05-12,-0.159027,
2022-05-17,-0.124113,
2022-05-19,-0.148215,
2022-05-20,-0.133129,
2022-05-25,-0.153203,
2022-05-30,-0.113197,
2022-06-02,-0.112199,
2022-06-03,-0.118840,
2022-06-09,-0.122460,
2022-06-13,-0.156861,
2022-06-15,-0.154837,
2022-06-20,-0.195784,
2022-06-21,-0.175605,
2022-06-23,-0.181780,
2022-06-28,-0.164290,
2022-06-30,-0.174284,
2022-07-05,-0.160813,
2022-07-07,-0.140045,
2022-07-11,-0.132929,
2022-07-14,-0.146980,
2022-07-18,-0.121624,
2022-07-21,-0.098851,
2022-07-26,-0.103887,
2022-07-27,-0.093341,
2022-08-01,-0.043094,
2022-08-03,-0.043854,
2022-08-10,-0.025822,
2022-08-11,-0.014868,
2022-08-17,-0.001264,
2022-08-22,-0.029119,
2022-08-23,-0.019732,
2022-08-29,-0.023893,
2022-08-30,-0.002100,
2022-09-02,-0.007410,
2022-09-07,-0.000314,
2022-09-12,0.000000,
2022-09-15,-0.005423,
2022-09-16,-0.026976,
2022-09-20,-0.012056,
2022-09-22,-0.014604,
2022-09-27,-0.056297,
2022-09-29,-0.062910,
2022-10-03,-0.065487,
