# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:37:16.155863+00:00
date,nav
2018-01-05,10.03000
2018-01-11,10.03000
2018-01-16,10.01000
2018-01-23,10.04000
2018-01-31,9.97000
2018-02-06,9.81000
2018-02-12,9.93000
2018-02-20,9.86000
2018-02-26,9.98000
2018-03-01,9.96000
2018-03-07,9.85000
2018-03-13,9.94000
2018-03-19,9.80000
2018-03-23,9.75000
2018-04-02,9.95000
2018-04-09,10.08000
2018-04-13,10.09000
2018-04-23,10.20000
2018-04-30,10.23000
2018-05-04,10.10000
2018-05-11,10.12000
2018-05-21,9.98000
2018-05-24,9.95000
2018-05-29,10.06000
2018-06-05,10.00000
2018-06-12,10.09000
2018-06-19,10.04000
2018-06-22,10.06000
2018-06-28,10.01000
2018-07-06,10.08000
2018-07-11,10.15000
2018-07-19,10.16000
2018-07-23,10.20000
2018-07-27,10.25000
2018-08-02,10.23000
2018-08-08,10.27000
2018-08-16,10.25000
2018-08-28,10.36000
2018-08-31,10.35000
2018-09-05,10.29000
2018-09-14,10.30000
2018-09-24,10.16000
2018-09-28,10.18000
2018-10-05,10.01000
2018-10-11,9.98000
2018-10-16,10.08000
2018-10-23,9.97000
2018-10-30,10.00000
2018-11-02,10.10000
2018-11-12,10.08000
2018-11-22,10.12000
2018-11-29,10.25000
2018-12-04,10.25000
2018-12-10,10.13000
2018-12-17,10.29000
2018-12-24,10.21000
2019-01-01,10.32000
2019-01-03,10.23000
2019-01-09,10.32000
2019-01-14,10.28000
2019-01-21,10.36000
2019-01-28,10.23000
2019-02-01,10.34000
2019-02-07,10.42000
2019-02-18,10.20000
2019-02-19,10.18000
2019-02-25,10.30000
2019-03-08,10.39000
2019-03-12,10.52000
2019-03-19,10.62000
2019-03-25,10.55000
2019-04-02,10.71000
2019-04-04,10.65000
2019-04-16,10.74000
2019-04-22,10.68000
2019-04-30,10.74000
2019-05-03,10.73000
2019-05-13,10.57000
2019-05-20,10.80000
2019-05-23,10.75000
2019-06-03,10.91000
2019-06-06,10.85000
2019-06-11,10.89000
2019-06-18,10.83000
2019-06-24,10.84000
2019-07-02,10.91000
2019-07-08,10.83000
2019-07-16,10.87000
2019-07-22,10.77000
2019-07-26,10.78000
2019-08-05,10.69000
2019-08-09,10.78000
2019-08-13,10.73000
2019-08-22,10.70000
2019-08-27,10.81000
2019-09-03,10.71000
2019-09-13,10.81000
2019-09-19,10.67000
2019-09-23,11.06000
2019-10-04,10.92000
2019-10-07,10.90000
2019-10-17,11.10000
2019-10-25,11.14000
2019-10-30,11.28000
2019-11-07,11.33000
2019-11-13,11.26000
2019-11-20,11.34000
2019-11-22,11.29000
2019-11-28,11.39000
2019-12-10,11.26000
2019-12-13,11.37000
2019-12-19,11.45000
2019-12-26,11.38000
2020-01-02,11.44000
2020-01-06,11.31000
2020-01-13,11.48000
2020-01-17,11.52000
2020-01-24,11.46000
2020-02-03,11.24000
2020-02-05,11.41000
2020-02-12,11.49000
2020-02-20,11.47000
2020-02-28,11.04000
2020-03-05,11.08000
2020-03-12,10.18000
2020-03-13,10.43000
2020-03-23,8.78000
2020-03-26,9.66000
2020-04-03,9.29000
2020-04-13,10.09000
2020-04-21,10.12000
2020-04-29,10.59000
2020-04-30,10.84000
2020-05-08,10.35000
2020-05-18,10.00000
2020-05-26,10.22000
2020-06-02,11.01000
2020-06-08,11.14000
2020-06-15,10.87000
2020-06-19,11.28000
2020-06-23,11.44000
2020-06-30,11.33000
2020-07-06,11.76000
2020-07-14,11.64000
2020-07-15,11.64000
2020-07-21,12.12000
2020-07-28,12.24000
2020-08-03,11.91000
2020-08-11,12.28000
2020-08-14,12.15000
2020-08-24,12.38000
2020-08-28,12.51000
2020-09-04,12.29000
2020-09-09,12.25000
2020-09-16,12.50000
2020-09-24,11.84000
2020-09-28,12.17000
2020-10-01,12.33000
2020-10-12,12.79000
2020-10-15,12.61000
2020-10-21,12.80000
2020-10-30,12.56000
2020-11-04,12.77000
2020-11-11,13.31000
2020-11-18,13.44000
2020-11-25,13.37000
2020-12-01,13.54000
2020-12-09,13.75000
2020-12-16,13.83000
2020-12-21,13.67000
2020-12-28,13.93000
2021-01-05,14.12000
2021-01-07,14.08000
2021-01-12,14.26000
2021-01-21,14.23000
2021-01-29,13.92000
2021-02-03,14.27000
2021-02-08,14.34000
2021-02-16,14.40000
2021-02-22,14.22000
2021-02-26,14.17000
2021-03-03,14.36000
2021-03-10,14.35000
2021-03-18,14.18000
2021-03-25,14.13000
2021-03-30,14.29000
2021-04-08,14.31000
2021-04-12,14.15000
2021-04-23,14.18000
2021-04-28,14.34000
2021-05-04,14.22000
2021-05-10,14.37000
2021-05-20,14.38000
2021-05-21,14.45000
2021-05-31,14.60000
2021-06-04,14.64000
2021-06-14,14.73000
2021-06-17,14.69000
2021-06-25,14.74000
2021-07-01,14.70000
2021-07-07,14.76000
2021-07-12,14.71000
2021-07-15,14.79000
2021-07-27,14.80000
2021-07-30,14.81000
2021-08-04,14.96000
2021-08-11,14.96000
2021-08-17,15.07000
2021-08-26,15.07000
2021-08-31,15.25000
2021-09-03,15.31000
2021-09-16,15.40000
2021-09-20,15.35000
2021-09-24,15.47000
2021-10-01,15.37000
2021-10-06,15.41000
2021-10-14,15.64000
2021-10-26,15.61000
2021-10-29,15.49000
2021-11-08,15.63000
2021-11-15,15.65000
2021-11-22,15.48000
2021-11-25,15.53000
2021-12-06,15.33000
2021-12-09,15.50000
2021-12-16,15.43000
2021-12-20,15.26000
2021-12-23,15.40000
2021-12-30,15.43000
