# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:16.537001+00:00
stretch_ending,fund_return,benchmark_return
2021-05-31,0.070280,
2021-06-07,0.070345,
2021-06-14,0.070738,
2021-06-21,0.068814,
2021-06-28,0.067821,
2021-07-05,0.067222,
2021-07-12,0.066599,
2021-07-19,0.067549,
2021-07-26,0.067575,
2021-08-02,0.067012,
2021-08-09,0.066412,
2021-08-13,0.066870,
2021-08-23,0.067639,
2021-08-30,0.067929,
2021-09-06,0.069281,
2021-09-13,0.069731,
2021-09-20,0.070427,
2021-09-27,0.069688,
2021-10-04,0.069231,
2021-10-11,0.068766,
2021-10-18,0.068067,
2021-10-25,0.068455,
2021-11-01,0.067619,
2021-11-08,0.067761,
2021-11-15,0.066941,
2021-11-22,0.066062,
2021-11-29,0.065260,
2021-12-06,0.064757,
2021-12-13,0.065122,
2021-12-20,0.063669,
2021-12-27,0.062814,
2022-01-03,0.062186,
2022-01-10,0.060429,
2022-01-17,0.060289,
2022-01-24,0.060221,
2022-01-31,0.061967,
2022-02-04,0.059793,
2022-02-14,0.060908,
2022-02-21,0.061406,
2022-02-28,0.061110,
2022-03-07,0.059239,
2022-03-14,0.057887,
2022-03-21,0.058126,
2022-03-28,0.056950,
2022-04-04,0.057781,
2022-04-11,0.056356,
2022-04-18,0.056333,
2022-04-25,0.057084,
2022-05-02,0.057217,
2022-05-09,0.052834,
2022-05-13,0.053170,
2022-05-23,0.051740,
2022-05-30,0.050705,
2022-06-06,0.070526,
2022-06-13,0.068140,
2022-06-20,0.067565,
2022-06-27,0.068518,
2022-07-04,0.067042,
2022-07-11,0.065613,
2022-07-18,0.064587,
2022-07-25,0.066002,
2022-08-01,0.063969,
2022-08-08,0.063707,
2022-08-12,0.060806,
2022-08-22,0.060213,
2022-08-29,0.059720,
2022-09-05,0.059262,
2022-09-12,0.059410,
2022-09-19,0.059627,
2022-09-26,0.058313,
2022-10-03,0.057547,
2022-10-10,0.056790,
2022-10-17,0.056089,
2022-10-21,0.055108,
2022-10-31,0.054536,
2022-11-07,0.055415,
2022-11-14,0.055077,
2022-11-21,0.054695,
2022-11-28,0.054305,
2022-12-05,0.056229,
2022-12-12,0.057308,
2022-12-19,0.055955,
2022-12-26,0.055550,
2023-01-02,0.055308,
2023-01-09,0.055336,
2023-01-16,0.055648,
2023-01-23,0.055076,
2023-01-30,0.054760,
2023-02-06,0.051596,
2023-02-13,0.050599,
2023-02-20,0.050028,
2023-02-27,0.050547,
2023-03-06,0.049583,
2023-03-13,0.055178,
2023-03-20,0.062136,
2023-03-27,0.053564,
2023-04-03,0.053510,
2023-04-10,0.058838,
2023-04-17,0.054933,
2023-04-24,0.055470,
2023-04-28,0.054965,
2023-05-08,0.053291,
2023-05-15,0.052652,
2023-05-22,0.050626,
2023-05-29,0.050926,
2023-06-05,0.051134,
2023-06-12,0.050573,
2023-06-19,0.047617,
2023-06-26,0.045774,
2023-07-03,0.044254,
2023-07-10,0.041410,
2023-07-17,0.042084,
2023-07-24,0.042685,
2023-07-31,0.042380,
2023-08-07,0.042913,
2023-08-14,0.043290,
2023-08-21,0.044374,
2023-08-28,0.046687,
2023-09-04,0.043622,
2023-09-11,0.045528,
2023-09-18,0.046116,
2023-09-25,0.046279,
2023-09-29,0.045469,
2023-10-09,0.042169,
2023-10-16,0.041606,
2023-10-23,0.041261,
2023-10-30,0.041249,
2023-11-06,0.041273,
2023-11-13,0.041303,
2023-11-20,0.041083,
2023-11-24,0.039763,
2023-12-04,0.040342,
2023-12-11,0.040985,
2023-12-18,0.042031,
2023-12-22,0.041984,
2024-01-01,0.041959,
2024-01-08,0.040944,
2024-01-15,0.044120,
2024-01-19,0.044653,
2024-01-29,0.045239,
2024-02-05,0.049304,
2024-02-12,0.049009,
2024-02-16,0.049581,
2024-02-26,0.050762,
2024-03-04,0.050930,
2024-03-11,0.051775,
2024-03-18,0.052163,
2024-03-22,0.050248,
2024-03-31,0.050079,
2024-04-08,0.049860,
2024-04-15,0.050436,
2024-04-22,0.049267,
2024-04-29,0.048443,
2024-05-06,0.048643,
2024-05-13,0.048763,
2024-05-17,0.048779,
2024-05-27,0.049415,
2024-06-03,0.049950,
2024-06-10,0.048666,
2024-06-14,0.050186,
2024-06-24,0.051586,
2024-07-01,0.052242,
