# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:37:19.118525+00:00
date,nav
2019-03-27,1000.16270
2019-03-28,1000.32560
2019-04-04,1001.52810
2019-04-07,1001.99540
2019-04-12,1002.78800
2019-04-21,1004.24110
2019-04-25,1004.89020
2019-04-29,1005.53930
2019-05-03,1006.18120
2019-05-12,1007.61000
2019-05-16,1008.24180
2019-05-19,1008.72740
2019-05-24,1009.52640
2019-05-27,1010.00730
2019-06-02,1010.97010
2019-06-07,1011.74710
2019-06-11,1012.36620
2019-06-20,1013.73470
2019-06-23,1014.19570
2019-06-28,1014.94380
2019-07-01,1015.41420
2019-07-05,1016.00740
2019-07-14,1017.39150
2019-07-19,1018.13700
2019-07-21,1018.44770
2019-07-26,1019.20350
2019-08-04,1020.56000
2019-08-08,1021.14680
2019-08-12,1021.72440
2019-08-16,1022.29350
2019-08-25,1023.54530
2019-08-29,1024.10080
2019-09-02,1024.67040
2019-09-06,1025.22630
2019-09-15,1026.48240
2019-09-19,1027.05080
2019-09-22,1027.48250
2019-09-27,1028.18120
2019-09-30,1028.60410
2019-10-06,1029.39580
2019-10-11,1030.01040
2019-10-18,1030.92120
2019-10-24,1031.74240
2019-10-27,1032.14630
2019-10-31,1032.67910
2019-11-08,1033.75900
2019-11-12,1034.32330
2019-11-21,1035.55970
2019-11-24,1035.98690
2019-11-29,1036.67880
2019-12-08,1037.89320
2019-12-12,1038.42390
2019-12-15,1038.83330
2019-12-20,1039.51280
2019-12-25,1040.22960
2019-12-31,1041.01160
2020-01-08,1041.90620
2020-01-12,1042.45560
2020-01-17,1043.14640
2020-01-19,1043.42890
2020-01-24,1044.13160
2020-02-02,1045.38350
2020-02-06,1045.93210
2020-02-09,1046.34920
2020-02-19,1047.72360
2020-02-22,1048.14420
2020-02-27,1048.83560
2020-03-05,1049.77690
2020-03-15,1051.13110
2020-03-22,1052.00360
2020-03-25,1052.18800
2020-04-01,1052.27450
2020-04-03,1052.32720
2020-04-09,1052.68870
2020-04-14,1053.08160
2020-04-19,1053.53050
2020-04-24,1053.96980
2020-05-03,1054.79300
2020-05-08,1055.25830
2020-05-10,1055.44830
2020-05-15,1055.81530
2020-05-25,1056.59980
2020-05-29,1056.93300
2020-05-31,1057.11790
