# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:17.627524+00:00
stretch_ending,fund_return,benchmark_return
2022-08-12,0.224791,
2022-08-19,0.218751,
2022-08-26,0.213261,
2022-09-02,0.223977,
2022-09-09,0.225028,
2022-09-16,0.226120,
2022-09-23,0.200884,
2022-09-30,0.202217,
2022-10-07,0.204631,
2022-10-14,0.195027,
2022-10-21,0.198145,
2022-10-28,0.193163,
2022-11-04,0.196031,
2022-11-11,0.196003,
2022-11-18,0.191079,
2022-11-25,0.194427,
2022-12-02,0.201054,
2022-12-09,0.204811,
2022-12-16,0.189744,
2022-12-23,0.178112,
2022-12-30,0.185000,
2023-01-06,0.183156,
2023-01-13,0.173538,
2023-01-20,0.176751,
2023-01-27,0.165817,
2023-02-03,0.178286,
2023-02-10,0.167167,
2023-02-17,0.165091,
2023-02-24,0.162266,
2023-03-03,0.178736,
2023-03-10,0.202455,
2023-03-17,0.249120,
2023-03-24,0.301090,
2023-03-31,0.276185,
2023-04-06,0.271337,
2023-04-13,0.266696,
2023-04-21,0.255964,
2023-04-28,0.249059,
2023-05-05,0.255156,
2023-05-12,0.259021,
2023-05-19,0.271067,
2023-05-26,0.268675,
2023-06-02,0.244106,
2023-06-09,0.244218,
2023-06-16,0.252719,
2023-06-23,0.232392,
2023-06-30,0.248727,
2023-07-07,0.234390,
2023-07-14,0.243839,
2023-07-21,0.235502,
2023-07-28,0.232759,
2023-08-04,0.230546,
2023-08-11,0.220468,
2023-08-18,0.218667,
2023-08-25,0.215027,
2023-09-01,0.223055,
2023-09-08,0.231418,
2023-09-15,0.226633,
2023-09-22,0.231931,
2023-09-29,0.227902,
2023-10-06,0.215631,
2023-10-13,0.208549,
2023-10-20,0.207477,
2023-10-27,0.196233,
2023-11-03,0.201027,
2023-11-10,0.185946,
2023-11-17,0.188342,
2023-11-24,0.184281,
2023-12-01,0.193284,
2023-12-08,0.190818,
2023-12-15,0.197593,
2023-12-22,0.194806,
2023-12-29,0.188521,
2024-01-05,0.178898,
2024-01-12,0.170313,
2024-01-19,0.167242,
2024-01-25,0.177616,
2024-02-02,0.168802,
2024-02-09,0.157511,
2024-02-16,0.153405,
2024-02-23,0.168887,
2024-03-01,0.163838,
2024-03-07,0.163475,
2024-03-15,0.152402,
2024-03-22,0.162769,
2024-03-28,0.168036,
2024-04-05,0.176073,
2024-04-12,0.180215,
2024-04-19,0.179155,
2024-04-26,0.178972,
2024-05-03,0.185045,
2024-05-10,0.173768,
2024-05-17,0.177126,
2024-05-24,0.182650,
2024-05-31,0.165281,
2024-06-07,0.165906,
2024-06-14,0.166049,
2024-06-21,0.169698,
2024-06-28,0.172714,
2024-07-05,0.170904,
2024-07-12,0.167810,
2024-07-19,0.158659,
2024-07-26,0.164262,
2024-08-02,0.151254,
2024-08-09,0.146916,
2024-08-16,0.146320,
2024-08-23,0.154527,
2024-08-30,0.145281,
2024-09-06,0.132022,
2024-09-13,0.140945,
2024-09-20,0.144507,
2024-09-27,0.143266,
2024-10-04,0.127357,
2024-10-11,0.128084,
2024-10-18,0.121257,
2024-10-25,0.113927,
2024-10-31,0.111759,
2024-11-08,0.111742,
2024-11-14,0.103885,
2024-11-22,0.117012,
2024-11-29,0.136447,
2024-12-06,0.144157,
2024-12-13,0.142854,
2024-12-20,0.142588,
2024-12-27,0.134856,
2025-01-03,0.126662,
2025-01-10,0.106446,
2025-01-17,0.102414,
2025-01-24,0.109389,
2025-01-31,0.107657,
2025-02-07,0.111386,
2025-02-14,0.097622,
2025-02-21,0.105248,
2025-02-28,0.102502,
2025-03-07,0.128848,
2025-03-13,0.110846,
2025-03-21,0.119052,
2025-03-28,0.117965,
2025-04-04,0.098322,
2025-04-11,0.097830,
2025-04-17,0.123387,
2025-04-25,0.118270,
2025-05-02,0.135572,
2025-05-09,0.139011,
2025-05-16,0.160480,
2025-05-23,0.164071,
2025-05-30,0.152660,
2025-06-06,0.165605,
2025-06-13,0.172425,
2025-06-20,0.179736,
2025-06-27,0.179545,
2025-07-04,0.175379,
2025-07-11,0.163701,
2025-07-18,0.155277,
2025-07-25,0.154371,
2025-08-01,0.140468,
2025-08-08,0.130230,
2025-08-14,0.132380,
2025-08-22,0.143596,
2025-08-29,0.128554,
2025-09-05,0.136422,
2025-09-12,0.135014,
2025-09-19,0.143626,
2025-09-26,0.145562,
2025-10-03,0.141089,
2025-10-10,0.152740,
2025-10-17,0.145128,
2025-10-24,0.140872,
2025-10-31,0.134118,
2025-11-07,0.131707,
2025-11-14,0.135707,
2025-11-21,0.134464,
2025-11-28,0.127128,
2025-12-05,0.115398,
2025-12-12,0.110529,
2025-12-19,0.116404,
2025-12-26,0.124092,
2026-01-02,0.127920,
2026-01-09,0.125379,
2026-01-16,0.122767,
2026-01-23,0.114121,
