# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:37:18.106778+00:00
date,fund_below_high,benchmark_below_high
2019-12-13,0.000000,
2019-12-16,-0.003988,
2019-12-19,0.000000,
2019-12-26,-0.008893,
2020-01-02,0.000000,
2020-01-06,-0.019743,
2020-01-10,0.000000,
2020-01-16,0.000000,
2020-01-21,-0.009625,
2020-01-23,0.000000,
2020-01-29,-0.005709,
2020-02-03,-0.029496,
2020-02-05,-0.004757,
2020-02-12,0.000000,
2020-02-19,0.000000,
2020-02-20,0.000000,
2020-02-28,-0.056285,
2020-03-05,-0.060038,
2020-03-11,-0.114447,
2020-03-12,-0.179174,
2020-03-20,-0.262664,
2020-03-23,-0.356473,
2020-03-26,-0.283302,
2020-04-03,-0.320826,
2020-04-09,-0.232645,
2020-04-15,-0.249531,
2020-04-20,-0.220450,
2020-04-24,-0.231707,
2020-04-30,-0.178236,
2020-05-06,-0.215760,
2020-05-13,-0.206379,
2020-05-18,-0.245779,
2020-05-20,-0.227955,
2020-05-26,-0.228893,
2020-06-01,-0.174484,
2020-06-05,-0.151970,
2020-06-11,-0.164165,
2020-06-17,-0.156660,
2020-06-19,-0.132270,
2020-06-23,-0.120075,
2020-06-30,-0.133208,
2020-07-06,-0.096623,
2020-07-09,-0.090994,
2020-07-15,-0.106004,
2020-07-20,-0.079737,
2020-07-24,-0.062852,
2020-07-27,-0.068480,
2020-08-03,-0.072233,
2020-08-06,-0.040338,
2020-08-10,-0.034709,
2020-08-14,-0.040338,
2020-08-19,-0.021576,
2020-08-26,-0.003752,
2020-08-31,-0.031895,
2020-09-02,-0.009381,
2020-09-09,-0.031895,
2020-09-14,-0.001876,
2020-09-18,-0.005545,
2020-09-22,-0.042514,
2020-09-24,-0.067468,
2020-09-30,-0.023105,
