# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:18.050604+00:00
date,fund_value_inr,benchmark_value_inr
2019-12-13,10000.00,
2019-12-16,9960.12,
2019-12-20,10089.73,
2019-12-26,10000.00,
2020-01-02,10099.70,
2020-01-06,9900.30,
2020-01-08,9970.09,
2020-01-16,10319.04,
2020-01-21,10259.22,
2020-01-24,10478.56,
2020-01-29,10418.74,
2020-02-03,10169.49,
2020-02-07,10538.38,
2020-02-11,10508.47,
2020-02-19,10628.12,
2020-02-20,10628.12,
2020-02-28,10029.91,
2020-03-05,9990.03,
2020-03-11,9411.76,
2020-03-12,8723.83,
2020-03-20,7836.49,
2020-03-23,6839.48,
2020-03-26,7617.15,
2020-04-03,7218.34,
2020-04-09,8155.53,
2020-04-15,7976.07,
2020-04-20,8285.14,
2020-04-24,8165.50,
2020-04-30,8733.80,
2020-05-06,8335.00,
2020-05-13,8434.70,
2020-05-18,8015.95,
2020-05-20,8205.38,
2020-05-26,8195.41,
2020-06-01,8773.68,
2020-06-05,9012.96,
2020-06-11,8883.35,
2020-06-17,8963.11,
2020-06-19,9222.33,
2020-06-23,9351.94,
2020-06-30,9212.36,
2020-07-06,9601.20,
2020-07-09,9661.02,
2020-07-15,9501.50,
2020-07-20,9780.66,
2020-07-24,9960.12,
2020-07-27,9900.30,
2020-08-03,9860.42,
2020-08-06,10199.40,
2020-08-10,10259.22,
2020-08-14,10199.40,
2020-08-20,10348.95,
2020-08-26,10588.24,
2020-08-31,10289.13,
2020-09-02,10528.41,
2020-09-09,10289.13,
2020-09-15,10737.79,
2020-09-18,10727.82,
2020-09-22,10329.01,
2020-09-24,10059.82,
2020-09-30,10538.38,
2020-10-06,10757.73,
2020-10-14,10967.10,
2020-10-15,10737.79,
2020-10-21,10847.46,
2020-10-23,10907.28,
2020-11-02,10687.94,
2020-11-05,11036.89,
2020-11-09,11256.23,
2020-11-17,11525.42,
2020-11-19,11475.57,
2020-11-25,11535.39,
2020-12-01,11834.50,
2020-12-04,11894.32,
2020-12-09,12073.78,
2020-12-16,12253.24,
2020-12-21,11954.14,
2020-12-24,12362.91,
2020-12-31,12572.28,
2021-01-05,12911.27,
2021-01-07,12851.45,
2021-01-12,13100.70,
2021-01-18,12671.98,
2021-01-21,12931.21,
2021-01-29,12213.36,
2021-02-03,13010.97,
2021-02-05,13050.85,
2021-02-15,13429.71,
2021-02-18,13339.98,
2021-02-22,13030.91,
2021-02-26,13080.76,
2021-03-03,13579.26,
2021-03-08,13389.83,
2021-03-10,13559.32,
2021-03-18,13080.76,
2021-03-23,13260.22,
2021-03-25,12901.30,
2021-04-01,13290.13,
2021-04-09,13379.86,
2021-04-13,12991.03,
2021-04-20,12891.33,
2021-04-28,13320.04,
2021-04-30,13100.70,
2021-05-04,13040.88,
2021-05-10,13240.28,
2021-05-14,13060.82,
2021-05-19,13419.74,
2021-05-25,13559.32,
2021-06-01,13868.39,
2021-06-03,14117.65,
2021-06-09,14287.14,
2021-06-15,14666.00,
2021-06-18,14476.57,
