# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:18.694899+00:00
date,fund_value_inr,benchmark_value_inr
2020-03-30,10000.00,
2020-04-03,9874.88,
2020-04-09,10846.97,
2020-04-13,10692.97,
2020-04-20,11212.70,
2020-04-24,10943.21,
2020-04-30,11568.82,
2020-05-05,11058.71,
2020-05-07,11193.46,
2020-05-13,11308.95,
2020-05-18,10981.71,
2020-05-21,11308.95,
2020-05-27,11414.82,
2020-06-02,12050.05,
2020-06-05,12184.79,
2020-06-11,12127.05,
2020-06-17,12252.17,
2020-06-18,12444.66,
2020-06-23,12694.90,
2020-06-30,12483.16,
2020-07-02,12560.15,
2020-07-07,12925.89,
2020-07-14,12781.52,
2020-07-16,12858.52,
2020-07-20,13185.76,
2020-07-27,13339.75,
2020-07-30,13493.74,
2020-08-05,13878.73,
2020-08-10,14234.84,
2020-08-12,14119.35,
2020-08-17,14273.34,
2020-08-24,14937.44,
2020-08-26,15120.31,
2020-08-31,14552.45,
2020-09-03,14898.94,
2020-09-09,14494.71,
2020-09-15,15630.41,
2020-09-18,15582.29,
2020-09-24,14667.95,
2020-09-28,15303.18,
2020-10-01,15389.80,
2020-10-07,15351.30,
2020-10-13,15534.17,
2020-10-15,15303.18,
2020-10-20,15457.17,
2020-10-27,15591.92,
2020-10-29,15380.17,
2020-11-03,15437.92,
2020-11-09,15861.41,
2020-11-11,15803.66,
2020-11-19,16256.02,
2020-11-23,16583.25,
2020-11-25,16467.76,
2020-12-03,17247.35,
2020-12-07,17401.35,
2020-12-10,17401.35,
2020-12-16,17805.58,
2020-12-21,17276.23,
2020-12-24,17959.58,
2021-01-01,18363.81,
2021-01-05,18902.79,
2021-01-11,19114.53,
2021-01-14,19008.66,
2021-01-18,18517.81,
2021-01-21,18816.17,
2021-01-29,18017.32,
2021-02-03,18883.54,
2021-02-08,19480.27,
2021-02-11,19826.76,
2021-02-16,19730.51,
2021-02-22,19566.89,
2021-02-25,20134.74,
2021-02-26,20009.62,
2021-03-04,20750.72,
2021-03-10,20875.84,
2021-03-16,20827.72,
2021-03-18,20173.24,
2021-03-25,19903.75,
2021-03-30,20510.11,
2021-04-05,20365.74,
2021-04-08,21106.83,
2021-04-13,20279.11,
2021-04-23,20327.24,
2021-04-28,20981.71,
2021-04-30,20731.47,
2021-05-04,20558.23,
2021-05-11,20914.34,
2021-05-14,20625.60,
2021-05-19,21241.58,
2021-05-24,21395.57,
2021-05-27,21770.93,
2021-06-01,21751.68,
2021-06-08,22897.02,
2021-06-11,23166.51,
2021-06-15,23368.62,
2021-06-18,23070.26,
2021-06-24,23282.00,
2021-07-01,23801.73,
2021-07-05,24196.34,
2021-07-08,24369.59,
2021-07-15,24889.32,
2021-07-16,25072.18,
2021-07-26,24870.07,
2021-07-28,24590.95,
2021-08-02,25370.55,
2021-08-09,25187.68,
2021-08-11,24841.19,
2021-08-13,25197.31,
2021-08-23,24542.83,
2021-08-26,24918.19,
2021-08-31,25909.53,
2021-09-06,26698.75,
2021-09-09,26679.50,
2021-09-15,27189.61,
2021-09-20,26419.63,
2021-09-23,27141.48,
2021-09-28,26602.50,
2021-10-01,26939.36,
2021-10-05,27564.97,
2021-10-13,28604.43,
2021-10-18,28989.41,
2021-10-25,26804.62,
2021-10-26,27170.36,
2021-10-29,26939.36,
2021-11-08,28152.07,
2021-11-15,28450.43,
2021-11-17,28431.18,
2021-11-22,27228.10,
2021-11-29,26554.38,
2021-12-02,27276.23,
2021-12-06,26843.12,
2021-12-13,28113.57,
2021-12-16,27622.71,
2021-12-20,26467.76,
2021-12-23,27449.47,
2021-12-30,27853.71,
2022-01-04,28479.31,
2022-01-06,28190.57,
2022-01-13,28854.67,
2022-01-17,28999.04,
2022-01-20,28392.69,
2022-01-24,26766.12,
2022-01-28,26641.00,
2022-02-02,27641.96,
2022-02-10,27228.10,
2022-02-14,25774.78,
2022-02-16,26294.51,
2022-02-22,25486.04,
2022-02-24,24504.33,
2022-03-03,25389.80,
2022-03-08,24465.83,
2022-03-11,25370.55,
2022-03-17,25948.03,
2022-03-25,25957.65,
2022-03-28,25842.16,
2022-03-31,26438.88,
2022-04-05,27218.48,
2022-04-11,27285.85,
2022-04-19,26525.51,
2022-04-21,27035.61,
2022-04-28,26871.99,
2022-04-29,26900.87,
2022-05-10,24908.57,
2022-05-12,24273.34,
2022-05-17,25235.80,
2022-05-19,24744.95,
2022-05-25,24369.59,
2022-05-31,25745.91,
2022-06-02,25928.78,
2022-06-09,25139.56,
2022-06-13,24388.84,
2022-06-20,23407.12,
2022-06-22,23541.87,
2022-06-27,24456.21,
2022-07-01,24485.08,
2022-07-05,24764.20,
2022-07-07,25514.92,
2022-07-14,25726.66,
2022-07-19,26458.13,
2022-07-21,26669.87,
2022-07-26,26352.26,
2022-08-01,27353.22,
2022-08-04,27593.84,
2022-08-12,28084.70,
2022-08-18,28460.06,
2022-08-22,27718.96,
2022-08-29,28055.82,
2022-08-30,28527.43,
2022-09-07,29076.03,
2022-09-12,29672.76,
2022-09-16,28931.67,
2022-09-20,29230.03,
2022-09-26,28132.82,
2022-09-28,28200.19,
2022-09-30,28768.05,
2022-10-06,29258.90,
2022-10-14,28546.68,
2022-10-19,28835.42,
2022-10-21,28498.56,
2022-10-28,28315.69,
2022-11-01,28873.92,
2022-11-07,28979.79,
2022-11-14,28488.93,
2022-11-18,28123.20,
2022-11-22,28171.32,
2022-11-29,28479.31,
2022-12-02,29143.41,
2022-12-07,28787.30,
2022-12-08,28864.29,
2022-12-14,29037.54,
2022-12-20,28556.30,
2022-12-23,27179.98,
2022-12-27,27834.46,
2023-01-03,27998.08,
2023-01-06,27651.59,
2023-01-10,27709.34,
2023-01-16,27391.72,
2023-01-19,27449.47,
2023-01-24,27189.61,
2023-01-30,26621.75,
2023-02-02,26997.11,
2023-02-08,27353.22,
2023-02-14,26833.49,
2023-02-20,27256.98,
2023-02-22,27025.99,
2023-02-27,26862.37,
2023-03-01,27333.97,
2023-03-08,27324.35,
2023-03-14,26419.63,
2023-03-20,26246.39,
2023-03-22,26400.38,
2023-03-28,25909.53,
2023-03-31,26564.00,
2023-04-05,26756.50,
2023-04-12,27343.60,
2023-04-19,27574.59,
2023-04-25,27372.47,
2023-04-26,27372.47,
2023-05-02,28084.70,
2023-05-08,28585.18,
2023-05-11,28816.17,
2023-05-16,28989.41,
2023-05-19,28989.41,
2023-05-25,29307.03,
2023-05-31,29846.01,
2023-06-02,29932.63,
2023-06-07,30490.86,
2023-06-12,30375.36,
2023-06-19,31241.58,
2023-06-23,30827.72,
2023-06-28,31260.83,
2023-07-04,31241.58,
2023-07-10,31280.08,
2023-07-12,31790.18,
2023-07-17,32107.80,
2023-07-20,32367.66,
2023-07-24,32184.79,
2023-08-01,32733.40,
2023-08-03,32463.91,
2023-08-07,32704.52,
2023-08-14,32473.53,
2023-08-18,32704.52,
2023-08-22,33166.51,
2023-08-25,33089.51,
2023-08-31,33907.60,
2023-09-05,34446.58,
2023-09-11,35197.31,
2023-09-13,34311.84,
2023-09-18,34369.59,
2023-09-22,33801.73,
2023-09-27,34282.96,
2023-10-09,33686.24,
2023-10-11,34205.97,
2023-10-17,34523.58,
2023-10-20,34032.72,
2023-10-26,32704.52,
2023-10-27,33214.63,
2023-11-02,33436.00,
2023-11-08,34302.21,
2023-11-10,34359.96,
2023-11-17,35447.55,
2023-11-24,35437.92,
2023-11-29,35688.16,
2023-12-04,36727.62,
2023-12-08,36631.38,
2023-12-14,37459.10,
2023-12-19,37382.10,
2023-12-20,36381.14,
2023-12-26,37074.11,
2024-01-02,37314.73,
2024-01-05,38036.57,
2024-01-10,37930.70,
2024-01-12,38334.94,
2024-01-19,38065.45,
2024-01-23,37218.48,
2024-01-31,38671.80,
2024-02-05,38758.42,
2024-02-07,39297.40,
2024-02-12,38392.69,
2024-02-19,39566.89,
2024-02-21,39201.15,
2024-02-26,39692.01,
2024-02-29,39249.28,
2024-03-07,39480.27,
2024-03-13,37391.72,
2024-03-19,37449.47,
2024-03-20,37507.22,
2024-03-26,38902.79,
2024-03-31,39287.78,
2024-04-03,40442.73,
