# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:37:18.814837+00:00
date,fund_value_inr,benchmark_value_inr
2021-08-27,10000.00,
2021-08-30,10002.64,
2021-09-02,10005.13,
2021-09-06,10008.28,
2021-09-09,10010.70,
2021-09-13,10013.97,
2021-09-17,10017.31,
2021-09-20,10019.85,
2021-09-24,10023.18,
2021-09-27,10025.75,
2021-10-01,10029.53,
2021-10-04,10032.06,
2021-10-08,10035.39,
2021-10-11,10037.98,
2021-10-14,10040.33,
2021-10-20,10045.30,
2021-10-25,10049.33,
2021-10-29,10052.51,
2021-11-03,10057.15,
2021-11-08,10062.32,
2021-11-12,10066.58,
2021-11-15,10069.20,
2021-11-18,10071.70,
2021-11-23,10075.85,
2021-11-26,10078.83,
2021-11-30,10082.45,
2021-12-03,10085.25,
2021-12-07,10088.66,
2021-12-13,10094.32,
2021-12-15,10095.85,
2021-12-17,10097.35,
2021-12-20,10100.49,
2021-12-24,10104.21,
2021-12-27,10107.18,
2021-12-31,10111.34,
2022-01-03,10114.20,
2022-01-07,10118.06,
2022-01-10,10120.66,
2022-01-14,10124.48,
2022-01-17,10127.17,
2022-01-21,10130.70,
2022-01-24,10133.79,
2022-01-31,10140.78,
2022-02-02,10142.54,
2022-02-04,10144.52,
2022-02-09,10149.26,
2022-02-14,10154.51,
2022-02-17,10157.48,
2022-02-21,10161.09,
2022-02-24,10163.80,
2022-03-02,10169.24,
2022-03-04,10171.11,
2022-03-07,10174.01,
2022-03-11,10177.63,
2022-03-14,10180.77,
2022-03-17,10183.86,
2022-03-22,10189.12,
2022-03-25,10192.57,
2022-03-31,10200.76,
2022-04-04,10205.64,
2022-04-07,10209.21,
2022-04-08,10207.72,
2022-04-13,10211.05,
2022-04-19,10219.22,
2022-04-25,10226.48,
2022-04-28,10229.23,
2022-05-02,10233.39,
2022-05-05,10227.82,
2022-05-09,10232.03,
2022-05-13,10234.68,
2022-05-17,10239.50,
2022-05-20,10243.28,
2022-05-24,10248.25,
2022-05-27,10250.88,
2022-05-31,10255.81,
2022-06-03,10259.88,
2022-06-07,10261.84,
2022-06-09,10268.58,
2022-06-13,10273.89,
2022-06-17,10277.29,
2022-06-20,10281.74,
2022-06-24,10287.78,
2022-06-27,10291.51,
2022-06-30,10296.34,
2022-07-04,10303.09,
2022-07-08,10309.16,
2022-07-11,10313.16,
2022-07-15,10317.72,
2022-07-18,10322.16,
2022-07-21,10323.78,
2022-07-25,10329.11,
2022-07-29,10332.30,
2022-08-01,10337.75,
2022-08-05,10344.62,
2022-08-10,10351.77,
2022-08-12,10354.41,
2022-08-18,10364.91,
2022-08-22,10370.08,
2022-08-26,10376.19,
2022-08-29,10380.92,
2022-09-05,10392.27,
2022-09-08,10396.63,
2022-09-12,10402.67,
2022-09-14,10403.11,
2022-09-19,10409.39,
2022-09-21,10408.28,
2022-09-26,10412.67,
2022-09-28,10413.09,
2022-10-03,10427.19,
2022-10-06,10432.46,
2022-10-10,10436.63,
2022-10-12,10437.91,
2022-10-18,10449.32,
2022-10-20,10451.36,
2022-10-21,10452.32,
2022-10-31,10469.96,
2022-11-03,10476.03,
2022-11-04,10477.53,
2022-11-09,10487.06,
2022-11-14,10497.88,
2022-11-17,10505.59,
2022-11-21,10512.57,
2022-11-24,10517.27,
2022-11-28,10524.63,
2022-12-01,10531.59,
2022-12-05,10540.05,
2022-12-07,10541.15,
2022-12-12,10551.80,
2022-12-15,10557.92,
2022-12-19,10564.65,
2022-12-22,10569.93,
2022-12-26,10577.82,
2022-12-29,10585.46,
2023-01-02,10595.32,
2023-01-05,10599.99,
2023-01-09,10607.24,
2023-01-11,10609.66,
2023-01-13,10613.31,
2023-01-17,10620.14,
