# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:29.318480+00:00
stretch_ending,fund_return,benchmark_return
2024-12-06,0.019055,
2024-12-13,0.014815,
2024-12-20,0.001594,
2024-12-24,0.008629,
2025-01-03,0.007276,
2025-01-10,0.001944,
2025-01-17,0.020354,
2025-01-24,0.038144,
2025-01-31,0.025034,
2025-02-07,0.031879,
2025-02-14,0.031471,
2025-02-21,0.040598,
2025-02-28,0.037094,
2025-03-07,0.023534,
2025-03-13,0.011983,
2025-03-21,0.010310,
2025-03-28,-0.002828,
2025-04-04,-0.016428,
2025-04-11,-0.013189,
2025-04-17,-0.009725,
2025-04-25,0.008057,
2025-05-02,0.027094,
2025-05-09,0.058834,
2025-05-16,0.055914,
2025-05-23,0.048555,
2025-05-30,0.051025,
2025-06-06,0.058717,
2025-06-13,0.089301,
2025-06-20,0.090259,
2025-06-27,0.075115,
2025-07-03,0.079238,
2025-07-11,0.077867,
2025-07-18,0.070212,
2025-07-25,0.065823,
2025-08-01,0.059931,
2025-08-08,0.051227,
2025-08-14,0.051227,
2025-08-22,0.074052,
2025-08-29,0.093084,
2025-09-05,0.090310,
2025-09-12,0.104777,
2025-09-19,0.117928,
2025-09-26,0.132509,
2025-10-03,0.138991,
2025-10-10,0.139315,
2025-10-17,0.144391,
2025-10-24,0.131566,
2025-10-31,0.127348,
2025-11-07,0.131040,
2025-11-14,0.111950,
2025-11-21,0.101701,
2025-11-28,0.111141,
2025-12-05,0.108380,
2025-12-12,0.097048,
2025-12-19,0.108146,
2025-12-24,0.108520,
2026-01-02,0.101780,
2026-01-09,0.104324,
2026-01-16,0.110907,
2026-01-23,0.102336,
2026-01-30,0.099280,
2026-02-06,0.100934,
2026-02-13,0.120963,
2026-02-20,0.130815,
2026-02-27,0.145428,
2026-03-06,0.134378,
2026-03-13,0.135798,
2026-03-20,0.145924,
2026-03-27,0.135214,
2026-04-02,0.132926,
2026-04-10,0.140708,
2026-04-17,0.152627,
2026-04-24,0.157830,
2026-04-30,0.159911,
2026-05-08,0.150687,
2026-05-15,0.156315,
2026-05-22,0.170447,
2026-05-29,0.163730,
2026-06-05,0.147098,
2026-06-12,0.156187,
2026-06-18,0.150280,
2026-06-25,0.163483,
2026-07-02,0.159073,
2026-07-10,0.152729,
2026-07-17,0.162106,
2026-07-24,0.162945,
2026-07-31,0.158887,
2026-08-07,0.161200,
2026-08-14,0.170157,
2026-08-21,0.168125,
2026-08-28,0.154712,
2026-09-04,0.149645,
2026-09-11,0.151533,
2026-09-18,0.140735,
