# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:29.379161+00:00
stretch_ending,fund_return,benchmark_return
2025-12-11,0.012024,
2025-12-18,-0.007021,
2025-12-24,0.003996,
2026-01-01,-0.016716,
2026-01-08,-0.014720,
2026-01-14,0.020683,
2026-01-22,-0.004141,
2026-01-29,0.005336,
2026-02-05,-0.001029,
2026-02-12,0.076426,
2026-02-19,0.100437,
2026-02-26,0.162738,
2026-03-05,0.147982,
2026-03-12,0.150224,
2026-03-19,0.063784,
2026-03-25,0.055143,
2026-04-02,0.034261,
2026-04-09,0.093612,
2026-04-16,0.063224,
2026-04-23,0.058763,
2026-04-30,0.087500,
2026-05-07,0.133891,
2026-05-14,0.140351,
2026-05-21,0.147119,
2026-05-27,0.142264,
2026-06-04,0.130165,
2026-06-11,0.129162,
2026-06-18,0.157464,
2026-06-25,0.167513,
2026-07-02,0.167335,
2026-07-09,0.170297,
2026-07-16,0.169110,
2026-07-23,0.175835,
2026-07-30,0.186047,
2026-08-06,0.257316,
2026-08-13,0.243297,
2026-08-20,0.235178,
2026-08-27,0.281377,
2026-09-03,0.258258,
2026-09-10,0.250499,
2026-09-17,0.242515,
2026-09-24,0.268882,
