# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:38.941071+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.090112,
2016-01-08,0.090051,
2016-01-15,0.089981,
2016-01-22,0.089912,
2016-01-29,0.089847,
2016-02-05,0.089796,
2016-02-12,0.089747,
2016-02-19,0.089703,
2016-02-26,0.089654,
2016-03-11,0.089572,
2016-03-18,0.089549,
2016-03-25,0.089495,
2016-04-01,0.089687,
2016-04-08,0.089697,
2016-04-15,0.089640,
2016-04-22,0.089592,
2016-04-29,0.089551,
2016-05-13,0.089461,
2016-05-20,0.089418,
2016-05-27,0.089383,
2016-06-03,0.089339,
2016-06-10,0.089302,
2016-06-17,0.089280,
2016-06-24,0.089239,
2016-07-01,0.089209,
2016-07-15,0.090133,
2016-07-22,0.089964,
2016-07-29,0.090224,
2016-08-05,0.089972,
2016-08-12,0.089735,
2016-08-19,0.089505,
2016-08-26,0.089255,
2016-09-02,0.089010,
2016-09-09,0.088724,
2016-09-23,0.088212,
2016-09-30,0.088037,
2016-10-07,0.087862,
2016-10-14,0.087673,
2016-10-21,0.087483,
2016-10-28,0.087278,
2016-11-04,0.087088,
2016-11-18,0.086759,
2016-11-25,0.086632,
2016-12-02,0.086494,
2016-12-09,0.086338,
2016-12-16,0.086184,
2016-12-23,0.086035,
2016-12-30,0.085870,
2017-01-06,0.085745,
2017-01-20,0.085466,
2017-01-27,0.085309,
2017-02-03,0.085198,
2017-02-10,0.085052,
2017-02-17,0.084931,
2017-02-23,0.084712,
2017-03-03,0.084699,
2017-03-10,0.084452,
2017-03-17,0.084263,
2017-03-31,0.083771,
2017-04-07,0.083578,
2017-04-13,0.083349,
2017-04-21,0.083235,
2017-04-28,0.083052,
2017-05-05,0.082857,
2017-05-12,0.082682,
2017-05-19,0.082526,
2017-05-26,0.082378,
2017-06-09,0.082072,
2017-06-16,0.081924,
2017-06-23,0.081779,
2017-06-30,0.081633,
2017-07-07,0.081521,
2017-07-14,0.081397,
2017-07-21,0.081268,
2017-07-28,0.081132,
2017-08-11,0.080868,
2017-08-18,0.080721,
2017-08-25,0.080572,
2017-09-01,0.080421,
2017-09-08,0.080264,
2017-09-15,0.080112,
2017-09-22,0.079956,
2017-09-29,0.079784,
2017-10-13,0.079464,
2017-10-20,0.079313,
2017-10-27,0.079147,
2017-11-03,0.079000,
2017-11-10,0.078850,
2017-11-17,0.078699,
2017-11-24,0.078547,
2017-12-01,0.078394,
2017-12-15,0.078103,
2017-12-22,0.077951,
2017-12-29,0.077831,
2018-01-05,0.077685,
2018-01-12,0.077546,
2018-01-19,0.077402,
2018-01-26,0.077272,
2018-02-09,0.077032,
2018-02-16,0.076909,
2018-02-23,0.076791,
2018-03-02,0.076670,
2018-03-09,0.076574,
2018-03-16,0.076549,
2018-03-23,0.076414,
2018-03-30,0.076397,
2018-04-06,0.076252,
2018-04-13,0.076137,
2018-04-27,0.075894,
2018-05-04,0.075775,
2018-05-11,0.075654,
2018-05-18,0.075526,
2018-05-25,0.075416,
2018-06-01,0.075329,
2018-06-08,0.075279,
2018-06-15,0.075247,
2018-06-29,0.075152,
2018-07-06,0.075137,
2018-07-13,0.075078,
2018-07-20,0.075020,
2018-07-27,0.074948,
2018-08-03,0.074919,
2018-08-10,0.074865,
2018-08-24,0.074737,
2018-08-31,0.074697,
2018-09-07,0.074661,
2018-09-14,0.074607,
2018-09-20,0.074491,
2018-09-27,0.074238,
2018-10-05,0.074238,
2018-10-11,0.074139,
2018-10-19,0.074197,
2018-11-02,0.074156,
2018-11-08,0.074055,
2018-11-16,0.074081,
2018-11-21,0.073920,
2018-11-30,0.074029,
2018-12-06,0.073982,
2018-12-14,0.074028,
2018-12-28,0.073953,
2019-01-04,0.073933,
2019-01-11,0.073923,
2019-01-18,0.073911,
2019-01-25,0.073881,
2019-02-01,0.073844,
2019-02-08,0.073814,
2019-02-15,0.073762,
2019-02-22,0.073709,
2019-03-08,0.073552,
2019-03-15,0.073487,
2019-03-22,0.073398,
2019-03-29,0.073430,
2019-04-05,0.073020,
2019-04-12,0.072942,
2019-04-19,0.072871,
2019-04-26,0.072785,
2019-05-03,0.072695,
2019-05-17,0.072587,
2019-05-24,0.072598,
2019-05-31,0.072577,
2019-06-07,0.072535,
2019-06-14,0.072443,
2019-06-21,0.072372,
2019-06-28,0.072318,
2019-07-05,0.072188,
2019-07-19,0.072055,
2019-07-26,0.071959,
2019-08-02,0.071925,
2019-08-09,0.071863,
2019-08-16,0.071744,
2019-08-23,0.071668,
2019-08-30,0.071562,
2019-09-13,0.071388,
2019-09-20,0.071261,
2019-09-27,0.071151,
2019-10-04,0.071072,
2019-10-11,0.070928,
2019-10-18,0.070916,
2019-10-25,0.070800,
2019-11-01,0.070690,
2019-11-15,0.070439,
2019-11-21,0.070264,
2019-11-29,0.070175,
2019-12-06,0.070039,
2019-12-13,0.069951,
2019-12-20,0.069834,
2019-12-27,0.069738,
2020-01-03,0.069636,
2020-01-17,0.069398,
2020-01-24,0.069317,
2020-01-31,0.069230,
2020-02-07,0.069132,
2020-02-14,0.069044,
2020-02-19,0.068844,
2020-02-28,0.068827,
2020-03-06,0.068748,
2020-03-13,0.068683,
2020-03-26,0.068123,
2020-04-03,0.068597,
2020-04-09,0.068337,
2020-04-17,0.068181,
2020-04-24,0.068283,
2020-05-01,0.068091,
2020-05-07,0.067880,
2020-05-15,0.067728,
2020-05-22,0.067543,
2020-06-05,0.067004,
2020-06-12,0.066798,
2020-06-19,0.066563,
2020-06-26,0.066333,
2020-07-03,0.066084,
2020-07-10,0.065816,
2020-07-17,0.065567,
2020-07-31,0.065068,
2020-08-07,0.064828,
2020-08-14,0.064605,
2020-08-21,0.064387,
2020-08-28,0.064142,
2020-09-04,0.063909,
2020-09-11,0.063657,
2020-09-18,0.063435,
2020-09-25,0.063203,
2020-10-09,0.062786,
2020-10-16,0.062568,
2020-10-23,0.062340,
2020-10-30,0.062107,
2020-11-06,0.061881,
2020-11-13,0.061656,
2020-11-20,0.061439,
2020-11-27,0.061200,
2020-12-11,0.060671,
2020-12-18,0.060436,
2020-12-24,0.060178,
2021-01-01,0.059959,
2021-01-08,0.059686,
2021-01-15,0.059422,
2021-01-21,0.059137,
2021-02-05,0.059257,
2021-02-11,0.058989,
2021-02-19,0.058800,
2021-02-26,0.058562,
2021-03-05,0.058246,
2021-03-12,0.057942,
2021-03-19,0.057598,
2021-03-26,0.057377,
2021-04-01,0.056946,
2021-04-16,0.056409,
2021-04-23,0.056154,
2021-04-30,0.055863,
2021-05-07,0.055598,
2021-05-14,0.055344,
2021-05-21,0.055087,
2021-05-28,0.054805,
2021-06-04,0.054519,
2021-06-18,0.053841,
2021-06-25,0.053572,
2021-07-02,0.053267,
2021-07-09,0.052943,
2021-07-16,0.052669,
2021-07-23,0.052385,
2021-07-30,0.052104,
2021-08-06,0.051808,
2021-08-13,0.051565,
2021-08-27,0.051047,
2021-09-03,0.050753,
2021-09-10,0.050474,
2021-09-17,0.050193,
2021-09-24,0.049949,
2021-09-30,0.049670,
2021-10-08,0.049430,
2021-10-14,0.049119,
2021-10-29,0.048516,
2021-11-04,0.048065,
2021-11-11,0.047964,
2021-11-19,0.047732,
2021-11-26,0.047449,
2021-12-03,0.047155,
2021-12-10,0.046898,
2021-12-17,0.046584,
2021-12-31,0.046058,
2022-01-06,0.045756,
2022-01-13,0.045453,
2022-01-21,0.045175,
2022-01-27,0.044905,
2022-02-03,0.044648,
2022-02-10,0.044430,
2022-02-24,0.043937,
2022-03-03,0.043695,
2022-03-10,0.043443,
2022-03-18,0.043215,
2022-03-25,0.042970,
2022-04-01,0.042588,
2022-04-07,0.042309,
2022-04-14,0.042055,
2022-04-28,0.041603,
2022-05-05,0.041321,
2022-05-12,0.041099,
2022-05-19,0.040850,
2022-05-26,0.040576,
2022-06-02,0.040354,
2022-06-09,0.040171,
2022-06-16,0.040028,
2022-06-23,0.039874,
2022-07-01,0.039780,
2022-07-15,0.039486,
2022-07-22,0.039366,
2022-07-28,0.039192,
2022-08-04,0.039095,
2022-08-12,0.039063,
2022-08-19,0.039034,
2022-08-26,0.038965,
2022-09-09,0.038965,
2022-09-16,0.038882,
2022-09-23,0.038868,
2022-09-30,0.038832,
2022-10-07,0.038870,
2022-10-14,0.038811,
2022-10-21,0.038829,
2022-10-27,0.038839,
2022-11-04,0.038988,
2022-11-18,0.039097,
2022-11-25,0.039141,
2022-12-02,0.039223,
2022-12-09,0.039297,
2022-12-16,0.039353,
2022-12-23,0.039456,
2022-12-30,0.039580,
2023-01-13,0.039742,
2023-01-20,0.039765,
2023-01-27,0.039810,
2023-02-03,0.039897,
2023-02-10,0.039959,
2023-02-17,0.040014,
2023-02-24,0.040054,
2023-03-03,0.040125,
