# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:38.614049+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-09,-0.006452,
2013-01-14,0.000000,
2013-01-28,-0.001825,
2013-02-08,-0.030109,
2013-02-13,-0.022810,
2013-02-26,-0.053832,
2013-03-08,-0.027372,
2013-03-14,-0.033759,
2013-03-21,-0.076642,
2013-04-09,-0.102190,
2013-04-12,-0.096715,
2013-04-25,-0.032847,
2013-05-13,-0.022810,
2013-05-15,0.000000,
2013-05-30,-0.004525,
2013-06-03,-0.033484,
2013-06-17,-0.045249,
2013-06-26,-0.085973,
2013-07-01,-0.038009,
2013-07-10,-0.052489,
2013-07-23,-0.019005,
2013-08-06,-0.100452,
2013-08-14,-0.071493,
2013-08-21,-0.138462,
2013-09-03,-0.137557,
2013-09-10,-0.047964,
2013-09-19,-0.012670,
2013-09-30,-0.073303,
2013-10-11,-0.014480,
2013-10-28,-0.018100,
2013-11-01,0.000000,
2013-11-13,-0.046512,
2013-11-22,-0.044723,
2013-12-02,-0.010733,
2013-12-17,-0.031887,
2013-12-27,-0.010629,
2014-01-07,-0.033658,
2014-01-15,-0.009743,
2014-01-23,-0.007086,
2014-02-03,-0.056687,
2014-02-13,-0.054916,
2014-02-19,-0.032772,
2014-03-03,-0.023029,
2014-03-06,0.000000,
2014-03-20,-0.007826,
2014-03-27,0.000000,
2014-04-16,-0.015993,
2014-04-23,0.000000,
2014-05-07,-0.023431,
2014-05-12,0.000000,
2014-05-29,-0.016614,
2014-06-03,0.000000,
2014-06-16,-0.025954,
2014-06-20,-0.030534,
2014-07-07,0.000000,
2014-07-11,-0.052515,
2014-07-22,-0.010355,
2014-08-01,-0.035503,
2014-08-08,-0.045118,
2014-08-19,-0.003698,
2014-08-27,0.000000,
2014-09-12,-0.003556,
2014-09-16,-0.030583,
2014-09-25,-0.049075,
2014-10-17,-0.060455,
2014-10-22,-0.028450,
2014-10-31,0.000000,
2014-11-13,-0.005544,
2014-12-02,0.000000,
2014-12-09,-0.032389,
2014-12-17,-0.062078,
2014-12-22,-0.029690,
2015-01-07,-0.028340,
2015-01-12,-0.001350,
2015-01-29,0.000000,
2015-02-09,-0.041078,
2015-02-13,0.000000,
2015-02-26,-0.028061,
2015-03-03,0.000000,
2015-03-13,-0.046526,
2015-03-26,-0.076923,
2015-04-13,-0.014888,
2015-04-21,-0.083747,
2015-04-27,-0.116005,
2015-05-05,-0.075682,
2015-05-14,-0.091811,
2015-05-29,-0.078164,
