# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:40.321607+00:00
stretch_ending,fund_return,benchmark_return
2018-09-07,0.112596,
2018-09-14,0.107093,
2018-09-21,0.091788,
2018-09-28,0.069831,
2018-10-05,0.052088,
2018-10-12,0.061508,
2018-10-19,0.059499,
2018-10-26,0.052536,
2018-11-02,0.074842,
2018-11-09,0.086834,
2018-11-16,0.082973,
2018-11-22,0.066627,
2018-11-30,0.068319,
2018-12-07,0.071562,
2018-12-14,0.076465,
2018-12-21,0.066920,
2018-12-28,0.066521,
2019-01-04,0.063991,
2019-01-11,0.076229,
2019-01-18,0.105817,
2019-01-25,0.082648,
2019-02-01,0.080074,
2019-02-08,0.085243,
2019-02-15,0.093975,
2019-02-22,0.102974,
2019-03-01,0.097662,
2019-03-08,0.096550,
2019-03-15,0.102092,
2019-03-22,0.095079,
2019-03-29,0.102566,
2019-04-05,0.100329,
2019-04-12,0.087727,
2019-04-18,0.082877,
2019-04-26,0.084904,
2019-05-03,0.083126,
2019-05-10,0.072110,
2019-05-17,0.071203,
2019-05-24,0.092390,
2019-05-31,0.089765,
2019-06-07,0.083261,
2019-06-14,0.077281,
2019-06-21,0.078308,
2019-06-28,0.076088,
2019-07-05,0.063869,
2019-07-12,0.054048,
2019-07-19,0.038542,
2019-07-26,0.027379,
2019-08-02,0.021632,
2019-08-09,0.019912,
2019-08-16,0.019832,
2019-08-23,0.006623,
2019-08-30,0.013859,
2019-09-06,0.007598,
2019-09-13,0.010648,
2019-09-20,0.011881,
2019-09-27,0.014551,
2019-10-04,0.004147,
2019-10-11,0.011017,
2019-10-18,0.011214,
2019-10-25,0.008676,
2019-11-01,0.022151,
2019-11-08,0.031952,
2019-11-15,0.050095,
2019-11-22,0.052255,
2019-11-29,0.043223,
2019-12-06,0.043979,
2019-12-13,0.049773,
2019-12-20,0.057824,
2019-12-27,0.060526,
2020-01-03,0.045853,
2020-01-10,0.040049,
2020-01-17,0.042037,
2020-01-24,0.040137,
2020-01-31,0.030406,
2020-02-07,0.026839,
2020-02-14,0.030892,
2020-02-20,0.022060,
2020-02-28,-0.008373,
2020-03-06,-0.013218,
2020-03-13,-0.052019,
2020-03-20,-0.094889,
2020-03-27,-0.099087,
2020-04-03,-0.119371,
2020-04-09,-0.091093,
2020-04-17,-0.083052,
2020-04-24,-0.099666,
2020-04-30,-0.083682,
2020-05-08,-0.098929,
2020-05-15,-0.102235,
2020-05-22,-0.087976,
2020-05-29,-0.084895,
2020-06-05,-0.075937,
2020-06-12,-0.079476,
2020-06-19,-0.072545,
2020-06-26,-0.060536,
2020-07-03,-0.062488,
2020-07-10,-0.061446,
2020-07-17,-0.058594,
2020-07-24,-0.052064,
2020-07-31,-0.056682,
2020-08-07,-0.033734,
2020-08-14,-0.030166,
2020-08-21,-0.020390,
2020-08-28,-0.017434,
2020-09-04,-0.027871,
2020-09-11,-0.032312,
2020-09-18,-0.036269,
2020-09-25,-0.035020,
2020-10-01,-0.031425,
2020-10-09,-0.031452,
2020-10-16,-0.039673,
2020-10-23,-0.031426,
2020-10-30,-0.043734,
2020-11-06,-0.022862,
2020-11-13,-0.000892,
2020-11-20,-0.006159,
2020-11-27,-0.002671,
2020-12-04,0.008270,
2020-12-11,0.008218,
2020-12-18,0.006198,
2020-12-24,-0.006123,
2021-01-01,-0.005328,
2021-01-08,-0.009317,
2021-01-15,-0.007852,
2021-01-22,-0.014576,
2021-01-29,-0.012165,
2021-02-05,0.032271,
2021-02-12,0.027327,
2021-02-19,0.035295,
2021-02-26,0.023467,
2021-03-05,0.047507,
2021-03-12,0.043175,
2021-03-19,0.042654,
2021-03-26,0.042249,
2021-04-01,0.042379,
2021-04-09,0.039171,
2021-04-16,0.030374,
2021-04-23,0.029594,
2021-04-30,0.031837,
2021-05-07,0.034630,
2021-05-14,0.039666,
2021-05-21,0.058783,
2021-05-28,0.058262,
2021-06-04,0.086081,
2021-06-11,0.080787,
2021-06-18,0.086760,
2021-06-25,0.100717,
2021-07-02,0.100300,
2021-07-09,0.092522,
2021-07-16,0.109187,
2021-07-23,0.103165,
2021-07-30,0.096785,
2021-08-06,0.096885,
2021-08-13,0.106654,
2021-08-20,0.094468,
2021-08-27,0.102732,
2021-09-03,0.117165,
2021-09-09,0.121128,
2021-09-17,0.125444,
2021-09-24,0.139249,
2021-10-01,0.147147,
2021-10-08,0.159857,
2021-10-14,0.167268,
2021-10-22,0.175292,
2021-10-29,0.157655,
2021-11-03,0.156619,
2021-11-12,0.167797,
2021-11-18,0.162461,
2021-11-26,0.151248,
2021-12-03,0.154602,
2021-12-10,0.162301,
2021-12-17,0.143106,
2021-12-24,0.152377,
2021-12-31,0.151724,
2022-01-07,0.166405,
2022-01-14,0.174241,
2022-01-21,0.167872,
2022-01-28,0.174603,
2022-02-04,0.177278,
2022-02-11,0.178933,
2022-02-18,0.175201,
2022-02-25,0.152564,
2022-03-04,0.134101,
2022-03-11,0.137320,
2022-03-17,0.145160,
2022-03-25,0.144267,
2022-04-01,0.150887,
2022-04-08,0.156849,
2022-04-13,0.150259,
2022-04-22,0.142095,
2022-04-29,0.144645,
2022-05-06,0.141750,
2022-05-13,0.135695,
2022-05-20,0.126772,
2022-05-27,0.123065,
2022-06-03,0.129591,
2022-06-10,0.123890,
2022-06-17,0.113304,
2022-06-24,0.111946,
2022-07-01,0.113267,
2022-07-08,0.141338,
2022-07-15,0.132769,
2022-07-22,0.163369,
2022-07-29,0.179569,
2022-08-05,0.189845,
2022-08-12,0.189109,
2022-08-19,0.196594,
2022-08-26,0.186744,
2022-09-02,0.193336,
2022-09-09,0.193390,
2022-09-16,0.192503,
2022-09-23,0.170908,
2022-09-30,0.162072,
2022-10-07,0.171057,
2022-10-14,0.167102,
2022-10-21,0.169969,
2022-10-28,0.167442,
2022-11-04,0.171325,
2022-11-11,0.175111,
2022-11-18,0.172264,
2022-11-25,0.173429,
2022-12-02,0.175046,
2022-12-09,0.177981,
2022-12-16,0.163788,
2022-12-23,0.158037,
2022-12-30,0.162259,
2023-01-06,0.162275,
2023-01-13,0.150250,
2023-01-20,0.154173,
2023-01-27,0.140188,
2023-02-03,0.146361,
2023-02-10,0.142779,
2023-02-17,0.147400,
2023-02-24,0.149631,
2023-03-03,0.165001,
2023-03-10,0.190609,
2023-03-17,0.256604,
2023-03-24,0.268964,
2023-03-31,0.267674,
2023-04-06,0.258820,
2023-04-13,0.249864,
2023-04-21,0.239893,
2023-04-28,0.231965,
2023-05-05,0.245730,
2023-05-12,0.243629,
2023-05-19,0.258832,
2023-05-26,0.255182,
2023-06-02,0.234822,
2023-06-09,0.230729,
2023-06-16,0.245231,
2023-06-23,0.227219,
2023-06-30,0.235508,
2023-07-07,0.227263,
2023-07-14,0.238403,
2023-07-21,0.229325,
2023-07-28,0.233244,
2023-08-04,0.226208,
2023-08-11,0.208228,
2023-08-18,0.201551,
2023-08-25,0.198870,
2023-09-01,0.208729,
2023-09-08,0.231140,
2023-09-15,0.222789,
2023-09-22,0.238413,
2023-09-29,0.236716,
2023-10-06,0.227863,
2023-10-13,0.226308,
2023-10-20,0.222424,
2023-10-27,0.214154,
2023-11-03,0.215644,
2023-11-10,0.194883,
2023-11-17,0.191435,
2023-11-24,0.194272,
2023-12-01,0.196717,
2023-12-08,0.201096,
2023-12-15,0.211258,
2023-12-22,0.213150,
2023-12-29,0.213027,
2024-01-05,0.205802,
2024-01-12,0.204653,
2024-01-19,0.207797,
2024-01-25,0.223995,
2024-02-02,0.206570,
2024-02-09,0.194778,
2024-02-16,0.197693,
2024-02-23,0.201418,
2024-03-01,0.198146,
2024-03-07,0.201948,
2024-03-15,0.199610,
2024-03-22,0.209089,
2024-03-28,0.208462,
2024-04-05,0.211884,
2024-04-12,0.219998,
2024-04-19,0.210505,
2024-04-26,0.207889,
2024-05-03,0.214985,
2024-05-10,0.203148,
2024-05-17,0.208060,
2024-05-24,0.209229,
2024-05-31,0.198005,
2024-06-07,0.196155,
2024-06-14,0.196442,
2024-06-21,0.202931,
2024-06-28,0.203956,
2024-07-05,0.204482,
2024-07-12,0.204632,
2024-07-19,0.201141,
2024-07-26,0.204588,
2024-08-02,0.195630,
2024-08-09,0.192036,
2024-08-16,0.187290,
2024-08-23,0.195510,
2024-08-30,0.191751,
2024-09-06,0.183919,
2024-09-13,0.183127,
2024-09-20,0.191457,
2024-09-27,0.190776,
2024-10-04,0.179603,
2024-10-11,0.167004,
2024-10-18,0.161540,
2024-10-25,0.143295,
2024-10-31,0.156471,
2024-11-08,0.145849,
2024-11-14,0.137795,
2024-11-22,0.159042,
2024-11-29,0.172784,
2024-12-06,0.175260,
2024-12-13,0.177961,
2024-12-20,0.168286,
2024-12-27,0.165562,
2025-01-03,0.154463,
2025-01-10,0.130322,
2025-01-17,0.133261,
2025-01-24,0.142077,
2025-01-31,0.133919,
2025-02-07,0.141324,
2025-02-14,0.134009,
2025-02-21,0.142737,
2025-02-28,0.138951,
2025-03-07,0.154425,
2025-03-13,0.136331,
2025-03-21,0.151042,
2025-03-28,0.152046,
2025-04-04,0.136069,
2025-04-11,0.137670,
2025-04-17,0.162195,
2025-04-25,0.168973,
2025-05-02,0.179870,
2025-05-09,0.183151,
2025-05-16,0.201497,
2025-05-23,0.212674,
2025-05-30,0.198326,
2025-06-06,0.207112,
2025-06-13,0.218836,
2025-06-20,0.229381,
2025-06-27,0.232063,
2025-07-04,0.226290,
2025-07-11,0.218302,
2025-07-18,0.210409,
2025-07-25,0.202113,
2025-08-01,0.181576,
2025-08-08,0.176119,
2025-08-14,0.171836,
2025-08-22,0.181876,
2025-08-29,0.173177,
2025-09-05,0.175421,
2025-09-12,0.173822,
2025-09-19,0.186483,
2025-09-26,0.195605,
2025-10-03,0.188059,
2025-10-10,0.194197,
2025-10-17,0.188174,
2025-10-24,0.187289,
2025-10-31,0.183700,
2025-11-07,0.179047,
2025-11-14,0.179210,
2025-11-21,0.177169,
2025-11-28,0.167858,
2025-12-05,0.169258,
2025-12-12,0.168812,
2025-12-19,0.177861,
2025-12-26,0.181462,
2026-01-02,0.187470,
2026-01-09,0.183292,
2026-01-16,0.179192,
2026-01-23,0.172185,
2026-01-30,0.181792,
2026-02-06,0.180927,
2026-02-13,0.180188,
2026-02-20,0.188326,
2026-02-27,0.184403,
2026-03-06,0.166054,
2026-03-13,0.165037,
2026-03-20,0.163464,
2026-03-27,0.158338,
2026-04-02,0.149076,
2026-04-10,0.172077,
2026-04-17,0.184334,
2026-04-24,0.173856,
2026-04-30,0.169054,
2026-05-08,0.173718,
2026-05-15,0.163049,
2026-05-22,0.166077,
2026-05-29,0.161235,
2026-06-05,0.153236,
2026-06-12,0.157799,
2026-06-19,0.163256,
2026-06-25,0.161725,
2026-07-03,0.158721,
2026-07-10,0.159505,
2026-07-17,0.152973,
2026-07-24,0.145100,
2026-07-31,0.151505,
2026-08-07,0.153268,
2026-08-14,0.154054,
2026-08-21,0.149894,
2026-08-28,0.149086,
2026-09-04,0.138642,
2026-09-11,0.124438,
2026-09-18,0.127736,
