# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:39.020419+00:00
stretch_ending,fund_return,benchmark_return
2025-12-18,0.071917,
2025-12-24,0.092143,
2026-01-01,0.088612,
2026-01-08,0.106076,
2026-01-14,0.132974,
2026-01-22,0.119460,
2026-01-29,0.126603,
2026-02-05,0.134284,
2026-02-12,0.223886,
2026-02-19,0.224769,
2026-02-26,0.273202,
2026-03-05,0.231801,
2026-03-12,0.196469,
2026-03-19,0.136077,
2026-03-25,0.133845,
2026-04-02,0.105629,
2026-04-09,0.230591,
2026-04-16,0.210602,
2026-04-23,0.180957,
2026-04-30,0.203377,
2026-05-07,0.245058,
2026-05-14,0.163897,
2026-05-21,0.155568,
2026-05-27,0.166244,
2026-06-04,0.135424,
2026-06-11,0.097603,
2026-06-18,0.170948,
2026-06-25,0.146995,
2026-07-02,0.153487,
2026-07-09,0.135945,
2026-07-16,0.141871,
2026-07-23,0.123067,
2026-07-30,0.152226,
2026-08-06,0.205127,
2026-08-13,0.214804,
2026-08-20,0.201233,
2026-08-27,0.234050,
2026-09-03,0.206830,
2026-09-10,0.192336,
2026-09-17,0.158947,
2026-09-24,0.174658,
