# View: fund_drawdown
# Question: How far has it fallen, and how long did it take to recover?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:18.018660+00:00
date,fund_below_high,benchmark_below_high
2013-01-02,0.000000,
2013-01-10,0.000000,
2013-01-16,-0.004364,
2013-01-31,-0.005508,
2013-02-08,-0.000188,
2013-02-20,0.000000,
2013-03-01,-0.003195,
2013-03-06,-0.000412,
2013-03-13,-0.001108,
2013-03-22,-0.001506,
2013-04-04,0.000000,
2013-04-25,-0.000358,
2013-04-26,0.000000,
2013-05-15,0.000000,
2013-05-24,0.000000,
2013-05-31,-0.005779,
2013-06-06,-0.002196,
2013-06-19,-0.003808,
2013-06-26,-0.017382,
2013-07-11,-0.010135,
2013-07-16,-0.035502,
2013-07-24,-0.045905,
2013-08-08,-0.037403,
2013-08-19,-0.054307,
2013-08-22,-0.042235,
2013-09-03,-0.040874,
2013-09-19,-0.027995,
2013-09-24,-0.044799,
2013-10-08,-0.029403,
2013-10-15,-0.033232,
2013-10-29,-0.027571,
2013-11-08,-0.035696,
2013-11-12,-0.038509,
2013-11-27,-0.029372,
2013-12-09,-0.034048,
2013-12-17,-0.033838,
2013-12-19,-0.026552,
2014-01-01,-0.027079,
2014-01-16,-0.011422,
2014-01-20,-0.007839,
2014-01-30,-0.021521,
2014-02-10,-0.016000,
2014-02-17,-0.019719,
2014-03-05,-0.016712,
2014-03-12,-0.011468,
2014-03-28,-0.004586,
2014-04-04,-0.010874,
2014-04-21,-0.000599,
2014-04-25,0.000000,
2014-05-07,-0.001216,
2014-05-26,-0.001432,
2014-05-29,0.000000,
2014-06-12,-0.000082,
2014-06-23,-0.005297,
2014-07-02,-0.000427,
2014-07-11,-0.003522,
2014-07-21,0.000000,
2014-07-31,-0.001705,
2014-08-06,-0.006558,
2014-08-14,-0.000291,
2014-08-25,-0.001644,
2014-09-04,0.000000,
2014-09-22,0.000000,
2014-09-30,-0.002131,
2014-10-07,0.000000,
2014-10-17,-0.000843,
2014-11-10,0.000000,
2014-11-14,-0.002685,
2014-11-19,0.000000,
2014-12-08,0.000000,
2014-12-16,-0.009699,
2014-12-26,-0.006716,
2014-12-31,0.000000,
2015-01-07,-0.000236,
2015-01-23,0.000000,
2015-02-04,-0.003637,
2015-02-12,-0.003570,
2015-02-20,-0.000007,
2015-03-04,0.000000,
2015-03-13,-0.005819,
2015-03-20,-0.002595,
2015-04-06,0.000000,
2015-04-10,-0.004343,
2015-04-28,-0.001141,
2015-05-08,-0.009824,
2015-05-20,-0.000293,
2015-05-29,0.000000,
2015-06-04,-0.010784,
2015-06-16,-0.013934,
2015-06-19,-0.002214,
2015-06-29,-0.010131,
2015-07-08,-0.001897,
2015-07-17,-0.002568,
2015-07-27,-0.000027,
2015-08-13,0.000000,
2015-08-24,-0.006521,
2015-08-27,0.000000,
2015-09-07,-0.002209,
2015-09-14,0.000000,
2015-10-05,0.000000,
2015-10-12,-0.001567,
2015-10-19,0.000000,
2015-11-02,-0.000145,
2015-11-09,-0.004561,
2015-11-17,-0.001700,
2015-12-03,-0.001747,
2015-12-14,-0.009205,
2015-12-17,-0.004170,
2015-12-29,-0.005089,
2016-01-08,0.000000,
2016-01-15,-0.003924,
2016-01-27,-0.000068,
2016-02-11,-0.001099,
2016-02-23,-0.007963,
2016-02-25,-0.011807,
2016-03-04,0.000000,
2016-03-23,0.000000,
2016-03-29,-0.001084,
2016-04-21,-0.001895,
2016-04-29,0.000000,
2016-05-03,-0.000477,
2016-05-18,-0.000986,
2016-05-23,0.000000,
2016-06-01,-0.000384,
2016-06-13,-0.000773,
2016-06-17,0.000000,
2016-06-27,0.000000,
2016-07-07,0.000000,
2016-07-25,0.000000,
2016-08-03,-0.002611,
2016-08-11,0.000000,
2016-08-22,-0.004043,
2016-08-26,-0.000179,
2016-09-12,-0.001409,
2016-09-19,-0.000002,
2016-09-29,-0.004593,
2016-10-05,0.000000,
2016-10-20,-0.002322,
2016-11-04,-0.003656,
2016-11-09,0.000000,
2016-11-24,0.000000,
2016-12-05,-0.003683,
2016-12-08,-0.018695,
2016-12-16,-0.023994,
2017-01-02,-0.017417,
2017-01-03,-0.021766,
2017-01-12,-0.018562,
2017-01-31,-0.016483,
2017-02-07,-0.015744,
2017-02-10,-0.029106,
2017-02-22,-0.029962,
2017-03-03,-0.026830,
2017-03-20,-0.027597,
2017-03-31,-0.018930,
2017-04-07,-0.024189,
2017-04-19,-0.019517,
2017-05-04,-0.020679,
2017-05-15,-0.012992,
2017-05-19,-0.013317,
2017-05-31,-0.008251,
2017-06-08,0.000000,
2017-06-21,0.000000,
2017-07-03,-0.001373,
2017-07-05,0.000000,
2017-07-20,0.000000,
2017-07-26,-0.000080,
2017-08-08,0.000000,
2017-08-11,-0.000578,
2017-08-24,0.000000,
2017-09-11,0.000000,
2017-09-20,0.000000,
2017-09-22,-0.001915,
2017-09-29,-0.000056,
2017-10-10,0.000000,
2017-10-30,0.000000,
2017-11-06,0.000000,
2017-11-16,-0.002482,
2017-11-20,0.000000,
2017-11-28,-0.001927,
2017-12-08,-0.000346,
2017-12-21,-0.003021,
2017-12-28,-0.004135,
2018-01-08,0.000000,
2018-01-24,0.000000,
2018-02-01,-0.002828,
2018-02-07,0.000000,
2018-02-22,-0.003382,
2018-03-01,-0.003762,
2018-03-09,0.000000,
2018-03-21,-0.000327,
2018-04-09,0.000000,
2018-04-17,-0.002071,
2018-04-26,-0.009501,
2018-05-07,-0.006693,
2018-05-17,-0.013444,
2018-05-28,-0.008648,
2018-06-07,-0.010710,
2018-06-12,-0.009510,
2018-06-21,-0.003970,
2018-06-28,-0.004075,
2018-07-10,-0.000087,
2018-07-20,-0.000157,
2018-07-25,0.000000,
2018-08-03,-0.000149,
2018-08-23,0.000000,
2018-09-03,-0.000216,
2018-09-07,-0.001690,
2018-09-17,-0.011657,
2018-09-26,-0.013578,
2018-10-11,-0.010338,
2018-10-16,-0.007743,
2018-10-31,-0.006687,
2018-11-14,-0.000188,
2018-11-16,-0.000834,
2018-12-06,0.000000,
2018-12-17,-0.000333,
2018-12-18,-0.011532,
2018-12-27,-0.005709,
2019-01-07,-0.007224,
2019-01-16,-0.004225,
2019-01-28,-0.001766,
2019-02-05,-0.004763,
2019-02-13,0.000000,
2019-02-27,-0.001685,
2019-03-06,0.000000,
2019-03-19,-0.000881,
2019-04-02,0.000000,
2019-04-08,-0.003893,
