# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:13.478395+00:00
stretch_ending,fund_return,benchmark_return
2016-01-01,0.097438,
2016-01-08,0.094035,
2016-01-15,0.090143,
2016-01-22,0.092486,
2016-01-29,0.094447,
2016-02-05,0.091821,
2016-02-12,0.086653,
2016-02-18,0.088558,
2016-02-26,0.086387,
2016-03-11,0.091082,
2016-03-18,0.097928,
2016-03-23,0.098518,
2016-03-31,0.101445,
2016-04-07,0.098934,
2016-04-13,0.097882,
2016-04-22,0.097697,
2016-04-29,0.095526,
2016-05-13,0.089507,
2016-05-20,0.091119,
2016-05-27,0.095222,
2016-06-03,0.094662,
2016-06-10,0.099751,
2016-06-17,0.101194,
2016-06-24,0.103183,
2016-07-01,0.105588,
2016-07-08,0.105754,
2016-07-22,0.122162,
2016-07-29,0.129140,
2016-08-05,0.132827,
2016-08-12,0.133660,
2016-08-19,0.136606,
2016-08-26,0.136746,
2016-09-02,0.134508,
2016-09-09,0.132334,
2016-09-16,0.126643,
2016-09-30,0.131485,
2016-10-07,0.131483,
2016-10-14,0.132284,
2016-10-21,0.132669,
2016-10-28,0.129550,
2016-11-04,0.127755,
2016-11-11,0.129062,
2016-11-25,0.131220,
2016-12-02,0.128368,
2016-12-09,0.126743,
2016-12-16,0.122378,
2016-12-23,0.118360,
2016-12-31,0.119975,
2017-01-06,0.121320,
2017-01-13,0.120695,
2017-01-20,0.120961,
2017-02-03,0.132108,
2017-02-10,0.128802,
2017-02-17,0.125948,
2017-02-23,0.124878,
2017-03-03,0.123054,
2017-03-10,0.120468,
2017-03-17,0.122876,
2017-03-24,0.122588,
2017-03-31,0.124328,
2017-04-13,0.124687,
2017-04-21,0.123160,
2017-04-28,0.125901,
2017-05-05,0.125381,
2017-05-12,0.120714,
2017-05-19,0.112543,
2017-05-26,0.113138,
2017-06-02,0.107437,
2017-06-16,0.108550,
2017-06-23,0.106576,
2017-06-30,0.101913,
2017-07-07,0.106329,
2017-07-14,0.110097,
2017-07-21,0.110391,
2017-07-28,0.114662,
2017-08-04,0.116726,
2017-08-18,0.110710,
2017-08-24,0.110878,
2017-09-01,0.109584,
2017-09-08,0.108213,
2017-09-15,0.107016,
2017-09-22,0.106627,
2017-09-30,0.105969,
2017-10-13,0.108703,
2017-10-18,0.103474,
2017-10-27,0.101163,
2017-11-03,0.097814,
2017-11-10,0.096424,
2017-11-17,0.095283,
2017-11-24,0.097016,
2017-11-30,0.093935,
2017-12-08,0.095174,
2017-12-22,0.098292,
2017-12-29,0.095379,
2018-01-05,0.095882,
2018-01-12,0.092206,
2018-01-19,0.088830,
2018-01-25,0.086223,
2018-02-02,0.084707,
2018-02-09,0.085440,
2018-02-23,0.085044,
2018-03-01,0.081257,
2018-03-09,0.082037,
2018-03-16,0.083847,
2018-03-23,0.085391,
2018-03-28,0.084373,
2018-04-06,0.087519,
2018-04-13,0.087574,
2018-04-20,0.087542,
2018-05-04,0.093738,
2018-05-11,0.090680,
2018-05-18,0.085713,
