# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Generated: 2026-09-26T10:34:22.084141+00:00
stretch_ending,fund_return,benchmark_return
2016-01-04,0.178374,
2016-01-11,0.162928,
2016-01-15,0.155542,
2016-01-25,0.155043,
2016-02-01,0.164444,
2016-02-08,0.138162,
2016-02-12,0.133580,
2016-02-22,0.157974,
2016-02-29,0.160356,
2016-03-04,0.148562,
2016-03-21,0.152435,
2016-03-23,0.155033,
2016-04-04,0.162110,
2016-04-11,0.150691,
2016-04-18,0.166809,
2016-04-25,0.158901,
2016-05-02,0.147127,
2016-05-13,0.127381,
2016-05-23,0.129410,
2016-05-27,0.125379,
2016-06-06,0.129944,
2016-06-13,0.122032,
2016-06-20,0.124656,
2016-06-27,0.107684,
2016-07-01,0.112062,
2016-07-11,0.107494,
2016-07-25,0.116584,
2016-08-01,0.096755,
2016-08-08,0.104536,
2016-08-12,0.104272,
2016-08-22,0.090223,
2016-08-29,0.084910,
2016-09-02,0.085584,
2016-09-12,0.080530,
2016-09-26,0.094715,
2016-10-03,0.097735,
2016-10-07,0.099440,
2016-10-17,0.083700,
2016-10-24,0.087703,
2016-10-28,0.083032,
2016-11-07,0.074464,
2016-11-10,0.074269,
2016-11-21,0.087686,
2016-12-05,0.099936,
2016-12-09,0.105272,
2016-12-19,0.096592,
2016-12-23,0.093790,
2016-12-31,0.088263,
2017-01-09,0.093197,
2017-01-13,0.098534,
2017-01-23,0.095950,
2017-02-06,0.103081,
2017-02-13,0.100249,
2017-02-17,0.101869,
2017-02-27,0.100141,
2017-03-06,0.103477,
2017-03-10,0.110300,
2017-03-20,0.097103,
2017-03-27,0.094692,
2017-04-10,0.105621,
2017-04-13,0.090614,
2017-04-24,0.099099,
2017-04-28,0.103505,
2017-05-08,0.112990,
2017-05-15,0.118776,
2017-05-22,0.113545,
2017-05-26,0.108213,
2017-06-12,0.102096,
2017-06-19,0.094393,
2017-06-22,0.097652,
2017-07-03,0.095870,
2017-07-10,0.097828,
2017-07-17,0.099975,
2017-07-24,0.096081,
2017-07-31,0.099061,
2017-08-07,0.102090,
2017-08-21,0.087716,
2017-08-28,0.088591,
2017-09-01,0.097267,
2017-09-11,0.095338,
2017-09-18,0.094828,
2017-09-25,0.104058,
