# View: fund_growth
# Question: What would ₹10,000 have become?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m2, m0
# Notes:
#   - Benchmark comparisons are left out of this public copy: the index data is licensed for personal use. The self-hosted app shows them.
# Generated: 2026-09-26T10:34:16.005419+00:00
date,fund_value_inr,benchmark_value_inr
2013-01-04,10000.00,
2013-01-08,10031.76,
2013-01-22,9956.03,
2013-01-30,10232.13,
2013-02-04,9992.47,
2013-02-20,10220.36,
2013-02-26,9879.52,
2013-03-04,10187.03,
2013-03-15,10357.02,
2013-03-21,10226.59,
2013-04-10,10287.61,
2013-04-18,9610.35,
2013-04-26,10018.95,
2013-05-07,10452.57,
2013-05-22,10840.14,
2013-06-05,10639.35,
2013-06-11,11069.59,
2013-06-19,11198.63,
2013-06-24,10764.58,
2013-07-08,11402.20,
2013-07-22,11623.25,
2013-07-29,11437.51,
2013-07-31,11781.03,
2013-08-12,11672.49,
2013-08-28,13127.49,
2013-09-02,12592.70,
2013-09-13,12575.82,
2013-09-25,12364.90,
2013-10-04,11962.87,
2013-10-09,11919.94,
2013-10-22,12542.67,
2013-10-31,12392.68,
2013-11-11,12815.30,
2013-11-22,12784.84,
2013-12-05,12238.19,
2013-12-12,12110.52,
2013-12-27,12637.53,
2014-01-07,12635.19,
2014-01-15,12369.22,
2014-01-23,12611.74,
2014-02-05,11992.56,
2014-02-12,12351.48,
2014-02-24,12712.91,
2014-03-05,12624.11,
2014-03-12,12262.25,
2014-03-26,12167.99,
2014-04-04,12577.03,
2014-04-11,12389.22,
2014-04-25,13003.81,
2014-05-08,13075.73,
2014-05-19,12620.22,
2014-05-26,12665.22,
2014-06-11,13058.33,
2014-06-20,13692.31,
2014-07-04,13634.41,
2014-07-10,13376.67,
2014-07-17,13591.92,
2014-07-24,13606.63,
2014-08-04,13200.80,
2014-08-22,13080.84,
2014-09-01,13339.54,
2014-09-10,12902.98,
2014-09-18,13027.78,
2014-09-30,12690.24,
2014-10-14,11234.29,
2014-10-22,11812.19,
2014-11-05,11608.97,
2014-11-10,12014.11,
2014-11-21,12214.99,
2014-11-28,11203.13,
2014-12-12,10499.74,
2014-12-18,11952.48,
2014-12-29,12228.75,
2015-01-14,10886.27,
2015-01-22,11358.66,
2015-01-29,11040.25,
2015-02-05,11753.25,
2015-02-16,12057.30,
2015-03-05,11502.34,
2015-03-13,10927.47,
2015-03-20,11421.59,
2015-03-31,11386.71,
2015-04-16,12146.18,
2015-04-27,12443.22,
2015-05-05,12567.16,
2015-05-19,12077.55,
2015-05-22,12189.63,
2015-06-02,11882.90,
2015-06-17,11912.15,
2015-06-24,11782.41,
2015-07-07,10847.59,
2015-07-14,11117.36,
2015-07-27,10353.12,
2015-07-30,10654.49,
2015-08-13,10650.86,
2015-08-24,9590.70,
2015-08-28,10063.79,
2015-09-09,10207.03,
2015-09-11,9833.39,
2015-09-30,9378.05,
2015-10-07,10563.27,
2015-10-16,10585.25,
2015-10-27,10137.36,
2015-11-04,10798.86,
2015-11-13,10129.22,
2015-12-01,10545.61,
2015-12-08,9673.45,
2015-12-21,9305.52,
2015-12-29,9654.67,
2016-01-11,8905.57,
2016-01-20,8396.49,
2016-01-28,9229.36,
2016-02-08,8961.23,
2016-02-11,8860.91,
2016-02-22,9523.28,
2016-03-01,9360.91,
2016-03-17,10092.26,
2016-03-29,9696.04,
2016-04-05,9564.31,
2016-04-22,10574.43,
2016-04-27,10756.79,
2016-05-09,10076.86,
2016-05-25,10631.12,
2016-06-01,10446.94,
2016-06-08,10964.00,
2016-06-16,10253.33,
2016-06-24,10661.85,
2016-07-13,10849.49,
2016-07-21,10765.62,
2016-08-01,10396.49,
2016-08-03,10368.18,
2016-08-18,10939.16,
2016-08-24,10999.48,
2016-09-08,10951.19,
2016-09-14,10560.93,
2016-09-27,10372.86,
2016-09-30,10899.60,
2016-10-10,11102.13,
2016-10-25,10920.03,
2016-11-02,10427.73,
2016-11-11,10592.44,
2016-11-29,10864.20,
2016-12-01,11567.60,
2016-12-15,11542.76,
2016-12-21,11679.94,
2017-01-05,11774.62,
2017-01-10,11626.02,
2017-01-25,11795.83,
2017-01-31,11395.10,
2017-02-08,11082.48,
2017-02-16,11347.15,
2017-03-02,11175.09,
2017-03-14,10598.41,
2017-03-17,10774.71,
2017-03-27,10444.78,
2017-04-12,10843.86,
2017-04-21,10421.33,
2017-05-04,10316.17,
2017-05-11,10606.54,
2017-05-24,10740.18,
2017-05-31,10366.71,
2017-06-13,10413.54,
2017-06-20,10085.17,
2017-07-04,10401.77,
2017-07-10,10087.59,
2017-07-20,10512.98,
2017-08-01,10443.40,
2017-08-10,10270.90,
2017-08-18,9908.43,
2017-08-30,9937.51,
2017-09-11,10250.48,
2017-09-14,10560.33,
2017-09-28,11235.59,
2017-10-06,11056.52,
2017-10-18,11112.69,
2017-10-26,10811.06,
2017-11-07,11398.65,
2017-11-15,10975.16,
2017-11-28,10929.55,
2017-12-04,11121.86,
2017-12-15,11015.06,
2017-12-27,11489.70,
2018-01-08,11675.35,
2018-01-16,12021.90,
2018-01-24,12072.44,
2018-02-06,11109.40,
2018-02-14,10746.93,
2018-02-27,11237.58,
2018-03-05,10845.08,
2018-03-13,11086.81,
2018-04-03,10894.41,
2018-04-05,11192.31,
2018-04-18,11942.18,
2018-04-25,11985.89,
2018-05-08,12229.27,
2018-05-22,13153.97,
2018-05-28,12325.86,
2018-06-04,12549.94,
2018-06-19,12372.34,
2018-06-27,12704.78,
2018-07-02,12530.81,
2018-07-10,13014.02,
2018-07-18,12501.56,
2018-07-30,12890.60,
2018-08-10,12530.12,
2018-08-20,12446.25,
2018-08-28,12995.93,
2018-09-07,12662.80,
2018-09-25,13500.00,
2018-10-04,13589.06,
2018-10-10,13372.68,
2018-10-26,11712.48,
2018-10-31,12122.99,
2018-11-20,11210.58,
2018-11-22,11358.49,
2018-12-04,11412.07,
2018-12-12,11217.93,
2018-12-27,10031.50,
2019-01-09,10940.02,
2019-01-21,11306.21,
2019-01-24,10993.77,
2019-02-05,11619.70,
2019-02-11,11191.80,
2019-02-20,11739.22,
2019-03-08,11164.88,
2019-03-14,11476.63,
2019-03-25,11280.77,
2019-04-08,11773.84,
2019-04-23,12038.43,
2019-05-02,11645.84,
2019-05-07,11346.29,
2019-05-22,11497.06,
2019-05-31,10864.38,
2019-06-11,11282.50,
2019-06-17,11122.21,
2019-07-01,11584.21,
2019-07-05,11330.45,
2019-07-12,11406.01,
2019-07-24,11305.52,
2019-08-07,10646.96,
2019-08-13,10906.09,
2019-08-28,10690.32,
2019-08-30,10956.38,
2019-09-16,11654.41,
2019-09-27,11314.61,
2019-10-03,10872.43,
2019-10-11,11168.69,
2019-10-31,11211.44,
2019-11-05,11671.89,
2019-11-14,11798.94,
2019-11-22,11781.03,
2019-12-03,11396.57,
2019-12-10,11507.01,
2019-12-27,12140.90,
2020-01-06,12395.19,
2020-01-13,12091.66,
2020-01-22,12056.08,
2020-02-03,11408.78,
2020-02-17,11691.88,
2020-02-27,10408.60,
2020-03-05,10662.28,
2020-03-18,6916.22,
2020-03-19,6883.16,
2020-03-26,8380.99,
2020-04-09,9355.81,
2020-04-16,8670.59,
2020-04-30,9576.94,
2020-05-14,8825.51,
2020-05-18,9604.03,
2020-06-05,10991.43,
2020-06-15,10016.70,
2020-06-19,10548.81,
2020-06-30,10006.58,
2020-07-10,10084.91,
2020-07-21,10681.24,
2020-07-30,10356.85,
2020-08-11,11053.14,
2020-08-13,11084.65,
2020-08-21,10623.07,
2020-09-03,10580.06,
2020-09-08,10119.53,
2020-09-24,9703.65,
2020-10-01,9813.40,
2020-10-09,10288.82,
2020-10-15,10077.29,
2020-10-28,9628.09,
2020-11-09,10972.74,
2020-11-18,11594.77,
2020-11-24,12102.22,
2020-12-03,11956.81,
2020-12-21,11924.18,
2020-12-31,12159.43,
2021-01-08,13255.24,
2021-01-20,13265.28,
2021-01-27,12446.34,
2021-02-08,12967.54,
2021-02-16,13368.01,
2021-02-23,13077.12,
2021-03-10,13669.21,
2021-03-12,13882.55,
2021-03-25,13018.78,
2021-04-06,13891.73,
2021-04-19,14115.11,
2021-05-04,13797.13,
2021-05-10,14402.20,
2021-05-19,13824.65,
2021-06-02,14485.98,
2021-06-15,14761.64,
2021-06-18,14355.72,
2021-07-02,14869.83,
2021-07-14,14622.90,
2021-07-19,13667.13,
2021-07-26,14243.29,
2021-08-11,14587.59,
2021-08-20,13968.41,
2021-08-25,14446.08,
2021-09-13,14621.86,
2021-09-20,14260.95,
2021-09-27,15083.69,
2021-10-06,15041.54,
2021-10-18,16180.89,
2021-10-26,16445.47,
2021-11-08,16469.79,
2021-11-22,15939.67,
2021-11-26,15642.03,
2021-12-08,16147.57,
